DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
26/04/2019,34.00,DHD,33.90,34.00,33.90,5100.00
25/04/2019,34.00,DHD,34.00,34.00,34.00,500.00
24/04/2019,34.20,DHD,34.20,34.20,34.20,0.00
23/04/2019,34.20,DHD,34.20,34.20,34.20,0.00
22/04/2019,34.20,DHD,34.20,34.20,34.20,0.00
19/04/2019,34.20,DHD,34.10,34.20,34.10,1900.00
18/04/2019,34.20,DHD,34.20,34.20,34.20,1000.00
17/04/2019,34.20,DHD,34.20,34.20,34.20,900.00
16/04/2019,34.20,DHD,34.20,34.20,34.20,1100.00
12/04/2019,34.30,DHD,34.20,34.30,34.20,1100.00
11/04/2019,34.00,DHD,34.00,34.00,34.00,100.00
10/04/2019,35.00,DHD,33.50,35.00,33.50,9300.00
09/04/2019,33.50,DHD,33.20,33.50,33.10,3700.00
08/04/2019,33.00,DHD,35.90,35.90,33.00,2100.00
05/04/2019,36.00,DHD,36.00,36.00,36.00,700.00
04/04/2019,37.00,DHD,37.00,37.00,37.00,0.00
03/04/2019,37.00,DHD,37.00,37.00,37.00,0.00
02/04/2019,37.00,DHD,37.00,37.00,37.00,0.00
01/04/2019,37.00,DHD,37.00,37.00,37.00,100.00
29/03/2019,34.20,DHD,34.20,34.20,34.20,100.00
28/03/2019,36.00,DHD,36.00,36.00,35.00,12300.00
27/03/2019,36.00,DHD,40.20,40.20,36.00,1700.00
26/03/2019,36.80,DHD,33.10,36.80,33.10,200.00
25/03/2019,38.90,DHD,38.90,38.90,38.90,100.00
22/03/2019,36.10,DHD,36.10,36.10,36.10,0.00
21/03/2019,36.40,DHD,36.00,36.40,36.00,800.00
20/03/2019,36.00,DHD,36.00,36.20,36.00,4000.00
19/03/2019,36.00,DHD,39.00,39.00,32.00,4900.00
18/03/2019,34.00,DHD,34.00,34.00,34.00,100.00
15/03/2019,39.90,DHD,39.90,39.90,39.90,100.00
14/03/2019,36.00,DHD,36.00,36.00,36.00,1000.00
13/03/2019,38.00,DHD,38.00,38.00,38.00,100.00
12/03/2019,37.90,DHD,37.90,37.90,37.90,100.00
11/03/2019,37.00,DHD,37.00,37.30,36.50,2900.00
08/03/2019,37.40,DHD,37.40,37.40,37.40,100.00
07/03/2019,36.80,DHD,37.00,37.00,36.80,900.00
06/03/2019,36.80,DHD,36.80,36.80,36.80,0.00
05/03/2019,36.80,DHD,36.80,36.80,36.80,100.00
04/03/2019,36.00,DHD,36.00,36.00,36.00,1100.00
01/03/2019,36.00,DHD,36.00,36.00,36.00,2000.00
28/02/2019,39.70,DHD,39.70,39.70,39.70,100.00
27/02/2019,36.00,DHD,39.40,39.40,36.00,3100.00
26/02/2019,36.00,DHD,34.20,36.00,34.20,1100.00
25/02/2019,40.20,DHD,40.20,40.20,40.20,100.00
22/02/2019,35.00,DHD,35.00,35.00,35.00,1000.00
21/02/2019,35.90,DHD,35.90,35.90,35.90,100.00
20/02/2019,32.00,DHD,32.00,32.00,32.00,100.00
19/02/2019,35.00,DHD,35.00,35.00,35.00,0.00
18/02/2019,35.00,DHD,35.00,35.00,35.00,4300.00
15/02/2019,34.90,DHD,34.90,34.90,34.90,0.00
14/02/2019,35.00,DHD,30.50,35.00,30.50,3400.00
13/02/2019,34.50,DHD,39.80,39.80,33.50,1800.00
12/02/2019,36.50,DHD,36.50,36.50,36.50,100.00
11/02/2019,36.80,DHD,36.80,36.80,36.80,100.00
01/02/2019,36.00,DHD,31.50,36.00,31.50,500.00
31/01/2019,36.00,DHD,36.00,36.00,36.00,21500.00
30/01/2019,36.00,DHD,36.00,36.00,36.00,1400.00
29/01/2019,36.00,DHD,40.00,40.00,36.00,14200.00
28/01/2019,35.60,DHD,35.60,35.60,35.60,3200.00
25/01/2019,35.60,DHD,35.60,35.60,35.60,500.00
24/01/2019,36.60,DHD,36.00,36.60,36.00,9200.00
23/01/2019,36.70,DHD,36.70,36.70,36.70,1300.00
22/01/2019,35.00,DHD,35.00,35.00,35.00,0.00
21/01/2019,35.00,DHD,33.50,35.50,33.50,1100.00
18/01/2019,37.50,DHD,37.50,37.50,37.50,100.00
17/01/2019,36.60,DHD,36.60,36.60,36.60,800.00
16/01/2019,38.00,DHD,38.00,38.00,38.00,0.00
