DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
24/10/2013,5.60,DHI,5.60,5.70,5.60,5400.00
24/10/2013,5.60,DHI,5.60,5.70,5.60,5400.00
23/10/2013,5.90,DHI,5.90,5.90,5.90,1000.00
22/10/2013,5.40,DHI,5.40,5.40,5.40,0.00
21/10/2013,5.40,DHI,5.40,5.40,5.40,257.00
18/10/2013,5.20,DHI,5.20,5.20,5.20,200.00
17/10/2013,5.20,DHI,5.20,5.20,5.20,1.00
16/10/2013,5.20,DHI,5.20,5.20,5.20,0.00
15/10/2013,5.20,DHI,5.30,5.30,5.20,1338.00
14/10/2013,5.30,DHI,5.30,5.30,5.30,600.00
11/10/2013,5.60,DHI,5.60,5.60,5.60,100.00
10/10/2013,5.40,DHI,5.40,5.40,5.40,0.00
09/10/2013,5.40,DHI,5.40,5.40,5.40,83.00
08/10/2013,5.40,DHI,5.40,5.40,5.40,700.00
07/10/2013,5.40,DHI,5.40,5.40,5.40,0.00
04/10/2013,5.40,DHI,5.50,5.50,5.40,1200.00
03/10/2013,5.50,DHI,5.50,5.50,5.50,0.00
02/10/2013,5.50,DHI,5.20,5.50,5.20,1000.00
01/10/2013,5.70,DHI,5.70,5.70,5.70,1100.00
30/09/2013,5.70,DHI,5.70,5.70,5.70,400.00
27/09/2013,5.80,DHI,5.80,5.80,5.80,0.00
26/09/2013,5.80,DHI,5.80,5.80,5.80,0.00
25/09/2013,5.80,DHI,5.80,5.80,5.80,0.00
24/09/2013,5.80,DHI,5.40,5.80,5.40,800.00
23/09/2013,5.30,DHI,5.30,5.30,5.30,500.00
20/09/2013,5.30,DHI,5.30,5.30,5.30,100.00
19/09/2013,4.90,DHI,4.90,4.90,4.90,100.00
18/09/2013,4.50,DHI,4.50,4.50,4.50,0.00
17/09/2013,4.50,DHI,4.50,4.50,4.50,0.00
16/09/2013,4.50,DHI,4.50,4.50,4.50,3300.00
13/09/2013,4.10,DHI,4.10,4.10,4.10,500.00
12/09/2013,4.10,DHI,4.10,4.10,4.10,0.00
11/09/2013,4.10,DHI,4.10,4.10,4.10,0.00
10/09/2013,4.10,DHI,4.10,4.10,4.10,0.00
09/09/2013,4.10,DHI,4.10,4.10,4.10,0.00
06/09/2013,4.10,DHI,4.10,4.10,4.10,0.00
05/09/2013,4.10,DHI,4.10,4.10,4.10,0.00
04/09/2013,4.10,DHI,4.10,4.10,4.10,0.00
03/09/2013,4.10,DHI,4.10,4.10,4.10,0.00
30/08/2013,4.10,DHI,4.10,4.10,4.10,0.00
29/08/2013,4.10,DHI,4.10,4.10,4.10,0.00
28/08/2013,4.10,DHI,4.10,4.10,4.10,0.00
27/08/2013,4.10,DHI,4.10,4.10,4.10,0.00
26/08/2013,4.10,DHI,4.10,4.10,4.10,0.00
23/08/2013,4.10,DHI,4.10,4.10,4.10,0.00
22/08/2013,4.10,DHI,4.10,4.10,4.10,0.00
21/08/2013,4.10,DHI,4.10,4.10,4.10,0.00
20/08/2013,4.10,DHI,4.10,4.10,4.10,0.00
19/08/2013,4.10,DHI,4.10,4.10,4.10,0.00
16/08/2013,4.10,DHI,4.10,4.10,4.10,0.00
15/08/2013,4.10,DHI,4.10,4.10,4.10,0.00
14/08/2013,4.10,DHI,4.10,4.10,4.10,0.00
13/08/2013,4.10,DHI,4.10,4.10,4.10,200.00
12/08/2013,4.50,DHI,4.50,4.50,4.50,0.00
09/08/2013,4.50,DHI,4.50,4.50,4.50,0.00
08/08/2013,4.50,DHI,4.50,4.50,4.50,100.00
07/08/2013,4.10,DHI,4.10,4.10,4.10,100.00
06/08/2013,3.80,DHI,3.80,3.80,3.80,0.00
05/08/2013,3.80,DHI,3.80,3.80,3.80,0.00
02/08/2013,3.80,DHI,3.80,3.80,3.80,0.00
01/08/2013,3.80,DHI,3.80,3.80,3.80,300.00
31/07/2013,4.20,DHI,4.20,4.20,4.20,0.00
30/07/2013,4.20,DHI,4.20,4.20,4.20,100.00
29/07/2013,3.90,DHI,3.90,3.90,3.90,0.00
26/07/2013,3.90,DHI,3.90,3.90,3.90,1000.00
25/07/2013,4.30,DHI,4.30,4.30,4.30,0.00
24/07/2013,4.30,DHI,4.30,4.30,4.30,100.00
23/07/2013,4.30,DHI,4.30,4.30,4.30,200.00
22/07/2013,4.70,DHI,4.70,4.70,4.70,0.00
19/07/2013,4.70,DHI,4.70,4.70,4.70,300.00
18/07/2013,5.20,DHI,5.20,5.20,5.20,0.00
17/07/2013,5.20,DHI,5.20,5.20,5.20,0.00
16/07/2013,5.20,DHI,5.20,5.20,5.20,0.00
15/07/2013,5.20,DHI,5.20,5.20,5.20,0.00
12/07/2013,5.20,DHI,5.20,5.20,5.20,0.00
11/07/2013,5.20,DHI,5.20,5.20,5.20,0.00
10/07/2013,5.20,DHI,5.20,5.20,5.20,0.00
09/07/2013,5.20,DHI,5.20,5.20,5.20,0.00
08/07/2013,5.20,DHI,5.20,5.20,5.20,0.00
05/07/2013,5.20,DHI,5.20,5.20,5.20,0.00
04/07/2013,5.20,DHI,5.20,5.20,5.20,0.00
03/07/2013,5.20,DHI,5.20,5.20,5.20,0.00
02/07/2013,5.20,DHI,5.20,5.20,5.20,0.00
01/07/2013,5.20,DHI,5.20,5.20,5.20,0.00
28/06/2013,5.20,DHI,5.20,5.20,5.20,0.00
27/06/2013,5.20,DHI,5.20,5.20,5.20,0.00
26/06/2013,5.20,DHI,5.20,5.20,5.20,500.00
25/06/2013,5.20,DHI,5.20,5.20,5.20,100.00
24/06/2013,4.80,DHI,4.40,4.80,4.40,400.00
21/06/2013,4.80,DHI,4.80,4.80,4.80,0.00
20/06/2013,4.80,DHI,4.80,4.80,4.80,100.00
19/06/2013,4.40,DHI,4.40,4.40,4.40,0.00
18/06/2013,4.40,DHI,4.40,4.40,4.40,100.00
17/06/2013,4.30,DHI,4.30,4.30,4.30,0.00
14/06/2013,4.30,DHI,4.30,4.30,4.30,0.00
13/06/2013,4.30,DHI,5.00,5.00,4.30,200.00
12/06/2013,4.60,DHI,4.60,4.60,4.60,100.00
11/06/2013,5.00,DHI,5.00,5.00,5.00,1000.00
10/06/2013,5.30,DHI,6.20,6.20,5.30,200.00
07/06/2013,5.70,DHI,5.70,5.70,5.70,100.00
06/06/2013,6.30,DHI,6.30,6.30,6.30,200.00
05/06/2013,6.90,DHI,6.90,6.90,6.90,0.00
04/06/2013,6.90,DHI,6.90,6.90,6.90,0.00
03/06/2013,6.90,DHI,6.90,6.90,6.90,0.00
31/05/2013,6.90,DHI,6.90,6.90,6.90,0.00
30/05/2013,6.90,DHI,6.90,6.90,6.90,0.00
29/05/2013,6.90,DHI,6.90,6.90,6.90,0.00
28/05/2013,6.90,DHI,6.90,6.90,6.90,100.00
27/05/2013,6.30,DHI,6.30,6.30,6.30,500.00
