DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
26/04/2019,4.98,DHM,4.98,4.98,4.72,830.00
25/04/2019,4.99,DHM,4.90,5.00,4.90,750.00
24/04/2019,4.99,DHM,4.98,4.99,4.70,19500.00
23/04/2019,4.99,DHM,4.79,4.99,4.76,9250.00
22/04/2019,4.99,DHM,4.90,5.19,4.75,1430.00
19/04/2019,4.86,DHM,4.88,4.88,4.70,29790.00
18/04/2019,4.88,DHM,4.94,4.94,4.80,30310.00
17/04/2019,4.83,DHM,4.93,5.01,4.83,7060.00
16/04/2019,4.97,DHM,4.85,5.07,4.82,21860.00
12/04/2019,4.85,DHM,5.02,5.10,4.85,124150.00
11/04/2019,5.02,DHM,4.85,5.18,4.81,292320.00
10/04/2019,4.85,DHM,4.70,4.86,4.62,103300.00
09/04/2019,4.61,DHM,4.86,4.90,4.61,71470.00
08/04/2019,4.92,DHM,4.95,4.95,4.80,67350.00
05/04/2019,4.92,DHM,4.96,4.96,4.70,41050.00
04/04/2019,4.97,DHM,4.96,4.97,4.86,9910.00
03/04/2019,4.97,DHM,4.90,4.97,4.90,5120.00
02/04/2019,4.98,DHM,4.90,4.98,4.85,15630.00
01/04/2019,5.10,DHM,4.90,5.10,4.80,29410.00
29/03/2019,5.10,DHM,5.00,5.10,4.90,64900.00
28/03/2019,5.00,DHM,4.95,5.08,4.86,35620.00
27/03/2019,4.95,DHM,4.90,4.95,4.85,26350.00
26/03/2019,4.90,DHM,4.90,5.10,4.90,33570.00
25/03/2019,4.96,DHM,4.85,4.98,4.85,7240.00
22/03/2019,4.98,DHM,4.90,4.98,4.90,25960.00
21/03/2019,4.91,DHM,4.95,5.05,4.90,68470.00
20/03/2019,4.90,DHM,4.85,5.01,4.85,9300.00
19/03/2019,5.01,DHM,5.09,5.11,4.91,43780.00
18/03/2019,5.09,DHM,5.20,5.20,4.98,7320.00
15/03/2019,5.20,DHM,4.85,5.20,4.85,98250.00
14/03/2019,4.90,DHM,4.91,5.25,4.90,107080.00
13/03/2019,5.20,DHM,5.34,5.39,5.20,137600.00
12/03/2019,5.34,DHM,5.40,5.50,5.15,183270.00
11/03/2019,5.40,DHM,5.39,5.60,5.39,362360.00
08/03/2019,5.39,DHM,4.96,5.41,4.96,475400.00
07/03/2019,5.06,DHM,4.90,5.10,4.90,246720.00
06/03/2019,5.04,DHM,4.90,5.05,4.84,120160.00
05/03/2019,4.95,DHM,4.80,5.00,4.65,14230.00
04/03/2019,5.00,DHM,4.85,5.00,4.68,18520.00
01/03/2019,4.85,DHM,4.89,4.89,4.65,80220.00
28/02/2019,4.63,DHM,4.65,4.65,4.63,22000.00
27/02/2019,4.94,DHM,4.63,4.98,4.63,3110.00
26/02/2019,4.94,DHM,4.70,4.94,4.70,14060.00
25/02/2019,4.70,DHM,5.06,5.06,4.70,166940.00
22/02/2019,5.05,DHM,5.09,5.09,5.02,53750.00
21/02/2019,5.07,DHM,5.09,5.09,4.98,33240.00
20/02/2019,5.06,DHM,5.00,5.08,4.92,119070.00
19/02/2019,5.05,DHM,5.00,5.09,5.00,84020.00
18/02/2019,5.05,DHM,4.95,5.10,4.85,217060.00
15/02/2019,4.98,DHM,4.84,4.98,4.84,139250.00
14/02/2019,4.99,DHM,4.86,5.00,4.85,275190.00
13/02/2019,5.00,DHM,4.91,5.02,4.65,161960.00
12/02/2019,5.00,DHM,5.10,5.10,4.95,184980.00
11/02/2019,5.24,DHM,5.05,5.29,5.05,65640.00
01/02/2019,5.10,DHM,5.10,5.10,4.90,169500.00
31/01/2019,5.01,DHM,4.80,5.12,4.80,347760.00
30/01/2019,4.98,DHM,4.79,4.98,4.50,272960.00
29/01/2019,4.80,DHM,4.66,4.80,4.66,5220.00
28/01/2019,4.65,DHM,4.88,4.88,4.65,39310.00
25/01/2019,4.99,DHM,5.00,5.00,4.85,19110.00
24/01/2019,5.02,DHM,4.87,5.06,4.87,1530.00
23/01/2019,5.08,DHM,4.88,5.08,4.88,6070.00
22/01/2019,5.10,DHM,4.91,5.10,4.90,52020.00
21/01/2019,5.10,DHM,4.81,5.10,4.81,4710.00
18/01/2019,5.10,DHM,4.95,5.10,4.95,11100.00
17/01/2019,4.80,DHM,4.97,5.15,4.80,5400.00
16/01/2019,5.15,DHM,5.15,5.15,5.15,1120.00
15/01/2019,5.10,DHM,4.74,5.10,4.74,6990.00
14/01/2019,5.00,DHM,5.00,5.00,4.90,22870.00
11/01/2019,5.10,DHM,5.00,5.10,5.00,5400.00
10/01/2019,5.10,DHM,5.00,5.10,5.00,2910.00
09/01/2019,5.00,DHM,4.67,5.00,4.67,6300.00
08/01/2019,5.00,DHM,4.80,5.00,4.80,70420.00
07/01/2019,5.00,DHM,5.03,5.03,4.86,29380.00
04/01/2019,5.00,DHM,5.04,5.04,4.97,18280.00
03/01/2019,4.97,DHM,5.19,5.20,4.97,49090.00
02/01/2019,5.20,DHM,5.45,5.45,5.19,48580.00
28/12/2018,5.20,DHM,5.37,5.38,5.20,64930.00
27/12/2018,5.38,DHM,5.37,5.45,5.20,59740.00
26/12/2018,5.35,DHM,5.35,5.40,5.35,70630.00
25/12/2018,5.26,DHM,5.43,5.43,5.26,87140.00
24/12/2018,5.65,DHM,5.70,5.70,5.35,56200.00
21/12/2018,5.70,DHM,5.70,5.74,5.50,76150.00
20/12/2018,5.75,DHM,5.76,5.76,5.60,78900.00
19/12/2018,5.75,DHM,5.80,5.80,5.55,63060.00
18/12/2018,5.75,DHM,5.45,5.75,5.30,124570.00
17/12/2018,5.45,DHM,5.46,5.46,5.35,88760.00
14/12/2018,5.39,DHM,5.06,5.39,5.06,145010.00
13/12/2018,5.07,DHM,5.40,5.40,5.06,211750.00
12/12/2018,5.41,DHM,5.65,5.78,5.41,96430.00
11/12/2018,5.70,DHM,5.71,5.81,5.70,525500.00
10/12/2018,5.82,DHM,5.71,5.82,5.66,202980.00
07/12/2018,5.86,DHM,5.76,5.88,5.70,115570.00
06/12/2018,5.86,DHM,5.83,5.89,5.70,95180.00
05/12/2018,5.85,DHM,5.90,5.90,5.80,95540.00
04/12/2018,6.00,DHM,6.05,6.05,5.71,118800.00
03/12/2018,5.91,DHM,5.71,5.92,5.71,101780.00
30/11/2018,5.76,DHM,5.81,5.92,5.70,133130.00
29/11/2018,5.92,DHM,5.84,6.00,5.84,195840.00
28/11/2018,6.04,DHM,5.90,6.06,5.80,258050.00
27/11/2018,6.06,DHM,6.10,6.20,5.70,507700.00
26/11/2018,6.08,DHM,5.80,6.10,5.80,518600.00
23/11/2018,5.79,DHM,5.69,5.79,5.67,380690.00
22/11/2018,5.45,DHM,5.29,5.45,5.29,382550.00
21/11/2018,5.10,DHM,4.78,5.10,4.77,230630.00
20/11/2018,4.80,DHM,4.77,4.90,4.77,80810.00
19/11/2018,4.91,DHM,4.85,4.93,4.81,128470.00
16/11/2018,4.90,DHM,4.80,4.96,4.80,80600.00
15/11/2018,4.96,DHM,4.99,4.99,4.90,32220.00
14/11/2018,4.99,DHM,4.80,5.00,4.80,242380.00
13/11/2018,4.91,DHM,4.75,4.95,4.70,427780.00
12/11/2018,4.84,DHM,4.84,4.85,4.75,126220.00
09/11/2018,4.84,DHM,4.90,4.90,4.75,114600.00
08/11/2018,4.81,DHM,4.90,4.95,4.81,190000.00
07/11/2018,4.90,DHM,4.97,4.97,4.80,150740.00
06/11/2018,4.90,DHM,4.85,4.95,4.80,34320.00
05/11/2018,4.95,DHM,4.75,4.99,4.70,36910.00
02/11/2018,4.96,DHM,4.47,4.96,4.47,44750.00
01/11/2018,4.79,DHM,4.90,4.90,4.55,24910.00
31/10/2018,4.80,DHM,4.79,5.00,4.50,56050.00
30/10/2018,4.80,DHM,4.58,4.84,4.56,308960.00
29/10/2018,4.90,DHM,4.71,4.95,4.71,23160.00
26/10/2018,4.95,DHM,4.71,4.98,4.70,60960.00
25/10/2018,4.90,DHM,4.63,4.90,4.63,63160.00
24/10/2018,4.97,DHM,4.77,5.12,4.77,556650.00
23/10/2018,5.12,DHM,5.25,5.25,5.12,82510.00
22/10/2018,5.50,DHM,5.56,5.56,5.25,190560.00
19/10/2018,5.50,DHM,5.59,5.80,5.33,161710.00
18/10/2018,5.50,DHM,5.38,5.50,5.35,84750.00
17/10/2018,5.38,DHM,5.10,5.38,4.99,435940.00
16/10/2018,5.03,DHM,4.92,5.03,4.92,185060.00
15/10/2018,4.92,DHM,4.55,4.98,4.55,153840.00
12/10/2018,4.75,DHM,4.20,4.75,4.20,512490.00
11/10/2018,4.44,DHM,4.60,4.60,4.44,392600.00
10/10/2018,4.76,DHM,4.83,4.83,4.70,7510.00
09/10/2018,4.76,DHM,4.65,4.83,4.64,249650.00
08/10/2018,4.52,DHM,4.70,4.70,4.50,78570.00
05/10/2018,4.60,DHM,4.29,4.60,4.21,332330.00
04/10/2018,4.31,DHM,4.20,4.36,4.20,271540.00
03/10/2018,4.19,DHM,4.33,4.33,4.19,295320.00
02/10/2018,4.19,DHM,4.24,4.24,4.09,133950.00
01/10/2018,4.17,DHM,4.00,4.27,4.00,222050.00
28/09/2018,4.00,DHM,4.04,4.04,4.00,93200.00
27/09/2018,4.00,DHM,4.00,4.08,3.99,107310.00
26/09/2018,4.00,DHM,4.00,4.04,3.99,258940.00
25/09/2018,4.04,DHM,4.05,4.05,4.01,19610.00
24/09/2018,4.04,DHM,4.00,4.05,3.99,170370.00
21/09/2018,4.05,DHM,4.19,4.19,4.00,60820.00
20/09/2018,4.06,DHM,3.98,4.15,3.94,115730.00
19/09/2018,3.98,DHM,3.95,4.01,3.94,266780.00
18/09/2018,4.00,DHM,4.12,4.12,3.84,200740.00
17/09/2018,4.12,DHM,4.24,4.24,3.98,105430.00
14/09/2018,4.15,DHM,4.35,4.35,4.00,90540.00
