DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
26/04/2019,33.90,DHT,36.00,36.00,33.80,32600.00
25/04/2019,37.20,DHT,37.60,37.60,36.30,18300.00
24/04/2019,37.60,DHT,37.80,38.00,37.00,11610.00
23/04/2019,37.70,DHT,37.00,38.80,36.40,21330.00
22/04/2019,36.40,DHT,36.20,39.80,35.60,37950.00
19/04/2019,36.20,DHT,36.30,36.40,36.20,4500.00
18/04/2019,36.30,DHT,35.30,36.40,35.30,14600.00
17/04/2019,36.20,DHT,35.90,36.50,35.00,23530.00
16/04/2019,35.90,DHT,35.90,36.00,35.00,12000.00
12/04/2019,35.90,DHT,35.00,36.00,34.80,76600.00
11/04/2019,35.00,DHT,35.90,36.40,35.00,30900.00
10/04/2019,36.00,DHT,36.00,36.00,35.40,4400.00
09/04/2019,36.00,DHT,36.10,36.40,35.20,11300.00
08/04/2019,36.10,DHT,36.50,36.50,35.50,14900.00
05/04/2019,35.90,DHT,35.90,36.10,35.90,21500.00
04/04/2019,35.60,DHT,37.20,37.20,35.50,14000.00
03/04/2019,36.90,DHT,36.30,37.50,36.20,11900.00
02/04/2019,36.00,DHT,36.60,36.70,35.80,26840.00
01/04/2019,36.70,DHT,37.50,37.50,36.10,8200.00
29/03/2019,37.30,DHT,37.00,38.00,36.50,16510.00
28/03/2019,36.50,DHT,36.90,36.90,36.00,29950.00
27/03/2019,36.90,DHT,37.50,37.50,36.70,10907.00
26/03/2019,37.10,DHT,37.50,37.50,36.70,16300.00
25/03/2019,37.00,DHT,38.00,38.00,36.90,25800.00
22/03/2019,38.00,DHT,38.00,38.50,37.70,24700.00
21/03/2019,37.70,DHT,38.80,38.80,37.70,28870.00
20/03/2019,38.60,DHT,38.70,39.50,38.00,36630.00
19/03/2019,38.30,DHT,38.20,38.30,37.80,38800.00
18/03/2019,38.00,DHT,39.00,39.60,38.00,59630.00
15/03/2019,39.00,DHT,39.70,39.70,38.50,25100.00
14/03/2019,39.60,DHT,40.00,40.00,39.00,11500.00
13/03/2019,39.50,DHT,39.10,40.00,38.90,37630.00
12/03/2019,39.00,DHT,40.50,40.90,39.00,29333.00
11/03/2019,39.60,DHT,41.00,41.70,39.50,34700.00
08/03/2019,39.40,DHT,41.90,42.90,39.40,180250.00
07/03/2019,41.30,DHT,42.20,42.20,40.00,77970.00
06/03/2019,41.20,DHT,40.30,41.30,40.30,95100.00
05/03/2019,40.40,DHT,40.00,40.50,38.80,100000.00
04/03/2019,40.00,DHT,39.40,40.90,39.40,96103.00
01/03/2019,38.70,DHT,38.90,40.00,38.00,45040.00
28/02/2019,38.00,DHT,38.00,39.30,34.60,48300.00
27/02/2019,38.40,DHT,38.20,38.50,38.00,13000.00
26/02/2019,37.70,DHT,38.20,39.00,37.70,14340.00
25/02/2019,38.90,DHT,39.20,39.80,38.00,9420.00
22/02/2019,39.30,DHT,38.50,42.00,38.50,15694.00
21/02/2019,38.20,DHT,38.00,38.90,37.50,5000.00
20/02/2019,38.50,DHT,39.00,39.00,37.20,24820.00
19/02/2019,38.80,DHT,40.30,40.30,38.80,3645.00
18/02/2019,40.20,DHT,40.90,40.90,39.00,6845.00
15/02/2019,40.00,DHT,39.90,40.40,38.60,9210.00
14/02/2019,40.00,DHT,40.50,40.50,40.00,1175.00
13/02/2019,41.00,DHT,40.70,41.00,40.70,3500.00
12/02/2019,40.90,DHT,41.30,41.30,38.00,4510.00
11/02/2019,40.80,DHT,39.40,40.80,39.30,1910.00
01/02/2019,39.50,DHT,39.90,39.90,39.50,1700.00
31/01/2019,39.50,DHT,38.50,39.50,38.50,3700.00
30/01/2019,39.30,DHT,39.70,39.70,38.20,8100.00
29/01/2019,38.20,DHT,40.00,40.00,38.20,300.00
28/01/2019,39.20,DHT,39.70,39.70,38.50,5512.00
25/01/2019,39.70,DHT,39.50,39.90,38.00,5620.00
24/01/2019,39.30,DHT,40.00,40.00,38.00,7900.00
23/01/2019,37.00,DHT,39.00,39.40,37.00,7700.00
22/01/2019,40.00,DHT,39.90,40.90,39.30,15668.00
21/01/2019,39.90,DHT,40.00,41.80,39.90,3810.00
18/01/2019,40.00,DHT,41.40,41.40,40.00,2300.00
17/01/2019,40.90,DHT,40.50,40.90,40.50,1600.00
16/01/2019,41.40,DHT,40.10,41.40,40.10,4932.00
15/01/2019,40.20,DHT,40.20,40.20,39.80,7418.00
14/01/2019,40.40,DHT,40.80,40.80,40.00,11900.00
11/01/2019,40.90,DHT,40.40,40.90,40.30,10850.00
10/01/2019,40.90,DHT,41.60,41.60,40.50,3128.00
09/01/2019,40.70,DHT,41.90,41.90,40.00,2800.00
08/01/2019,40.70,DHT,41.50,41.50,40.00,3400.00
