DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
26/04/2019,3.19,DIC,3.00,3.19,3.00,19290.00
25/04/2019,3.00,DIC,3.18,3.19,3.00,24810.00
24/04/2019,3.18,DIC,3.10,3.19,3.10,13330.00
23/04/2019,3.16,DIC,3.22,3.22,3.13,22190.00
22/04/2019,3.22,DIC,3.20,3.25,3.20,124200.00
19/04/2019,3.20,DIC,3.30,3.30,3.17,37640.00
18/04/2019,3.10,DIC,3.23,3.36,3.10,117170.00
17/04/2019,3.25,DIC,3.31,3.31,3.24,11110.00
16/04/2019,3.31,DIC,3.40,3.40,3.20,5230.00
12/04/2019,3.37,DIC,3.31,3.37,3.31,6310.00
11/04/2019,3.39,DIC,3.40,3.40,3.30,9660.00
10/04/2019,3.40,DIC,3.46,3.46,3.28,63700.00
09/04/2019,3.46,DIC,3.49,3.49,3.32,86460.00
08/04/2019,3.31,DIC,3.50,3.50,3.30,190180.00
05/04/2019,3.54,DIC,3.50,3.54,3.30,27950.00
04/04/2019,3.48,DIC,3.37,3.50,3.37,9580.00
03/04/2019,3.46,DIC,3.47,3.50,3.46,12410.00
02/04/2019,3.50,DIC,3.50,3.55,3.50,23020.00
01/04/2019,3.53,DIC,3.52,3.53,3.40,6810.00
29/03/2019,3.52,DIC,3.31,3.54,3.31,212540.00
28/03/2019,3.31,DIC,3.59,3.59,3.31,570.00
27/03/2019,3.40,DIC,3.45,3.46,3.40,90460.00
26/03/2019,3.45,DIC,3.50,3.55,3.40,55570.00
25/03/2019,3.49,DIC,3.29,3.50,3.29,23520.00
22/03/2019,3.50,DIC,3.58,3.60,3.43,36330.00
21/03/2019,3.67,DIC,3.88,3.88,3.67,131390.00
20/03/2019,3.73,DIC,3.61,3.76,3.53,293630.00
19/03/2019,3.53,DIC,3.40,3.53,3.40,405150.00
18/03/2019,3.30,DIC,3.31,3.38,3.30,26400.00
15/03/2019,3.30,DIC,3.32,3.45,3.30,28210.00
14/03/2019,3.32,DIC,3.40,3.40,3.31,63580.00
13/03/2019,3.42,DIC,3.34,3.43,3.34,43810.00
12/03/2019,3.43,DIC,3.40,3.47,3.40,153440.00
11/03/2019,3.40,DIC,3.40,3.40,3.40,95020.00
08/03/2019,3.40,DIC,3.55,3.55,3.35,27410.00
07/03/2019,3.50,DIC,3.59,3.59,3.40,196640.00
06/03/2019,3.39,DIC,3.35,3.41,3.30,218030.00
05/03/2019,3.40,DIC,3.29,3.40,3.24,145650.00
04/03/2019,3.30,DIC,3.29,3.35,3.23,89450.00
01/03/2019,3.30,DIC,3.22,3.30,3.22,133520.00
28/02/2019,3.22,DIC,3.16,3.33,3.16,18720.00
27/02/2019,3.35,DIC,3.30,3.35,3.25,27140.00
26/02/2019,3.33,DIC,3.28,3.33,3.27,230250.00
25/02/2019,3.12,DIC,3.29,3.29,3.12,57700.00
22/02/2019,3.20,DIC,3.16,3.32,3.16,98200.00
21/02/2019,3.15,DIC,3.10,3.15,3.10,19780.00
20/02/2019,3.16,DIC,3.10,3.18,3.10,163660.00
19/02/2019,3.16,DIC,3.10,3.16,3.10,58760.00
18/02/2019,3.18,DIC,3.22,3.22,3.18,14980.00
15/02/2019,3.20,DIC,3.20,3.20,3.19,3040.00
14/02/2019,3.24,DIC,3.20,3.24,3.20,83290.00
13/02/2019,3.20,DIC,3.20,3.20,3.12,225840.00
12/02/2019,3.23,DIC,3.11,3.28,3.00,217330.00
11/02/2019,3.13,DIC,3.28,3.28,3.13,1770.00
01/02/2019,3.28,DIC,3.11,3.28,3.11,12080.00
31/01/2019,3.29,DIC,3.10,3.29,3.10,2260.00
30/01/2019,3.29,DIC,3.29,3.29,3.19,10020.00
29/01/2019,3.20,DIC,3.20,3.29,3.20,34680.00
28/01/2019,3.20,DIC,3.25,3.30,3.20,7600.00
25/01/2019,3.20,DIC,3.30,3.30,3.16,23270.00
24/01/2019,3.22,DIC,3.19,3.22,3.19,23520.00
23/01/2019,3.20,DIC,3.20,3.20,3.10,21680.00
22/01/2019,3.20,DIC,3.19,3.20,3.18,110720.00
21/01/2019,3.20,DIC,3.20,3.20,3.20,4140.00
18/01/2019,3.20,DIC,3.20,3.20,3.20,19600.00
17/01/2019,3.20,DIC,3.00,3.20,3.00,26090.00
16/01/2019,3.20,DIC,3.00,3.20,3.00,81760.00
15/01/2019,3.20,DIC,3.05,3.20,3.05,8930.00
14/01/2019,3.20,DIC,2.94,3.20,2.94,23460.00
11/01/2019,3.16,DIC,3.29,3.29,3.16,2010.00
10/01/2019,3.20,DIC,3.25,3.25,3.10,14660.00
09/01/2019,3.25,DIC,3.16,3.25,3.16,940.00
08/01/2019,3.25,DIC,3.16,3.25,3.16,7710.00
07/01/2019,3.25,DIC,3.20,3.25,3.16,4730.00
04/01/2019,3.18,DIC,3.15,3.18,3.10,28020.00
03/01/2019,3.16,DIC,3.10,3.16,3.00,76760.00
02/01/2019,3.16,DIC,3.15,3.17,3.10,10920.00
28/12/2018,3.19,DIC,3.20,3.20,3.05,14600.00
27/12/2018,3.26,DIC,3.28,3.28,3.26,160.00
26/12/2018,3.20,DIC,3.20,3.28,3.20,264890.00
25/12/2018,3.15,DIC,3.02,3.24,3.00,31080.00
24/12/2018,3.15,DIC,3.26,3.27,3.15,41130.00
21/12/2018,3.31,DIC,3.45,3.45,3.31,11040.00
20/12/2018,3.45,DIC,3.45,3.55,3.22,3920.00
19/12/2018,3.45,DIC,3.58,3.58,3.45,1950.00
18/12/2018,3.56,DIC,3.60,3.60,3.43,102860.00
17/12/2018,3.50,DIC,3.40,3.50,3.40,107750.00
14/12/2018,3.50,DIC,3.53,3.54,3.48,4070.00
13/12/2018,3.55,DIC,3.60,3.60,3.44,19800.00
12/12/2018,3.43,DIC,3.55,3.60,3.40,75020.00
11/12/2018,3.55,DIC,3.39,3.55,3.32,102570.00
10/12/2018,3.32,DIC,3.36,3.39,3.32,155850.00
07/12/2018,3.35,DIC,3.40,3.41,3.35,296860.00
06/12/2018,3.40,DIC,3.44,3.44,3.32,13610.00
05/12/2018,3.35,DIC,3.30,3.40,3.30,12020.00
04/12/2018,3.30,DIC,3.30,3.30,3.27,43100.00
03/12/2018,3.30,DIC,3.31,3.33,3.25,68820.00
30/11/2018,3.27,DIC,3.27,3.30,3.22,36790.00
29/11/2018,3.27,DIC,3.20,3.28,3.20,28350.00
28/11/2018,3.20,DIC,3.29,3.34,3.20,40390.00
27/11/2018,3.22,DIC,3.30,3.31,3.22,26890.00
26/11/2018,3.31,DIC,3.30,3.31,3.07,24890.00
23/11/2018,3.30,DIC,3.28,3.30,3.20,46970.00
22/11/2018,3.20,DIC,3.19,3.27,3.19,24630.00
21/11/2018,3.15,DIC,3.13,3.20,3.13,44070.00
20/11/2018,3.13,DIC,3.13,3.14,3.06,129750.00
19/11/2018,3.13,DIC,3.10,3.14,3.10,9010.00
16/11/2018,3.10,DIC,3.02,3.15,3.02,43470.00
15/11/2018,3.06,DIC,3.04,3.06,3.00,22860.00
14/11/2018,3.03,DIC,2.95,3.07,2.95,23300.00
13/11/2018,3.07,DIC,3.03,3.08,3.03,24840.00
12/11/2018,3.03,DIC,3.03,3.04,3.03,32640.00
09/11/2018,3.03,DIC,3.03,3.05,3.03,41310.00
08/11/2018,3.03,DIC,3.03,3.08,3.03,27820.00
07/11/2018,3.03,DIC,3.00,3.08,3.00,18850.00
06/11/2018,3.04,DIC,3.04,3.05,2.98,29820.00
05/11/2018,3.03,DIC,2.88,3.06,2.88,29020.00
02/11/2018,3.03,DIC,3.00,3.05,3.00,19850.00
01/11/2018,3.03,DIC,3.24,3.24,3.02,139520.00
31/10/2018,3.24,DIC,3.21,3.26,3.06,54070.00
30/10/2018,3.26,DIC,3.30,3.30,3.20,133320.00
29/10/2018,3.27,DIC,3.29,3.40,3.11,103960.00
26/10/2018,3.27,DIC,3.10,3.27,3.10,109690.00
25/10/2018,3.06,DIC,3.00,3.26,2.90,110290.00
24/10/2018,3.06,DIC,3.02,3.07,3.02,43430.00
23/10/2018,3.07,DIC,3.12,3.19,3.01,94910.00
22/10/2018,3.13,DIC,3.20,3.30,3.13,94390.00
19/10/2018,3.20,DIC,3.34,3.34,3.20,26880.00
18/10/2018,3.33,DIC,3.36,3.36,3.30,71500.00
17/10/2018,3.36,DIC,3.42,3.42,3.27,506680.00
16/10/2018,3.50,DIC,3.67,3.67,3.50,185080.00
15/10/2018,3.58,DIC,3.56,3.70,3.56,14050.00
12/10/2018,3.56,DIC,3.69,3.69,3.56,5600.00
11/10/2018,3.55,DIC,3.60,3.78,3.54,111110.00
10/10/2018,3.80,DIC,3.89,3.91,3.80,217150.00
09/10/2018,3.91,DIC,3.93,3.95,3.86,69140.00
08/10/2018,3.93,DIC,3.84,3.97,3.82,60790.00
05/10/2018,3.83,DIC,3.70,3.83,3.70,87200.00
04/10/2018,3.83,DIC,3.92,3.92,3.61,123690.00
03/10/2018,3.88,DIC,3.83,3.88,3.83,67900.00
02/10/2018,3.84,DIC,3.89,3.89,3.82,56270.00
01/10/2018,3.86,DIC,3.90,3.90,3.80,100860.00
28/09/2018,3.86,DIC,3.92,3.93,3.85,47090.00
27/09/2018,3.90,DIC,3.88,3.95,3.87,67720.00
26/09/2018,3.87,DIC,3.95,4.00,3.85,97750.00
25/09/2018,3.95,DIC,3.86,3.99,3.86,152800.00
24/09/2018,3.95,DIC,4.05,4.05,3.90,156800.00
21/09/2018,4.06,DIC,4.00,4.07,3.88,221200.00
