DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
26/04/2019,18.50,DIH,18.50,18.50,18.50,1000.00
25/04/2019,20.50,DIH,18.70,20.50,18.70,600.00
24/04/2019,20.70,DIH,18.90,20.80,18.90,74000.00
23/04/2019,20.90,DIH,17.70,20.90,17.70,400.00
22/04/2019,19.60,DIH,19.60,19.60,19.60,200.00
19/04/2019,21.70,DIH,18.60,21.70,18.50,300.00
18/04/2019,20.50,DIH,20.50,20.50,20.50,100.00
17/04/2019,18.70,DIH,18.70,18.70,18.70,800.00
16/04/2019,20.70,DIH,20.70,20.70,20.70,200.00
12/04/2019,23.00,DIH,20.50,24.60,20.50,15300.00
11/04/2019,22.70,DIH,22.70,24.50,22.70,4600.00
10/04/2019,25.20,DIH,25.20,25.20,25.20,100.00
09/04/2019,28.00,DIH,28.00,28.00,28.00,100.00
08/04/2019,31.10,DIH,31.10,31.10,31.10,100.00
05/04/2019,34.50,DIH,34.50,34.50,34.50,100.00
04/04/2019,38.30,DIH,38.30,38.30,38.30,0.00
03/04/2019,38.30,DIH,38.30,38.30,38.30,0.00
02/04/2019,38.30,DIH,38.30,38.30,38.30,0.00
01/04/2019,38.30,DIH,38.30,38.30,38.30,0.00
29/03/2019,38.30,DIH,38.30,38.30,38.30,0.00
28/03/2019,38.30,DIH,38.30,38.30,38.30,0.00
27/03/2019,38.30,DIH,38.30,38.30,38.30,0.00
26/03/2019,38.30,DIH,38.30,38.30,38.30,0.00
25/03/2019,38.30,DIH,38.30,38.30,38.30,0.00
22/03/2019,38.30,DIH,38.30,38.30,38.30,100.00
21/03/2019,34.90,DIH,42.50,42.50,34.90,3200.00
20/03/2019,38.70,DIH,38.70,38.70,38.70,0.00
19/03/2019,38.70,DIH,38.70,38.70,38.70,0.00
18/03/2019,38.70,DIH,38.70,38.70,38.70,0.00
15/03/2019,38.70,DIH,38.70,38.70,38.70,0.00
14/03/2019,38.70,DIH,38.70,38.70,38.70,0.00
13/03/2019,38.70,DIH,38.70,38.70,38.70,0.00
12/03/2019,38.70,DIH,38.70,38.70,38.70,4000.00
11/03/2019,35.20,DIH,35.20,35.20,35.20,0.00
08/03/2019,35.20,DIH,35.20,35.20,35.20,0.00
07/03/2019,35.20,DIH,35.20,35.20,35.20,0.00
06/03/2019,35.20,DIH,35.20,35.20,35.20,0.00
05/03/2019,35.20,DIH,35.20,35.20,35.20,0.00
04/03/2019,35.20,DIH,35.20,35.20,35.20,0.00
01/03/2019,35.20,DIH,35.20,35.20,35.20,5000.00
28/02/2019,32.00,DIH,32.00,32.00,32.00,0.00
27/02/2019,32.00,DIH,32.00,32.00,32.00,0.00
26/02/2019,32.00,DIH,32.00,32.00,32.00,1000.00
25/02/2019,34.50,DIH,34.50,34.50,34.50,0.00
22/02/2019,34.50,DIH,34.50,34.50,34.50,5000.00
21/02/2019,31.40,DIH,31.40,31.40,31.40,0.00
20/02/2019,31.40,DIH,31.40,31.40,31.40,0.00
19/02/2019,31.40,DIH,31.40,31.40,31.40,0.00
18/02/2019,31.40,DIH,31.40,31.40,31.40,0.00
15/02/2019,31.40,DIH,31.40,31.40,31.40,0.00
14/02/2019,31.40,DIH,31.40,31.40,31.40,0.00
13/02/2019,31.40,DIH,31.40,31.40,31.40,0.00
12/02/2019,31.40,DIH,31.40,31.40,31.40,900.00
11/02/2019,28.60,DIH,28.60,28.60,28.60,0.00
01/02/2019,28.60,DIH,28.60,28.60,28.60,0.00
31/01/2019,28.60,DIH,28.60,28.60,28.60,0.00
30/01/2019,28.60,DIH,28.60,28.60,28.60,100.00
29/01/2019,26.00,DIH,26.00,26.00,26.00,0.00
28/01/2019,26.00,DIH,26.00,26.00,26.00,0.00
25/01/2019,26.00,DIH,26.00,26.00,26.00,0.00
24/01/2019,26.00,DIH,26.00,26.00,26.00,0.00
23/01/2019,26.00,DIH,26.00,26.00,26.00,0.00
22/01/2019,26.00,DIH,26.00,26.00,26.00,0.00
21/01/2019,26.00,DIH,26.00,26.00,26.00,800.00
