DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
26/04/2019,1.58,DLG,1.58,1.61,1.58,714890.00
25/04/2019,1.59,DLG,1.65,1.65,1.59,983660.00
24/04/2019,1.65,DLG,1.61,1.65,1.60,939670.00
23/04/2019,1.59,DLG,1.57,1.59,1.56,968170.00
22/04/2019,1.57,DLG,1.61,1.61,1.56,961250.00
19/04/2019,1.60,DLG,1.62,1.63,1.59,1427420.00
18/04/2019,1.58,DLG,1.63,1.65,1.58,2234920.00
17/04/2019,1.65,DLG,1.67,1.68,1.63,1401080.00
16/04/2019,1.62,DLG,1.66,1.66,1.62,1267740.00
12/04/2019,1.66,DLG,1.70,1.71,1.63,2709690.00
11/04/2019,1.70,DLG,1.72,1.73,1.69,1493100.00
10/04/2019,1.71,DLG,1.70,1.73,1.69,2933470.00
09/04/2019,1.74,DLG,1.77,1.78,1.73,1441080.00
08/04/2019,1.77,DLG,1.75,1.78,1.73,1945400.00
05/04/2019,1.72,DLG,1.79,1.80,1.72,2634670.00
04/04/2019,1.77,DLG,1.72,1.81,1.72,2527310.00
03/04/2019,1.72,DLG,1.75,1.78,1.68,3054580.00
02/04/2019,1.75,DLG,1.84,1.85,1.73,5349120.00
01/04/2019,1.82,DLG,1.77,1.87,1.77,4383660.00
29/03/2019,1.75,DLG,1.70,1.76,1.70,2528480.00
28/03/2019,1.69,DLG,1.71,1.76,1.68,3016590.00
27/03/2019,1.66,DLG,1.59,1.66,1.59,2150010.00
26/03/2019,1.56,DLG,1.53,1.59,1.52,1861700.00
25/03/2019,1.52,DLG,1.59,1.62,1.52,4138460.00
22/03/2019,1.63,DLG,1.71,1.73,1.63,3755790.00
21/03/2019,1.70,DLG,1.76,1.78,1.70,2445860.00
20/03/2019,1.76,DLG,1.79,1.79,1.69,3199500.00
19/03/2019,1.79,DLG,1.80,1.84,1.74,3820820.00
18/03/2019,1.80,DLG,1.76,1.80,1.72,3293330.00
15/03/2019,1.73,DLG,1.78,1.81,1.70,10421670.00
14/03/2019,1.70,DLG,1.63,1.70,1.63,4845620.00
13/03/2019,1.59,DLG,1.50,1.59,1.50,5497020.00
12/03/2019,1.49,DLG,1.51,1.53,1.47,2293090.00
11/03/2019,1.50,DLG,1.51,1.53,1.49,3295510.00
08/03/2019,1.53,DLG,1.52,1.59,1.48,3160850.00
07/03/2019,1.56,DLG,1.56,1.59,1.50,3184060.00
06/03/2019,1.57,DLG,1.55,1.57,1.49,9146720.00
05/03/2019,1.47,DLG,1.42,1.47,1.39,4183210.00
04/03/2019,1.38,DLG,1.30,1.38,1.29,4073320.00
01/03/2019,1.29,DLG,1.31,1.32,1.28,1977830.00
28/02/2019,1.29,DLG,1.24,1.32,1.23,3478180.00
27/02/2019,1.24,DLG,1.24,1.25,1.23,1264520.00
26/02/2019,1.24,DLG,1.25,1.26,1.23,1388800.00
25/02/2019,1.25,DLG,1.26,1.26,1.24,1165230.00
22/02/2019,1.25,DLG,1.25,1.26,1.24,1339880.00
21/02/2019,1.26,DLG,1.25,1.26,1.23,1102930.00
20/02/2019,1.25,DLG,1.25,1.28,1.25,800880.00
19/02/2019,1.25,DLG,1.28,1.28,1.25,2608450.00
18/02/2019,1.27,DLG,1.28,1.30,1.26,1727820.00
15/02/2019,1.27,DLG,1.28,1.29,1.27,821370.00
14/02/2019,1.28,DLG,1.30,1.31,1.27,1602330.00
13/02/2019,1.30,DLG,1.30,1.32,1.29,1295860.00
12/02/2019,1.30,DLG,1.30,1.32,1.24,3794250.00
11/02/2019,1.28,DLG,1.31,1.33,1.28,1044310.00
01/02/2019,1.31,DLG,1.30,1.34,1.30,958120.00
31/01/2019,1.32,DLG,1.27,1.32,1.25,1871950.00
30/01/2019,1.29,DLG,1.26,1.30,1.23,1203070.00
29/01/2019,1.25,DLG,1.31,1.31,1.25,1628590.00
28/01/2019,1.30,DLG,1.38,1.39,1.29,16811450.00
25/01/2019,1.38,DLG,1.40,1.42,1.38,1152360.00
24/01/2019,1.41,DLG,1.41,1.42,1.39,563740.00
23/01/2019,1.41,DLG,1.37,1.42,1.36,834920.00
22/01/2019,1.37,DLG,1.41,1.41,1.37,1356720.00
21/01/2019,1.40,DLG,1.44,1.45,1.40,970490.00
18/01/2019,1.44,DLG,1.46,1.48,1.42,739330.00
17/01/2019,1.45,DLG,1.46,1.50,1.45,2107060.00
16/01/2019,1.45,DLG,1.39,1.45,1.38,3239220.00
15/01/2019,1.38,DLG,1.40,1.44,1.38,1237640.00
14/01/2019,1.42,DLG,1.40,1.42,1.38,1391290.00
11/01/2019,1.41,DLG,1.45,1.47,1.41,1331980.00
10/01/2019,1.45,DLG,1.42,1.47,1.42,1644860.00
09/01/2019,1.40,DLG,1.49,1.54,1.37,9184540.00
08/01/2019,1.47,DLG,1.43,1.48,1.43,1102640.00
07/01/2019,1.41,DLG,1.42,1.44,1.40,924680.00
04/01/2019,1.39,DLG,1.44,1.44,1.39,1925210.00
03/01/2019,1.48,DLG,1.48,1.52,1.44,1332850.00
02/01/2019,1.48,DLG,1.55,1.58,1.46,651750.00
28/12/2018,1.52,DLG,1.62,1.65,1.51,5409600.00
27/12/2018,1.62,DLG,1.68,1.68,1.61,1264740.00
26/12/2018,1.61,DLG,1.63,1.68,1.61,1970370.00
25/12/2018,1.69,DLG,1.66,1.71,1.63,1615390.00
24/12/2018,1.74,DLG,1.79,1.83,1.73,2167400.00
21/12/2018,1.74,DLG,1.67,1.74,1.63,4250560.00
20/12/2018,1.63,DLG,1.60,1.63,1.52,4746230.00
19/12/2018,1.63,DLG,1.68,1.69,1.62,579220.00
18/12/2018,1.68,DLG,1.73,1.76,1.67,1207420.00
17/12/2018,1.76,DLG,1.80,1.81,1.75,528070.00
14/12/2018,1.79,DLG,1.80,1.82,1.78,608630.00
13/12/2018,1.79,DLG,1.82,1.83,1.78,911470.00
12/12/2018,1.82,DLG,1.84,1.84,1.79,500260.00
11/12/2018,1.85,DLG,1.83,1.85,1.80,357310.00
10/12/2018,1.86,DLG,1.83,1.86,1.77,1091070.00
07/12/2018,1.85,DLG,1.84,1.85,1.80,681410.00
06/12/2018,1.84,DLG,1.85,1.88,1.78,1010950.00
05/12/2018,1.85,DLG,1.80,1.86,1.75,1167460.00
04/12/2018,1.80,DLG,1.90,1.91,1.77,2397430.00
03/12/2018,1.90,DLG,1.92,1.95,1.89,1331800.00
30/11/2018,1.91,DLG,1.90,1.94,1.88,536590.00
29/11/2018,1.91,DLG,1.91,1.98,1.90,1280370.00
28/11/2018,1.91,DLG,1.92,1.97,1.91,293600.00
27/11/2018,1.94,DLG,1.93,1.98,1.92,392850.00
26/11/2018,1.93,DLG,2.01,2.01,1.93,1919090.00
23/11/2018,2.02,DLG,1.99,2.03,1.98,405000.00
22/11/2018,1.99,DLG,1.99,2.04,1.98,1041950.00
21/11/2018,1.98,DLG,1.96,2.00,1.94,463890.00
20/11/2018,1.96,DLG,2.00,2.01,1.95,1187270.00
19/11/2018,2.00,DLG,2.04,2.05,2.00,1083710.00
16/11/2018,2.03,DLG,2.05,2.05,2.00,694640.00
15/11/2018,2.01,DLG,2.01,2.05,1.99,714530.00
14/11/2018,2.01,DLG,2.03,2.07,2.01,517730.00
13/11/2018,2.05,DLG,1.99,2.08,1.98,1184480.00
12/11/2018,2.00,DLG,2.00,2.04,1.98,1094980.00
09/11/2018,2.03,DLG,2.06,2.07,2.01,896490.00
08/11/2018,2.05,DLG,2.07,2.09,2.03,1277130.00
07/11/2018,2.05,DLG,2.07,2.10,2.00,1832490.00
06/11/2018,2.07,DLG,2.11,2.11,2.06,1081340.00
05/11/2018,2.09,DLG,2.10,2.12,2.09,579080.00
02/11/2018,2.09,DLG,2.12,2.13,2.08,816320.00
01/11/2018,2.10,DLG,2.18,2.19,2.10,892460.00
31/10/2018,2.20,DLG,2.14,2.20,2.09,904830.00
30/10/2018,2.12,DLG,2.12,2.14,2.08,519170.00
29/10/2018,2.12,DLG,2.14,2.15,2.11,443130.00
26/10/2018,2.15,DLG,2.16,2.17,2.11,283300.00
25/10/2018,2.14,DLG,2.12,2.15,2.07,799100.00
24/10/2018,2.17,DLG,2.19,2.22,2.15,692240.00
23/10/2018,2.18,DLG,2.20,2.25,2.12,1319240.00
22/10/2018,2.23,DLG,2.24,2.29,2.22,363480.00
19/10/2018,2.22,DLG,2.25,2.28,2.22,817350.00
18/10/2018,2.27,DLG,2.35,2.35,2.27,2977540.00
17/10/2018,2.35,DLG,2.31,2.35,2.31,387170.00
16/10/2018,2.31,DLG,2.31,2.36,2.30,1653820.00
15/10/2018,2.35,DLG,2.40,2.41,2.30,3701000.00
12/10/2018,2.40,DLG,2.29,2.40,2.26,1423280.00
11/10/2018,2.29,DLG,2.40,2.40,2.29,2618510.00
10/10/2018,2.46,DLG,2.51,2.52,2.45,1899900.00
09/10/2018,2.50,DLG,2.60,2.61,2.49,4532190.00
08/10/2018,2.62,DLG,2.65,2.67,2.62,2835800.00
05/10/2018,2.65,DLG,2.67,2.73,2.65,3027980.00
04/10/2018,2.71,DLG,2.74,2.77,2.65,3025380.00
03/10/2018,2.71,DLG,2.71,2.77,2.71,3799710.00
02/10/2018,2.78,DLG,2.80,2.88,2.71,3713560.00
01/10/2018,2.80,DLG,2.76,2.83,2.74,2936760.00
28/09/2018,2.76,DLG,2.78,2.79,2.74,1133160.00
27/09/2018,2.78,DLG,2.82,2.82,2.76,1559490.00
26/09/2018,2.82,DLG,2.85,2.87,2.80,4254270.00
25/09/2018,2.80,DLG,2.72,2.84,2.68,4163100.00
24/09/2018,2.72,DLG,2.77,2.79,2.70,3438530.00
21/09/2018,2.76,DLG,2.80,2.88,2.75,2198080.00
20/09/2018,2.81,DLG,2.89,2.94,2.81,4197800.00
19/09/2018,2.88,DLG,2.70,2.88,2.70,7057760.00
18/09/2018,2.70,DLG,2.69,2.71,2.65,3264130.00
17/09/2018,2.70,DLG,2.65,2.73,2.63,4084910.00
14/09/2018,2.65,DLG,2.68,2.72,2.65,705380.00
13/09/2018,2.67,DLG,2.67,2.68,2.65,757200.00
12/09/2018,2.66,DLG,2.65,2.66,2.59,658180.00
11/09/2018,2.65,DLG,2.57,2.68,2.57,1135080.00
10/09/2018,2.57,DLG,2.56,2.57,2.54,336090.00
07/09/2018,2.56,DLG,2.54,2.60,2.51,449510.00
