DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
26/04/2019,13.60,DNP,13.60,13.60,13.60,48.00
25/04/2019,13.60,DNP,13.60,13.60,13.60,1000.00
24/04/2019,13.70,DNP,13.70,13.70,13.70,0.00
23/04/2019,13.70,DNP,13.50,13.70,13.20,9800.00
22/04/2019,13.60,DNP,13.60,13.60,13.60,16600.00
19/04/2019,13.60,DNP,13.50,13.60,13.50,2400.00
18/04/2019,13.50,DNP,13.50,13.50,13.50,5580.00
17/04/2019,13.50,DNP,13.60,13.60,13.50,1400.00
16/04/2019,13.60,DNP,13.60,13.60,13.60,60.00
12/04/2019,13.60,DNP,13.50,13.80,13.50,2060.00
11/04/2019,13.50,DNP,13.70,13.70,13.40,842.00
10/04/2019,13.50,DNP,13.40,13.90,13.40,15020.00
09/04/2019,13.50,DNP,13.50,13.50,13.40,24775.00
08/04/2019,13.50,DNP,13.50,13.60,13.50,5642.00
05/04/2019,13.60,DNP,13.60,13.60,13.60,250.00
04/04/2019,13.60,DNP,13.80,14.00,13.60,7900.00
03/04/2019,13.90,DNP,13.90,13.90,13.80,6100.00
02/04/2019,13.90,DNP,13.90,15.30,13.80,58969.00
01/04/2019,14.00,DNP,14.00,14.10,14.00,21000.00
29/03/2019,14.60,DNP,14.50,14.80,14.50,43300.00
28/03/2019,15.70,DNP,13.30,15.70,13.20,150000.00
27/03/2019,14.30,DNP,14.30,14.30,14.30,13084.00
26/03/2019,15.60,DNP,13.50,15.60,13.50,43700.00
25/03/2019,14.50,DNP,13.10,14.50,13.10,24141.00
22/03/2019,13.60,DNP,13.30,13.70,13.30,32602.00
21/03/2019,13.20,DNP,13.10,13.30,13.00,24500.00
20/03/2019,13.20,DNP,13.10,13.50,13.10,19402.00
19/03/2019,13.50,DNP,13.50,13.50,13.50,3200.00
18/03/2019,13.40,DNP,13.90,13.90,13.40,5204.00
15/03/2019,14.00,DNP,13.30,14.00,13.10,23114.00
14/03/2019,13.50,DNP,13.80,13.90,13.50,22700.00
13/03/2019,13.90,DNP,13.60,13.90,13.50,10903.00
12/03/2019,13.80,DNP,13.80,13.80,13.80,2000.00
11/03/2019,13.80,DNP,14.20,14.20,13.80,400.00
08/03/2019,14.20,DNP,14.20,14.20,14.20,0.00
07/03/2019,14.20,DNP,14.20,14.20,14.20,10.00
