DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
26/04/2019,15.60,DNW,15.60,15.60,15.60,1000.00
25/04/2019,15.50,DNW,14.80,16.50,14.80,12400.00
24/04/2019,15.50,DNW,14.50,15.50,14.50,3100.00
23/04/2019,15.50,DNW,14.50,15.50,14.50,2300.00
22/04/2019,15.60,DNW,14.50,15.60,14.50,1300.00
19/04/2019,15.50,DNW,14.80,15.50,14.80,1300.00
18/04/2019,15.90,DNW,13.80,15.90,13.80,10300.00
17/04/2019,15.50,DNW,14.50,15.50,14.30,600.00
16/04/2019,16.00,DNW,14.30,16.00,14.30,400.00
12/04/2019,15.50,DNW,15.00,15.50,15.00,300.00
11/04/2019,16.00,DNW,14.30,16.00,14.30,7500.00
10/04/2019,15.00,DNW,13.20,15.50,13.20,15900.00
09/04/2019,14.80,DNW,11.60,14.80,11.60,10200.00
08/04/2019,14.70,DNW,11.50,14.70,11.50,3500.00
05/04/2019,16.00,DNW,12.50,16.00,12.50,1100.00
04/04/2019,15.80,DNW,12.10,15.80,12.10,3200.00
03/04/2019,15.00,DNW,14.10,15.50,13.10,3700.00
02/04/2019,15.20,DNW,14.00,15.20,14.00,600.00
01/04/2019,15.00,DNW,14.00,16.00,12.20,20400.00
29/03/2019,15.50,DNW,14.90,16.60,14.20,17310.00
28/03/2019,16.80,DNW,14.80,16.90,14.80,1300.00
27/03/2019,16.80,DNW,16.70,16.80,16.70,3400.00
26/03/2019,16.90,DNW,14.00,17.00,13.60,25100.00
25/03/2019,16.00,DNW,17.00,17.00,14.20,14000.00
22/03/2019,16.80,DNW,17.90,17.90,15.80,7900.00
21/03/2019,17.50,DNW,17.50,17.50,17.50,1000.00
20/03/2019,17.80,DNW,17.00,17.80,17.00,15100.00
19/03/2019,17.00,DNW,17.10,17.10,17.00,1500.00
18/03/2019,17.50,DNW,16.60,17.50,16.60,2600.00
15/03/2019,17.00,DNW,17.50,17.50,17.00,4100.00
14/03/2019,17.00,DNW,17.00,17.50,17.00,6800.00
13/03/2019,17.80,DNW,15.40,17.80,15.40,26300.00
12/03/2019,15.00,DNW,16.00,16.00,15.00,1002.00
11/03/2019,15.10,DNW,15.10,15.10,15.10,500.00
08/03/2019,14.00,DNW,14.00,14.00,14.00,10903.00
07/03/2019,14.10,DNW,14.00,14.10,13.70,15104.00
06/03/2019,13.80,DNW,13.40,13.80,13.40,4200.00
05/03/2019,13.20,DNW,13.20,13.20,13.20,1000.00
04/03/2019,13.00,DNW,13.00,13.00,13.00,403.00
01/03/2019,13.00,DNW,13.00,13.00,12.90,12800.00
28/02/2019,12.80,DNW,12.80,12.80,12.80,300.00
27/02/2019,12.80,DNW,12.80,12.80,12.80,1800.00
26/02/2019,12.80,DNW,13.00,13.00,12.80,14012.00
25/02/2019,12.80,DNW,12.60,12.80,12.60,4400.00
22/02/2019,12.40,DNW,12.40,12.40,12.40,0.00
21/02/2019,12.30,DNW,13.00,13.00,12.30,3100.00
20/02/2019,12.30,DNW,12.40,12.40,12.30,500.00
19/02/2019,12.30,DNW,13.00,13.00,12.30,600.00
18/02/2019,12.00,DNW,12.00,12.00,12.00,0.00
15/02/2019,12.00,DNW,12.00,12.00,12.00,0.00
14/02/2019,12.00,DNW,12.00,12.00,12.00,200.00
13/02/2019,12.50,DNW,12.50,12.50,12.50,0.00
12/02/2019,12.50,DNW,12.50,12.50,12.50,0.00
11/02/2019,12.50,DNW,12.50,12.50,12.50,0.00
01/02/2019,12.50,DNW,12.50,12.50,12.50,0.00
31/01/2019,12.50,DNW,12.50,12.50,12.50,100.00
30/01/2019,12.50,DNW,12.50,12.50,12.50,600.00
29/01/2019,12.20,DNW,12.20,12.20,12.20,0.00
28/01/2019,12.20,DNW,12.20,12.20,12.20,100.00
25/01/2019,12.00,DNW,12.00,12.00,12.00,0.00
24/01/2019,12.00,DNW,12.00,12.00,12.00,0.00
23/01/2019,12.00,DNW,12.00,12.00,12.00,0.00
22/01/2019,12.00,DNW,12.00,12.00,12.00,0.00
21/01/2019,12.00,DNW,12.00,12.00,12.00,600.00
18/01/2019,12.00,DNW,12.00,12.00,12.00,2200.00
17/01/2019,12.30,DNW,12.30,12.30,12.30,0.00
16/01/2019,12.30,DNW,12.30,12.30,12.30,0.00
15/01/2019,12.30,DNW,12.30,12.30,12.30,0.00
