DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
26/04/2019,5.90,DNY,5.90,5.90,5.90,100.00
25/04/2019,5.40,DNY,5.40,5.40,5.40,0.00
24/04/2019,5.40,DNY,5.40,5.40,5.40,0.00
23/04/2019,5.40,DNY,5.40,5.40,5.40,0.00
22/04/2019,5.40,DNY,5.40,5.40,5.40,2.00
19/04/2019,5.40,DNY,5.40,5.40,5.40,51600.00
18/04/2019,5.90,DNY,5.90,5.90,5.90,0.00
17/04/2019,5.90,DNY,5.90,5.90,5.90,0.00
16/04/2019,5.90,DNY,6.00,6.00,5.90,2700.00
12/04/2019,5.50,DNY,5.50,5.50,5.50,103.00
11/04/2019,5.00,DNY,5.00,5.00,5.00,0.00
10/04/2019,5.00,DNY,5.00,5.00,5.00,2900.00
09/04/2019,4.80,DNY,4.80,4.80,4.80,3000.00
08/04/2019,4.40,DNY,4.40,4.40,4.40,100.00
05/04/2019,4.00,DNY,3.70,4.00,3.70,1400.00
04/04/2019,3.70,DNY,3.70,3.70,3.70,100.00
03/04/2019,3.40,DNY,3.40,3.40,3.40,100.00
02/04/2019,3.10,DNY,3.10,3.10,3.10,1103.00
01/04/2019,2.90,DNY,2.90,2.90,2.90,100.00
29/03/2019,2.70,DNY,2.70,2.70,2.70,0.00
28/03/2019,2.70,DNY,2.70,2.70,2.70,0.00
27/03/2019,2.70,DNY,2.70,2.70,2.70,0.00
26/03/2019,2.70,DNY,2.70,2.70,2.70,103.00
25/03/2019,2.80,DNY,2.80,2.80,2.80,100.00
22/03/2019,3.00,DNY,3.00,3.00,3.00,45.00
21/03/2019,3.00,DNY,3.00,3.00,3.00,0.00
20/03/2019,3.00,DNY,3.00,3.00,3.00,0.00
19/03/2019,3.00,DNY,3.00,3.00,3.00,210.00
18/03/2019,3.30,DNY,3.30,3.30,3.30,0.00
15/03/2019,3.30,DNY,3.30,3.30,3.30,0.00
14/03/2019,3.30,DNY,3.30,3.30,3.30,0.00
13/03/2019,3.30,DNY,3.30,3.30,3.30,5.00
12/03/2019,3.30,DNY,3.30,3.30,3.30,100.00
11/03/2019,3.60,DNY,3.60,3.60,3.60,0.00
08/03/2019,3.60,DNY,3.60,3.60,3.60,0.00
07/03/2019,3.60,DNY,3.00,3.60,3.00,1600.00
06/03/2019,3.30,DNY,3.30,3.30,3.30,100.00
05/03/2019,3.30,DNY,3.30,3.30,3.30,0.00
04/03/2019,3.30,DNY,3.30,3.30,3.30,0.00
01/03/2019,3.30,DNY,3.30,3.30,3.30,100.00
28/02/2019,3.30,DNY,3.30,3.30,3.30,0.00
27/02/2019,3.30,DNY,3.30,3.30,3.30,100.00
26/02/2019,3.20,DNY,3.20,3.20,3.20,0.00
25/02/2019,3.20,DNY,3.20,3.20,3.20,0.00
22/02/2019,3.20,DNY,3.20,3.20,3.20,0.00
21/02/2019,3.20,DNY,3.20,3.20,3.20,0.00
20/02/2019,3.20,DNY,3.20,3.20,3.20,0.00
19/02/2019,3.20,DNY,3.20,3.20,3.20,0.00
18/02/2019,3.20,DNY,3.20,3.20,3.20,0.00
15/02/2019,3.20,DNY,3.20,3.20,3.20,53900.00
14/02/2019,3.50,DNY,3.50,3.50,3.50,0.00
13/02/2019,3.50,DNY,3.50,3.50,3.50,0.00
12/02/2019,3.50,DNY,3.50,3.50,3.50,0.00
11/02/2019,3.50,DNY,3.50,3.50,3.50,0.00
01/02/2019,3.50,DNY,3.50,3.50,3.50,0.00
31/01/2019,3.50,DNY,3.50,3.50,3.50,0.00
30/01/2019,3.50,DNY,3.50,3.50,3.50,0.00
29/01/2019,3.50,DNY,3.50,3.50,3.50,0.00
28/01/2019,3.50,DNY,3.50,3.50,3.50,100.00
25/01/2019,3.20,DNY,3.20,3.20,3.20,0.00
24/01/2019,3.20,DNY,3.20,3.20,3.20,161900.00
23/01/2019,3.50,DNY,3.50,3.50,3.50,0.00
22/01/2019,3.50,DNY,3.50,3.50,3.50,0.00
21/01/2019,3.50,DNY,3.50,3.50,3.50,100.00
18/01/2019,3.20,DNY,3.20,3.20,3.20,0.00
17/01/2019,3.20,DNY,3.20,3.20,3.20,0.00
16/01/2019,3.20,DNY,3.20,3.20,3.20,300.00
15/01/2019,3.20,DNY,3.20,3.20,3.20,0.00
14/01/2019,3.20,DNY,3.20,3.20,3.20,0.00
11/01/2019,3.20,DNY,3.50,3.50,3.20,200.00
10/01/2019,3.30,DNY,3.30,3.30,3.30,0.00
09/01/2019,3.30,DNY,3.30,3.30,3.30,0.00
08/01/2019,3.30,DNY,3.30,3.30,3.30,100.00
07/01/2019,3.60,DNY,3.60,3.60,3.60,0.00
04/01/2019,3.60,DNY,3.60,3.60,3.60,0.00
03/01/2019,3.60,DNY,3.60,3.60,3.60,0.00
02/01/2019,3.60,DNY,3.60,3.60,3.60,0.00
28/12/2018,3.60,DNY,3.60,3.60,3.60,0.00
