DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
26/04/2019,60.80,DPG,59.60,60.80,59.60,25590.00
25/04/2019,60.60,DPG,60.50,61.00,60.40,35140.00
24/04/2019,60.50,DPG,59.80,61.40,59.80,114040.00
23/04/2019,58.30,DPG,56.90,58.40,56.90,30390.00
22/04/2019,56.90,DPG,56.50,57.60,56.50,139520.00
19/04/2019,58.00,DPG,58.00,58.30,57.80,27360.00
18/04/2019,57.90,DPG,58.00,58.30,57.60,41530.00
17/04/2019,58.00,DPG,59.00,60.00,58.00,45010.00
16/04/2019,58.90,DPG,59.00,59.00,58.30,60540.00
12/04/2019,59.00,DPG,58.30,61.80,58.30,26830.00
11/04/2019,58.30,DPG,58.00,59.00,58.00,22160.00
10/04/2019,57.80,DPG,59.60,59.60,57.30,88590.00
09/04/2019,59.70,DPG,61.90,61.90,59.70,55090.00
08/04/2019,60.90,DPG,60.30,62.00,60.30,29690.00
05/04/2019,62.20,DPG,62.00,63.00,61.00,89930.00
04/04/2019,61.40,DPG,58.00,61.40,57.50,157830.00
03/04/2019,58.00,DPG,59.50,59.50,57.50,90540.00
02/04/2019,58.90,DPG,59.00,61.00,58.00,89600.00
01/04/2019,59.00,DPG,59.00,61.00,57.40,235890.00
29/03/2019,59.00,DPG,61.20,61.50,59.00,177620.00
28/03/2019,61.20,DPG,62.00,62.80,61.10,86720.00
27/03/2019,62.80,DPG,61.50,63.90,61.50,76480.00
26/03/2019,62.80,DPG,63.00,63.70,61.00,229320.00
25/03/2019,63.00,DPG,58.30,64.00,58.30,192430.00
22/03/2019,60.50,DPG,63.00,63.00,58.20,138260.00
21/03/2019,61.60,DPG,59.90,61.70,59.00,459770.00
20/03/2019,57.70,DPG,57.70,57.70,57.00,376350.00
19/03/2019,54.00,DPG,53.30,54.80,52.80,282660.00
18/03/2019,53.20,DPG,52.00,53.50,51.80,147290.00
15/03/2019,52.00,DPG,52.30,52.30,51.50,53220.00
14/03/2019,52.00,DPG,51.00,52.00,50.60,104260.00
13/03/2019,50.50,DPG,49.65,51.30,49.65,132650.00
12/03/2019,49.65,DPG,48.10,49.65,48.10,83840.00
11/03/2019,48.90,DPG,49.65,49.70,48.75,66320.00
08/03/2019,49.50,DPG,47.75,49.50,47.75,217680.00
07/03/2019,47.75,DPG,47.20,47.90,47.20,88920.00
06/03/2019,47.20,DPG,47.15,47.80,47.15,85080.00
05/03/2019,47.15,DPG,47.10,47.90,47.00,20700.00
04/03/2019,47.10,DPG,46.20,48.20,46.20,83420.00
01/03/2019,47.50,DPG,46.80,48.00,46.10,79160.00
28/02/2019,46.00,DPG,46.50,47.40,46.00,156240.00
27/02/2019,47.10,DPG,46.70,47.50,46.00,50130.00
26/02/2019,46.80,DPG,48.30,49.00,46.50,207030.00
25/02/2019,47.60,DPG,44.50,47.60,44.50,217180.00
22/02/2019,44.50,DPG,44.00,44.60,44.00,76250.00
21/02/2019,44.50,DPG,44.40,44.80,44.30,24920.00
20/02/2019,44.50,DPG,43.60,44.50,43.60,13240.00
19/02/2019,44.40,DPG,45.00,45.00,43.60,57510.00
18/02/2019,44.50,DPG,44.50,45.00,44.30,31260.00
15/02/2019,44.90,DPG,44.10,45.10,43.50,65630.00
14/02/2019,45.00,DPG,45.10,45.10,44.60,28130.00
13/02/2019,44.90,DPG,44.10,45.80,44.10,34290.00
12/02/2019,44.10,DPG,44.40,44.40,43.50,240170.00
11/02/2019,44.50,DPG,46.00,46.00,43.70,67170.00
01/02/2019,45.00,DPG,45.50,45.50,44.60,33610.00
31/01/2019,45.00,DPG,44.00,45.40,43.90,64780.00
30/01/2019,44.00,DPG,43.60,44.50,42.80,29470.00
29/01/2019,43.85,DPG,44.70,44.80,43.60,48680.00
28/01/2019,44.70,DPG,39.40,45.30,39.40,207450.00
25/01/2019,42.35,DPG,44.10,45.20,42.35,307880.00
24/01/2019,45.50,DPG,48.40,48.40,45.00,329480.00
23/01/2019,46.80,DPG,47.00,47.00,44.80,209720.00
22/01/2019,46.80,DPG,43.50,46.80,43.50,238080.00
21/01/2019,46.70,DPG,47.50,47.50,46.70,283300.00
18/01/2019,50.20,DPG,53.10,53.20,50.20,198230.00
17/01/2019,53.90,DPG,56.50,56.50,52.20,164080.00
16/01/2019,56.00,DPG,56.00,57.00,55.60,85390.00
15/01/2019,56.00,DPG,55.80,56.90,54.90,188820.00
14/01/2019,55.70,DPG,57.00,57.00,55.00,87880.00
11/01/2019,56.70,DPG,53.70,57.00,53.70,243300.00
10/01/2019,54.40,DPG,51.40,54.50,50.80,198720.00
09/01/2019,51.00,DPG,51.40,51.40,50.30,31990.00
08/01/2019,50.80,DPG,50.90,50.90,50.50,13770.00
07/01/2019,50.70,DPG,50.80,51.30,50.00,105370.00
04/01/2019,50.70,DPG,49.70,50.70,49.50,19000.00
03/01/2019,50.80,DPG,50.50,51.00,49.80,82980.00
02/01/2019,51.10,DPG,50.00,51.90,49.50,224590.00
28/12/2018,50.90,DPG,51.20,51.30,50.00,9530.00
27/12/2018,50.90,DPG,51.50,51.50,50.00,108900.00
26/12/2018,50.30,DPG,51.00,51.00,49.00,43240.00
25/12/2018,50.00,DPG,50.00,50.50,49.20,38830.00
24/12/2018,50.60,DPG,50.50,50.80,50.00,24410.00
21/12/2018,50.00,DPG,49.50,50.00,49.20,5130.00
20/12/2018,50.00,DPG,50.00,50.50,49.20,38550.00
19/12/2018,50.30,DPG,50.50,51.20,50.00,48480.00
18/12/2018,50.50,DPG,51.50,51.50,49.80,118950.00
17/12/2018,51.90,DPG,52.00,52.00,50.50,31730.00
14/12/2018,52.40,DPG,51.00,52.60,50.30,221140.00
13/12/2018,52.60,DPG,52.20,53.30,52.20,124950.00
12/12/2018,52.10,DPG,51.70,52.40,51.70,69280.00
11/12/2018,52.10,DPG,52.00,52.70,51.30,86390.00
10/12/2018,52.00,DPG,51.20,52.10,51.20,79010.00
07/12/2018,51.20,DPG,52.00,52.00,50.50,65340.00
06/12/2018,50.20,DPG,50.00,50.50,49.00,30090.00
05/12/2018,50.00,DPG,49.80,50.00,49.00,78110.00
04/12/2018,49.90,DPG,49.70,51.80,49.50,46400.00
03/12/2018,50.20,DPG,47.00,50.20,46.50,179290.00
30/11/2018,47.00,DPG,47.00,47.10,46.20,44490.00
29/11/2018,46.90,DPG,47.90,47.90,46.30,41970.00
28/11/2018,46.90,DPG,47.40,47.40,45.30,72550.00
27/11/2018,47.40,DPG,48.00,48.30,47.00,20050.00
26/11/2018,48.40,DPG,49.80,49.80,47.80,26490.00
23/11/2018,48.40,DPG,48.40,48.90,48.00,37960.00
22/11/2018,48.50,DPG,49.10,50.00,47.90,44210.00
21/11/2018,48.00,DPG,48.50,49.40,48.00,70530.00
20/11/2018,48.25,DPG,45.10,48.25,45.10,61820.00
19/11/2018,45.10,DPG,44.20,45.40,44.20,25510.00
