DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
26/04/2019,22.50,DPH,22.50,22.50,22.50,100.00
25/04/2019,22.50,DPH,22.50,22.50,22.50,0.00
24/04/2019,22.50,DPH,22.50,22.50,22.50,0.00
23/04/2019,22.50,DPH,22.50,22.50,22.50,84.00
22/04/2019,22.50,DPH,22.50,22.50,22.50,0.00
19/04/2019,22.50,DPH,22.50,22.50,22.50,0.00
18/04/2019,22.50,DPH,22.50,22.50,22.50,0.00
17/04/2019,22.50,DPH,22.50,22.50,22.50,100.00
16/04/2019,20.50,DPH,20.50,20.50,20.50,0.00
12/04/2019,20.50,DPH,20.50,20.50,20.50,0.00
11/04/2019,20.50,DPH,20.50,20.50,20.50,84.00
10/04/2019,23.00,DPH,20.50,23.00,20.50,9357.00
09/04/2019,23.00,DPH,23.00,23.00,23.00,0.00
08/04/2019,23.00,DPH,23.00,23.00,23.00,500.00
05/04/2019,23.00,DPH,23.00,23.00,23.00,500.00
04/04/2019,22.50,DPH,20.10,23.00,20.10,2200.00
03/04/2019,23.00,DPH,23.00,23.00,23.00,0.00
02/04/2019,23.00,DPH,23.00,23.00,23.00,100.00
01/04/2019,20.50,DPH,20.50,20.50,20.50,0.00
29/03/2019,20.50,DPH,20.50,20.50,20.50,0.00
28/03/2019,20.50,DPH,20.50,20.50,20.50,0.00
27/03/2019,20.50,DPH,20.50,20.50,20.50,0.00
26/03/2019,20.50,DPH,20.50,20.50,20.50,32.00
25/03/2019,20.50,DPH,20.50,20.50,20.50,0.00
22/03/2019,20.50,DPH,20.50,20.50,20.50,0.00
21/03/2019,20.50,DPH,20.50,20.50,20.50,0.00
20/03/2019,20.50,DPH,20.50,20.50,20.50,0.00
19/03/2019,20.50,DPH,20.50,20.50,20.50,0.00
18/03/2019,20.50,DPH,20.50,20.50,20.50,500.00
15/03/2019,20.20,DPH,20.10,20.20,20.10,932.00
14/03/2019,20.70,DPH,20.70,20.70,20.70,0.00
13/03/2019,20.90,DPH,20.50,20.90,20.50,200.00
12/03/2019,20.30,DPH,20.30,20.30,20.30,0.00
11/03/2019,20.30,DPH,20.30,20.30,20.30,1.00
08/03/2019,20.90,DPH,20.00,20.90,20.00,1400.00
07/03/2019,20.00,DPH,20.00,20.00,20.00,0.00
06/03/2019,20.00,DPH,20.00,20.00,20.00,0.00
05/03/2019,20.00,DPH,20.00,20.00,20.00,0.00
04/03/2019,20.00,DPH,20.00,20.00,20.00,0.00
01/03/2019,20.00,DPH,20.00,20.00,20.00,0.00
28/02/2019,20.00,DPH,20.00,20.00,20.00,0.00
27/02/2019,20.00,DPH,20.00,20.00,20.00,35.00
26/02/2019,20.00,DPH,20.00,20.00,20.00,0.00
25/02/2019,20.00,DPH,20.00,20.00,20.00,0.00
22/02/2019,20.00,DPH,20.00,20.00,20.00,0.00
21/02/2019,20.00,DPH,20.00,20.00,20.00,0.00
20/02/2019,20.00,DPH,20.00,20.00,20.00,0.00
19/02/2019,20.00,DPH,20.00,20.00,20.00,0.00
18/02/2019,20.00,DPH,20.00,20.00,20.00,300.00
15/02/2019,20.00,DPH,20.00,20.00,20.00,0.00
14/02/2019,20.00,DPH,20.00,20.00,20.00,100.00
13/02/2019,20.50,DPH,20.50,20.50,20.50,0.00
12/02/2019,20.50,DPH,20.50,20.50,20.50,0.00
