DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
26/04/2019,18.00,DPM,17.90,18.00,17.80,139400.00
25/04/2019,18.05,DPM,18.00,18.10,17.80,78770.00
24/04/2019,18.00,DPM,17.70,18.10,17.70,216350.00
23/04/2019,17.70,DPM,17.05,17.85,17.05,473710.00
22/04/2019,17.05,DPM,17.60,17.60,17.05,237300.00
19/04/2019,17.55,DPM,17.55,17.55,17.35,286000.00
18/04/2019,17.55,DPM,17.95,18.05,17.55,360340.00
17/04/2019,18.05,DPM,18.20,18.20,18.00,138850.00
16/04/2019,18.10,DPM,18.30,18.30,17.90,416160.00
12/04/2019,18.30,DPM,18.35,18.35,18.15,214390.00
11/04/2019,18.20,DPM,18.40,18.50,18.15,138330.00
10/04/2019,18.20,DPM,18.60,18.60,18.20,350220.00
09/04/2019,18.60,DPM,19.00,19.00,18.60,210460.00
08/04/2019,18.95,DPM,18.60,19.10,18.60,184270.00
05/04/2019,18.60,DPM,18.80,18.80,18.50,312790.00
04/04/2019,18.80,DPM,19.20,19.20,18.70,540170.00
03/04/2019,19.20,DPM,19.20,19.30,19.15,159210.00
02/04/2019,19.25,DPM,19.55,19.55,19.20,110820.00
01/04/2019,19.55,DPM,19.50,19.60,19.25,185990.00
29/03/2019,19.60,DPM,19.25,19.60,19.20,529750.00
28/03/2019,19.25,DPM,19.85,19.85,19.10,543230.00
27/03/2019,19.80,DPM,19.85,19.90,19.75,114070.00
26/03/2019,19.85,DPM,19.80,19.85,19.70,226520.00
25/03/2019,19.80,DPM,19.60,19.95,19.60,599930.00
22/03/2019,20.00,DPM,20.00,20.20,19.90,228440.00
21/03/2019,20.00,DPM,20.30,20.30,19.80,323220.00
20/03/2019,20.20,DPM,20.05,20.20,19.95,268210.00
19/03/2019,20.05,DPM,20.30,20.35,19.95,517420.00
18/03/2019,20.45,DPM,20.20,20.50,20.20,437670.00
15/03/2019,20.15,DPM,20.50,20.55,20.15,471830.00
14/03/2019,20.40,DPM,20.50,20.60,20.40,325250.00
13/03/2019,20.50,DPM,20.80,20.90,20.50,405210.00
12/03/2019,20.75,DPM,20.40,20.75,20.40,334680.00
11/03/2019,20.40,DPM,20.50,20.55,20.35,249210.00
08/03/2019,20.40,DPM,20.40,20.60,20.30,271050.00
07/03/2019,20.60,DPM,20.90,20.95,20.50,410470.00
06/03/2019,20.90,DPM,20.90,20.90,20.65,122570.00
05/03/2019,20.80,DPM,20.45,20.80,20.40,533880.00
04/03/2019,20.45,DPM,20.50,20.60,20.30,458130.00
01/03/2019,20.45,DPM,20.80,20.80,20.35,169600.00
28/02/2019,20.40,DPM,20.40,20.85,20.40,496750.00
27/02/2019,20.40,DPM,20.65,20.65,20.35,622870.00
26/02/2019,20.85,DPM,21.20,21.20,20.70,581280.00
25/02/2019,21.00,DPM,20.90,21.60,20.90,510760.00
22/02/2019,20.90,DPM,21.90,21.90,20.75,1910900.00
21/02/2019,21.90,DPM,22.80,22.90,21.40,1295960.00
20/02/2019,22.90,DPM,22.80,23.00,22.75,591800.00
19/02/2019,22.90,DPM,22.70,23.30,22.70,1193410.00
18/02/2019,22.70,DPM,22.90,23.00,22.65,770710.00
15/02/2019,23.00,DPM,23.30,23.30,22.90,1027640.00
14/02/2019,23.30,DPM,23.50,23.70,23.30,656110.00
13/02/2019,23.45,DPM,23.00,23.60,22.70,1422570.00
12/02/2019,22.60,DPM,22.55,22.60,22.40,753200.00
11/02/2019,22.55,DPM,22.50,22.60,22.30,368970.00
01/02/2019,22.40,DPM,22.50,22.70,22.30,357420.00
31/01/2019,22.70,DPM,22.70,23.00,22.60,695140.00
30/01/2019,22.70,DPM,22.90,22.90,22.50,138830.00
29/01/2019,22.90,DPM,22.20,22.90,21.75,610910.00
28/01/2019,22.20,DPM,21.80,22.40,21.70,257550.00
