DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
26/04/2019,37.75,DPR,37.70,37.75,37.50,15500.00
25/04/2019,37.75,DPR,37.80,37.80,37.30,36290.00
24/04/2019,37.80,DPR,37.70,37.80,37.30,15820.00
23/04/2019,37.70,DPR,37.90,37.90,37.00,24110.00
22/04/2019,37.00,DPR,37.20,37.50,36.50,137500.00
19/04/2019,37.70,DPR,37.90,37.90,37.30,28100.00
18/04/2019,37.90,DPR,37.90,37.90,37.50,22590.00
17/04/2019,37.90,DPR,37.45,38.70,37.45,21370.00
16/04/2019,37.45,DPR,37.60,37.65,37.00,34380.00
12/04/2019,37.60,DPR,38.20,38.80,37.50,109890.00
11/04/2019,38.80,DPR,38.75,39.20,38.15,33950.00
10/04/2019,39.00,DPR,39.60,39.60,38.65,29540.00
09/04/2019,39.60,DPR,38.70,39.60,38.70,52850.00
08/04/2019,39.40,DPR,39.00,39.50,38.80,76600.00
05/04/2019,39.20,DPR,40.00,40.00,39.00,80570.00
04/04/2019,40.00,DPR,38.80,40.00,38.40,124860.00
03/04/2019,38.40,DPR,38.00,38.40,37.80,72400.00
02/04/2019,38.00,DPR,37.95,38.20,37.55,92070.00
01/04/2019,37.50,DPR,37.00,37.50,37.00,58270.00
29/03/2019,37.00,DPR,37.00,37.20,36.75,39020.00
28/03/2019,36.95,DPR,37.10,37.40,36.85,47150.00
27/03/2019,37.45,DPR,37.70,37.75,36.80,73040.00
26/03/2019,37.20,DPR,37.45,37.50,36.10,98100.00
25/03/2019,36.10,DPR,38.20,38.90,36.10,238160.00
22/03/2019,38.80,DPR,40.70,40.80,38.80,155820.00
21/03/2019,41.20,DPR,41.00,41.60,40.50,56630.00
20/03/2019,41.00,DPR,40.50,41.00,40.00,103090.00
19/03/2019,40.50,DPR,41.80,42.50,40.50,186400.00
18/03/2019,41.85,DPR,41.85,42.00,41.50,62390.00
15/03/2019,41.85,DPR,42.30,42.30,41.60,29050.00
14/03/2019,42.30,DPR,42.40,42.50,41.70,48760.00
13/03/2019,42.40,DPR,42.20,43.00,41.20,141310.00
12/03/2019,42.20,DPR,42.00,42.30,41.80,132450.00
11/03/2019,41.75,DPR,40.20,41.75,40.00,222170.00
08/03/2019,40.20,DPR,39.85,41.15,39.00,135400.00
07/03/2019,39.85,DPR,40.50,41.00,39.80,115660.00
06/03/2019,40.70,DPR,40.80,40.80,39.80,32380.00
05/03/2019,40.80,DPR,40.60,41.00,40.50,125430.00
04/03/2019,40.80,DPR,40.50,41.25,40.45,134970.00
01/03/2019,40.45,DPR,40.35,40.50,39.20,87140.00
28/02/2019,39.10,DPR,40.90,41.40,39.10,64000.00
27/02/2019,40.70,DPR,40.00,40.75,39.95,174200.00
26/02/2019,40.00,DPR,40.00,40.10,39.50,49670.00
25/02/2019,40.00,DPR,39.00,40.50,38.85,153470.00
22/02/2019,39.00,DPR,38.40,39.45,38.40,129870.00
21/02/2019,38.80,DPR,39.00,39.45,38.30,45460.00
20/02/2019,39.00,DPR,38.70,40.00,38.50,144750.00
19/02/2019,38.55,DPR,39.50,39.50,38.55,93150.00
18/02/2019,39.50,DPR,38.00,39.50,37.60,117040.00
15/02/2019,38.00,DPR,37.60,38.00,37.40,92350.00
14/02/2019,37.80,DPR,37.80,37.90,37.40,68590.00
13/02/2019,37.85,DPR,37.60,38.20,37.60,110790.00
12/02/2019,37.80,DPR,37.00,37.90,37.00,278760.00
11/02/2019,37.20,DPR,35.80,37.25,35.80,205960.00
01/02/2019,35.90,DPR,35.85,36.00,35.50,60380.00
31/01/2019,35.55,DPR,35.70,36.00,35.55,52800.00
30/01/2019,35.70,DPR,36.05,36.10,35.70,108270.00
29/01/2019,36.05,DPR,34.90,36.50,34.70,118290.00
28/01/2019,34.90,DPR,34.90,34.90,34.70,21860.00
25/01/2019,34.90,DPR,34.90,35.55,34.80,69330.00
24/01/2019,34.90,DPR,35.00,35.20,34.55,78100.00
23/01/2019,34.80,DPR,35.50,35.50,34.75,159530.00
22/01/2019,35.50,DPR,35.90,36.25,35.30,69730.00
21/01/2019,35.70,DPR,34.50,35.75,34.50,254190.00
18/01/2019,34.50,DPR,33.45,34.50,33.20,263460.00
17/01/2019,33.45,DPR,32.90,33.50,32.85,31130.00
16/01/2019,33.20,DPR,33.25,33.30,32.80,40100.00
15/01/2019,33.10,DPR,32.80,33.35,32.60,87920.00
14/01/2019,32.60,DPR,32.30,32.75,32.30,64170.00
11/01/2019,32.30,DPR,32.00,32.60,32.00,39950.00
10/01/2019,31.70,DPR,32.10,32.20,31.70,45410.00
09/01/2019,32.00,DPR,31.80,32.50,31.70,26890.00
08/01/2019,31.80,DPR,31.80,31.80,31.20,78700.00
07/01/2019,31.80,DPR,32.55,32.55,31.80,6840.00
04/01/2019,31.95,DPR,31.75,32.00,31.50,24900.00
03/01/2019,31.80,DPR,31.55,31.85,31.50,27610.00
02/01/2019,31.55,DPR,31.80,32.20,31.55,7100.00
28/12/2018,31.80,DPR,31.95,31.95,31.50,20520.00
27/12/2018,31.70,DPR,31.65,32.20,31.65,20380.00
26/12/2018,31.50,DPR,31.65,31.65,31.00,39760.00
25/12/2018,31.65,DPR,31.05,32.70,31.05,47720.00
24/12/2018,32.75,DPR,32.75,32.95,32.65,38980.00
21/12/2018,33.00,DPR,33.15,33.15,32.50,43890.00
20/12/2018,37.15,DPR,37.20,37.20,36.90,80490.00
19/12/2018,37.15,DPR,37.10,37.25,37.00,75910.00
18/12/2018,37.10,DPR,37.05,37.30,36.70,95000.00
17/12/2018,37.25,DPR,37.10,37.55,37.00,106490.00
14/12/2018,37.00,DPR,36.80,37.10,36.80,55140.00
13/12/2018,36.75,DPR,36.65,36.75,36.40,61980.00
12/12/2018,36.65,DPR,36.40,36.65,36.30,65620.00
11/12/2018,36.30,DPR,36.10,36.30,36.00,64910.00
10/12/2018,36.10,DPR,36.00,36.25,35.95,26850.00
07/12/2018,35.95,DPR,36.00,36.00,35.35,153260.00
06/12/2018,36.00,DPR,36.00,36.00,35.30,119340.00
05/12/2018,36.00,DPR,36.15,36.15,35.50,117280.00
04/12/2018,36.15,DPR,36.05,36.30,36.00,143490.00
03/12/2018,36.00,DPR,35.50,36.10,35.50,138540.00
30/11/2018,35.10,DPR,35.10,35.10,34.95,43420.00
29/11/2018,34.95,DPR,35.00,35.15,34.95,23060.00
28/11/2018,35.00,DPR,35.00,35.15,35.00,28990.00
