DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
26/04/2019,0.70,DPS,0.80,0.80,0.70,429110.00
25/04/2019,0.80,DPS,0.80,0.90,0.70,1356058.00
24/04/2019,0.80,DPS,0.90,0.90,0.70,1024860.00
23/04/2019,0.80,DPS,0.80,0.80,0.70,2584126.00
22/04/2019,0.70,DPS,0.60,0.70,0.60,1526905.00
19/04/2019,0.60,DPS,0.60,0.70,0.50,37500.00
18/04/2019,0.60,DPS,0.70,0.70,0.50,290850.00
17/04/2019,0.60,DPS,0.60,0.70,0.60,42250.00
16/04/2019,0.60,DPS,0.60,0.70,0.50,343800.00
12/04/2019,0.60,DPS,0.60,0.70,0.50,907574.00
11/04/2019,0.60,DPS,0.70,0.70,0.60,360200.00
10/04/2019,0.60,DPS,0.70,0.70,0.60,99710.00
09/04/2019,0.70,DPS,0.60,0.70,0.60,43020.00
08/04/2019,0.60,DPS,0.60,0.70,0.60,73877.00
05/04/2019,0.70,DPS,0.60,0.70,0.60,169530.00
04/04/2019,0.60,DPS,0.70,0.70,0.60,240100.00
03/04/2019,0.60,DPS,0.70,0.70,0.60,63228.00
02/04/2019,0.70,DPS,0.60,0.70,0.60,198301.00
01/04/2019,0.70,DPS,0.60,0.70,0.60,41900.00
29/03/2019,0.70,DPS,0.70,0.70,0.60,41605.00
28/03/2019,0.60,DPS,0.60,0.70,0.60,106301.00
27/03/2019,0.70,DPS,0.60,0.70,0.60,53600.00
26/03/2019,0.70,DPS,0.70,0.70,0.60,88180.00
25/03/2019,0.60,DPS,0.70,0.70,0.60,99290.00
22/03/2019,0.70,DPS,0.70,0.70,0.60,25800.00
21/03/2019,0.60,DPS,0.70,0.80,0.60,189000.00
20/03/2019,0.70,DPS,0.70,0.80,0.60,90860.00
19/03/2019,0.70,DPS,0.80,0.80,0.60,986423.00
18/03/2019,0.70,DPS,0.70,0.70,0.70,251423.00
15/03/2019,0.60,DPS,0.80,0.80,0.60,291080.00
14/03/2019,0.70,DPS,0.80,0.80,0.60,351830.00
13/03/2019,0.70,DPS,0.70,0.80,0.70,242700.00
12/03/2019,0.70,DPS,0.70,0.80,0.60,380070.00
11/03/2019,0.70,DPS,0.80,0.80,0.70,721173.00
