DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
26/04/2019,52.50,DRL,52.50,52.50,52.50,20.00
25/04/2019,52.50,DRL,52.50,52.50,52.50,1020.00
24/04/2019,50.80,DRL,52.00,52.00,50.80,480.00
23/04/2019,50.80,DRL,52.00,52.00,50.80,30.00
22/04/2019,50.80,DRL,50.80,50.80,50.80,110.00
19/04/2019,52.00,DRL,52.00,52.00,52.00,10.00
18/04/2019,53.50,DRL,53.00,53.50,53.00,30.00
17/04/2019,53.40,DRL,53.50,53.50,53.40,50.00
16/04/2019,53.50,DRL,54.00,54.00,53.50,120.00
12/04/2019,52.50,DRL,52.50,52.50,52.50,2940.00
11/04/2019,52.50,DRL,52.00,52.50,52.00,1340.00
10/04/2019,52.00,DRL,52.00,52.00,52.00,50.00
09/04/2019,51.00,DRL,51.50,52.50,51.00,160.00
08/04/2019,50.80,DRL,50.80,50.80,50.80,1000.00
05/04/2019,50.80,DRL,50.20,50.80,50.20,430.00
04/04/2019,50.20,DRL,51.50,51.50,50.20,30.00
03/04/2019,51.00,DRL,51.00,51.00,51.00,90.00
02/04/2019,50.30,DRL,50.40,50.40,50.30,110.00
01/04/2019,50.30,DRL,50.50,51.00,50.30,570.00
29/03/2019,51.00,DRL,51.00,51.00,51.00,0.00
28/03/2019,51.00,DRL,51.00,51.00,51.00,60.00
27/03/2019,53.00,DRL,53.00,53.00,53.00,50.00
26/03/2019,50.70,DRL,50.70,50.70,50.70,10.00
25/03/2019,52.50,DRL,50.10,53.00,50.10,210.00
22/03/2019,50.10,DRL,50.10,50.10,50.10,10.00
21/03/2019,50.80,DRL,50.80,50.80,50.80,600.00
20/03/2019,47.50,DRL,51.00,51.00,47.50,110.00
19/03/2019,50.90,DRL,51.00,51.00,50.90,3200.00
18/03/2019,50.90,DRL,50.90,50.90,50.90,200.00
15/03/2019,50.90,DRL,50.90,50.90,50.90,2450.00
14/03/2019,50.90,DRL,50.90,50.90,50.90,500.00
13/03/2019,50.90,DRL,50.80,50.90,50.80,1600.00
12/03/2019,50.90,DRL,50.90,50.90,50.90,3930.00
11/03/2019,51.00,DRL,51.00,51.00,51.00,3000.00
08/03/2019,50.90,DRL,50.90,50.90,50.90,2600.00
07/03/2019,50.90,DRL,51.00,53.00,50.90,2040.00
06/03/2019,51.00,DRL,51.00,51.00,51.00,1000.00
05/03/2019,51.00,DRL,50.70,51.00,50.70,890.00
04/03/2019,50.70,DRL,50.60,50.70,50.60,1930.00
01/03/2019,50.60,DRL,50.70,50.70,50.60,1990.00
28/02/2019,51.00,DRL,51.00,51.00,51.00,40.00
27/02/2019,51.00,DRL,51.00,51.00,51.00,2600.00
26/02/2019,51.00,DRL,50.70,51.00,50.70,420.00
25/02/2019,50.70,DRL,50.70,50.70,50.70,0.00
22/02/2019,50.70,DRL,50.70,50.70,50.70,130.00
21/02/2019,50.60,DRL,50.50,50.70,50.50,300.00
20/02/2019,50.50,DRL,50.50,50.50,50.50,1750.00
19/02/2019,50.60,DRL,50.80,50.80,50.60,250.00
18/02/2019,50.70,DRL,50.60,51.00,50.50,13880.00
15/02/2019,50.60,DRL,51.00,51.00,50.40,26800.00
14/02/2019,50.20,DRL,50.40,50.40,50.20,1150.00
13/02/2019,50.40,DRL,50.10,50.50,50.00,420.00
12/02/2019,50.20,DRL,50.50,50.50,50.00,360.00
11/02/2019,50.00,DRL,50.10,50.10,50.00,240.00
01/02/2019,50.10,DRL,50.20,50.40,50.00,500.00
31/01/2019,50.40,DRL,50.00,50.40,50.00,610.00
30/01/2019,50.00,DRL,50.00,50.00,50.00,200.00
29/01/2019,50.00,DRL,50.00,50.50,50.00,1190.00
28/01/2019,50.00,DRL,50.00,50.00,50.00,200.00
25/01/2019,50.50,DRL,50.00,50.50,50.00,200.00
24/01/2019,49.50,DRL,49.50,49.50,49.50,70.00
23/01/2019,49.20,DRL,49.20,49.20,49.20,230.00
22/01/2019,49.10,DRL,49.50,49.50,49.10,300.00
21/01/2019,49.50,DRL,49.50,49.50,49.20,1500.00
18/01/2019,49.00,DRL,49.50,49.50,49.00,600.00
17/01/2019,49.00,DRL,49.00,49.00,49.00,1150.00
16/01/2019,48.60,DRL,50.00,50.00,48.60,1120.00
15/01/2019,50.00,DRL,50.00,50.00,50.00,490.00
14/01/2019,50.00,DRL,50.00,50.00,50.00,620.00
11/01/2019,49.50,DRL,49.50,49.50,49.20,630.00
10/01/2019,49.00,DRL,49.00,49.00,49.00,290.00
09/01/2019,48.70,DRL,48.70,48.70,48.70,10.00
08/01/2019,50.00,DRL,49.85,50.70,49.85,3180.00
07/01/2019,49.85,DRL,49.85,49.85,49.85,10.00
04/01/2019,46.60,DRL,46.60,46.60,46.60,1330.00
03/01/2019,46.60,DRL,50.00,50.00,46.60,1970.00
02/01/2019,50.00,DRL,50.00,50.00,50.00,30.00
28/12/2018,48.00,DRL,51.60,51.60,48.00,210.00
27/12/2018,51.50,DRL,51.40,51.60,51.40,1450.00
26/12/2018,50.50,DRL,50.00,51.00,50.00,900.00
25/12/2018,51.00,DRL,50.10,51.00,50.00,6130.00
24/12/2018,50.70,DRL,48.50,50.70,48.50,2420.00
