DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
26/04/2019,59.10,DSN,59.20,59.40,58.60,1310.00
25/04/2019,58.50,DSN,59.00,59.20,58.50,3270.00
24/04/2019,59.30,DSN,59.00,59.30,59.00,480.00
23/04/2019,59.10,DSN,59.20,59.20,59.00,3010.00
22/04/2019,58.90,DSN,58.70,58.90,58.60,1730.00
19/04/2019,58.90,DSN,58.50,59.00,58.40,3790.00
18/04/2019,58.70,DSN,58.40,59.30,58.40,500.00
17/04/2019,58.40,DSN,58.50,59.00,58.40,1030.00
16/04/2019,58.50,DSN,58.50,58.90,58.40,3590.00
12/04/2019,59.00,DSN,58.70,59.00,58.70,1540.00
11/04/2019,58.70,DSN,59.50,59.50,58.70,750.00
10/04/2019,59.10,DSN,59.10,59.10,59.00,270.00
09/04/2019,59.10,DSN,60.00,60.00,59.10,760.00
08/04/2019,59.50,DSN,58.50,59.50,58.50,3350.00
05/04/2019,59.50,DSN,59.50,59.50,59.50,290.00
04/04/2019,59.50,DSN,59.00,59.50,58.70,3190.00
03/04/2019,58.70,DSN,58.80,58.80,58.70,1010.00
02/04/2019,58.70,DSN,59.00,59.50,58.50,910.00
01/04/2019,58.90,DSN,59.20,59.20,58.90,2910.00
29/03/2019,59.00,DSN,59.40,59.40,59.00,210.00
28/03/2019,59.40,DSN,58.70,59.40,58.70,630.00
27/03/2019,59.40,DSN,58.60,59.80,58.60,130.00
26/03/2019,59.20,DSN,59.20,59.50,59.20,410.00
25/03/2019,59.20,DSN,59.50,59.50,58.10,3720.00
22/03/2019,59.50,DSN,59.50,59.50,58.00,1770.00
21/03/2019,59.50,DSN,59.50,59.60,59.40,2330.00
20/03/2019,59.40,DSN,59.10,59.50,59.00,1060.00
19/03/2019,59.00,DSN,59.70,59.90,59.00,6650.00
18/03/2019,59.70,DSN,59.60,59.80,59.60,2690.00
15/03/2019,59.60,DSN,59.50,59.70,59.50,2790.00
14/03/2019,59.50,DSN,59.20,59.80,58.50,2560.00
13/03/2019,59.80,DSN,59.90,60.00,59.00,2330.00
12/03/2019,59.90,DSN,59.10,59.90,59.00,4160.00
11/03/2019,59.10,DSN,58.30,60.00,58.30,7330.00
08/03/2019,59.50,DSN,59.70,59.70,59.00,7100.00
07/03/2019,59.70,DSN,59.10,59.70,59.10,4270.00
06/03/2019,59.50,DSN,59.50,59.50,58.70,890.00
05/03/2019,59.50,DSN,59.40,59.50,59.00,9110.00
04/03/2019,59.00,DSN,58.00,59.30,58.00,4340.00
01/03/2019,58.00,DSN,57.50,58.00,57.50,3880.00
28/02/2019,57.70,DSN,58.00,58.10,57.60,2070.00
27/02/2019,58.00,DSN,58.40,58.40,56.50,1920.00
26/02/2019,58.40,DSN,58.80,58.80,56.60,4800.00
25/02/2019,59.20,DSN,59.00,59.70,59.00,5250.00
22/02/2019,59.30,DSN,60.60,60.60,59.20,9620.00
21/02/2019,62.20,DSN,62.90,63.00,62.00,6550.00
20/02/2019,62.50,DSN,63.00,63.00,62.30,2840.00
19/02/2019,62.70,DSN,62.50,66.60,62.40,5990.00
18/02/2019,62.30,DSN,62.00,62.50,62.00,17410.00
15/02/2019,61.70,DSN,61.10,61.80,61.10,15800.00
14/02/2019,61.50,DSN,61.20,61.50,61.00,12010.00
13/02/2019,60.80,DSN,61.50,61.50,60.50,3840.00
12/02/2019,61.50,DSN,61.50,61.50,61.10,8670.00
11/02/2019,61.50,DSN,61.00,61.50,60.50,2380.00
01/02/2019,60.50,DSN,60.50,61.20,60.50,1230.00
31/01/2019,60.90,DSN,61.10,61.10,60.90,540.00
30/01/2019,60.50,DSN,60.50,60.50,60.50,0.00
29/01/2019,60.50,DSN,60.00,60.50,58.50,3610.00
28/01/2019,60.00,DSN,60.00,60.10,60.00,600.00
25/01/2019,60.00,DSN,60.00,60.50,60.00,1910.00
24/01/2019,60.00,DSN,61.00,61.00,58.10,3190.00
23/01/2019,61.00,DSN,61.00,62.00,60.50,3530.00
22/01/2019,60.50,DSN,59.90,61.10,59.90,8310.00
21/01/2019,59.10,DSN,59.50,60.40,59.10,5860.00
18/01/2019,59.40,DSN,59.10,59.90,56.00,9150.00
17/01/2019,58.50,DSN,58.70,58.70,58.50,2960.00
16/01/2019,58.70,DSN,59.90,59.90,58.50,5710.00
15/01/2019,59.90,DSN,59.00,59.90,58.90,400.00
14/01/2019,59.90,DSN,59.90,61.00,59.00,3960.00
11/01/2019,59.90,DSN,60.00,60.00,59.50,4440.00
10/01/2019,59.80,DSN,59.80,60.00,59.80,960.00
09/01/2019,59.30,DSN,59.20,59.50,59.20,3540.00
08/01/2019,59.20,DSN,59.00,59.50,59.00,720.00
07/01/2019,59.40,DSN,59.00,61.00,58.80,7070.00
04/01/2019,58.60,DSN,58.50,58.80,58.50,22600.00
03/01/2019,58.50,DSN,58.50,58.50,58.40,4380.00
02/01/2019,58.50,DSN,59.50,59.50,58.50,3860.00
28/12/2018,62.90,DSN,62.80,63.00,62.70,2580.00
27/12/2018,62.80,DSN,62.50,63.00,62.50,920.00
26/12/2018,62.50,DSN,63.00,63.00,62.00,550.00
25/12/2018,63.00,DSN,60.00,63.20,60.00,5810.00
24/12/2018,62.00,DSN,63.00,63.30,62.00,6180.00
21/12/2018,62.80,DSN,62.50,62.80,62.00,4690.00
20/12/2018,62.50,DSN,62.80,63.00,62.10,6340.00
19/12/2018,62.80,DSN,62.90,62.90,62.00,110.00
18/12/2018,63.00,DSN,62.90,63.00,62.60,2460.00
17/12/2018,63.00,DSN,63.00,63.00,62.00,4870.00
14/12/2018,63.00,DSN,63.00,63.50,62.00,14020.00
13/12/2018,63.00,DSN,63.00,63.00,63.00,3130.00
12/12/2018,63.00,DSN,63.00,63.50,63.00,13820.00
11/12/2018,63.00,DSN,63.00,63.00,63.00,330.00
10/12/2018,63.00,DSN,62.50,63.00,62.00,2680.00
07/12/2018,62.50,DSN,62.50,63.40,62.50,4500.00
06/12/2018,62.40,DSN,64.40,64.40,62.40,2880.00
05/12/2018,62.50,DSN,61.30,62.80,61.30,470.00
04/12/2018,61.30,DSN,61.30,61.30,61.00,1990.00
03/12/2018,61.40,DSN,61.50,61.50,61.20,1270.00
30/11/2018,61.10,DSN,60.80,62.00,60.80,740.00
29/11/2018,62.00,DSN,62.20,62.20,62.00,30.00
28/11/2018,62.20,DSN,62.00,62.50,62.00,520.00
27/11/2018,62.00,DSN,62.00,62.00,62.00,520.00
26/11/2018,62.00,DSN,60.50,65.90,60.50,560.00
23/11/2018,62.00,DSN,60.40,62.00,60.40,1800.00
22/11/2018,60.40,DSN,60.50,60.50,59.00,780.00
21/11/2018,60.50,DSN,60.50,61.00,60.50,3760.00
20/11/2018,60.50,DSN,60.40,60.50,60.40,1790.00
19/11/2018,60.40,DSN,60.40,60.40,60.40,0.00
16/11/2018,60.40,DSN,61.10,61.10,60.40,1890.00
15/11/2018,61.40,DSN,60.50,61.40,60.50,970.00
14/11/2018,60.30,DSN,60.50,60.50,60.30,1200.00
13/11/2018,60.30,DSN,60.30,60.30,60.00,9310.00
12/11/2018,60.30,DSN,61.00,61.00,60.30,750.00
09/11/2018,61.00,DSN,60.70,61.00,60.70,5190.00
08/11/2018,60.60,DSN,60.50,60.60,60.20,1960.00
07/11/2018,60.50,DSN,60.10,60.50,60.00,600.00
06/11/2018,60.30,DSN,60.20,60.40,60.20,3510.00
05/11/2018,60.20,DSN,60.10,60.20,59.80,1290.00
02/11/2018,60.00,DSN,60.00,60.00,59.80,5410.00
01/11/2018,60.00,DSN,60.00,60.50,59.60,1880.00
31/10/2018,60.00,DSN,60.00,60.00,60.00,0.00
30/10/2018,60.00,DSN,60.00,60.40,58.70,860.00
29/10/2018,60.10,DSN,60.00,60.40,60.00,3970.00
26/10/2018,60.00,DSN,59.70,60.40,59.70,5680.00
25/10/2018,59.70,DSN,58.60,60.40,58.60,27100.00
24/10/2018,59.90,DSN,59.90,59.90,59.90,5090.00
23/10/2018,59.90,DSN,59.90,59.90,58.40,1560.00
22/10/2018,59.90,DSN,60.00,60.00,59.80,3980.00
19/10/2018,60.00,DSN,60.00,60.00,59.70,9990.00
18/10/2018,60.00,DSN,59.90,60.00,59.80,3740.00
17/10/2018,59.80,DSN,60.00,60.00,59.40,8860.00
16/10/2018,59.80,DSN,59.00,59.90,59.00,6140.00
15/10/2018,58.90,DSN,59.00,59.00,58.50,3760.00
12/10/2018,58.50,DSN,57.90,58.50,57.90,5760.00
11/10/2018,58.50,DSN,59.00,59.00,57.50,8270.00
10/10/2018,59.00,DSN,59.80,59.80,58.50,4820.00
09/10/2018,59.80,DSN,59.90,59.90,58.00,5730.00
08/10/2018,60.00,DSN,59.50,60.00,59.50,240.00
05/10/2018,60.00,DSN,59.50,60.00,59.50,9030.00
04/10/2018,59.50,DSN,59.30,59.50,59.30,3070.00
03/10/2018,59.30,DSN,59.00,59.50,59.00,4700.00
02/10/2018,59.20,DSN,58.00,59.20,58.00,10230.00
01/10/2018,58.50,DSN,58.10,58.50,58.00,210.00
28/09/2018,59.60,DSN,59.40,59.80,59.40,960.00
27/09/2018,60.00,DSN,58.90,60.00,58.90,8870.00
26/09/2018,58.80,DSN,56.90,60.00,56.90,10640.00
25/09/2018,56.30,DSN,56.00,57.00,56.00,6530.00
24/09/2018,56.10,DSN,56.50,57.00,56.10,2210.00
21/09/2018,55.90,DSN,56.30,56.30,55.90,6190.00
20/09/2018,56.30,DSN,56.10,57.00,56.10,270.00
19/09/2018,56.10,DSN,56.20,56.50,56.10,2650.00
18/09/2018,56.00,DSN,55.80,56.90,55.80,5140.00
17/09/2018,56.00,DSN,56.00,56.10,55.80,1230.00
14/09/2018,56.50,DSN,56.50,56.50,56.00,580.00
13/09/2018,56.10,DSN,56.80,56.80,56.00,150.00
12/09/2018,56.00,DSN,56.00,56.90,56.00,450.00
11/09/2018,56.00,DSN,55.90,56.00,55.50,2610.00
10/09/2018,55.30,DSN,55.00,55.50,55.00,1870.00
07/09/2018,55.00,DSN,55.00,55.20,55.00,1430.00
06/09/2018,54.80,DSN,55.00,55.00,54.80,1370.00
05/09/2018,54.80,DSN,55.00,56.00,54.80,2880.00
04/09/2018,54.80,DSN,55.00,55.80,54.80,630.00
31/08/2018,54.80,DSN,54.60,54.80,54.50,1980.00
30/08/2018,54.50,DSN,54.40,55.00,54.10,4230.00
29/08/2018,54.90,DSN,55.20,55.20,54.70,1120.00
28/08/2018,55.10,DSN,55.20,55.20,55.10,30.00
27/08/2018,54.20,DSN,54.80,55.50,54.20,680.00
24/08/2018,54.10,DSN,54.60,54.60,54.10,2370.00
23/08/2018,54.50,DSN,53.80,54.50,53.80,3050.00
22/08/2018,53.80,DSN,54.00,54.10,53.60,7550.00
21/08/2018,54.00,DSN,54.00,54.00,54.00,760.00
20/08/2018,53.10,DSN,53.30,53.30,53.10,8360.00
17/08/2018,53.20,DSN,54.00,54.00,53.00,8250.00
16/08/2018,54.00,DSN,53.30,54.00,53.00,7250.00
15/08/2018,53.50,DSN,54.30,54.30,53.50,12830.00
14/08/2018,54.40,DSN,54.50,54.50,53.50,3800.00
13/08/2018,53.40,DSN,53.60,53.60,53.40,2220.00
10/08/2018,53.30,DSN,53.70,53.70,53.30,7760.00
09/08/2018,53.70,DSN,54.00,54.00,53.70,6070.00
08/08/2018,54.00,DSN,54.00,54.50,54.00,4940.00
07/08/2018,54.00,DSN,55.00,55.00,54.00,4200.00
06/08/2018,54.00,DSN,54.60,54.60,54.00,1300.00
03/08/2018,54.80,DSN,53.90,54.80,53.50,3200.00
02/08/2018,54.00,DSN,53.50,54.00,53.50,1510.00
01/08/2018,53.70,DSN,54.00,54.00,53.50,410.00
31/07/2018,54.00,DSN,54.00,54.40,53.50,1980.00
30/07/2018,54.00,DSN,53.50,54.50,52.50,4080.00
27/07/2018,53.50,DSN,53.30,53.50,53.20,5330.00
26/07/2018,53.50,DSN,53.50,53.50,53.00,2770.00
25/07/2018,54.00,DSN,54.00,54.00,53.50,1070.00
24/07/2018,54.00,DSN,54.50,54.50,53.10,700.00
23/07/2018,54.50,DSN,54.00,54.50,53.00,15370.00
20/07/2018,54.00,DSN,55.00,55.00,53.80,10920.00
19/07/2018,53.80,DSN,53.00,53.80,53.00,2130.00
18/07/2018,53.60,DSN,53.60,53.60,53.00,1580.00
17/07/2018,53.40,DSN,53.50,53.50,52.00,3580.00
16/07/2018,53.50,DSN,53.00,53.60,52.90,3240.00
13/07/2018,52.90,DSN,52.80,52.90,52.80,390.00
12/07/2018,52.60,DSN,52.90,53.60,52.60,2480.00
11/07/2018,52.80,DSN,52.80,53.80,52.80,1550.00
10/07/2018,52.60,DSN,53.90,53.90,52.60,1730.00
09/07/2018,53.40,DSN,53.70,55.40,53.40,1530.00
06/07/2018,53.30,DSN,53.50,53.50,52.00,3840.00
05/07/2018,53.50,DSN,54.50,54.50,53.50,3380.00
04/07/2018,54.50,DSN,54.90,54.90,54.50,6440.00
03/07/2018,54.50,DSN,54.50,55.20,54.40,4120.00
02/07/2018,54.50,DSN,55.00,55.30,54.00,11240.00
29/06/2018,55.60,DSN,56.00,56.00,55.10,5110.00
28/06/2018,56.00,DSN,56.00,56.80,56.00,8320.00
27/06/2018,56.00,DSN,56.30,57.00,56.00,11830.00
26/06/2018,56.10,DSN,56.40,56.40,56.10,2010.00
25/06/2018,56.50,DSN,56.50,56.50,56.50,0.00
22/06/2018,56.50,DSN,56.50,56.50,56.10,750.00
21/06/2018,56.50,DSN,56.40,56.50,56.00,4100.00
20/06/2018,56.00,DSN,56.00,56.30,56.00,14250.00
19/06/2018,56.40,DSN,56.30,56.70,56.00,5230.00
18/06/2018,56.30,DSN,56.80,57.00,56.30,5920.00
15/06/2018,56.50,DSN,56.80,56.80,56.40,1430.00
14/06/2018,56.70,DSN,56.30,56.70,56.30,340.00
13/06/2018,56.10,DSN,55.70,56.50,55.70,670.00
12/06/2018,56.50,DSN,56.70,56.70,56.00,6160.00
11/06/2018,56.70,DSN,56.50,56.80,56.00,3370.00
08/06/2018,56.50,DSN,56.50,57.00,56.50,3680.00
07/06/2018,56.50,DSN,57.00,57.00,56.50,420.00
06/06/2018,57.00,DSN,55.70,57.00,55.70,3230.00
05/06/2018,55.70,DSN,56.50,56.50,55.70,4020.00
04/06/2018,56.00,DSN,56.90,57.00,56.00,8850.00
01/06/2018,55.80,DSN,56.50,56.50,55.70,5650.00
31/05/2018,55.60,DSN,56.00,56.00,55.60,330.00
30/05/2018,56.50,DSN,56.00,56.50,56.00,2050.00
29/05/2018,56.00,DSN,55.00,56.00,54.00,7350.00
28/05/2018,55.00,DSN,56.80,56.80,55.00,9930.00
25/05/2018,56.80,DSN,57.00,57.00,56.50,330.00
24/05/2018,57.00,DSN,57.20,57.20,57.00,1400.00
23/05/2018,56.90,DSN,56.90,57.00,56.80,910.00
22/05/2018,56.80,DSN,56.80,57.40,56.80,1180.00
21/05/2018,57.30,DSN,56.80,57.30,56.80,650.00
18/05/2018,57.00,DSN,57.00,57.00,56.60,3520.00
17/05/2018,57.00,DSN,56.70,57.00,56.60,1180.00
16/05/2018,57.00,DSN,57.10,57.10,56.50,270.00
15/05/2018,57.10,DSN,57.50,57.50,56.50,1340.00
14/05/2018,57.50,DSN,56.50,57.50,56.50,2830.00
11/05/2018,56.50,DSN,57.00,57.00,56.50,810.00
10/05/2018,56.50,DSN,57.00,58.00,56.50,2360.00
09/05/2018,56.90,DSN,57.80,57.80,56.90,740.00
08/05/2018,57.80,DSN,56.20,57.80,56.00,5030.00
07/05/2018,57.60,DSN,58.00,58.00,57.60,770.00
04/05/2018,57.80,DSN,58.90,58.90,57.80,1040.00
03/05/2018,57.40,DSN,57.00,57.50,56.10,2030.00
02/05/2018,57.50,DSN,57.00,57.50,57.00,6570.00
27/04/2018,57.00,DSN,56.40,57.30,56.40,1180.00
26/04/2018,57.80,DSN,58.90,58.90,57.20,4620.00
24/04/2018,58.90,DSN,58.00,58.90,58.00,1760.00
23/04/2018,58.00,DSN,58.00,59.40,57.90,21520.00
20/04/2018,58.00,DSN,58.60,58.60,58.00,2490.00
19/04/2018,58.70,DSN,58.70,59.10,58.70,12580.00
18/04/2018,58.70,DSN,58.00,58.70,58.00,14970.00
17/04/2018,58.00,DSN,58.00,58.80,58.00,250.00
16/04/2018,58.80,DSN,58.50,58.80,57.20,1790.00
13/04/2018,58.50,DSN,58.50,58.50,58.00,1710.00
12/04/2018,58.50,DSN,56.20,58.50,56.20,670.00
11/04/2018,56.10,DSN,59.00,59.00,56.10,790.00
10/04/2018,59.00,DSN,57.90,59.00,57.90,930.00
09/04/2018,58.00,DSN,57.60,58.00,57.50,2600.00
06/04/2018,58.70,DSN,57.30,58.80,57.30,2640.00
05/04/2018,58.00,DSN,58.00,60.00,57.30,33830.00
04/04/2018,57.50,DSN,56.00,57.50,56.00,2440.00
03/04/2018,57.40,DSN,57.40,57.40,57.40,1990.00
02/04/2018,57.40,DSN,56.10,57.40,56.10,6530.00
30/03/2018,57.00,DSN,56.80,57.00,56.50,7600.00
29/03/2018,56.80,DSN,57.00,57.00,56.80,2100.00
28/03/2018,57.00,DSN,57.50,57.50,57.00,1880.00
27/03/2018,57.50,DSN,57.70,57.80,57.50,3550.00
26/03/2018,58.40,DSN,57.50,58.40,57.50,3840.00
23/03/2018,57.90,DSN,57.90,58.00,57.90,1430.00
22/03/2018,58.30,DSN,58.60,58.60,58.30,15290.00
21/03/2018,58.60,DSN,58.70,58.70,58.40,3320.00
20/03/2018,58.70,DSN,58.70,58.70,58.00,13250.00
19/03/2018,58.70,DSN,58.50,58.70,58.50,10180.00
16/03/2018,58.30,DSN,58.00,58.50,57.90,11580.00
15/03/2018,57.70,DSN,58.00,58.00,57.70,1960.00
14/03/2018,57.70,DSN,57.60,58.00,57.60,2790.00
13/03/2018,57.60,DSN,57.30,57.70,57.30,11400.00
12/03/2018,57.30,DSN,57.60,57.60,57.30,13400.00
09/03/2018,57.50,DSN,58.00,58.00,57.50,9530.00
08/03/2018,58.30,DSN,58.50,58.50,58.20,13350.00
07/03/2018,58.40,DSN,58.40,58.50,58.40,10700.00
06/03/2018,58.40,DSN,58.50,58.50,58.20,11990.00
05/03/2018,60.00,DSN,60.50,60.60,60.00,32810.00
02/03/2018,60.40,DSN,61.00,61.00,60.10,6430.00
01/03/2018,60.70,DSN,60.50,60.70,60.00,7840.00
28/02/2018,60.70,DSN,60.90,60.90,60.20,9980.00
27/02/2018,60.90,DSN,60.60,60.90,60.50,10870.00
26/02/2018,60.90,DSN,60.80,61.00,60.50,8980.00
23/02/2018,60.80,DSN,61.00,61.00,60.60,10620.00
22/02/2018,61.00,DSN,60.70,62.00,60.00,22320.00
21/02/2018,59.40,DSN,59.50,59.50,59.00,1800.00
13/02/2018,59.50,DSN,60.00,60.00,58.10,1080.00
12/02/2018,58.10,DSN,56.00,59.20,56.00,3390.00
09/02/2018,57.00,DSN,55.00,57.50,55.00,6260.00
08/02/2018,58.20,DSN,57.80,58.20,57.80,17080.00
07/02/2018,58.00,DSN,58.00,59.10,57.80,23230.00
06/02/2018,57.10,DSN,58.00,58.00,54.00,5490.00
05/02/2018,58.00,DSN,59.00,59.00,58.00,15230.00
02/02/2018,59.20,DSN,58.50,59.20,58.50,1520.00
01/02/2018,58.50,DSN,58.60,58.80,58.50,3600.00
31/01/2018,58.80,DSN,58.50,58.90,58.50,2780.00
30/01/2018,58.50,DSN,58.60,58.60,57.30,5300.00
29/01/2018,58.60,DSN,58.60,59.00,58.20,11140.00
26/01/2018,58.60,DSN,59.00,59.20,58.60,2940.00
25/01/2018,59.00,DSN,59.30,59.50,59.00,8930.00
22/01/2018,59.30,DSN,59.30,59.40,59.20,4620.00
19/01/2018,59.30,DSN,59.00,59.70,59.00,2950.00
18/01/2018,59.30,DSN,59.30,59.30,59.00,1680.00
17/01/2018,59.30,DSN,58.50,59.40,58.50,2340.00
16/01/2018,58.50,DSN,58.10,58.50,58.10,2130.00
