DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
26/04/2019,1.60,DST,1.60,1.70,1.50,231100.00
25/04/2019,1.60,DST,1.70,1.70,1.60,212100.00
24/04/2019,1.70,DST,1.60,1.70,1.50,287020.00
23/04/2019,1.60,DST,1.60,1.70,1.50,175800.00
22/04/2019,1.60,DST,1.70,1.70,1.60,318900.00
19/04/2019,1.70,DST,1.60,1.70,1.60,195000.00
18/04/2019,1.60,DST,1.60,1.70,1.60,178010.00
17/04/2019,1.60,DST,1.60,1.70,1.60,240700.00
16/04/2019,1.60,DST,1.70,1.70,1.60,200410.00
12/04/2019,1.70,DST,1.70,1.70,1.60,98600.00
11/04/2019,1.70,DST,1.80,1.80,1.70,102900.00
10/04/2019,1.70,DST,1.80,1.80,1.70,132310.00
09/04/2019,1.70,DST,1.70,1.70,1.70,402600.00
08/04/2019,1.60,DST,1.70,1.70,1.60,180800.00
05/04/2019,1.70,DST,1.60,1.70,1.60,92200.00
04/04/2019,1.70,DST,1.70,1.70,1.60,114600.00
03/04/2019,1.70,DST,1.70,1.80,1.60,198400.00
02/04/2019,1.70,DST,1.60,1.80,1.60,210610.00
01/04/2019,1.70,DST,1.70,1.80,1.60,206700.00
29/03/2019,1.70,DST,1.70,1.80,1.70,46400.00
28/03/2019,1.70,DST,1.70,1.70,1.60,142100.00
27/03/2019,1.70,DST,1.80,1.80,1.70,44700.00
26/03/2019,1.70,DST,1.60,1.80,1.60,96800.00
25/03/2019,1.70,DST,1.80,1.80,1.70,582800.00
22/03/2019,1.80,DST,1.70,1.80,1.70,123400.00
21/03/2019,1.70,DST,1.70,1.80,1.70,208010.00
20/03/2019,1.70,DST,1.70,1.80,1.70,131200.00
19/03/2019,1.70,DST,1.70,1.80,1.70,170983.00
18/03/2019,1.70,DST,1.70,1.80,1.70,112800.00
15/03/2019,1.70,DST,1.80,1.80,1.70,338670.00
14/03/2019,1.80,DST,1.70,1.80,1.70,193024.00
13/03/2019,1.80,DST,1.70,1.80,1.70,140400.00
12/03/2019,1.80,DST,1.80,1.80,1.70,223446.00
11/03/2019,1.80,DST,1.80,1.80,1.70,86244.00
08/03/2019,1.80,DST,1.90,1.90,1.70,374126.00
07/03/2019,1.80,DST,1.80,1.80,1.80,554398.00
06/03/2019,1.70,DST,1.80,1.80,1.70,80750.00
05/03/2019,1.70,DST,1.70,1.80,1.70,232300.00
04/03/2019,1.70,DST,1.70,1.80,1.70,215160.00
01/03/2019,1.80,DST,1.60,1.80,1.60,125500.00
28/02/2019,1.70,DST,1.80,1.80,1.60,87740.00
27/02/2019,1.70,DST,1.70,1.80,1.70,165500.00
26/02/2019,1.70,DST,1.70,1.80,1.70,207510.00
25/02/2019,1.80,DST,1.70,1.80,1.70,461426.00
22/02/2019,1.80,DST,1.70,1.80,1.70,77860.00
21/02/2019,1.80,DST,1.80,1.80,1.70,97006.00
20/02/2019,1.80,DST,1.70,1.80,1.70,132000.00
19/02/2019,1.80,DST,1.90,1.90,1.80,358730.00
18/02/2019,1.90,DST,1.80,1.90,1.80,124720.00
15/02/2019,1.80,DST,1.80,1.90,1.70,280400.00
14/02/2019,1.80,DST,1.80,1.80,1.70,84850.00
13/02/2019,1.80,DST,1.80,1.90,1.70,166070.00
12/02/2019,1.80,DST,1.90,1.90,1.80,355300.00
11/02/2019,1.90,DST,1.80,1.90,1.70,184300.00
01/02/2019,1.80,DST,1.70,1.80,1.70,89100.00
31/01/2019,1.70,DST,1.70,1.70,1.60,401600.00
30/01/2019,1.60,DST,1.60,1.70,1.50,119800.00
29/01/2019,1.60,DST,1.70,1.70,1.60,349500.00
28/01/2019,1.70,DST,1.80,1.80,1.70,373700.00
25/01/2019,1.80,DST,1.90,1.90,1.80,120200.00
24/01/2019,1.80,DST,1.80,1.90,1.70,340600.00
23/01/2019,1.80,DST,1.90,1.90,1.80,111800.00
22/01/2019,1.90,DST,1.90,2.00,1.80,209600.00
21/01/2019,1.90,DST,1.90,2.00,1.90,652200.00
18/01/2019,2.00,DST,2.00,2.00,1.90,171600.00
17/01/2019,2.00,DST,2.00,2.00,1.90,53000.00
16/01/2019,1.90,DST,2.00,2.00,1.90,194300.00
15/01/2019,1.90,DST,1.90,2.00,1.90,215000.00
14/01/2019,2.00,DST,2.00,2.10,1.90,66400.00
11/01/2019,2.10,DST,2.00,2.10,1.90,87030.00
10/01/2019,2.00,DST,2.10,2.10,1.90,188900.00
09/01/2019,2.10,DST,2.00,2.10,2.00,400314.00
08/01/2019,2.10,DST,2.10,2.10,1.90,276100.00
07/01/2019,2.10,DST,1.90,2.10,1.90,278500.00
04/01/2019,2.00,DST,2.00,2.00,1.90,388800.00
03/01/2019,2.00,DST,2.10,2.10,1.90,276214.00
02/01/2019,2.00,DST,2.10,2.20,2.00,385300.00
28/12/2018,2.10,DST,2.20,2.20,2.10,126500.00
27/12/2018,2.20,DST,2.10,2.20,2.00,324600.00
26/12/2018,2.10,DST,2.10,2.20,2.10,247200.00
25/12/2018,2.10,DST,2.10,2.20,2.00,983800.00
24/12/2018,2.20,DST,2.20,2.30,2.10,261300.00
21/12/2018,2.20,DST,2.10,2.30,2.10,352808.00
20/12/2018,2.10,DST,2.20,2.20,2.00,677420.00
19/12/2018,2.20,DST,2.20,2.30,2.10,157800.00
18/12/2018,2.20,DST,2.20,2.30,2.20,498900.00
17/12/2018,2.20,DST,2.30,2.30,2.20,45300.00
14/12/2018,2.30,DST,2.40,2.40,2.30,182300.00
13/12/2018,2.40,DST,2.30,2.40,2.30,219900.00
12/12/2018,2.40,DST,2.40,2.40,2.30,259600.00
11/12/2018,2.40,DST,2.40,2.50,2.30,483820.00
10/12/2018,2.50,DST,2.70,2.70,2.30,550040.00
07/12/2018,2.50,DST,2.50,2.50,2.40,840660.00
06/12/2018,2.30,DST,2.10,2.30,2.10,829730.00
05/12/2018,2.10,DST,2.10,2.20,2.10,453900.00
04/12/2018,2.20,DST,2.20,2.20,2.10,355660.00
03/12/2018,2.20,DST,2.10,2.20,2.10,213900.00
30/11/2018,2.10,DST,2.20,2.20,2.10,151500.00
29/11/2018,2.10,DST,2.20,2.20,2.10,139350.00
28/11/2018,2.20,DST,2.20,2.20,2.10,158700.00
27/11/2018,2.20,DST,2.20,2.20,2.10,110110.00
26/11/2018,2.10,DST,2.20,2.30,2.10,81150.00
23/11/2018,2.20,DST,2.30,2.30,2.20,197700.00
22/11/2018,2.20,DST,2.20,2.30,2.20,317000.00
21/11/2018,2.20,DST,2.20,2.30,2.10,284500.00
20/11/2018,2.20,DST,2.20,2.30,2.20,270410.00
19/11/2018,2.30,DST,2.30,2.30,2.10,157900.00
16/11/2018,2.20,DST,2.20,2.30,2.20,397200.00
15/11/2018,2.10,DST,2.20,2.30,2.10,406500.00
14/11/2018,2.20,DST,2.20,2.30,2.10,263000.00
13/11/2018,2.20,DST,2.10,2.30,2.10,276610.00
12/11/2018,2.10,DST,2.30,2.30,2.10,349300.00
09/11/2018,2.20,DST,2.30,2.30,2.20,181400.00
08/11/2018,2.30,DST,2.30,2.40,2.20,285600.00
07/11/2018,2.30,DST,2.30,2.40,2.20,248600.00
06/11/2018,2.30,DST,2.30,2.40,2.20,355870.00
05/11/2018,2.30,DST,2.20,2.30,2.10,227802.00
02/11/2018,2.20,DST,2.20,2.30,2.20,441200.00
01/11/2018,2.20,DST,2.30,2.30,2.20,420800.00
31/10/2018,2.30,DST,2.00,2.40,2.00,651332.00
30/10/2018,2.20,DST,2.30,2.40,2.20,347802.00
29/10/2018,2.30,DST,2.40,2.40,2.20,517112.00
26/10/2018,2.40,DST,2.40,2.50,2.40,446010.00
25/10/2018,2.40,DST,2.50,2.50,2.40,1050200.00
24/10/2018,2.60,DST,2.50,2.60,2.40,456900.00
23/10/2018,2.50,DST,2.50,2.60,2.40,1025908.00
22/10/2018,2.60,DST,2.70,2.80,2.60,1957800.00
19/10/2018,2.80,DST,3.10,3.10,2.70,1439200.00
18/10/2018,3.00,DST,2.90,3.00,2.90,2193167.00
17/10/2018,2.80,DST,2.60,2.80,2.60,723010.00
16/10/2018,2.60,DST,2.60,2.70,2.50,128410.00
15/10/2018,2.60,DST,2.70,2.70,2.50,583200.00
12/10/2018,2.60,DST,2.50,2.70,2.40,606700.00
11/10/2018,2.60,DST,2.80,2.80,2.60,2172500.00
10/10/2018,2.80,DST,2.90,2.90,2.80,657100.00
09/10/2018,2.90,DST,2.90,3.00,2.80,325818.00
08/10/2018,2.90,DST,2.90,3.10,2.80,590000.00
05/10/2018,2.90,DST,3.00,3.10,2.90,852875.00
04/10/2018,3.00,DST,2.90,3.00,2.90,948508.00
03/10/2018,2.80,DST,2.70,3.00,2.70,659971.00
02/10/2018,2.80,DST,2.90,3.00,2.70,1288645.00
01/10/2018,2.90,DST,3.10,3.10,2.90,1027989.00
28/09/2018,3.10,DST,3.00,3.10,2.90,540640.00
27/09/2018,3.00,DST,3.10,3.10,2.90,562811.00
26/09/2018,3.00,DST,3.10,3.10,2.90,1249010.00
25/09/2018,3.10,DST,3.10,3.20,3.00,549330.00
24/09/2018,3.10,DST,3.10,3.30,3.10,712591.00
21/09/2018,3.10,DST,3.10,3.20,3.00,1192308.00
20/09/2018,3.10,DST,3.20,3.30,3.10,1067050.00
19/09/2018,3.20,DST,3.40,3.50,3.10,1111726.00
18/09/2018,3.40,DST,3.10,3.40,3.00,1479523.00
17/09/2018,3.10,DST,3.20,3.40,3.10,758920.00
14/09/2018,3.20,DST,3.20,3.40,3.00,917860.00
13/09/2018,3.20,DST,3.80,3.80,3.20,3093780.00
12/09/2018,3.50,DST,3.90,3.90,3.40,2415570.00
11/09/2018,3.60,DST,3.60,3.60,3.40,2147150.00
10/09/2018,3.30,DST,3.10,3.30,2.90,2017142.00
07/09/2018,3.00,DST,3.40,3.40,2.90,3527921.00
06/09/2018,3.10,DST,3.10,3.10,3.10,203010.00
05/09/2018,2.90,DST,2.90,2.90,2.90,234997.00
04/09/2018,2.70,DST,2.60,2.70,2.60,466940.00
31/08/2018,2.50,DST,2.40,2.60,2.40,324760.00
30/08/2018,2.50,DST,2.50,2.50,2.30,796738.00
29/08/2018,2.50,DST,2.60,2.60,2.40,679010.00
28/08/2018,2.60,DST,2.60,2.70,2.60,524050.00
27/08/2018,2.60,DST,2.50,2.60,2.40,1912133.00
24/08/2018,2.40,DST,2.30,2.50,2.30,922870.00
23/08/2018,2.30,DST,2.30,2.40,2.20,371450.00
22/08/2018,2.30,DST,2.40,2.40,2.20,822100.00
21/08/2018,2.30,DST,2.40,2.50,2.30,1234950.00
20/08/2018,2.30,DST,2.10,2.30,2.00,2641810.00
17/08/2018,2.10,DST,2.10,2.20,2.10,343400.00
16/08/2018,2.10,DST,2.10,2.10,2.00,197400.00
15/08/2018,2.10,DST,2.10,2.20,2.00,666520.00
14/08/2018,2.10,DST,2.20,2.20,2.10,266400.00
13/08/2018,2.20,DST,2.10,2.20,2.00,1141100.00
10/08/2018,2.10,DST,2.20,2.20,2.10,634000.00
09/08/2018,2.10,DST,2.20,2.20,2.10,262500.00
08/08/2018,2.20,DST,2.30,2.30,2.10,319300.00
07/08/2018,2.30,DST,2.10,2.30,2.10,824800.00
06/08/2018,2.10,DST,2.20,2.20,2.10,815528.00
03/08/2018,2.30,DST,2.20,2.30,2.10,394106.00
02/08/2018,2.20,DST,2.10,2.20,2.10,697100.00
01/08/2018,2.10,DST,2.20,2.30,2.10,710920.00
31/07/2018,2.10,DST,2.20,2.30,2.10,1217410.00
30/07/2018,2.30,DST,2.40,2.40,2.20,595600.00
27/07/2018,2.40,DST,2.40,2.40,2.20,491640.00
26/07/2018,2.40,DST,2.30,2.40,2.20,553100.00
25/07/2018,2.30,DST,2.30,2.40,2.20,751800.00
24/07/2018,2.30,DST,2.40,2.50,2.30,1192260.00
23/07/2018,2.50,DST,2.60,2.60,2.40,1629611.00
20/07/2018,2.40,DST,2.40,2.40,2.30,245600.00
19/07/2018,2.20,DST,2.10,2.20,2.10,298500.00
18/07/2018,2.00,DST,1.90,2.00,1.90,347100.00
17/07/2018,1.90,DST,1.90,2.00,1.90,233300.00
16/07/2018,2.00,DST,2.00,2.10,1.90,480511.00
13/07/2018,2.00,DST,2.10,2.20,2.00,555620.00
12/07/2018,2.10,DST,2.00,2.20,2.00,393800.00
11/07/2018,2.00,DST,2.10,2.10,1.90,602010.00
10/07/2018,2.10,DST,2.20,2.20,2.10,152400.00
09/07/2018,2.20,DST,2.30,2.30,2.10,481270.00
06/07/2018,2.20,DST,2.00,2.30,1.90,1483450.00
05/07/2018,2.10,DST,2.30,2.30,2.10,1452300.00
04/07/2018,2.30,DST,2.50,2.60,2.30,1411180.00
03/07/2018,2.50,DST,2.70,2.80,2.50,1334600.00
02/07/2018,2.70,DST,2.70,2.80,2.60,1136800.00
29/06/2018,2.70,DST,2.80,2.90,2.70,828780.00
28/06/2018,2.80,DST,2.90,3.00,2.80,665510.00
27/06/2018,2.90,DST,2.80,3.00,2.70,786800.00
26/06/2018,2.80,DST,2.80,2.90,2.80,529147.00
25/06/2018,2.80,DST,2.80,2.90,2.70,518900.00
22/06/2018,2.80,DST,2.80,2.90,2.70,391200.00
21/06/2018,2.80,DST,2.90,2.90,2.80,485240.00
20/06/2018,2.90,DST,2.70,2.90,2.70,441300.00
19/06/2018,2.70,DST,2.90,3.00,2.70,1975663.00
18/06/2018,3.00,DST,3.10,3.10,2.90,685400.00
15/06/2018,3.10,DST,3.00,3.20,2.80,496000.00
14/06/2018,3.00,DST,3.20,3.20,3.00,5046800.00
13/06/2018,3.30,DST,3.50,3.50,3.30,1677360.00
12/06/2018,3.60,DST,3.50,3.60,3.30,2037119.00
11/06/2018,3.30,DST,3.00,3.30,3.00,1079839.00
08/06/2018,3.00,DST,3.20,3.50,2.90,5002409.00
07/06/2018,3.20,DST,3.20,3.50,3.20,2650300.00
06/06/2018,3.50,DST,3.80,3.80,3.50,2337811.00
05/06/2018,3.80,DST,3.90,4.00,3.60,4969100.00
04/06/2018,3.90,DST,4.10,4.10,3.90,5985100.00
01/06/2018,4.30,DST,4.70,4.70,4.30,1317249.00
31/05/2018,4.70,DST,4.90,4.90,4.50,1957120.00
30/05/2018,4.90,DST,5.00,5.00,4.50,8622500.00
29/05/2018,5.00,DST,4.70,5.10,4.70,912200.00
28/05/2018,4.70,DST,5.00,5.10,4.50,943500.00
25/05/2018,5.00,DST,5.10,5.20,4.90,1186350.00
24/05/2018,5.00,DST,5.30,5.40,4.90,1178600.00
23/05/2018,5.20,DST,5.20,5.30,5.00,576300.00
22/05/2018,5.20,DST,5.20,5.40,4.90,3802780.00
21/05/2018,5.10,DST,5.30,5.40,5.10,931000.00
18/05/2018,5.30,DST,5.30,5.40,5.10,871000.00
17/05/2018,5.40,DST,5.30,5.70,5.30,1329200.00
16/05/2018,5.30,DST,4.90,5.30,4.80,4736200.00
15/05/2018,4.90,DST,5.40,5.40,4.90,672709.00
14/05/2018,5.40,DST,5.10,5.40,4.80,991500.00
11/05/2018,5.10,DST,4.80,5.20,4.40,3520450.00
10/05/2018,4.80,DST,5.60,5.70,4.80,4088500.00
09/05/2018,5.30,DST,5.10,5.30,4.90,4741900.00
08/05/2018,4.90,DST,4.70,4.90,4.50,3899170.00
07/05/2018,4.50,DST,4.00,4.50,4.00,1696719.00
04/05/2018,4.10,DST,4.50,4.50,4.10,425330.00
03/05/2018,4.50,DST,4.20,4.50,4.10,5381470.00
02/05/2018,4.50,DST,4.90,4.90,4.50,595439.00
27/04/2018,4.90,DST,4.90,5.10,4.50,1995999.00
26/04/2018,4.90,DST,5.30,5.90,4.90,8718806.00
24/04/2018,5.40,DST,6.00,6.30,5.30,4791949.00
23/04/2018,5.80,DST,5.50,5.80,5.30,7475877.00
20/04/2018,5.30,DST,5.30,5.30,4.50,3839846.00
19/04/2018,4.90,DST,4.90,4.90,4.60,1643318.00
18/04/2018,4.50,DST,4.50,4.50,4.30,1284247.00
17/04/2018,4.10,DST,4.00,4.10,3.90,2982963.00
16/04/2018,3.80,DST,3.40,3.80,3.40,3532500.00
13/04/2018,3.50,DST,3.30,3.50,3.30,1628738.00
12/04/2018,3.30,DST,3.10,3.30,3.10,3019414.00
11/04/2018,3.00,DST,2.90,3.00,2.80,606687.00
10/04/2018,2.80,DST,3.00,3.00,2.80,245300.00
09/04/2018,3.00,DST,3.00,3.10,2.90,315620.00
06/04/2018,3.00,DST,3.10,3.20,2.90,4382300.00
05/04/2018,3.10,DST,3.00,3.20,3.00,1102837.00
04/04/2018,3.10,DST,3.00,3.30,3.00,1732100.00
03/04/2018,3.10,DST,3.20,3.40,3.10,131959.00
02/04/2018,3.40,DST,3.20,3.40,3.00,753600.00
30/03/2018,3.30,DST,3.50,3.60,3.30,1149650.00
29/03/2018,3.30,DST,3.30,3.30,3.10,2031490.00
28/03/2018,3.00,DST,2.90,3.00,2.80,1866639.00
27/03/2018,2.80,DST,2.80,2.90,2.80,307050.00
26/03/2018,2.80,DST,3.00,3.00,2.80,280900.00
23/03/2018,3.00,DST,3.00,3.00,2.90,96300.00
22/03/2018,3.00,DST,3.10,3.10,3.00,236877.00
21/03/2018,3.00,DST,3.00,3.20,3.00,230910.00
20/03/2018,3.00,DST,3.00,3.00,2.90,168296.00
19/03/2018,3.00,DST,3.10,3.10,3.00,177500.00
16/03/2018,3.10,DST,3.10,3.20,3.00,347020.00
15/03/2018,3.10,DST,3.30,3.30,3.10,436690.00
14/03/2018,3.40,DST,3.60,3.70,3.30,573190.00
13/03/2018,3.60,DST,3.60,3.80,3.40,878251.00
12/03/2018,3.50,DST,3.20,3.50,3.20,1564350.00
09/03/2018,3.20,DST,3.20,3.30,3.10,543430.00
08/03/2018,3.20,DST,3.10,3.20,3.00,418600.00
07/03/2018,3.00,DST,2.80,3.10,2.70,433110.00
06/03/2018,2.90,DST,2.80,2.90,2.70,209267.00
05/03/2018,2.80,DST,2.80,2.80,2.70,117100.00
02/03/2018,2.70,DST,2.80,2.80,2.70,369900.00
01/03/2018,2.80,DST,2.80,2.80,2.70,156360.00
28/02/2018,2.80,DST,2.80,2.90,2.70,326166.00
27/02/2018,2.80,DST,2.80,3.00,2.80,343800.00
26/02/2018,2.80,DST,2.80,2.90,2.70,306530.00
23/02/2018,2.80,DST,2.70,2.90,2.70,377244.00
22/02/2018,2.70,DST,2.80,2.80,2.70,168100.00
21/02/2018,2.80,DST,2.70,2.80,2.70,130200.00
13/02/2018,2.80,DST,2.90,3.00,2.80,1239954.00
12/02/2018,3.10,DST,3.20,3.30,3.10,454600.00
09/02/2018,3.40,DST,3.50,3.50,3.10,2511929.00
08/02/2018,3.40,DST,3.10,3.40,2.80,5636180.00
07/02/2018,3.10,DST,2.80,3.20,2.80,430700.00
06/02/2018,3.10,DST,3.20,3.20,3.10,433700.00
05/02/2018,3.40,DST,3.40,3.50,3.10,2488310.00
02/02/2018,3.40,DST,3.60,3.90,3.40,4593519.00
01/02/2018,3.70,DST,4.10,4.40,3.70,3931100.00
31/01/2018,4.10,DST,3.70,4.10,3.60,4383480.00
30/01/2018,3.80,DST,3.80,3.90,3.60,1095920.00
29/01/2018,3.90,DST,4.30,4.30,3.90,5976300.00
26/01/2018,4.30,DST,4.60,4.90,4.30,1336900.00
25/01/2018,4.70,DST,5.10,5.10,4.70,1649090.00
24/01/2018,5.20,DST,5.10,5.40,4.90,1319480.00
23/01/2018,5.40,DST,5.50,5.60,5.40,574276.00
22/01/2018,6.00,DST,5.80,6.20,5.30,4242197.00
19/01/2018,5.80,DST,6.40,6.70,5.80,5117200.00
18/01/2018,6.40,DST,6.90,7.00,6.40,5546726.00
17/01/2018,7.10,DST,7.70,7.90,7.10,1626650.00
16/01/2018,7.80,DST,7.10,7.80,6.50,3132060.00
15/01/2018,7.10,DST,7.70,7.70,7.10,1411800.00
12/01/2018,7.80,DST,8.70,8.70,7.70,1267346.00
11/01/2018,8.50,DST,8.00,8.50,7.90,2172359.00
10/01/2018,7.80,DST,7.10,7.80,7.00,2487920.00
09/01/2018,7.10,DST,7.10,7.20,7.00,197400.00
08/01/2018,7.10,DST,7.10,7.20,7.10,322500.00
05/01/2018,7.10,DST,7.10,7.30,7.10,376800.00
04/01/2018,7.10,DST,7.10,7.20,7.00,157300.00
03/01/2018,7.10,DST,6.90,7.30,6.90,845930.00
02/01/2018,7.00,DST,6.80,7.10,6.80,77300.00
29/12/2017,6.90,DST,6.80,7.00,6.80,163200.00
28/12/2017,7.00,DST,6.70,7.20,6.40,175200.00
27/12/2017,7.00,DST,6.80,7.30,6.70,598220.00
26/12/2017,7.40,DST,8.20,8.50,7.40,1212320.00
25/12/2017,8.20,DST,10.00,10.00,8.20,1097880.00
22/12/2017,9.10,DST,10.10,10.30,9.10,1397601.00
21/12/2017,10.10,DST,9.40,10.20,9.20,1500530.00
20/12/2017,9.40,DST,9.90,10.00,8.80,298980.00
19/12/2017,9.70,DST,9.40,9.80,9.40,442330.00
18/12/2017,9.40,DST,9.90,9.90,9.00,371490.00
15/12/2017,10.00,DST,10.90,10.90,10.00,391930.00
14/12/2017,11.10,DST,11.10,11.10,10.10,1095700.00
13/12/2017,11.20,DST,10.90,12.00,10.10,1984525.00
12/12/2017,11.20,DST,11.00,11.20,10.10,733320.00
11/12/2017,11.20,DST,11.30,11.30,10.30,3753093.00
08/12/2017,11.40,DST,12.90,12.90,11.40,1308500.00
07/12/2017,12.60,DST,11.50,12.60,10.40,2149320.00
06/12/2017,11.50,DST,11.10,12.10,10.30,745800.00
05/12/2017,11.40,DST,12.40,12.50,11.40,884310.00
04/12/2017,12.60,DST,13.10,13.10,12.10,1229000.00
01/12/2017,13.40,DST,13.50,13.60,12.60,2144131.00
30/11/2017,14.00,DST,13.60,14.00,11.80,190992.00
29/11/2017,13.10,DST,14.00,14.60,13.10,1274130.00
28/11/2017,14.50,DST,14.50,14.70,13.10,481900.00
27/11/2017,14.50,DST,14.50,14.50,13.50,1177600.00
24/11/2017,15.00,DST,14.60,15.30,13.50,976100.00
23/11/2017,14.60,DST,14.60,14.70,14.50,70500.00
22/11/2017,14.50,DST,15.00,15.00,13.70,159210.00
21/11/2017,15.20,DST,15.20,15.70,15.10,393600.00
20/11/2017,15.20,DST,14.80,15.50,14.70,141810.00
17/11/2017,14.80,DST,14.70,14.90,14.40,152405.00
16/11/2017,14.70,DST,14.90,14.90,14.00,298310.00
15/11/2017,15.50,DST,17.10,17.40,15.50,284730.00
14/11/2017,17.20,DST,17.20,17.80,15.50,611100.00
13/11/2017,17.20,DST,16.20,17.50,16.10,761230.00
10/11/2017,16.20,DST,16.20,16.70,14.90,600900.00
09/11/2017,16.50,DST,16.40,16.90,16.30,186100.00
08/11/2017,16.40,DST,16.20,17.20,14.60,318900.00
07/11/2017,16.20,DST,14.60,16.30,14.60,775410.00
06/11/2017,16.20,DST,16.50,16.90,16.20,34010.00
03/11/2017,18.00,DST,20.10,20.80,18.00,150310.00
02/11/2017,20.00,DST,20.00,21.00,19.00,4787500.00
01/11/2017,21.10,DST,23.30,23.40,21.10,155600.00
31/10/2017,23.40,DST,22.30,23.50,22.20,1066022.00
