DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
26/04/2019,41.00,DTL,41.00,41.00,41.00,0.00
25/04/2019,41.00,DTL,41.00,41.00,41.00,0.00
24/04/2019,41.00,DTL,41.00,41.00,41.00,0.00
23/04/2019,41.00,DTL,41.00,41.00,41.00,0.00
22/04/2019,41.00,DTL,41.00,41.00,41.00,0.00
19/04/2019,41.00,DTL,41.00,41.00,41.00,0.00
18/04/2019,41.00,DTL,41.00,41.00,41.00,0.00
17/04/2019,41.00,DTL,41.00,41.00,41.00,0.00
16/04/2019,41.00,DTL,41.00,41.00,41.00,0.00
12/04/2019,41.00,DTL,41.00,41.00,41.00,0.00
11/04/2019,41.00,DTL,41.00,41.00,41.00,0.00
10/04/2019,41.00,DTL,41.00,41.00,41.00,0.00
09/04/2019,41.00,DTL,41.00,41.00,41.00,0.00
08/04/2019,41.00,DTL,41.00,41.00,41.00,0.00
05/04/2019,41.00,DTL,41.00,41.00,41.00,0.00
04/04/2019,41.00,DTL,41.00,41.00,41.00,0.00
03/04/2019,41.00,DTL,41.00,41.00,41.00,0.00
02/04/2019,41.00,DTL,41.00,41.00,41.00,0.00
01/04/2019,41.00,DTL,41.00,41.00,41.00,0.00
29/03/2019,41.00,DTL,41.00,41.00,41.00,0.00
28/03/2019,41.00,DTL,41.00,41.00,41.00,0.00
27/03/2019,41.00,DTL,41.00,41.00,41.00,0.00
26/03/2019,41.00,DTL,41.00,41.00,41.00,0.00
25/03/2019,41.00,DTL,41.00,41.00,41.00,0.00
22/03/2019,41.00,DTL,41.00,41.00,41.00,0.00
21/03/2019,41.00,DTL,41.00,41.00,41.00,0.00
20/03/2019,41.00,DTL,41.00,41.00,41.00,0.00
19/03/2019,41.00,DTL,41.00,41.00,41.00,0.00
18/03/2019,41.00,DTL,41.00,41.00,41.00,0.00
15/03/2019,41.00,DTL,41.00,41.00,41.00,0.00
14/03/2019,41.00,DTL,41.00,41.00,41.00,0.00
13/03/2019,41.00,DTL,39.55,41.00,39.50,630.00
12/03/2019,39.50,DTL,39.50,39.50,39.50,800.00
11/03/2019,39.45,DTL,39.45,39.45,39.45,0.00
08/03/2019,39.45,DTL,39.50,39.50,39.45,800.00
07/03/2019,39.90,DTL,40.00,40.00,39.90,1000.00
06/03/2019,40.10,DTL,40.10,40.10,40.10,200.00
05/03/2019,40.00,DTL,40.50,40.50,40.00,600.00
04/03/2019,40.00,DTL,40.00,40.00,40.00,0.00
01/03/2019,40.00,DTL,40.00,40.00,40.00,1000.00
28/02/2019,39.35,DTL,39.35,39.35,39.35,450.00
27/02/2019,39.35,DTL,39.35,39.35,39.35,0.00
26/02/2019,39.35,DTL,39.35,39.35,38.00,200.00
25/02/2019,36.80,DTL,36.80,36.80,36.80,1100.00
22/02/2019,36.70,DTL,36.70,36.70,36.70,1030.00
21/02/2019,36.80,DTL,36.80,36.80,36.80,0.00
20/02/2019,36.80,DTL,37.50,37.50,36.80,1000.00
19/02/2019,36.90,DTL,36.90,36.90,36.90,1000.00
18/02/2019,37.00,DTL,36.90,37.00,36.90,1000.00
15/02/2019,37.20,DTL,37.50,37.50,37.20,1100.00
14/02/2019,37.00,DTL,36.00,37.00,36.00,1100.00
13/02/2019,37.00,DTL,37.00,37.00,37.00,850.00
12/02/2019,36.90,DTL,36.90,36.90,36.90,0.00
11/02/2019,36.90,DTL,36.90,36.90,36.90,1000.00
01/02/2019,36.70,DTL,36.00,36.70,36.00,1180.00
31/01/2019,36.60,DTL,36.60,36.60,36.60,250.00
30/01/2019,36.10,DTL,36.10,36.10,36.10,0.00
29/01/2019,36.10,DTL,36.10,36.10,36.10,1000.00
28/01/2019,36.15,DTL,36.15,36.15,36.15,1000.00
25/01/2019,36.10,DTL,36.10,36.10,36.10,0.00
24/01/2019,36.10,DTL,36.10,36.10,36.10,1000.00
23/01/2019,36.10,DTL,36.10,36.10,36.10,0.00
22/01/2019,36.10,DTL,37.20,37.20,36.10,1010.00
21/01/2019,36.00,DTL,36.00,36.00,36.00,20.00
18/01/2019,35.80,DTL,36.00,36.00,35.80,1100.00
17/01/2019,35.80,DTL,35.80,35.80,35.80,160.00
16/01/2019,35.55,DTL,35.55,35.55,35.55,950.00
15/01/2019,35.50,DTL,35.50,35.50,35.50,850.00
14/01/2019,35.40,DTL,35.40,35.40,35.40,450.00
11/01/2019,35.00,DTL,35.00,35.00,35.00,0.00
10/01/2019,35.00,DTL,35.00,35.00,35.00,560.00
09/01/2019,35.00,DTL,35.00,35.00,35.00,400.00
08/01/2019,34.80,DTL,36.60,36.60,34.80,600.00
07/01/2019,36.60,DTL,36.60,36.60,36.60,1000.00
04/01/2019,38.50,DTL,38.50,38.50,38.50,450.00
03/01/2019,40.50,DTL,40.50,40.50,40.50,0.00
02/01/2019,40.50,DTL,40.50,40.50,40.50,1200.00
28/12/2018,40.20,DTL,40.20,40.20,40.20,0.00
27/12/2018,40.20,DTL,40.20,40.20,40.20,950.00
26/12/2018,40.30,DTL,40.30,40.30,40.30,1000.00
25/12/2018,40.50,DTL,40.50,40.50,40.50,0.00
24/12/2018,40.50,DTL,40.50,40.50,40.50,1000.00
21/12/2018,40.60,DTL,40.60,40.60,40.60,1000.00
20/12/2018,40.80,DTL,40.80,40.80,40.80,0.00
19/12/2018,40.80,DTL,40.80,40.80,40.80,800.00
18/12/2018,41.00,DTL,41.00,41.00,41.00,950.00
