DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
26/04/2019,12.00,DTT,12.00,12.00,12.00,460.00
25/04/2019,12.00,DTT,12.00,12.00,12.00,0.00
24/04/2019,12.00,DTT,12.00,12.00,12.00,670.00
23/04/2019,12.90,DTT,12.00,12.90,12.00,140.00
22/04/2019,12.10,DTT,12.10,12.10,12.10,0.00
19/04/2019,12.10,DTT,12.10,12.10,12.10,300.00
18/04/2019,12.10,DTT,12.10,12.10,12.05,90.00
17/04/2019,12.55,DTT,12.55,12.55,12.55,0.00
16/04/2019,12.55,DTT,12.55,12.55,12.55,0.00
12/04/2019,12.55,DTT,12.55,12.55,12.55,0.00
11/04/2019,12.55,DTT,12.55,12.55,12.55,50.00
10/04/2019,12.55,DTT,11.75,12.55,11.75,60.00
09/04/2019,11.75,DTT,11.75,11.75,11.75,40.00
08/04/2019,11.00,DTT,10.00,11.00,10.00,20.00
05/04/2019,10.75,DTT,10.75,10.75,10.75,10.00
04/04/2019,10.05,DTT,10.05,10.05,10.05,0.00
03/04/2019,10.05,DTT,10.05,10.05,10.05,0.00
02/04/2019,10.05,DTT,10.05,10.05,10.05,0.00
01/04/2019,10.05,DTT,10.05,10.05,10.05,0.00
29/03/2019,10.05,DTT,10.05,10.05,10.05,0.00
28/03/2019,10.05,DTT,10.05,10.05,10.05,0.00
27/03/2019,10.05,DTT,10.05,10.05,10.05,310.00
26/03/2019,9.40,DTT,9.40,9.40,9.40,10.00
25/03/2019,10.05,DTT,10.05,10.05,10.05,0.00
22/03/2019,10.05,DTT,10.05,10.05,10.05,0.00
21/03/2019,10.05,DTT,10.05,10.05,10.05,0.00
20/03/2019,10.05,DTT,8.76,10.05,8.76,190.00
19/03/2019,9.41,DTT,9.41,9.41,9.41,0.00
18/03/2019,9.41,DTT,9.41,9.41,9.41,0.00
15/03/2019,9.41,DTT,9.41,9.41,9.41,0.00
14/03/2019,9.41,DTT,9.41,9.41,9.41,10.00
13/03/2019,10.10,DTT,10.10,10.10,10.10,0.00
12/03/2019,10.10,DTT,9.40,10.10,9.40,350.00
11/03/2019,9.95,DTT,9.35,9.95,9.35,260.00
08/03/2019,10.05,DTT,10.80,10.80,10.05,790.00
07/03/2019,10.80,DTT,10.80,10.80,10.80,600.00
06/03/2019,11.60,DTT,11.60,11.60,11.60,10.00
05/03/2019,10.85,DTT,10.85,10.85,10.85,0.00
04/03/2019,10.85,DTT,10.85,10.85,10.85,0.00
01/03/2019,10.85,DTT,10.85,10.85,10.85,0.00
28/02/2019,10.85,DTT,10.85,10.85,10.85,0.00
27/02/2019,10.85,DTT,10.85,10.85,10.85,0.00
26/02/2019,10.85,DTT,10.85,10.85,10.85,10.00
25/02/2019,10.50,DTT,10.50,10.50,10.50,490.00
22/02/2019,10.50,DTT,10.50,11.25,10.50,1150.00
21/02/2019,11.25,DTT,11.25,11.25,11.25,20.00
20/02/2019,12.05,DTT,12.05,12.05,12.05,0.00
19/02/2019,12.05,DTT,12.05,12.05,12.05,0.00
18/02/2019,12.05,DTT,12.05,12.05,12.05,10.00
15/02/2019,11.85,DTT,11.85,11.85,11.85,0.00
14/02/2019,11.85,DTT,11.10,11.85,11.10,110.00
13/02/2019,11.90,DTT,11.90,11.90,11.90,0.00
12/02/2019,11.90,DTT,11.20,11.95,10.45,260.00
11/02/2019,11.20,DTT,11.20,11.20,11.20,580.00
01/02/2019,12.00,DTT,12.00,12.00,10.95,30.00
