DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
26/04/2019,37.15,DVP,37.05,37.30,37.00,2920.00
25/04/2019,37.00,DVP,37.20,37.20,37.00,13480.00
24/04/2019,37.20,DVP,37.05,37.50,37.05,22310.00
23/04/2019,37.20,DVP,37.10,37.50,37.00,18430.00
22/04/2019,37.10,DVP,37.30,37.50,37.10,10560.00
19/04/2019,37.50,DVP,37.90,37.90,37.40,39200.00
18/04/2019,37.90,DVP,37.80,38.45,37.50,7810.00
17/04/2019,38.30,DVP,38.55,38.55,38.00,16340.00
16/04/2019,38.00,DVP,38.85,38.85,38.00,34400.00
12/04/2019,38.85,DVP,38.75,40.95,38.10,18990.00
11/04/2019,38.30,DVP,38.30,38.50,38.20,3980.00
10/04/2019,38.30,DVP,38.30,38.70,38.15,5740.00
09/04/2019,38.30,DVP,38.85,38.85,38.30,5690.00
08/04/2019,38.85,DVP,38.50,38.95,38.45,3310.00
05/04/2019,38.90,DVP,38.95,38.95,38.30,2360.00
04/04/2019,38.30,DVP,38.30,38.90,38.25,29790.00
03/04/2019,38.45,DVP,38.30,38.45,38.15,5930.00
02/04/2019,38.50,DVP,38.80,39.00,38.40,4940.00
01/04/2019,38.60,DVP,38.60,39.00,38.10,5930.00
29/03/2019,38.60,DVP,38.95,38.95,38.50,14700.00
28/03/2019,38.80,DVP,38.80,38.80,38.10,17230.00
27/03/2019,38.75,DVP,39.00,39.00,38.35,9500.00
26/03/2019,38.75,DVP,39.30,39.30,38.55,3850.00
25/03/2019,38.60,DVP,39.10,39.15,38.10,6890.00
22/03/2019,39.20,DVP,39.15,39.30,39.00,2310.00
21/03/2019,39.15,DVP,39.20,39.50,39.10,10280.00
20/03/2019,39.20,DVP,39.40,39.40,39.10,10820.00
19/03/2019,39.40,DVP,39.20,39.50,38.50,11240.00
18/03/2019,39.50,DVP,39.30,39.80,39.00,6440.00
15/03/2019,39.30,DVP,39.00,39.40,38.70,3330.00
14/03/2019,39.50,DVP,39.80,39.80,39.20,20420.00
13/03/2019,39.45,DVP,39.70,39.70,39.20,22110.00
12/03/2019,39.30,DVP,40.00,40.00,39.00,6200.00
11/03/2019,39.30,DVP,39.90,40.30,38.85,22810.00
08/03/2019,38.90,DVP,39.30,39.70,38.20,20410.00
07/03/2019,39.40,DVP,38.95,39.40,38.15,27450.00
06/03/2019,38.50,DVP,38.20,38.50,38.20,7890.00
05/03/2019,38.35,DVP,38.15,38.35,37.90,9900.00
04/03/2019,38.00,DVP,38.20,38.35,37.50,32760.00
01/03/2019,38.00,DVP,37.65,38.15,37.55,7970.00
28/02/2019,37.65,DVP,38.30,38.35,37.50,16120.00
27/02/2019,37.80,DVP,38.40,38.40,37.80,27650.00
26/02/2019,38.40,DVP,38.40,38.50,37.95,7550.00
25/02/2019,38.00,DVP,37.95,38.20,37.70,27710.00
22/02/2019,37.95,DVP,37.90,38.45,37.80,68730.00
21/02/2019,37.90,DVP,38.70,38.70,37.90,24550.00
20/02/2019,37.90,DVP,38.00,39.05,37.90,38910.00
19/02/2019,38.00,DVP,40.50,40.50,38.00,72780.00
18/02/2019,40.00,DVP,40.50,40.60,39.00,14900.00
15/02/2019,40.40,DVP,40.85,40.85,39.95,1730.00
14/02/2019,40.30,DVP,40.40,40.40,39.50,10150.00
13/02/2019,40.40,DVP,40.55,40.60,39.75,9090.00
12/02/2019,40.55,DVP,40.70,40.90,39.70,9630.00
11/02/2019,40.70,DVP,40.50,40.90,40.25,3390.00
01/02/2019,40.90,DVP,39.70,40.90,39.60,3560.00
31/01/2019,41.00,DVP,39.25,41.20,39.25,2170.00
30/01/2019,41.00,DVP,41.00,41.00,41.00,20.00
29/01/2019,39.50,DVP,39.40,39.60,39.15,2290.00
28/01/2019,39.50,DVP,39.50,39.60,39.30,14970.00
25/01/2019,39.60,DVP,40.00,40.00,39.50,8880.00
24/01/2019,39.60,DVP,40.20,40.50,39.10,17010.00
23/01/2019,40.50,DVP,40.95,40.95,40.00,7710.00
22/01/2019,40.30,DVP,40.00,40.80,40.00,3620.00
21/01/2019,39.50,DVP,40.50,40.60,39.50,27210.00
18/01/2019,40.50,DVP,40.75,40.90,40.50,1570.00
17/01/2019,40.90,DVP,40.60,41.00,40.50,6280.00
16/01/2019,40.70,DVP,40.95,40.95,40.70,12260.00
15/01/2019,40.80,DVP,41.00,41.60,40.70,18250.00
14/01/2019,41.00,DVP,41.00,41.80,41.00,13120.00
11/01/2019,41.00,DVP,41.90,41.90,40.95,33820.00
10/01/2019,41.00,DVP,40.70,42.00,40.70,20150.00
09/01/2019,41.90,DVP,42.00,42.00,41.55,2480.00
08/01/2019,41.55,DVP,42.00,42.00,41.55,2980.00
07/01/2019,42.00,DVP,41.35,42.00,41.00,1310.00
04/01/2019,41.00,DVP,40.50,41.60,40.50,12000.00
03/01/2019,41.25,DVP,41.75,41.80,41.25,10890.00
02/01/2019,41.75,DVP,42.00,42.00,41.00,3890.00
28/12/2018,42.00,DVP,42.90,42.90,42.00,4300.00
27/12/2018,42.40,DVP,42.70,43.00,42.00,8060.00
26/12/2018,42.00,DVP,42.00,42.00,41.80,27930.00
25/12/2018,42.00,DVP,42.85,42.85,41.60,28810.00
24/12/2018,42.85,DVP,42.80,42.95,42.70,5480.00
21/12/2018,42.80,DVP,43.10,43.10,41.75,2940.00
20/12/2018,42.70,DVP,43.40,43.40,42.60,200.00
19/12/2018,43.60,DVP,45.00,45.00,42.00,1720.00
18/12/2018,42.40,DVP,42.50,42.50,41.80,11590.00
17/12/2018,42.60,DVP,42.60,42.80,42.00,11790.00
14/12/2018,42.80,DVP,42.95,43.00,42.50,17140.00
13/12/2018,42.70,DVP,42.60,43.35,42.60,6820.00
12/12/2018,42.60,DVP,43.30,43.30,42.50,4170.00
11/12/2018,42.50,DVP,43.35,43.35,42.50,8260.00
10/12/2018,42.50,DVP,42.60,42.90,42.35,8400.00
07/12/2018,42.90,DVP,43.55,43.55,42.50,10890.00
06/12/2018,43.00,DVP,43.00,43.50,42.90,11590.00
05/12/2018,43.00,DVP,43.95,43.95,43.00,24410.00
04/12/2018,43.65,DVP,45.00,45.05,43.50,10690.00
03/12/2018,45.35,DVP,45.60,45.65,45.30,32280.00
30/11/2018,45.40,DVP,44.90,45.50,44.50,25410.00
29/11/2018,44.60,DVP,44.95,44.95,44.50,12440.00
28/11/2018,44.80,DVP,44.65,44.90,44.65,7350.00
27/11/2018,44.80,DVP,44.80,45.00,44.80,20190.00
26/11/2018,44.80,DVP,44.80,44.95,44.60,8790.00
23/11/2018,44.80,DVP,44.65,45.00,44.65,2860.00
22/11/2018,44.80,DVP,45.20,45.20,44.80,22370.00
21/11/2018,44.70,DVP,45.40,45.40,44.00,18760.00
20/11/2018,44.75,DVP,45.65,45.70,44.40,16260.00
19/11/2018,44.60,DVP,45.40,45.40,44.30,18780.00
16/11/2018,44.60,DVP,45.00,45.00,44.60,17740.00
15/11/2018,44.90,DVP,44.50,45.90,44.50,26810.00
14/11/2018,44.50,DVP,45.00,45.00,44.50,18910.00
13/11/2018,45.00,DVP,45.00,45.90,44.50,44700.00
12/11/2018,45.00,DVP,45.00,45.00,44.55,30190.00
09/11/2018,45.00,DVP,45.90,45.90,44.80,6960.00
08/11/2018,45.30,DVP,46.35,46.35,45.25,6820.00
07/11/2018,45.50,DVP,45.50,45.65,45.35,15660.00
06/11/2018,45.70,DVP,45.50,46.40,45.30,6640.00
05/11/2018,45.70,DVP,45.70,46.35,45.20,13410.00
02/11/2018,45.45,DVP,45.70,45.70,44.50,49560.00
01/11/2018,45.70,DVP,45.80,45.80,45.50,18000.00
31/10/2018,45.80,DVP,45.00,46.00,45.00,20610.00
30/10/2018,45.15,DVP,44.00,45.20,44.00,1560.00
29/10/2018,45.00,DVP,45.40,45.40,45.00,1610.00
26/10/2018,44.95,DVP,44.00,45.50,44.00,13450.00
25/10/2018,44.50,DVP,43.20,45.00,43.20,4810.00
24/10/2018,45.80,DVP,45.10,45.90,45.00,19080.00
23/10/2018,45.00,DVP,46.00,46.00,44.50,39970.00
22/10/2018,45.00,DVP,45.00,46.20,45.00,37800.00
19/10/2018,45.00,DVP,45.00,45.00,44.40,4150.00
18/10/2018,45.00,DVP,45.40,45.45,45.00,1550.00
17/10/2018,45.60,DVP,45.75,45.75,45.00,5260.00
16/10/2018,45.75,DVP,45.90,45.90,45.00,1950.00
15/10/2018,45.65,DVP,46.30,46.30,45.00,3560.00
