DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
26/04/2019,12.50,DXP,12.50,12.50,12.50,0.00
25/04/2019,12.50,DXP,12.10,12.70,11.80,2300.00
24/04/2019,12.80,DXP,11.90,12.90,11.70,1500.00
23/04/2019,13.00,DXP,12.70,13.00,12.70,250.00
22/04/2019,12.70,DXP,13.00,13.00,11.90,600.00
19/04/2019,12.40,DXP,12.60,12.60,12.00,1500.00
18/04/2019,12.60,DXP,11.70,12.90,11.70,1800.00
17/04/2019,13.00,DXP,12.50,13.00,12.50,200.00
16/04/2019,12.00,DXP,12.00,14.60,12.00,2000.00
12/04/2019,13.30,DXP,12.30,13.30,12.30,1105.00
11/04/2019,12.30,DXP,11.70,12.30,11.70,400.00
10/04/2019,12.30,DXP,12.00,12.30,12.00,300.00
09/04/2019,12.30,DXP,11.90,12.30,11.90,1100.00
08/04/2019,12.30,DXP,11.90,12.30,11.90,3300.00
05/04/2019,12.50,DXP,12.50,12.50,12.50,10.00
04/04/2019,12.50,DXP,11.90,12.80,11.80,3300.00
03/04/2019,12.90,DXP,12.20,12.90,12.20,1122.00
02/04/2019,12.20,DXP,12.20,12.20,11.90,2188.00
01/04/2019,12.20,DXP,12.20,12.20,12.00,4100.00
29/03/2019,12.20,DXP,11.90,12.20,11.70,16300.00
28/03/2019,12.00,DXP,11.80,12.10,11.80,2585.00
27/03/2019,11.80,DXP,11.90,12.00,11.80,700.00
26/03/2019,11.50,DXP,11.90,12.20,11.50,626.00
25/03/2019,11.50,DXP,11.80,12.10,11.50,900.00
22/03/2019,11.60,DXP,11.50,11.80,11.50,1600.00
21/03/2019,11.50,DXP,11.70,11.70,11.40,1800.00
20/03/2019,12.10,DXP,11.80,12.10,11.70,1700.00
19/03/2019,11.90,DXP,12.00,12.10,11.50,1550.00
18/03/2019,12.20,DXP,11.90,12.20,11.00,30000.00
15/03/2019,12.20,DXP,12.20,13.00,11.90,6000.00
14/03/2019,12.30,DXP,12.30,12.30,12.30,0.00
13/03/2019,12.30,DXP,12.30,12.30,12.30,0.00
12/03/2019,12.30,DXP,12.30,12.30,12.30,200.00
11/03/2019,12.10,DXP,12.00,12.20,11.90,7400.00
08/03/2019,12.00,DXP,12.20,12.20,11.90,11300.00
07/03/2019,12.00,DXP,11.90,12.00,11.80,6200.00
06/03/2019,12.20,DXP,12.20,12.20,12.20,105.00
05/03/2019,11.80,DXP,12.20,12.20,11.80,3300.00
04/03/2019,11.90,DXP,12.20,12.20,11.90,2100.00
01/03/2019,11.90,DXP,12.20,12.20,11.80,3000.00
28/02/2019,12.00,DXP,11.90,12.10,11.70,6800.00
27/02/2019,12.00,DXP,12.20,12.20,12.00,1100.00
26/02/2019,11.90,DXP,11.80,11.90,11.70,4300.00
25/02/2019,11.80,DXP,11.80,12.00,11.70,5700.00
22/02/2019,11.80,DXP,12.20,12.20,11.70,3000.00
21/02/2019,12.00,DXP,12.20,12.20,11.80,2900.00
20/02/2019,12.00,DXP,12.00,12.20,11.80,3010.00
19/02/2019,11.90,DXP,11.90,12.00,11.70,14895.00
18/02/2019,11.80,DXP,11.80,11.80,11.40,7300.00
15/02/2019,11.40,DXP,11.80,12.00,11.30,7200.00
14/02/2019,11.50,DXP,11.60,11.70,11.00,2400.00
13/02/2019,11.60,DXP,11.60,11.60,11.60,1510.00
12/02/2019,11.60,DXP,11.60,11.80,11.60,8300.00
11/02/2019,11.80,DXP,11.80,11.80,11.60,8900.00
01/02/2019,11.60,DXP,11.20,11.60,11.20,3900.00
31/01/2019,11.20,DXP,11.20,11.20,11.00,3900.00
30/01/2019,11.20,DXP,11.20,11.20,11.20,1500.00
29/01/2019,11.20,DXP,11.20,11.20,11.20,0.00
28/01/2019,11.20,DXP,11.20,11.20,11.20,0.00
25/01/2019,11.20,DXP,11.20,11.20,11.20,2500.00
24/01/2019,11.50,DXP,11.20,11.60,11.20,1900.00
23/01/2019,12.00,DXP,12.00,12.00,12.00,0.00
22/01/2019,12.00,DXP,11.40,12.00,11.40,1200.00
21/01/2019,11.40,DXP,11.20,11.40,11.00,2000.00
18/01/2019,11.30,DXP,11.00,11.30,11.00,1300.00
17/01/2019,11.30,DXP,11.30,11.30,11.30,0.00
16/01/2019,11.30,DXP,11.30,11.30,11.00,6300.00
15/01/2019,11.30,DXP,11.00,11.30,11.00,4800.00
14/01/2019,10.90,DXP,10.90,10.90,10.90,200.00
11/01/2019,11.30,DXP,11.30,11.30,11.30,0.00
10/01/2019,11.30,DXP,11.30,11.30,11.30,120.00
09/01/2019,10.90,DXP,11.40,11.40,10.90,1700.00
08/01/2019,11.00,DXP,11.50,11.50,11.00,1300.00
07/01/2019,11.00,DXP,11.00,11.00,10.40,2100.00
04/01/2019,11.30,DXP,11.30,11.30,11.30,0.00
03/01/2019,11.30,DXP,11.50,11.50,11.00,2700.00
02/01/2019,11.00,DXP,11.30,11.40,11.00,7390.00
28/12/2018,11.30,DXP,11.50,11.50,11.30,5100.00
27/12/2018,11.50,DXP,11.50,11.50,11.50,400.00
26/12/2018,11.50,DXP,11.00,11.50,11.00,2200.00
25/12/2018,11.40,DXP,11.00,11.40,11.00,2000.00
24/12/2018,11.40,DXP,11.50,11.50,11.00,740.00
21/12/2018,11.10,DXP,11.30,11.30,11.00,400.00
