DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
26/04/2019,10.50,EBS,10.50,10.50,10.50,0.00
25/04/2019,10.50,EBS,10.50,10.50,10.50,0.00
24/04/2019,10.50,EBS,10.50,10.50,10.50,0.00
23/04/2019,10.50,EBS,10.50,10.50,10.50,0.00
22/04/2019,10.50,EBS,10.40,10.50,10.20,2000.00
19/04/2019,11.00,EBS,11.10,11.10,11.00,1100.00
18/04/2019,11.50,EBS,11.50,11.50,11.50,0.00
17/04/2019,11.50,EBS,11.00,11.50,11.00,2000.00
16/04/2019,11.00,EBS,11.00,11.40,11.00,2000.00
12/04/2019,11.40,EBS,11.40,11.40,11.40,0.00
11/04/2019,11.40,EBS,11.40,11.40,11.40,0.00
10/04/2019,11.40,EBS,11.40,11.40,11.40,84.00
09/04/2019,11.40,EBS,11.40,11.40,11.40,0.00
08/04/2019,11.40,EBS,11.40,11.40,11.40,0.00
05/04/2019,11.40,EBS,12.00,12.00,11.40,6100.00
04/04/2019,12.00,EBS,12.00,12.00,12.00,0.00
03/04/2019,12.00,EBS,12.00,12.00,12.00,0.00
02/04/2019,12.00,EBS,12.00,12.00,12.00,0.00
01/04/2019,12.00,EBS,12.00,12.00,12.00,100.00
29/03/2019,12.00,EBS,12.00,12.00,12.00,0.00
28/03/2019,12.00,EBS,12.60,12.60,12.00,1700.00
27/03/2019,12.60,EBS,12.60,12.60,12.60,2000.00
26/03/2019,12.60,EBS,12.60,12.60,12.60,2500.00
25/03/2019,12.60,EBS,12.60,12.60,12.60,6700.00
22/03/2019,12.60,EBS,12.60,12.60,12.60,200.00
21/03/2019,12.60,EBS,12.60,12.60,12.60,0.00
20/03/2019,12.60,EBS,12.60,12.60,12.60,5032.00
19/03/2019,12.60,EBS,12.60,12.60,12.60,0.00
18/03/2019,12.60,EBS,12.60,12.60,12.60,4500.00
15/03/2019,12.60,EBS,12.60,12.60,12.60,200.00
14/03/2019,12.60,EBS,12.60,12.70,12.60,1100.00
13/03/2019,11.90,EBS,11.90,11.90,11.90,3500.00
12/03/2019,12.60,EBS,12.60,12.60,11.90,2600.00
11/03/2019,12.60,EBS,12.70,12.80,12.60,2900.00
08/03/2019,12.60,EBS,12.50,12.60,12.50,2100.00
07/03/2019,12.50,EBS,12.60,12.60,12.50,1200.00
06/03/2019,12.50,EBS,12.50,12.60,12.50,3100.00
05/03/2019,12.50,EBS,12.00,12.50,12.00,1100.00
04/03/2019,12.00,EBS,12.00,12.50,12.00,1500.00
01/03/2019,11.80,EBS,12.30,12.30,11.80,3100.00
28/02/2019,11.60,EBS,12.20,12.50,11.60,5900.00
27/02/2019,11.60,EBS,11.60,11.60,11.60,0.00
26/02/2019,11.60,EBS,11.90,12.00,11.60,4300.00
25/02/2019,11.60,EBS,11.80,11.90,11.60,12200.00
22/02/2019,11.40,EBS,11.70,11.70,11.40,1700.00
21/02/2019,11.40,EBS,11.70,11.70,11.40,1300.00
20/02/2019,11.30,EBS,11.50,11.70,11.30,4510.00
19/02/2019,11.10,EBS,11.30,11.40,11.10,2400.00
18/02/2019,11.10,EBS,11.30,11.30,11.10,1819.00
15/02/2019,11.00,EBS,11.00,11.20,11.00,3900.00
14/02/2019,10.90,EBS,10.90,10.90,10.90,1000.00
13/02/2019,11.00,EBS,10.90,11.20,10.90,4800.00
12/02/2019,10.90,EBS,11.10,11.10,10.90,1500.00
11/02/2019,10.90,EBS,10.90,10.90,10.90,0.00
01/02/2019,10.90,EBS,10.90,10.90,10.90,0.00
31/01/2019,10.90,EBS,10.90,10.90,10.90,0.00
30/01/2019,10.90,EBS,10.90,10.90,10.90,0.00
29/01/2019,10.90,EBS,10.90,10.90,10.90,15500.00
28/01/2019,10.90,EBS,10.90,10.90,10.90,10000.00
25/01/2019,10.90,EBS,10.90,10.90,10.90,2000.00
24/01/2019,10.90,EBS,10.90,10.90,10.90,14200.00
23/01/2019,10.90,EBS,10.90,10.90,10.90,100.00
22/01/2019,10.80,EBS,10.80,10.80,10.80,0.00
21/01/2019,10.80,EBS,11.10,11.10,10.80,2600.00
18/01/2019,10.80,EBS,11.00,11.00,10.80,800.00
17/01/2019,10.80,EBS,10.80,10.80,10.80,1000.00
16/01/2019,10.70,EBS,10.70,10.70,10.70,10.00
15/01/2019,10.70,EBS,10.70,10.70,10.70,100.00
14/01/2019,11.00,EBS,11.00,11.00,11.00,0.00
11/01/2019,11.00,EBS,10.90,11.00,10.90,1000.00
10/01/2019,10.60,EBS,10.60,10.60,10.60,300.00
09/01/2019,10.60,EBS,10.80,10.90,10.60,1300.00
08/01/2019,10.40,EBS,10.70,10.90,10.40,3600.00
07/01/2019,10.30,EBS,10.70,10.70,10.30,800.00
04/01/2019,10.30,EBS,10.70,10.70,10.30,300.00
03/01/2019,10.30,EBS,10.30,10.30,10.30,200.00
02/01/2019,10.30,EBS,10.30,10.30,10.30,600.00
28/12/2018,10.30,EBS,10.30,10.30,10.00,3510.00
27/12/2018,10.30,EBS,10.30,10.30,10.30,310.00
26/12/2018,10.30,EBS,10.50,10.70,10.30,5100.00
25/12/2018,10.30,EBS,10.30,10.30,10.30,0.00
24/12/2018,10.30,EBS,10.30,10.30,10.30,0.00
21/12/2018,10.30,EBS,10.30,10.30,10.30,0.00
20/12/2018,10.30,EBS,10.30,10.30,10.30,0.00
19/12/2018,10.30,EBS,10.30,10.30,10.30,3500.00
18/12/2018,10.30,EBS,10.30,10.60,10.30,4900.00
17/12/2018,10.30,EBS,10.30,10.30,10.30,600.00
14/12/2018,10.20,EBS,10.20,10.30,10.20,1200.00
13/12/2018,10.20,EBS,10.20,10.20,10.20,1000.00
12/12/2018,10.20,EBS,10.20,10.20,10.10,2300.00
11/12/2018,10.10,EBS,10.10,10.10,10.10,0.00
10/12/2018,10.10,EBS,10.10,10.10,10.10,0.00
07/12/2018,10.10,EBS,10.10,10.30,10.10,1200.00
06/12/2018,10.00,EBS,10.10,10.10,10.00,200.00
05/12/2018,10.00,EBS,10.00,10.00,10.00,2100.00
04/12/2018,10.00,EBS,10.00,10.20,10.00,2100.00
03/12/2018,10.00,EBS,10.00,10.10,10.00,1700.00
30/11/2018,10.00,EBS,10.00,10.00,10.00,110.00
29/11/2018,9.90,EBS,9.90,9.90,9.90,200.00
