DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
26/04/2019,17.00,EIB,17.00,17.25,17.00,112310.00
25/04/2019,17.25,EIB,17.10,17.30,17.00,59090.00
24/04/2019,17.20,EIB,17.05,17.30,17.05,94860.00
23/04/2019,17.40,EIB,17.40,17.40,17.00,122700.00
22/04/2019,17.40,EIB,17.10,17.40,17.10,143960.00
19/04/2019,17.15,EIB,17.20,17.40,17.10,186880.00
18/04/2019,17.20,EIB,17.20,17.40,17.15,101150.00
17/04/2019,17.15,EIB,17.20,17.40,17.15,39130.00
16/04/2019,17.40,EIB,17.40,17.40,17.10,182480.00
12/04/2019,17.25,EIB,17.10,17.50,17.10,3940.00
11/04/2019,17.50,EIB,17.40,17.55,17.40,334660.00
10/04/2019,17.40,EIB,17.35,17.40,17.15,388650.00
09/04/2019,17.55,EIB,17.65,17.65,17.30,32650.00
08/04/2019,17.60,EIB,17.50,17.60,17.20,321460.00
05/04/2019,17.50,EIB,17.15,17.50,17.15,36470.00
04/04/2019,17.45,EIB,17.50,17.50,17.10,13870.00
03/04/2019,17.40,EIB,16.80,17.40,16.80,480670.00
02/04/2019,16.80,EIB,17.50,17.50,16.80,327660.00
01/04/2019,17.20,EIB,17.60,17.60,17.20,35360.00
29/03/2019,17.60,EIB,17.20,17.60,17.15,318720.00
28/03/2019,17.20,EIB,17.50,17.70,17.10,99870.00
27/03/2019,17.70,EIB,17.70,17.70,17.35,65730.00
26/03/2019,17.60,EIB,17.20,17.75,17.20,289280.00
25/03/2019,17.45,EIB,17.50,17.50,17.30,135010.00
22/03/2019,17.50,EIB,17.30,17.65,17.20,216300.00
21/03/2019,17.35,EIB,17.30,17.65,17.30,71550.00
20/03/2019,17.40,EIB,17.40,17.60,17.30,91030.00
19/03/2019,17.60,EIB,18.00,18.00,17.40,106460.00
18/03/2019,17.40,EIB,17.40,17.75,17.15,379520.00
15/03/2019,17.70,EIB,17.60,17.80,17.60,363640.00
14/03/2019,17.60,EIB,17.80,17.90,17.60,115420.00
13/03/2019,17.80,EIB,17.80,17.90,17.65,283190.00
12/03/2019,17.70,EIB,17.35,17.70,17.35,571180.00
11/03/2019,17.35,EIB,17.10,17.55,17.10,25520.00
08/03/2019,17.35,EIB,17.00,17.60,17.00,165570.00
07/03/2019,17.10,EIB,17.10,17.40,17.00,326850.00
06/03/2019,17.40,EIB,17.75,17.75,17.35,28410.00
05/03/2019,17.35,EIB,17.80,17.80,17.35,194370.00
04/03/2019,17.80,EIB,17.30,18.00,17.20,525300.00
01/03/2019,17.30,EIB,17.45,17.60,17.00,71400.00
