DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
26/04/2019,11.90,EMC,13.45,13.45,11.90,890.00
25/04/2019,12.75,EMC,12.80,12.80,12.75,150.00
24/04/2019,13.70,EMC,12.80,13.70,12.80,100.00
23/04/2019,13.75,EMC,13.05,13.95,13.05,50.00
22/04/2019,14.00,EMC,13.60,14.00,13.60,20.00
19/04/2019,13.60,EMC,12.00,13.70,12.00,1020.00
18/04/2019,12.85,EMC,12.85,12.85,12.85,0.00
17/04/2019,12.85,EMC,12.85,12.85,12.85,20.00
16/04/2019,13.80,EMC,13.80,13.80,13.80,0.00
12/04/2019,13.80,EMC,13.80,13.80,13.70,370.00
11/04/2019,13.90,EMC,13.90,13.90,13.90,100.00
10/04/2019,13.00,EMC,13.00,13.00,11.65,680.00
09/04/2019,12.15,EMC,12.80,12.80,12.15,40.00
08/04/2019,12.80,EMC,12.80,12.80,12.80,10.00
05/04/2019,13.75,EMC,13.30,13.75,13.30,50.00
04/04/2019,13.30,EMC,13.30,13.30,13.30,0.00
03/04/2019,13.30,EMC,13.30,13.30,13.30,100.00
02/04/2019,13.30,EMC,13.30,13.30,13.30,0.00
01/04/2019,13.30,EMC,13.30,13.30,13.30,0.00
29/03/2019,13.30,EMC,13.30,13.30,13.30,10.00
28/03/2019,12.65,EMC,12.65,12.65,11.30,40.00
27/03/2019,11.85,EMC,11.85,11.85,11.85,10.00
26/03/2019,12.60,EMC,12.60,12.60,12.60,0.00
25/03/2019,12.60,EMC,12.60,12.60,12.60,0.00
22/03/2019,12.60,EMC,12.60,12.60,12.60,0.00
21/03/2019,12.60,EMC,12.60,12.60,12.60,20.00
20/03/2019,13.50,EMC,13.50,13.50,13.50,0.00
19/03/2019,13.50,EMC,13.50,13.50,13.50,0.00
18/03/2019,13.50,EMC,13.50,13.50,13.50,20.00
15/03/2019,14.00,EMC,14.00,14.00,14.00,0.00
14/03/2019,14.00,EMC,14.00,14.00,14.00,0.00
13/03/2019,14.00,EMC,14.50,14.50,14.00,110.00
12/03/2019,13.95,EMC,13.85,13.95,13.85,1520.00
11/03/2019,13.05,EMC,13.05,13.05,13.05,0.00
08/03/2019,13.05,EMC,13.05,13.90,13.05,1440.00
07/03/2019,14.00,EMC,13.95,14.00,13.95,120.00
06/03/2019,15.00,EMC,15.00,15.00,15.00,0.00
05/03/2019,15.00,EMC,15.00,15.00,15.00,0.00
04/03/2019,15.00,EMC,13.90,15.00,13.90,150.00
01/03/2019,14.90,EMC,13.40,14.90,13.40,40.00
28/02/2019,14.40,EMC,12.70,14.40,12.70,150.00
27/02/2019,13.55,EMC,14.20,14.20,13.55,100.00
26/02/2019,14.55,EMC,13.15,14.55,13.05,30.00
25/02/2019,14.00,EMC,14.00,14.00,14.00,0.00
22/02/2019,14.00,EMC,14.80,14.85,14.00,120.00
21/02/2019,13.90,EMC,12.20,13.90,12.20,8280.00
20/02/2019,13.00,EMC,13.00,13.00,13.00,770.00
19/02/2019,12.15,EMC,12.15,12.15,11.40,510.00
18/02/2019,11.40,EMC,11.40,11.40,10.80,100.00
15/02/2019,10.70,EMC,10.70,10.70,10.70,0.00
14/02/2019,10.70,EMC,9.30,10.70,9.30,20.00
13/02/2019,10.00,EMC,10.00,10.00,10.00,10.00
12/02/2019,9.36,EMC,9.36,9.36,9.36,0.00
11/02/2019,9.36,EMC,9.36,9.36,9.36,10.00
01/02/2019,8.75,EMC,8.75,8.75,8.75,10.00
31/01/2019,9.40,EMC,9.40,9.40,9.40,0.00
30/01/2019,9.40,EMC,9.40,9.40,9.40,0.00
29/01/2019,9.40,EMC,9.40,9.40,9.40,0.00
28/01/2019,9.40,EMC,9.40,9.40,9.40,0.00
25/01/2019,9.40,EMC,9.40,9.40,9.40,10.00
24/01/2019,10.00,EMC,10.00,10.00,10.00,10.00
23/01/2019,10.70,EMC,10.70,10.70,10.70,0.00
22/01/2019,10.70,EMC,10.70,10.70,10.70,0.00
21/01/2019,10.70,EMC,11.75,11.75,10.70,20.00
18/01/2019,11.00,EMC,11.00,11.00,11.00,0.00
17/01/2019,11.00,EMC,11.00,11.00,11.00,10.00
16/01/2019,11.55,EMC,11.55,11.55,11.55,10.00
15/01/2019,12.35,EMC,12.35,12.35,12.35,0.00
14/01/2019,12.35,EMC,12.35,12.35,12.35,0.00
11/01/2019,12.35,EMC,11.10,12.35,11.10,30.00
10/01/2019,11.55,EMC,11.55,11.55,11.55,100.00
09/01/2019,10.80,EMC,10.80,10.80,10.80,20.00
08/01/2019,11.30,EMC,11.30,11.30,11.30,10.00
07/01/2019,12.10,EMC,12.10,12.10,12.10,0.00
04/01/2019,12.10,EMC,13.65,13.65,12.10,20.00
03/01/2019,12.80,EMC,12.80,12.80,12.80,10.00
02/01/2019,13.75,EMC,13.75,13.75,13.75,270.00
28/12/2018,14.75,EMC,14.75,14.75,14.75,0.00
27/12/2018,14.75,EMC,14.50,14.75,14.50,2950.00
26/12/2018,13.80,EMC,13.80,13.80,13.80,340.00
25/12/2018,13.00,EMC,13.00,13.00,13.00,10.00
24/12/2018,13.95,EMC,13.95,13.95,13.95,20.00
21/12/2018,13.40,EMC,13.40,13.40,13.40,0.00
20/12/2018,13.40,EMC,13.40,13.40,13.40,0.00
19/12/2018,13.40,EMC,13.25,13.40,13.25,2100.00
18/12/2018,12.60,EMC,12.60,12.60,12.60,0.00
17/12/2018,12.60,EMC,12.60,12.60,12.60,20.00
14/12/2018,12.25,EMC,12.25,12.25,12.25,0.00
13/12/2018,12.25,EMC,13.40,13.40,12.25,20.00
12/12/2018,13.15,EMC,13.15,13.15,13.15,0.00
11/12/2018,13.15,EMC,13.10,13.15,13.10,30.00
10/12/2018,12.30,EMC,12.30,12.30,12.30,240.00
07/12/2018,12.85,EMC,12.85,12.85,12.85,10.00
06/12/2018,12.20,EMC,12.20,12.20,12.20,0.00
05/12/2018,12.20,EMC,12.20,12.20,12.20,0.00
04/12/2018,12.20,EMC,13.00,13.50,12.10,190.00
03/12/2018,13.00,EMC,12.45,13.00,12.45,130.00
30/11/2018,12.45,EMC,12.45,12.45,12.45,0.00
29/11/2018,12.45,EMC,12.45,12.45,11.70,250.00
28/11/2018,11.65,EMC,11.65,11.65,11.65,10.00
27/11/2018,12.20,EMC,12.20,12.20,12.20,0.00
26/11/2018,12.20,EMC,12.20,12.20,12.20,10.00
23/11/2018,13.05,EMC,14.45,14.45,13.00,2320.00
22/11/2018,13.95,EMC,13.95,13.95,13.95,10.00
21/11/2018,15.00,EMC,15.00,15.00,15.00,10.00
20/11/2018,14.50,EMC,13.80,14.50,13.80,70.00
19/11/2018,13.80,EMC,12.20,13.80,12.20,2200.00
16/11/2018,13.10,EMC,13.10,13.10,13.10,0.00
15/11/2018,13.10,EMC,13.10,13.10,13.10,0.00
14/11/2018,13.10,EMC,13.10,13.10,13.10,20.00
13/11/2018,14.05,EMC,14.05,14.05,14.05,0.00
12/11/2018,14.05,EMC,14.05,14.05,14.05,10.00
09/11/2018,13.35,EMC,13.35,13.35,13.35,0.00
08/11/2018,13.35,EMC,13.35,13.35,13.35,0.00
07/11/2018,13.35,EMC,13.35,13.35,13.35,10.00
06/11/2018,14.35,EMC,14.35,14.35,14.35,0.00
05/11/2018,14.35,EMC,14.35,14.35,14.35,0.00
02/11/2018,14.35,EMC,14.35,14.35,14.35,20.00
01/11/2018,14.15,EMC,14.15,14.15,14.15,0.00
31/10/2018,14.15,EMC,14.15,14.15,14.15,0.00
30/10/2018,14.15,EMC,14.15,14.15,14.15,0.00
29/10/2018,14.15,EMC,14.15,14.15,14.15,10.00
26/10/2018,13.50,EMC,13.50,13.50,13.50,10.00
25/10/2018,14.50,EMC,14.50,14.50,14.50,0.00
24/10/2018,14.50,EMC,14.50,14.50,14.50,0.00
23/10/2018,14.50,EMC,14.50,14.50,14.50,0.00
