DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
17/06/2013,4.70,FBT,4.70,4.70,4.70,0.00
14/06/2013,4.70,FBT,4.70,4.70,4.70,20.00
13/06/2013,4.70,FBT,4.70,4.70,4.70,830.00
12/06/2013,4.70,FBT,4.70,4.70,4.70,2390.00
11/06/2013,4.70,FBT,4.70,4.70,4.70,20.00
10/06/2013,4.70,FBT,4.70,4.70,4.70,0.00
07/06/2013,4.70,FBT,4.70,4.70,4.70,1100.00
06/06/2013,4.70,FBT,4.70,4.70,4.70,20.00
05/06/2013,5.00,FBT,5.00,5.00,5.00,0.00
04/06/2013,5.00,FBT,5.00,5.00,5.00,910.00
03/06/2013,5.30,FBT,5.30,5.30,5.30,6010.00
31/05/2013,5.60,FBT,5.60,5.60,5.60,9000.00
30/05/2013,5.30,FBT,5.30,5.30,5.30,190.00
29/05/2013,5.30,FBT,5.30,5.30,5.30,2700.00
28/05/2013,5.30,FBT,5.30,5.30,5.30,1300.00
27/05/2013,5.00,FBT,5.00,5.00,5.00,1000.00
24/05/2013,5.00,FBT,5.00,5.00,5.00,10.00
23/05/2013,4.70,FBT,4.70,4.70,4.70,3030.00
22/05/2013,4.40,FBT,4.40,4.40,4.40,6090.00
21/05/2013,4.40,FBT,4.40,4.40,4.40,10010.00
20/05/2013,4.30,FBT,4.30,4.30,4.30,1000.00
17/05/2013,4.10,FBT,4.10,4.10,4.10,10.00
16/05/2013,3.90,FBT,3.90,3.90,3.90,10.00
15/05/2013,3.70,FBT,3.70,3.70,3.70,0.00
14/05/2013,3.70,FBT,3.70,3.70,3.70,10.00
13/05/2013,3.90,FBT,3.90,3.90,3.90,710.00
10/05/2013,3.70,FBT,3.70,3.70,3.70,980.00
09/05/2013,3.50,FBT,3.50,3.50,3.50,1000.00
08/05/2013,3.30,FBT,3.30,3.30,3.30,600.00
07/05/2013,3.30,FBT,3.30,3.30,3.30,0.00
06/05/2013,3.30,FBT,3.30,3.30,3.30,20.00
03/05/2013,3.30,FBT,3.30,3.30,3.30,1270.00
02/05/2013,3.10,FBT,3.10,3.10,3.10,0.00
26/04/2013,3.10,FBT,3.10,3.10,3.10,0.00
25/04/2013,3.10,FBT,3.10,3.10,3.10,10.00
24/04/2013,3.10,FBT,3.10,3.10,3.10,130.00
23/04/2013,2.90,FBT,2.90,2.90,2.90,0.00
22/04/2013,2.90,FBT,2.90,2.90,2.90,0.00
18/04/2013,2.90,FBT,2.90,2.90,2.90,0.00
17/04/2013,2.90,FBT,2.90,2.90,2.90,0.00
16/04/2013,2.90,FBT,2.90,2.90,2.90,0.00
15/04/2013,2.90,FBT,2.90,2.90,2.90,0.00
12/04/2013,2.90,FBT,2.90,2.90,2.90,0.00
11/04/2013,2.90,FBT,2.90,2.90,2.90,0.00
10/04/2013,2.90,FBT,2.90,2.90,2.90,0.00
09/04/2013,2.90,FBT,2.90,2.90,2.90,0.00
08/04/2013,2.90,FBT,2.90,2.90,2.90,0.00
05/04/2013,2.90,FBT,2.90,2.90,2.90,0.00
04/04/2013,2.90,FBT,2.90,2.90,2.90,0.00
03/04/2013,2.90,FBT,2.90,2.90,2.90,0.00
02/04/2013,2.90,FBT,2.90,2.90,2.90,3400.00
01/04/2013,2.90,FBT,2.90,2.90,2.90,600.00
29/03/2013,3.10,FBT,3.10,3.10,3.10,0.00
28/03/2013,3.10,FBT,3.10,3.10,3.10,10.00
27/03/2013,2.90,FBT,2.90,2.90,2.90,0.00
26/03/2013,2.90,FBT,2.90,2.90,2.90,590.00
25/03/2013,2.90,FBT,2.90,2.90,2.90,1000.00
22/03/2013,2.90,FBT,2.90,2.90,2.90,0.00
21/03/2013,2.90,FBT,2.90,2.90,2.90,0.00
20/03/2013,2.90,FBT,2.90,2.90,2.90,0.00
19/03/2013,2.90,FBT,2.90,2.90,2.90,0.00
18/03/2013,2.90,FBT,2.90,2.90,2.90,0.00
15/03/2013,2.90,FBT,2.90,2.90,2.90,0.00
14/03/2013,2.90,FBT,2.90,2.90,2.90,0.00
13/03/2013,2.90,FBT,2.90,2.90,2.90,0.00
12/03/2013,2.90,FBT,2.90,2.90,2.90,0.00
11/03/2013,2.90,FBT,2.90,2.90,2.90,0.00
08/03/2013,2.90,FBT,2.90,2.90,2.90,0.00
07/03/2013,2.90,FBT,2.90,2.90,2.90,0.00
06/03/2013,2.90,FBT,2.90,2.90,2.90,0.00
05/03/2013,2.90,FBT,2.90,2.90,2.90,0.00
04/03/2013,2.90,FBT,2.90,2.90,2.90,0.00
01/03/2013,2.90,FBT,2.90,2.90,2.90,0.00
28/02/2013,2.90,FBT,2.90,2.90,2.90,0.00
27/02/2013,2.90,FBT,2.90,2.90,2.90,10.00
26/02/2013,2.80,FBT,2.80,2.80,2.80,10.00
25/02/2013,3.00,FBT,3.00,3.00,3.00,0.00
22/02/2013,3.00,FBT,3.00,3.00,3.00,5230.00
21/02/2013,3.00,FBT,3.00,3.00,3.00,200.00
20/02/2013,3.20,FBT,3.20,3.20,3.20,0.00
19/02/2013,3.20,FBT,3.20,3.20,3.20,1000.00
18/02/2013,3.20,FBT,3.20,3.20,3.20,0.00
08/02/2013,3.20,FBT,3.20,3.20,3.20,0.00
07/02/2013,3.20,FBT,3.20,3.20,3.20,0.00
06/02/2013,3.20,FBT,3.20,3.20,3.20,0.00
05/02/2013,3.20,FBT,3.20,3.20,3.20,0.00
04/02/2013,3.20,FBT,3.20,3.20,3.20,0.00
01/02/2013,3.20,FBT,3.20,3.20,3.20,0.00
31/01/2013,3.20,FBT,3.20,3.20,3.20,0.00
30/01/2013,3.20,FBT,3.20,3.20,3.20,0.00
29/01/2013,3.20,FBT,3.20,3.20,3.20,0.00
28/01/2013,3.20,FBT,3.20,3.20,3.20,0.00
25/01/2013,3.20,FBT,3.20,3.20,3.20,0.00
24/01/2013,3.20,FBT,3.20,3.20,3.20,0.00
23/01/2013,3.20,FBT,3.20,3.20,3.20,0.00
22/01/2013,3.20,FBT,3.20,3.20,3.20,0.00
21/01/2013,3.20,FBT,3.20,3.20,3.20,0.00
18/01/2013,3.20,FBT,3.20,3.20,3.20,0.00
17/01/2013,3.20,FBT,3.20,3.20,3.20,0.00
16/01/2013,3.20,FBT,3.20,3.20,3.20,0.00
15/01/2013,3.20,FBT,3.20,3.20,3.20,0.00
14/01/2013,3.20,FBT,3.20,3.20,3.20,0.00
