DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
26/04/2019,15.20,FCN,15.15,15.25,15.10,155770.00
25/04/2019,15.15,FCN,15.05,15.25,14.90,277240.00
24/04/2019,14.95,FCN,14.90,15.05,14.90,168440.00
23/04/2019,14.90,FCN,14.65,15.20,14.65,197290.00
22/04/2019,14.65,FCN,14.75,15.00,14.65,326460.00
19/04/2019,14.75,FCN,15.00,15.10,14.75,111470.00
18/04/2019,14.80,FCN,15.10,15.35,14.60,419440.00
17/04/2019,15.10,FCN,15.40,15.60,15.10,517080.00
16/04/2019,15.30,FCN,15.50,15.55,15.20,522770.00
12/04/2019,15.65,FCN,15.60,15.80,15.55,238380.00
11/04/2019,15.75,FCN,15.40,15.75,15.05,456700.00
10/04/2019,15.05,FCN,15.20,15.50,15.05,738040.00
09/04/2019,15.50,FCN,15.95,15.95,15.50,439260.00
08/04/2019,15.90,FCN,16.05,16.40,15.90,403110.00
05/04/2019,16.05,FCN,15.40,16.05,15.30,2041390.00
04/04/2019,15.00,FCN,15.00,15.25,14.95,401440.00
03/04/2019,14.85,FCN,14.95,15.00,14.80,76550.00
02/04/2019,14.90,FCN,14.85,15.20,14.80,517810.00
01/04/2019,14.85,FCN,14.85,14.95,14.80,206030.00
29/03/2019,14.85,FCN,14.95,14.95,14.85,118260.00
28/03/2019,14.85,FCN,14.85,14.95,14.45,321130.00
27/03/2019,14.70,FCN,14.70,14.95,14.70,190390.00
26/03/2019,14.70,FCN,14.70,14.75,14.30,292630.00
25/03/2019,14.40,FCN,14.60,14.80,14.35,340240.00
22/03/2019,15.00,FCN,15.15,15.20,14.90,394980.00
21/03/2019,15.05,FCN,15.25,15.50,15.05,437130.00
20/03/2019,15.25,FCN,15.20,15.50,15.15,422990.00
19/03/2019,15.20,FCN,15.40,15.50,15.10,296740.00
18/03/2019,15.40,FCN,15.40,15.70,15.40,179110.00
15/03/2019,15.30,FCN,15.55,15.55,15.30,255470.00
14/03/2019,15.55,FCN,15.60,15.85,15.55,471290.00
13/03/2019,15.60,FCN,15.55,15.70,15.55,271250.00
12/03/2019,15.55,FCN,15.80,15.85,15.55,386820.00
11/03/2019,15.70,FCN,15.40,15.80,15.30,659020.00
08/03/2019,15.25,FCN,15.65,15.90,15.25,711370.00
07/03/2019,16.00,FCN,16.00,16.05,15.80,427990.00
06/03/2019,15.95,FCN,15.50,15.95,15.40,839650.00
05/03/2019,15.70,FCN,15.20,15.70,14.95,1080710.00
04/03/2019,15.35,FCN,15.00,15.50,14.95,672750.00
01/03/2019,14.95,FCN,14.70,15.05,14.50,369960.00
28/02/2019,14.50,FCN,14.90,15.05,14.45,383200.00
27/02/2019,14.90,FCN,14.90,15.15,14.65,463750.00
26/02/2019,14.80,FCN,14.70,14.95,14.60,292720.00
25/02/2019,14.60,FCN,14.20,14.95,14.10,477570.00
22/02/2019,14.20,FCN,14.40,14.50,14.10,177940.00
21/02/2019,14.40,FCN,14.70,14.70,14.35,104950.00
20/02/2019,14.50,FCN,14.60,14.70,14.50,231350.00
19/02/2019,14.70,FCN,14.85,14.95,14.55,265180.00
18/02/2019,14.85,FCN,14.95,14.95,14.55,266850.00
15/02/2019,14.70,FCN,14.80,14.85,14.55,324980.00
14/02/2019,14.80,FCN,14.70,14.90,14.50,370330.00
13/02/2019,14.70,FCN,14.75,15.20,14.65,299680.00
12/02/2019,14.75,FCN,14.15,14.90,14.15,855070.00
11/02/2019,14.10,FCN,13.90,14.20,13.80,242710.00
01/02/2019,13.75,FCN,13.95,13.95,13.60,104460.00
31/01/2019,13.70,FCN,13.65,13.95,13.65,95550.00
30/01/2019,13.65,FCN,13.75,13.90,13.60,115310.00
29/01/2019,13.75,FCN,13.95,14.15,13.65,236020.00
28/01/2019,13.95,FCN,14.05,14.25,13.90,131960.00
25/01/2019,14.15,FCN,13.55,14.40,13.55,632720.00
24/01/2019,13.50,FCN,13.55,13.60,13.40,113410.00
23/01/2019,13.50,FCN,13.35,13.60,13.35,93290.00
22/01/2019,13.55,FCN,13.75,13.75,13.50,173210.00
21/01/2019,13.70,FCN,13.25,13.80,13.25,191650.00
18/01/2019,13.25,FCN,14.10,14.10,13.25,322160.00
17/01/2019,14.10,FCN,14.10,14.25,14.00,469350.00
16/01/2019,14.10,FCN,13.70,14.30,13.70,905890.00
15/01/2019,13.90,FCN,13.45,13.90,13.45,494370.00
14/01/2019,13.60,FCN,13.70,13.75,13.40,522910.00
11/01/2019,13.50,FCN,12.75,13.50,12.70,1504060.00
10/01/2019,12.65,FCN,13.00,13.10,12.50,538390.00
09/01/2019,12.90,FCN,13.00,13.15,12.90,288760.00
08/01/2019,12.80,FCN,13.20,13.20,12.65,885850.00
07/01/2019,13.20,FCN,14.10,14.40,13.20,1426360.00
04/01/2019,14.15,FCN,14.00,14.20,13.80,170900.00
03/01/2019,14.10,FCN,14.45,14.60,14.10,782060.00
02/01/2019,14.50,FCN,15.00,15.00,14.40,417950.00
28/12/2018,14.90,FCN,15.05,15.10,14.90,325570.00
27/12/2018,15.05,FCN,15.50,15.50,14.95,571760.00
26/12/2018,15.00,FCN,15.00,15.10,14.70,488120.00
25/12/2018,15.05,FCN,14.50,15.30,14.50,1020310.00
24/12/2018,15.05,FCN,15.15,15.35,15.05,990150.00
21/12/2018,15.15,FCN,15.05,15.25,14.95,475320.00
20/12/2018,15.20,FCN,15.10,15.25,15.00,432490.00
19/12/2018,15.05,FCN,15.10,15.40,15.05,520330.00
18/12/2018,15.15,FCN,15.35,15.45,14.95,1139480.00
17/12/2018,15.70,FCN,16.25,16.25,15.70,1694770.00
14/12/2018,16.30,FCN,16.55,16.60,16.30,594090.00
13/12/2018,16.55,FCN,16.40,16.75,16.40,1496180.00
12/12/2018,16.40,FCN,16.40,16.55,16.30,724580.00
11/12/2018,16.40,FCN,16.30,16.45,16.10,844630.00
10/12/2018,16.30,FCN,16.50,16.50,16.25,642360.00
07/12/2018,16.50,FCN,16.80,16.80,16.45,938980.00
06/12/2018,16.60,FCN,16.00,16.70,16.00,3329290.00
05/12/2018,16.00,FCN,15.80,16.00,15.70,398490.00
04/12/2018,15.95,FCN,16.00,16.20,15.75,667630.00
03/12/2018,15.95,FCN,16.10,16.40,15.90,1355260.00
30/11/2018,15.80,FCN,15.75,16.00,15.65,157790.00
29/11/2018,15.80,FCN,15.90,16.20,15.80,721340.00
28/11/2018,15.80,FCN,15.80,15.90,15.60,341500.00
27/11/2018,15.85,FCN,15.75,15.95,15.70,445910.00
26/11/2018,15.85,FCN,16.00,16.05,15.80,552250.00
23/11/2018,15.90,FCN,16.00,16.30,15.90,715090.00
22/11/2018,16.00,FCN,16.00,16.20,15.80,682430.00
21/11/2018,16.00,FCN,16.00,16.10,15.85,720590.00
20/11/2018,16.15,FCN,15.80,16.60,15.75,1417370.00
