DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
26/04/2019,19.95,FDC,19.95,19.95,19.90,17360.00
25/04/2019,18.65,FDC,18.65,18.65,17.20,70140.00
24/04/2019,17.45,FDC,17.45,17.45,17.45,3570.00
23/04/2019,16.35,FDC,16.35,16.35,16.35,12390.00
22/04/2019,15.30,FDC,15.30,15.30,15.30,32610.00
19/04/2019,14.30,FDC,13.40,14.30,13.40,30160.00
18/04/2019,13.40,FDC,13.40,13.40,13.40,1850.00
17/04/2019,13.50,FDC,13.50,13.50,13.50,1000.00
16/04/2019,13.50,FDC,13.55,13.55,13.50,4050.00
12/04/2019,13.55,FDC,13.55,13.55,13.50,1040.00
11/04/2019,13.50,FDC,13.50,13.50,13.50,0.00
10/04/2019,13.50,FDC,13.50,13.50,13.50,0.00
09/04/2019,13.50,FDC,14.20,14.20,13.50,210.00
08/04/2019,13.30,FDC,13.30,13.30,13.30,200.00
05/04/2019,13.30,FDC,13.30,13.30,13.30,170.00
04/04/2019,13.30,FDC,13.30,13.30,13.30,210.00
03/04/2019,12.70,FDC,13.30,13.30,12.70,410.00
02/04/2019,13.30,FDC,13.30,13.30,13.30,0.00
01/04/2019,13.30,FDC,13.30,13.30,13.30,120.00
29/03/2019,13.30,FDC,13.30,13.30,13.30,0.00
28/03/2019,13.30,FDC,13.00,13.30,13.00,330.00
27/03/2019,13.00,FDC,13.00,13.00,13.00,10.00
26/03/2019,12.95,FDC,12.95,12.95,12.95,50.00
25/03/2019,13.00,FDC,13.00,13.00,13.00,0.00
22/03/2019,13.00,FDC,13.00,13.00,13.00,170.00
21/03/2019,13.00,FDC,12.50,13.00,12.40,3010.00
20/03/2019,13.00,FDC,12.55,13.00,12.50,170.00
19/03/2019,13.30,FDC,13.30,13.30,13.30,0.00
18/03/2019,13.30,FDC,13.30,13.30,13.30,50.00
15/03/2019,13.35,FDC,13.35,13.35,13.35,660.00
14/03/2019,13.45,FDC,13.45,13.45,13.45,0.00
13/03/2019,13.45,FDC,12.90,13.45,12.60,840.00
12/03/2019,13.50,FDC,12.75,13.50,12.70,630.00
11/03/2019,13.55,FDC,13.60,13.95,13.55,700.00
08/03/2019,14.55,FDC,14.55,14.55,14.55,0.00
