DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
26/04/2019,28.15,FMC,28.00,28.60,28.00,27860.00
25/04/2019,28.00,FMC,28.00,28.70,28.00,51130.00
24/04/2019,28.00,FMC,28.20,28.60,28.00,102860.00
23/04/2019,28.20,FMC,28.00,28.85,27.90,65020.00
22/04/2019,27.90,FMC,28.70,28.70,27.70,89140.00
19/04/2019,28.50,FMC,28.50,29.15,28.00,202030.00
18/04/2019,28.50,FMC,29.10,29.50,28.35,94340.00
17/04/2019,29.20,FMC,30.40,30.40,29.20,88090.00
16/04/2019,30.40,FMC,29.80,30.40,29.00,152870.00
12/04/2019,30.20,FMC,30.40,30.50,30.00,110740.00
11/04/2019,30.40,FMC,31.00,31.00,30.00,216300.00
10/04/2019,29.70,FMC,27.60,29.70,27.35,463030.00
09/04/2019,27.80,FMC,28.50,28.50,27.80,65170.00
08/04/2019,28.50,FMC,29.00,29.00,28.30,45560.00
05/04/2019,28.90,FMC,29.00,29.00,28.70,35670.00
04/04/2019,29.00,FMC,28.00,29.10,27.80,186450.00
03/04/2019,27.80,FMC,27.80,28.00,27.50,15080.00
02/04/2019,27.80,FMC,27.90,28.00,27.80,22930.00
01/04/2019,27.90,FMC,27.75,28.00,27.60,38390.00
29/03/2019,27.75,FMC,27.95,28.30,27.60,40800.00
28/03/2019,27.95,FMC,27.80,27.95,27.40,12490.00
27/03/2019,27.45,FMC,27.00,28.00,27.00,60960.00
26/03/2019,27.00,FMC,27.10,27.50,26.80,66320.00
25/03/2019,27.00,FMC,27.60,27.60,26.80,108440.00
22/03/2019,27.60,FMC,28.10,28.10,27.00,156580.00
21/03/2019,28.20,FMC,28.60,28.80,28.20,53870.00
20/03/2019,28.60,FMC,28.75,29.00,28.30,88970.00
19/03/2019,28.75,FMC,28.60,28.90,28.60,62580.00
18/03/2019,28.60,FMC,28.85,28.85,28.50,89290.00
15/03/2019,28.90,FMC,29.00,29.10,28.40,122660.00
14/03/2019,28.95,FMC,29.10,29.10,28.90,86950.00
13/03/2019,29.10,FMC,29.15,29.40,29.05,110060.00
12/03/2019,29.15,FMC,29.30,29.30,29.05,70500.00
11/03/2019,29.30,FMC,29.10,29.40,29.10,45060.00
08/03/2019,29.05,FMC,29.15,29.40,28.85,90570.00
07/03/2019,28.85,FMC,28.80,29.40,28.80,202380.00
06/03/2019,28.80,FMC,29.00,29.05,28.70,71930.00
05/03/2019,28.75,FMC,29.30,29.35,28.75,333300.00
04/03/2019,29.30,FMC,29.40,29.70,29.20,104530.00
01/03/2019,29.40,FMC,29.30,29.70,29.20,77450.00
28/02/2019,29.15,FMC,29.60,29.70,29.15,89930.00
27/02/2019,29.60,FMC,29.90,30.00,29.50,36740.00
26/02/2019,29.90,FMC,29.20,29.90,28.90,97570.00
25/02/2019,29.20,FMC,29.85,29.85,29.10,161680.00
22/02/2019,29.50,FMC,30.20,30.80,29.10,198530.00
21/02/2019,30.65,FMC,30.40,30.80,30.35,75390.00
20/02/2019,30.40,FMC,30.40,30.90,30.30,68230.00
19/02/2019,30.35,FMC,31.00,31.00,30.15,262340.00
18/02/2019,31.10,FMC,30.80,31.20,30.40,161920.00
15/02/2019,30.65,FMC,31.85,31.85,30.65,209040.00
14/02/2019,31.60,FMC,32.00,32.10,31.50,187080.00
13/02/2019,31.60,FMC,31.40,31.70,31.15,183550.00
12/02/2019,31.40,FMC,31.80,32.00,31.30,111570.00
11/02/2019,31.80,FMC,30.75,32.00,30.75,111180.00
01/02/2019,30.75,FMC,31.10,31.40,30.70,52070.00
31/01/2019,31.00,FMC,30.70,31.20,30.70,101660.00
30/01/2019,30.70,FMC,30.40,30.90,30.35,46560.00
29/01/2019,30.40,FMC,30.70,30.70,30.30,107700.00
28/01/2019,30.70,FMC,31.20,31.60,30.65,100030.00
25/01/2019,31.20,FMC,30.80,31.70,30.40,113960.00
24/01/2019,31.00,FMC,32.00,32.00,31.00,200910.00
23/01/2019,31.70,FMC,31.80,32.10,31.40,111400.00
22/01/2019,31.80,FMC,33.10,33.10,31.80,152020.00
21/01/2019,32.90,FMC,32.30,33.00,32.30,177350.00
18/01/2019,32.30,FMC,31.65,32.30,31.45,179820.00
17/01/2019,31.60,FMC,32.40,32.40,31.60,222660.00
16/01/2019,32.40,FMC,31.50,32.50,31.30,492770.00
15/01/2019,31.25,FMC,30.10,31.40,30.10,127480.00
14/01/2019,30.05,FMC,30.90,31.50,30.05,129080.00
11/01/2019,30.70,FMC,28.90,30.75,28.90,390140.00
10/01/2019,28.90,FMC,28.90,29.00,28.85,36680.00
09/01/2019,28.90,FMC,28.95,29.10,28.90,52010.00
08/01/2019,29.00,FMC,29.00,29.15,28.90,7350.00
07/01/2019,29.25,FMC,29.40,29.50,29.00,23270.00
04/01/2019,29.10,FMC,28.95,29.10,28.70,37530.00
03/01/2019,29.00,FMC,29.10,29.40,28.70,114620.00
02/01/2019,29.00,FMC,29.50,29.50,28.90,48590.00
28/12/2018,29.05,FMC,29.10,29.20,28.90,19420.00
27/12/2018,29.00,FMC,29.30,29.60,28.80,41660.00
26/12/2018,29.00,FMC,29.20,29.25,28.70,68350.00
25/12/2018,29.15,FMC,28.60,29.15,28.60,124000.00
