DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
26/04/2019,132.00,FOC,133.30,135.00,130.00,3700.00
25/04/2019,134.60,FOC,128.00,134.60,125.00,4500.00
24/04/2019,125.00,FOC,125.00,125.00,125.00,9500.00
23/04/2019,128.00,FOC,126.90,128.00,126.90,2100.00
22/04/2019,126.00,FOC,118.90,134.50,118.90,2900.00
19/04/2019,139.80,FOC,139.80,139.80,139.80,100.00
18/04/2019,126.00,FOC,126.00,126.00,126.00,100.00
17/04/2019,126.00,FOC,127.90,127.90,126.00,3190.00
16/04/2019,121.80,FOC,127.90,127.90,121.80,260.00
12/04/2019,123.00,FOC,122.90,123.00,122.90,1300.00
11/04/2019,124.80,FOC,122.00,124.80,121.10,500.00
10/04/2019,122.00,FOC,122.00,122.00,121.10,4400.00
09/04/2019,121.10,FOC,131.90,131.90,121.00,4470.00
08/04/2019,131.80,FOC,128.10,131.80,124.20,1710.00
05/04/2019,128.70,FOC,134.00,134.00,128.70,1300.00
04/04/2019,135.80,FOC,135.80,135.80,135.80,400.00
03/04/2019,131.60,FOC,128.70,131.60,128.60,2400.00
02/04/2019,134.30,FOC,134.80,134.80,129.10,3610.00
01/04/2019,133.90,FOC,127.30,133.90,127.30,500.00
29/03/2019,149.70,FOC,149.70,149.70,149.70,0.00
28/03/2019,149.70,FOC,149.70,149.70,149.70,400.00
27/03/2019,129.00,FOC,135.90,135.90,129.00,900.00
26/03/2019,130.30,FOC,130.30,130.30,130.30,100.00
25/03/2019,139.80,FOC,130.30,139.80,130.30,500.00
22/03/2019,135.00,FOC,135.00,135.00,135.00,0.00
21/03/2019,131.00,FOC,143.00,143.00,131.00,301.00
20/03/2019,130.50,FOC,131.40,131.40,130.50,426.00
19/03/2019,131.90,FOC,130.60,131.90,130.50,500.00
18/03/2019,131.00,FOC,131.00,131.00,131.00,200.00
15/03/2019,131.00,FOC,138.60,138.60,131.00,500.00
14/03/2019,130.50,FOC,133.20,133.20,130.50,1500.00
13/03/2019,132.60,FOC,133.90,133.90,132.60,500.00
12/03/2019,131.90,FOC,133.90,133.90,131.00,700.00
11/03/2019,130.20,FOC,131.00,131.00,130.00,500.00
08/03/2019,132.40,FOC,132.00,132.50,132.00,500.00
07/03/2019,133.00,FOC,132.00,133.10,132.00,1390.00
06/03/2019,138.00,FOC,137.00,138.00,131.50,1574.00
05/03/2019,138.50,FOC,131.30,138.70,131.30,610.00
04/03/2019,139.70,FOC,139.70,139.70,139.70,300.00
01/03/2019,130.60,FOC,140.00,140.00,130.60,410.00
28/02/2019,130.40,FOC,133.00,133.00,130.00,750.00
27/02/2019,134.00,FOC,135.90,136.00,134.00,4713.00
26/02/2019,135.10,FOC,135.10,135.10,135.10,101.00
25/02/2019,139.00,FOC,138.70,139.00,138.70,1300.00
22/02/2019,139.00,FOC,140.00,140.00,139.00,4000.00
