DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
26/04/2019,48.50,FOX,48.40,48.50,48.00,6700.00
25/04/2019,48.00,FOX,48.00,48.00,48.00,100.00
24/04/2019,48.00,FOX,48.00,48.00,48.00,100.00
23/04/2019,48.00,FOX,48.00,48.00,48.00,100.00
22/04/2019,48.00,FOX,48.00,48.00,48.00,300.00
19/04/2019,45.90,FOX,45.90,45.90,45.90,10.00
18/04/2019,48.50,FOX,47.50,48.50,42.60,2500.00
17/04/2019,48.50,FOX,48.50,48.50,48.50,100.00
16/04/2019,48.50,FOX,48.50,48.50,48.40,947.00
12/04/2019,49.00,FOX,49.00,49.00,49.00,0.00
11/04/2019,48.20,FOX,49.20,49.30,48.20,9000.00
10/04/2019,48.60,FOX,49.00,49.40,48.60,8500.00
09/04/2019,48.50,FOX,49.00,49.00,48.50,503.00
08/04/2019,48.60,FOX,48.60,48.60,48.60,735.00
05/04/2019,48.50,FOX,49.00,49.00,48.50,650.00
04/04/2019,48.50,FOX,48.50,48.50,48.50,11100.00
03/04/2019,48.50,FOX,48.00,48.50,48.00,2800.00
02/04/2019,48.00,FOX,48.00,48.00,48.00,100.00
01/04/2019,48.50,FOX,48.00,48.50,47.10,3230.00
29/03/2019,48.00,FOX,48.00,48.00,48.00,3600.00
28/03/2019,48.00,FOX,48.50,48.50,48.00,1500.00
27/03/2019,49.50,FOX,49.50,49.50,49.50,500.00
26/03/2019,49.50,FOX,49.50,49.50,49.50,1600.00
25/03/2019,48.50,FOX,49.00,49.00,48.50,4865.00
22/03/2019,49.50,FOX,49.50,49.50,49.50,500.00
21/03/2019,50.00,FOX,50.00,50.00,50.00,0.00
20/03/2019,50.00,FOX,50.00,50.00,50.00,8000.00
19/03/2019,50.00,FOX,50.00,50.00,50.00,200.00
18/03/2019,50.00,FOX,50.00,50.00,50.00,110.00
15/03/2019,50.00,FOX,50.00,50.00,50.00,300.00
14/03/2019,50.00,FOX,50.00,50.00,50.00,0.00
13/03/2019,50.00,FOX,50.00,50.00,50.00,47.00
