DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
26/04/2019,9.00,FUCVREIT,9.00,9.00,9.00,0.00
25/04/2019,9.00,FUCVREIT,9.00,9.00,9.00,0.00
24/04/2019,9.00,FUCVREIT,9.00,9.01,9.00,5520.00
23/04/2019,9.50,FUCVREIT,9.50,9.50,9.50,0.00
22/04/2019,9.50,FUCVREIT,9.50,9.50,9.50,100.00
19/04/2019,9.39,FUCVREIT,8.85,9.39,8.85,670.00
18/04/2019,9.50,FUCVREIT,9.50,9.50,9.50,0.00
17/04/2019,9.50,FUCVREIT,9.50,9.50,9.50,0.00
16/04/2019,9.50,FUCVREIT,9.50,9.50,9.50,10.00
12/04/2019,9.60,FUCVREIT,8.99,9.60,8.37,2640.00
11/04/2019,9.00,FUCVREIT,9.00,9.00,9.00,120.00
10/04/2019,9.01,FUCVREIT,9.20,9.20,9.01,110.00
09/04/2019,9.30,FUCVREIT,9.30,9.30,9.30,0.00
08/04/2019,9.30,FUCVREIT,9.90,9.90,9.30,290.00
05/04/2019,9.90,FUCVREIT,9.90,9.90,9.90,0.00
04/04/2019,9.90,FUCVREIT,9.90,9.90,9.90,0.00
03/04/2019,9.90,FUCVREIT,9.90,9.90,9.90,0.00
02/04/2019,9.90,FUCVREIT,9.90,9.90,9.90,0.00
01/04/2019,9.90,FUCVREIT,9.90,9.90,9.30,60.00
29/03/2019,9.34,FUCVREIT,9.34,9.34,9.34,0.00
28/03/2019,9.34,FUCVREIT,9.34,9.34,9.34,0.00
27/03/2019,9.34,FUCVREIT,9.34,9.34,9.34,0.00
26/03/2019,9.34,FUCVREIT,9.34,9.34,9.34,60.00
25/03/2019,9.29,FUCVREIT,9.38,9.38,9.29,110.00
22/03/2019,8.80,FUCVREIT,8.82,8.82,8.80,150.00
21/03/2019,8.80,FUCVREIT,9.45,9.45,8.80,220.00
20/03/2019,9.01,FUCVREIT,9.01,9.01,9.01,50.00
19/03/2019,9.37,FUCVREIT,9.37,9.37,9.37,0.00
18/03/2019,9.37,FUCVREIT,9.40,9.40,9.18,100.00
15/03/2019,9.15,FUCVREIT,9.10,9.15,9.10,200.00
14/03/2019,9.07,FUCVREIT,9.00,9.07,9.00,1240.00
13/03/2019,9.00,FUCVREIT,9.00,9.00,9.00,0.00
12/03/2019,9.00,FUCVREIT,9.00,9.00,9.00,0.00
11/03/2019,9.00,FUCVREIT,9.44,9.44,9.00,120.00
08/03/2019,9.44,FUCVREIT,9.44,9.44,9.44,10.00
07/03/2019,8.86,FUCVREIT,8.86,9.29,8.86,160.00
06/03/2019,9.44,FUCVREIT,9.44,9.44,9.44,0.00
05/03/2019,9.44,FUCVREIT,9.49,9.49,8.91,280.00
04/03/2019,9.45,FUCVREIT,9.46,9.46,9.45,40.00
01/03/2019,8.85,FUCVREIT,8.85,8.85,8.85,80.00
28/02/2019,8.85,FUCVREIT,8.85,8.86,8.85,110.00
27/02/2019,8.81,FUCVREIT,8.81,8.81,8.81,0.00
26/02/2019,8.81,FUCVREIT,9.35,9.35,8.81,820.00
25/02/2019,9.00,FUCVREIT,9.50,9.50,9.00,180.00
22/02/2019,9.40,FUCVREIT,9.40,9.40,9.40,10.00
21/02/2019,9.41,FUCVREIT,9.00,9.41,9.00,220.00
20/02/2019,9.45,FUCVREIT,8.95,9.45,8.90,1840.00
19/02/2019,9.38,FUCVREIT,8.83,9.38,8.83,100.00
18/02/2019,9.49,FUCVREIT,9.49,9.49,9.49,10.00
15/02/2019,9.45,FUCVREIT,9.50,9.50,8.64,8010.00
14/02/2019,9.29,FUCVREIT,9.29,9.29,9.29,0.00
13/02/2019,9.29,FUCVREIT,9.50,9.50,9.29,30.00
12/02/2019,9.29,FUCVREIT,9.29,9.29,9.29,10.00
11/02/2019,9.30,FUCVREIT,9.30,9.30,9.30,10.00
01/02/2019,8.89,FUCVREIT,8.90,8.90,8.88,3120.00
31/01/2019,9.39,FUCVREIT,8.90,9.39,8.81,240.00
30/01/2019,8.80,FUCVREIT,8.90,8.90,8.80,780.00
29/01/2019,8.80,FUCVREIT,8.80,8.80,8.80,0.00
28/01/2019,8.80,FUCVREIT,9.30,9.30,8.80,130.00
25/01/2019,8.80,FUCVREIT,8.80,8.80,8.80,540.00
24/01/2019,9.09,FUCVREIT,8.55,9.09,8.55,210.00
23/01/2019,8.55,FUCVREIT,8.55,9.12,8.55,700.00
22/01/2019,8.55,FUCVREIT,9.00,9.00,8.55,100.00
21/01/2019,8.55,FUCVREIT,8.55,8.55,8.55,40.00
18/01/2019,8.40,FUCVREIT,8.50,8.50,8.38,2050.00
17/01/2019,9.00,FUCVREIT,9.00,9.00,9.00,0.00
16/01/2019,9.00,FUCVREIT,9.00,9.00,9.00,90.00
15/01/2019,9.50,FUCVREIT,9.50,9.50,9.50,0.00
14/01/2019,9.50,FUCVREIT,9.50,9.50,9.50,10.00
11/01/2019,9.28,FUCVREIT,9.28,9.28,9.28,0.00
10/01/2019,9.28,FUCVREIT,9.28,9.28,9.28,0.00
09/01/2019,9.28,FUCVREIT,8.70,9.28,8.70,610.00
08/01/2019,9.30,FUCVREIT,9.30,9.30,9.30,0.00
07/01/2019,9.30,FUCVREIT,9.30,9.30,9.30,10.00
04/01/2019,9.32,FUCVREIT,9.32,9.32,9.32,10.00
03/01/2019,8.73,FUCVREIT,9.20,9.20,8.73,1030.00
02/01/2019,8.73,FUCVREIT,8.73,8.73,8.73,0.00
28/12/2018,8.73,FUCVREIT,8.74,8.74,8.73,60.00
27/12/2018,8.17,FUCVREIT,8.17,8.17,8.17,0.00
26/12/2018,8.17,FUCVREIT,8.17,8.17,8.17,170.00
25/12/2018,8.17,FUCVREIT,8.17,8.17,8.17,110.00
24/12/2018,8.17,FUCVREIT,8.78,8.78,8.17,110.00
21/12/2018,8.78,FUCVREIT,8.79,8.79,8.22,180.00
20/12/2018,8.22,FUCVREIT,8.22,8.22,8.22,20.00
19/12/2018,8.83,FUCVREIT,8.83,8.83,8.83,1160.00
18/12/2018,9.49,FUCVREIT,9.49,9.49,9.49,10.00
17/12/2018,8.96,FUCVREIT,8.96,8.96,8.96,0.00
14/12/2018,8.96,FUCVREIT,8.96,8.96,8.96,10.00
13/12/2018,8.38,FUCVREIT,8.37,8.38,8.37,660.00
12/12/2018,9.00,FUCVREIT,9.00,9.00,9.00,2190.00
11/12/2018,9.00,FUCVREIT,9.00,9.00,9.00,0.00
10/12/2018,9.00,FUCVREIT,9.00,9.00,9.00,10.00
07/12/2018,9.00,FUCVREIT,9.00,9.00,9.00,240.00
06/12/2018,9.00,FUCVREIT,9.00,9.00,9.00,50.00
05/12/2018,9.45,FUCVREIT,9.45,9.45,9.45,90.00
04/12/2018,8.85,FUCVREIT,9.89,9.89,8.85,1780.00
03/12/2018,9.50,FUCVREIT,9.50,9.50,9.50,0.00
30/11/2018,9.50,FUCVREIT,9.50,9.50,9.50,0.00
