DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
26/04/2019,39.90,GDT,39.55,40.00,39.40,6670.00
25/04/2019,39.95,GDT,39.75,40.40,39.05,3290.00
24/04/2019,39.95,GDT,39.90,40.50,38.50,6240.00
23/04/2019,39.95,GDT,38.70,40.50,38.20,8630.00
22/04/2019,38.70,GDT,40.50,41.00,38.20,34130.00
19/04/2019,40.90,GDT,41.00,41.00,40.70,230.00
18/04/2019,40.50,GDT,40.70,40.70,40.10,2050.00
17/04/2019,40.90,GDT,40.60,41.00,40.50,4760.00
16/04/2019,40.95,GDT,41.00,42.00,40.50,270.00
12/04/2019,40.50,GDT,40.40,41.00,40.00,1020.00
11/04/2019,40.40,GDT,40.90,41.00,40.40,510.00
10/04/2019,40.50,GDT,40.80,40.80,40.00,7650.00
09/04/2019,40.10,GDT,40.55,40.55,40.00,2070.00
08/04/2019,40.90,GDT,40.70,40.90,40.50,1210.00
05/04/2019,41.00,GDT,41.10,41.10,40.60,40.00
04/04/2019,40.80,GDT,40.90,40.90,40.80,760.00
03/04/2019,40.90,GDT,40.60,41.00,40.20,1570.00
02/04/2019,41.00,GDT,41.00,41.00,40.60,1930.00
01/04/2019,41.00,GDT,40.70,41.20,40.00,2740.00
29/03/2019,41.30,GDT,41.30,41.30,40.70,2570.00
28/03/2019,41.30,GDT,41.20,41.30,41.20,100.00
27/03/2019,41.70,GDT,41.00,43.00,40.10,970.00
26/03/2019,40.50,GDT,40.00,41.00,40.00,740.00
25/03/2019,41.10,GDT,40.00,41.10,40.00,1510.00
22/03/2019,41.10,GDT,41.00,41.20,41.00,3310.00
21/03/2019,41.00,GDT,41.20,41.25,41.00,1670.00
20/03/2019,41.15,GDT,41.25,41.25,41.00,1630.00
19/03/2019,41.00,GDT,41.85,41.85,40.70,3210.00
18/03/2019,40.90,GDT,40.80,41.35,40.80,3100.00
15/03/2019,41.35,GDT,41.40,41.40,40.50,1500.00
14/03/2019,41.40,GDT,40.80,41.50,40.80,5920.00
13/03/2019,40.80,GDT,40.80,41.00,40.50,2440.00
12/03/2019,40.50,GDT,40.05,40.50,40.05,910.00
11/03/2019,40.00,GDT,40.00,40.10,39.80,5340.00
08/03/2019,40.00,GDT,39.80,40.00,39.75,7380.00
07/03/2019,39.80,GDT,39.50,39.90,39.50,6750.00
