DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
26/04/2019,33.60,GHC,33.50,33.60,33.50,1920.00
25/04/2019,33.60,GHC,33.50,33.60,33.50,810.00
24/04/2019,33.50,GHC,33.50,33.50,33.50,100.00
23/04/2019,33.20,GHC,33.00,33.40,33.00,23400.00
22/04/2019,33.00,GHC,32.70,33.00,32.70,2100.00
19/04/2019,32.70,GHC,33.00,33.00,32.50,3600.00
18/04/2019,33.00,GHC,32.70,33.40,32.70,8600.00
17/04/2019,32.50,GHC,32.50,32.50,32.50,0.00
16/04/2019,32.60,GHC,32.40,32.60,32.40,6250.00
12/04/2019,32.30,GHC,32.40,32.40,32.30,1200.00
11/04/2019,32.40,GHC,32.50,32.50,31.30,3434.00
10/04/2019,32.50,GHC,32.50,32.50,32.50,7400.00
09/04/2019,32.40,GHC,32.40,32.40,32.10,2100.00
08/04/2019,32.00,GHC,32.00,32.00,32.00,2003.00
05/04/2019,32.00,GHC,32.00,32.10,32.00,1400.00
04/04/2019,31.20,GHC,31.20,31.20,31.00,1600.00
03/04/2019,31.20,GHC,31.30,31.30,31.20,3900.00
02/04/2019,31.20,GHC,31.20,31.20,31.20,4400.00
01/04/2019,31.20,GHC,31.20,31.20,31.20,34140.00
29/03/2019,31.20,GHC,31.20,31.20,31.20,18003.00
28/03/2019,31.20,GHC,31.20,31.20,31.00,16300.00
27/03/2019,31.20,GHC,31.20,31.20,31.20,200.00
26/03/2019,31.20,GHC,31.20,31.20,31.20,40.00
25/03/2019,31.50,GHC,31.10,31.50,31.00,5400.00
22/03/2019,31.40,GHC,31.10,31.40,31.00,4900.00
21/03/2019,31.40,GHC,31.40,31.40,31.40,2000.00
20/03/2019,32.30,GHC,31.00,32.30,31.00,6300.00
19/03/2019,31.00,GHC,31.00,31.10,31.00,3400.00
18/03/2019,31.20,GHC,31.00,31.20,31.00,1900.00
15/03/2019,31.40,GHC,31.40,31.40,31.40,2300.00
14/03/2019,31.40,GHC,31.40,31.40,31.20,6710.00
13/03/2019,31.40,GHC,31.40,31.40,31.40,450.00
12/03/2019,30.60,GHC,30.60,30.60,30.60,250.00
11/03/2019,30.30,GHC,30.30,30.30,30.30,0.00
08/03/2019,30.80,GHC,30.30,30.80,30.20,2100.00
07/03/2019,31.10,GHC,31.00,31.10,31.00,2200.00
06/03/2019,31.10,GHC,34.00,34.00,31.10,200.00
05/03/2019,30.00,GHC,31.00,31.00,30.00,9900.00
04/03/2019,31.00,GHC,30.80,31.00,30.80,1400.00
01/03/2019,30.80,GHC,31.10,31.10,30.80,4100.00
28/02/2019,31.00,GHC,31.10,31.10,31.00,6700.00
27/02/2019,31.10,GHC,31.50,31.50,31.10,3500.00
26/02/2019,31.10,GHC,31.50,31.80,31.10,900.00
25/02/2019,31.00,GHC,31.00,31.10,31.00,500.00
22/02/2019,30.80,GHC,30.80,30.80,30.80,9120.00
21/02/2019,30.90,GHC,30.50,30.90,30.00,33000.00
20/02/2019,30.90,GHC,30.90,30.90,30.80,11600.00
19/02/2019,31.00,GHC,31.00,31.00,30.50,17200.00
18/02/2019,31.40,GHC,31.00,31.50,31.00,4200.00
15/02/2019,31.00,GHC,31.00,31.00,31.00,110.00
14/02/2019,31.40,GHC,31.00,31.40,30.90,5720.00
13/02/2019,31.50,GHC,31.50,31.50,31.50,300.00
12/02/2019,31.50,GHC,31.60,31.60,31.50,14300.00
11/02/2019,31.50,GHC,31.60,31.60,31.50,5250.00
01/02/2019,31.80,GHC,31.90,31.90,31.80,1400.00
31/01/2019,31.90,GHC,31.90,31.90,31.90,400.00
30/01/2019,31.80,GHC,31.80,31.80,31.80,2000.00
29/01/2019,31.80,GHC,31.80,31.80,31.80,6100.00
28/01/2019,32.00,GHC,31.60,32.00,31.60,700.00
25/01/2019,31.80,GHC,31.20,31.80,31.20,1700.00
24/01/2019,31.00,GHC,31.00,31.00,31.00,2400.00
23/01/2019,31.00,GHC,31.00,31.00,31.00,0.00
22/01/2019,31.00,GHC,31.00,31.00,31.00,11000.00
21/01/2019,31.00,GHC,31.00,31.00,31.00,2000.00
18/01/2019,31.00,GHC,31.00,31.30,31.00,4600.00
17/01/2019,31.00,GHC,31.10,31.10,31.00,3000.00
16/01/2019,31.70,GHC,31.70,31.70,31.70,900.00
15/01/2019,32.00,GHC,31.50,32.00,31.20,4200.00
14/01/2019,31.00,GHC,31.50,31.50,31.00,3959.00
11/01/2019,31.50,GHC,31.50,31.50,31.50,300.00
10/01/2019,31.50,GHC,31.50,31.50,31.50,0.00
09/01/2019,31.50,GHC,31.50,31.50,31.50,0.00
08/01/2019,31.70,GHC,31.00,31.70,31.00,3420.00
07/01/2019,31.70,GHC,32.10,32.10,31.70,4800.00
04/01/2019,32.10,GHC,32.00,32.10,32.00,900.00
03/01/2019,31.60,GHC,31.70,31.70,31.60,3000.00
02/01/2019,31.70,GHC,31.80,31.80,31.70,17300.00
28/12/2018,31.80,GHC,32.00,32.00,31.80,5245.00
27/12/2018,31.80,GHC,31.80,31.80,31.80,7800.00
26/12/2018,31.80,GHC,32.00,32.00,31.80,10200.00
25/12/2018,31.80,GHC,31.80,31.80,31.70,3500.00
24/12/2018,31.90,GHC,31.90,31.90,31.90,2210.00
21/12/2018,31.90,GHC,31.90,31.90,31.90,6000.00
20/12/2018,32.00,GHC,31.90,32.00,31.90,6600.00
19/12/2018,31.90,GHC,31.90,31.90,31.90,5200.00
18/12/2018,32.00,GHC,32.00,32.00,31.90,4100.00
17/12/2018,31.90,GHC,32.10,32.10,31.90,500.00
14/12/2018,32.30,GHC,32.30,32.30,32.30,30.00
13/12/2018,32.30,GHC,32.30,32.30,32.30,100.00
12/12/2018,32.00,GHC,32.00,32.00,32.00,1600.00
11/12/2018,32.00,GHC,31.70,32.00,31.70,1150.00
10/12/2018,32.30,GHC,32.30,32.30,32.30,0.00
07/12/2018,32.00,GHC,32.70,32.70,32.00,13500.00
06/12/2018,33.80,GHC,32.50,33.80,32.50,600.00
05/12/2018,35.00,GHC,32.00,35.00,32.00,4900.00
04/12/2018,34.00,GHC,34.10,34.10,34.00,5300.00
03/12/2018,34.00,GHC,34.00,34.00,33.90,4750.00
30/11/2018,34.00,GHC,34.00,34.00,34.00,2300.00
29/11/2018,34.00,GHC,34.00,34.00,34.00,3600.00
28/11/2018,34.00,GHC,34.20,34.20,34.00,7800.00
27/11/2018,34.20,GHC,34.50,34.50,34.00,6300.00
26/11/2018,33.40,GHC,33.40,33.40,33.40,319.00
