DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
26/04/2019,35.45,GIL,35.50,35.80,35.45,11500.00
25/04/2019,35.50,GIL,35.95,35.95,35.50,8590.00
24/04/2019,35.50,GIL,35.20,36.80,35.00,51080.00
23/04/2019,35.20,GIL,35.15,36.00,34.80,48220.00
22/04/2019,36.00,GIL,35.65,36.30,35.10,6030.00
19/04/2019,36.30,GIL,36.45,36.50,36.00,10080.00
18/04/2019,35.90,GIL,35.60,36.40,35.60,23700.00
17/04/2019,35.40,GIL,37.90,37.90,35.30,52270.00
16/04/2019,37.10,GIL,38.00,38.00,35.10,28020.00
12/04/2019,37.70,GIL,38.50,38.50,37.60,13320.00
11/04/2019,38.15,GIL,37.90,38.15,37.30,40970.00
10/04/2019,38.20,GIL,38.10,38.50,37.75,29440.00
09/04/2019,38.20,GIL,39.30,39.30,38.20,64190.00
08/04/2019,39.30,GIL,38.80,39.60,38.30,69000.00
05/04/2019,38.20,GIL,38.50,38.50,38.20,27800.00
04/04/2019,38.50,GIL,38.00,38.50,38.00,90090.00
03/04/2019,38.00,GIL,37.40,38.00,37.40,4010.00
02/04/2019,37.85,GIL,38.00,38.10,37.20,25080.00
01/04/2019,37.90,GIL,37.60,38.10,37.25,113220.00
29/03/2019,37.60,GIL,37.90,38.60,37.60,48270.00
28/03/2019,37.80,GIL,38.00,38.00,37.30,31340.00
27/03/2019,37.90,GIL,37.60,38.00,37.50,26780.00
26/03/2019,37.50,GIL,37.50,37.90,37.30,33770.00
25/03/2019,37.50,GIL,38.30,38.40,37.10,70010.00
22/03/2019,38.65,GIL,38.60,39.30,38.60,45480.00
21/03/2019,38.60,GIL,39.90,39.90,38.60,59150.00
20/03/2019,39.35,GIL,39.60,39.70,39.20,22270.00
19/03/2019,39.90,GIL,40.70,40.70,39.60,43650.00
18/03/2019,40.50,GIL,38.55,40.50,38.55,183790.00
15/03/2019,38.55,GIL,38.70,38.90,38.55,47010.00
14/03/2019,38.85,GIL,39.15,39.20,38.50,33540.00
13/03/2019,38.90,GIL,38.70,39.20,38.60,34370.00
12/03/2019,38.70,GIL,39.35,39.50,38.45,76760.00
11/03/2019,38.90,GIL,38.30,39.35,38.30,32510.00
08/03/2019,38.75,GIL,38.70,39.45,38.15,30440.00
07/03/2019,38.65,GIL,39.80,39.90,38.40,98540.00
06/03/2019,39.85,GIL,39.40,39.85,38.85,41730.00
05/03/2019,39.50,GIL,40.20,40.40,39.10,25320.00
04/03/2019,40.20,GIL,39.80,41.50,39.80,147660.00
01/03/2019,39.80,GIL,38.50,39.90,37.80,154360.00
28/02/2019,38.00,GIL,39.10,39.45,37.80,121180.00
27/02/2019,39.10,GIL,40.00,40.00,39.10,49060.00
26/02/2019,40.00,GIL,39.40,40.50,39.40,110450.00
25/02/2019,39.50,GIL,39.40,39.60,39.00,41950.00
22/02/2019,39.40,GIL,39.90,39.90,39.30,22860.00
21/02/2019,39.90,GIL,40.20,40.20,39.20,39590.00
20/02/2019,40.20,GIL,40.25,41.00,39.30,52410.00
19/02/2019,40.30,GIL,40.90,41.30,40.30,41510.00
18/02/2019,40.90,GIL,40.60,41.20,40.60,55200.00
15/02/2019,40.85,GIL,40.80,41.00,40.50,35970.00
14/02/2019,41.30,GIL,41.90,41.90,40.90,62050.00
13/02/2019,41.40,GIL,38.70,41.40,38.70,179100.00
12/02/2019,38.70,GIL,38.70,38.75,38.45,55810.00
11/02/2019,38.65,GIL,38.90,40.00,38.65,74680.00
01/02/2019,39.00,GIL,39.95,39.95,38.70,39830.00
31/01/2019,39.60,GIL,37.80,39.70,37.80,82430.00
30/01/2019,37.40,GIL,37.20,37.40,37.00,30710.00
29/01/2019,37.10,GIL,36.50,37.30,36.50,9220.00
28/01/2019,37.20,GIL,37.20,37.80,36.80,33840.00
25/01/2019,37.00,GIL,36.00,37.50,36.00,44710.00
24/01/2019,35.80,GIL,36.40,36.40,35.70,20260.00
23/01/2019,35.50,GIL,35.30,35.80,35.30,14140.00
22/01/2019,35.20,GIL,35.05,35.60,35.05,22730.00
21/01/2019,35.30,GIL,35.50,35.50,35.05,570.00
18/01/2019,35.30,GIL,34.85,35.30,34.85,2710.00
17/01/2019,35.10,GIL,35.80,35.80,35.10,5620.00
16/01/2019,35.80,GIL,36.00,36.00,35.60,1970.00
15/01/2019,35.95,GIL,34.00,36.00,34.00,33920.00
14/01/2019,34.90,GIL,34.80,35.00,34.80,4690.00
11/01/2019,34.80,GIL,35.00,35.00,34.70,3760.00
10/01/2019,34.60,GIL,35.10,35.10,34.60,3880.00
09/01/2019,35.00,GIL,35.40,35.40,34.50,4490.00
08/01/2019,35.00,GIL,35.00,35.40,34.10,3010.00
07/01/2019,35.00,GIL,35.00,35.50,35.00,7280.00
04/01/2019,35.00,GIL,34.50,35.00,34.10,15700.00
03/01/2019,34.80,GIL,34.00,35.00,33.70,27660.00
02/01/2019,34.80,GIL,33.10,34.80,33.10,34850.00
28/12/2018,33.00,GIL,34.20,34.20,33.00,12020.00
27/12/2018,34.10,GIL,33.70,34.10,33.50,10550.00
26/12/2018,33.50,GIL,34.00,34.60,33.20,4050.00
25/12/2018,34.70,GIL,35.00,35.00,32.60,3000.00
24/12/2018,35.00,GIL,34.65,35.00,34.65,8270.00
21/12/2018,35.00,GIL,35.40,35.40,32.55,500.00
20/12/2018,34.60,GIL,34.80,34.80,34.50,4400.00
19/12/2018,35.00,GIL,35.30,35.30,34.60,6170.00
18/12/2018,35.30,GIL,35.30,35.30,34.80,7670.00
17/12/2018,35.30,GIL,36.00,36.00,35.30,43420.00
14/12/2018,36.00,GIL,36.40,36.40,35.80,7080.00
13/12/2018,36.00,GIL,36.35,36.55,36.00,18110.00
12/12/2018,36.00,GIL,35.70,36.00,35.70,5830.00
11/12/2018,35.50,GIL,36.00,36.05,35.40,29000.00
10/12/2018,36.00,GIL,36.05,36.30,36.00,9160.00
07/12/2018,36.50,GIL,36.70,36.80,36.00,12500.00
06/12/2018,36.50,GIL,36.80,36.80,35.70,29610.00
05/12/2018,37.00,GIL,36.10,37.20,35.80,30620.00
04/12/2018,36.00,GIL,36.20,36.20,35.50,13310.00
03/12/2018,35.60,GIL,35.30,36.50,35.30,14240.00
30/11/2018,35.30,GIL,36.00,36.00,35.15,9090.00
29/11/2018,36.00,GIL,36.80,36.80,35.60,35680.00
28/11/2018,35.95,GIL,35.30,36.45,35.30,24560.00
27/11/2018,35.40,GIL,36.50,36.50,34.80,121640.00
26/11/2018,36.45,GIL,37.50,37.50,36.20,28800.00
23/11/2018,36.45,GIL,36.80,36.80,36.45,14200.00
22/11/2018,36.80,GIL,37.00,37.00,36.60,25090.00
21/11/2018,36.70,GIL,36.50,37.00,36.50,14810.00
20/11/2018,36.65,GIL,37.00,38.80,36.65,53700.00
19/11/2018,37.50,GIL,38.50,38.50,37.15,41820.00
16/11/2018,38.50,GIL,37.90,38.50,37.90,15190.00
15/11/2018,38.00,GIL,38.50,38.50,37.90,70650.00
14/11/2018,38.50,GIL,38.00,38.60,37.80,93950.00
13/11/2018,37.80,GIL,36.50,38.40,36.00,84080.00
12/11/2018,36.50,GIL,36.50,36.80,35.85,6380.00
09/11/2018,36.50,GIL,37.00,37.00,36.50,17010.00
08/11/2018,37.05,GIL,37.70,37.70,37.00,37150.00
07/11/2018,37.50,GIL,38.10,38.40,37.30,20170.00
06/11/2018,38.50,GIL,38.95,39.20,38.50,11950.00
05/11/2018,38.60,GIL,38.70,39.20,38.10,9240.00
02/11/2018,38.70,GIL,37.00,39.00,37.00,69770.00
01/11/2018,37.00,GIL,37.30,37.30,37.00,10660.00
31/10/2018,37.30,GIL,37.00,37.30,36.80,21820.00
30/10/2018,35.60,GIL,35.00,35.90,34.30,20450.00
29/10/2018,35.60,GIL,35.80,35.80,35.50,24240.00
26/10/2018,35.80,GIL,36.00,36.90,35.80,10960.00
