DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
26/04/2019,43.70,GLT,43.70,43.70,43.70,0.00
25/04/2019,43.70,GLT,40.50,44.20,40.50,1000.00
24/04/2019,40.20,GLT,40.20,40.20,40.20,0.00
23/04/2019,40.20,GLT,40.20,40.20,40.20,0.00
22/04/2019,40.20,GLT,40.20,40.20,40.20,0.00
19/04/2019,40.20,GLT,37.00,40.20,37.00,200.00
18/04/2019,40.60,GLT,40.60,40.60,40.60,0.00
17/04/2019,40.60,GLT,40.60,40.60,40.60,0.00
16/04/2019,40.60,GLT,36.70,40.60,36.70,1500.00
12/04/2019,40.70,GLT,37.30,41.00,37.30,1000.00
11/04/2019,37.30,GLT,37.30,37.30,37.30,0.00
10/04/2019,37.30,GLT,33.80,37.30,33.80,200.00
09/04/2019,37.20,GLT,34.10,37.20,34.10,200.00
08/04/2019,37.70,GLT,37.70,37.70,37.70,0.00
05/04/2019,37.70,GLT,37.70,37.70,37.70,0.00
04/04/2019,37.70,GLT,37.70,37.70,37.70,210.00
03/04/2019,37.80,GLT,34.30,37.80,34.30,1414.00
02/04/2019,37.90,GLT,37.90,37.90,37.90,140.00
01/04/2019,35.00,GLT,38.00,38.00,35.00,300.00
29/03/2019,34.60,GLT,34.60,34.60,34.60,100.00
28/03/2019,37.40,GLT,34.00,37.40,33.90,3800.00
27/03/2019,34.70,GLT,34.00,34.70,34.00,2900.00
26/03/2019,34.90,GLT,33.60,34.90,33.60,200.00
25/03/2019,35.50,GLT,34.50,35.50,34.00,2200.00
22/03/2019,35.50,GLT,36.00,36.00,35.50,1700.00
21/03/2019,36.00,GLT,36.00,38.10,36.00,3500.00
20/03/2019,38.90,GLT,36.00,38.90,36.00,2400.00
19/03/2019,39.20,GLT,39.30,39.30,36.00,2800.00
18/03/2019,39.40,GLT,36.60,39.40,36.30,2600.00
15/03/2019,40.30,GLT,38.10,40.30,38.00,700.00
14/03/2019,40.40,GLT,40.30,40.40,40.30,500.00
13/03/2019,40.60,GLT,40.80,40.80,37.40,3100.00
12/03/2019,40.90,GLT,40.90,40.90,40.90,1000.00
11/03/2019,41.80,GLT,41.80,41.80,41.80,0.00
08/03/2019,41.80,GLT,41.80,41.80,41.80,0.00
07/03/2019,41.80,GLT,41.80,41.80,41.80,0.00
06/03/2019,41.80,GLT,41.00,41.80,40.50,3000.00
05/03/2019,45.00,GLT,38.20,45.00,38.10,800.00
04/03/2019,41.80,GLT,41.80,41.80,41.80,100.00
01/03/2019,46.00,GLT,49.90,49.90,46.00,800.00
28/02/2019,50.90,GLT,42.80,50.90,42.80,2100.00
27/02/2019,47.50,GLT,47.50,47.50,47.50,0.00
26/02/2019,47.50,GLT,47.50,47.50,47.50,0.00
25/02/2019,47.50,GLT,47.50,47.50,47.50,0.00
22/02/2019,47.50,GLT,47.50,47.50,47.50,0.00
21/02/2019,47.50,GLT,47.50,47.50,47.50,0.00
20/02/2019,47.50,GLT,47.50,47.50,47.50,0.00
19/02/2019,47.50,GLT,47.50,47.50,47.50,10.00
18/02/2019,47.50,GLT,47.50,47.50,47.50,0.00
15/02/2019,47.50,GLT,47.50,47.50,47.50,0.00
14/02/2019,47.50,GLT,47.50,47.50,47.50,0.00
13/02/2019,47.50,GLT,47.50,47.50,47.50,0.00
12/02/2019,47.50,GLT,47.50,47.50,47.50,0.00
11/02/2019,47.50,GLT,47.50,47.50,47.50,0.00
01/02/2019,47.50,GLT,47.50,47.50,47.50,0.00
31/01/2019,47.50,GLT,47.50,47.50,47.50,0.00
30/01/2019,47.50,GLT,47.50,47.50,47.50,600.00
29/01/2019,52.70,GLT,52.70,52.70,52.70,200.00
28/01/2019,58.50,GLT,58.50,58.50,58.50,300.00
25/01/2019,65.00,GLT,65.00,65.00,65.00,100.00
24/01/2019,70.20,GLT,70.20,70.20,70.20,100.00
23/01/2019,78.00,GLT,78.00,78.00,78.00,0.00
22/01/2019,78.00,GLT,78.00,78.00,78.00,0.00
21/01/2019,78.00,GLT,78.00,78.00,78.00,0.00
18/01/2019,78.00,GLT,78.00,78.00,78.00,0.00
