DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
26/04/2019,13.40,GTA,13.35,13.40,13.35,110.00
25/04/2019,13.05,GTA,13.05,13.05,13.05,90.00
24/04/2019,13.45,GTA,13.00,13.45,13.00,540.00
23/04/2019,13.00,GTA,13.50,13.50,12.85,2160.00
22/04/2019,12.95,GTA,13.00,13.00,12.95,1280.00
19/04/2019,12.95,GTA,13.10,13.15,12.95,730.00
18/04/2019,13.10,GTA,12.90,13.10,12.90,300.00
17/04/2019,13.10,GTA,12.80,13.10,12.80,1520.00
16/04/2019,13.40,GTA,13.35,13.65,12.85,1020.00
12/04/2019,13.00,GTA,12.80,13.05,12.75,7640.00
11/04/2019,12.60,GTA,13.45,13.45,12.60,560.00
10/04/2019,12.85,GTA,13.00,13.05,12.80,2380.00
09/04/2019,13.00,GTA,12.80,13.05,12.80,2330.00
08/04/2019,12.80,GTA,13.00,13.00,12.80,510.00
05/04/2019,13.00,GTA,13.00,13.10,12.95,6410.00
04/04/2019,13.00,GTA,13.05,13.05,13.00,16800.00
03/04/2019,12.85,GTA,13.05,13.05,12.85,270.00
02/04/2019,13.15,GTA,13.10,13.15,12.80,3460.00
01/04/2019,13.20,GTA,13.15,13.20,13.05,4420.00
29/03/2019,13.10,GTA,13.10,13.10,13.10,240.00
28/03/2019,13.10,GTA,13.10,13.20,13.05,9590.00
27/03/2019,13.10,GTA,13.10,13.20,13.00,710.00
26/03/2019,13.10,GTA,13.30,13.30,13.05,8410.00
25/03/2019,13.15,GTA,13.60,13.60,13.05,8020.00
22/03/2019,13.05,GTA,12.95,13.35,12.90,8500.00
21/03/2019,13.35,GTA,13.00,13.35,13.00,290.00
20/03/2019,13.30,GTA,13.40,13.40,13.20,5530.00
19/03/2019,13.30,GTA,12.95,13.30,12.95,12430.00
18/03/2019,12.95,GTA,12.60,12.95,12.60,10880.00
15/03/2019,12.80,GTA,12.55,12.90,12.55,750.00
14/03/2019,12.75,GTA,12.60,12.85,12.60,1260.00
13/03/2019,12.80,GTA,12.80,12.95,12.80,850.00
12/03/2019,12.80,GTA,13.00,13.05,12.80,3620.00
