DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
26/04/2019,3.86,HAP,3.84,4.00,3.84,36450.00
25/04/2019,3.85,HAP,3.94,3.99,3.85,99300.00
24/04/2019,3.95,HAP,4.00,4.00,3.95,87000.00
23/04/2019,4.06,HAP,4.09,4.14,3.98,17730.00
22/04/2019,4.08,HAP,4.09,4.14,4.02,108910.00
19/04/2019,4.08,HAP,4.15,4.15,3.88,256130.00
18/04/2019,4.11,HAP,4.11,4.12,4.00,210960.00
17/04/2019,4.08,HAP,4.05,4.14,4.05,201810.00
16/04/2019,3.93,HAP,3.71,3.93,3.71,502180.00
12/04/2019,3.68,HAP,3.67,3.71,3.63,59710.00
11/04/2019,3.69,HAP,3.65,3.70,3.65,24200.00
10/04/2019,3.68,HAP,3.65,3.71,3.64,24150.00
09/04/2019,3.70,HAP,3.65,3.71,3.65,44860.00
08/04/2019,3.68,HAP,3.69,3.71,3.65,125170.00
05/04/2019,3.69,HAP,3.61,3.71,3.61,40050.00
04/04/2019,3.65,HAP,3.63,3.70,3.51,30860.00
03/04/2019,3.71,HAP,3.62,3.71,3.62,11340.00
02/04/2019,3.72,HAP,3.74,3.74,3.65,1220.00
01/04/2019,3.69,HAP,3.65,3.70,3.65,218940.00
29/03/2019,3.65,HAP,3.61,3.66,3.60,171530.00
28/03/2019,3.65,HAP,3.65,3.67,3.60,10200.00
27/03/2019,3.65,HAP,3.59,3.67,3.59,19760.00
26/03/2019,3.65,HAP,3.67,3.69,3.59,12560.00
25/03/2019,3.67,HAP,3.52,3.70,3.52,24420.00
22/03/2019,3.67,HAP,3.62,3.70,3.56,41220.00
21/03/2019,3.73,HAP,3.75,3.75,3.60,56680.00
20/03/2019,3.70,HAP,3.68,3.75,3.68,116440.00
19/03/2019,3.70,HAP,3.75,3.75,3.67,157120.00
18/03/2019,3.70,HAP,3.54,3.74,3.54,163110.00
15/03/2019,3.52,HAP,3.43,3.52,3.43,29970.00
14/03/2019,3.46,HAP,3.44,3.51,3.44,278930.00
13/03/2019,3.44,HAP,3.44,3.50,3.43,221120.00
12/03/2019,3.49,HAP,3.49,3.49,3.44,210170.00
11/03/2019,3.49,HAP,3.48,3.49,3.45,39820.00
08/03/2019,3.48,HAP,3.50,3.50,3.45,19150.00
07/03/2019,3.48,HAP,3.52,3.55,3.48,28550.00
06/03/2019,3.56,HAP,3.53,3.56,3.50,33570.00
05/03/2019,3.53,HAP,3.43,3.54,3.43,54890.00
04/03/2019,3.43,HAP,3.40,3.48,3.40,44390.00
01/03/2019,3.40,HAP,3.33,3.42,3.33,41090.00
28/02/2019,3.40,HAP,3.38,3.40,3.33,75890.00
27/02/2019,3.39,HAP,3.33,3.39,3.30,20040.00
26/02/2019,3.36,HAP,3.35,3.36,3.35,3520.00
25/02/2019,3.40,HAP,3.31,3.40,3.31,7420.00
22/02/2019,3.39,HAP,3.27,3.39,3.27,652650.00
21/02/2019,3.33,HAP,3.28,3.34,3.26,12090.00
20/02/2019,3.38,HAP,3.44,3.44,3.20,31450.00
19/02/2019,3.40,HAP,3.47,3.47,3.40,10000.00
18/02/2019,3.47,HAP,3.44,3.47,3.44,61590.00
15/02/2019,3.45,HAP,3.42,3.46,3.42,73680.00
14/02/2019,3.42,HAP,3.38,3.42,3.38,24400.00
13/02/2019,3.38,HAP,3.30,3.38,3.28,184830.00
12/02/2019,3.30,HAP,3.29,3.30,3.24,30950.00
11/02/2019,3.23,HAP,3.27,3.27,3.23,12090.00
01/02/2019,3.27,HAP,3.26,3.27,3.20,25570.00
31/01/2019,3.27,HAP,3.27,3.27,3.26,5100.00
30/01/2019,3.27,HAP,3.15,3.27,3.15,59780.00
29/01/2019,3.25,HAP,3.16,3.25,3.16,11340.00
28/01/2019,3.25,HAP,3.17,3.25,3.14,12090.00
25/01/2019,3.21,HAP,3.26,3.26,3.16,28540.00
24/01/2019,3.24,HAP,3.21,3.24,3.15,49080.00
23/01/2019,3.26,HAP,3.25,3.26,3.25,170.00
22/01/2019,3.25,HAP,3.34,3.34,3.19,67550.00
21/01/2019,3.26,HAP,3.21,3.35,3.21,29600.00
18/01/2019,3.26,HAP,3.30,3.30,3.16,37200.00
17/01/2019,3.30,HAP,3.34,3.34,3.20,6140.00
16/01/2019,3.34,HAP,3.28,3.34,3.22,1870.00
15/01/2019,3.33,HAP,3.35,3.35,3.21,11620.00
14/01/2019,3.35,HAP,3.33,3.35,3.33,300.00
11/01/2019,3.33,HAP,3.28,3.33,3.26,35870.00
10/01/2019,3.35,HAP,3.35,3.35,3.30,57020.00
09/01/2019,3.40,HAP,3.31,3.40,3.31,520.00
08/01/2019,3.31,HAP,3.36,3.36,3.31,27690.00
07/01/2019,3.39,HAP,3.40,3.40,3.32,6540.00
04/01/2019,3.40,HAP,3.24,3.40,3.24,13280.00
03/01/2019,3.37,HAP,3.38,3.38,3.30,22990.00
02/01/2019,3.40,HAP,3.38,3.43,3.38,8870.00
28/12/2018,3.43,HAP,3.42,3.43,3.41,16450.00
27/12/2018,3.42,HAP,3.42,3.42,3.38,4830.00
26/12/2018,3.42,HAP,3.42,3.42,3.42,1360.00
25/12/2018,3.35,HAP,3.42,3.42,3.34,37930.00
24/12/2018,3.44,HAP,3.40,3.44,3.40,3700.00
21/12/2018,3.38,HAP,3.40,3.40,3.38,10050.00
20/12/2018,3.41,HAP,3.46,3.46,3.40,5970.00
19/12/2018,3.46,HAP,3.43,3.46,3.42,4720.00
18/12/2018,3.43,HAP,3.43,3.47,3.40,27320.00
17/12/2018,3.43,HAP,3.45,3.53,3.43,34510.00
14/12/2018,3.55,HAP,3.55,3.55,3.55,0.00
13/12/2018,3.55,HAP,3.50,3.58,3.50,13960.00
12/12/2018,3.55,HAP,3.55,3.55,3.55,0.00
11/12/2018,3.55,HAP,3.58,3.58,3.51,460.00
10/12/2018,3.51,HAP,3.50,3.51,3.50,6290.00
07/12/2018,3.59,HAP,3.56,3.59,3.56,320.00
06/12/2018,3.57,HAP,3.51,3.57,3.46,7110.00
05/12/2018,3.58,HAP,3.45,3.59,3.45,23790.00
04/12/2018,3.58,HAP,3.50,3.58,3.45,104040.00
03/12/2018,3.45,HAP,3.40,3.49,3.40,18920.00
30/11/2018,3.46,HAP,3.45,3.46,3.40,2150.00
29/11/2018,3.47,HAP,3.48,3.48,3.41,320.00
28/11/2018,3.48,HAP,3.41,3.48,3.40,18520.00
27/11/2018,3.40,HAP,3.40,3.45,3.38,9740.00
26/11/2018,3.39,HAP,3.40,3.41,3.39,7980.00
23/11/2018,3.39,HAP,3.41,3.41,3.39,12200.00
22/11/2018,3.40,HAP,3.40,3.43,3.40,16080.00
21/11/2018,3.40,HAP,3.43,3.45,3.40,5720.00
20/11/2018,3.44,HAP,3.44,3.44,3.39,3880.00
19/11/2018,3.40,HAP,3.40,3.42,3.38,11500.00
16/11/2018,3.39,HAP,3.40,3.40,3.38,8930.00
15/11/2018,3.38,HAP,3.39,3.40,3.38,9820.00
14/11/2018,3.39,HAP,3.40,3.40,3.39,13340.00
13/11/2018,3.39,HAP,3.39,3.40,3.39,22400.00
12/11/2018,3.40,HAP,3.43,3.43,3.39,8060.00
09/11/2018,3.43,HAP,3.38,3.43,3.38,15540.00
08/11/2018,3.40,HAP,3.37,3.42,3.37,33010.00
07/11/2018,3.42,HAP,3.45,3.46,3.36,32690.00
06/11/2018,3.48,HAP,3.48,3.48,3.38,6860.00
05/11/2018,3.40,HAP,3.42,3.44,3.40,36480.00
02/11/2018,3.45,HAP,3.48,3.48,3.35,64130.00
01/11/2018,3.45,HAP,3.49,3.49,3.40,10900.00
31/10/2018,3.49,HAP,3.50,3.50,3.48,5250.00
30/10/2018,3.49,HAP,3.43,3.51,3.40,71880.00
29/10/2018,3.50,HAP,3.55,3.55,3.50,11010.00
26/10/2018,3.50,HAP,3.51,3.55,3.48,10550.00
25/10/2018,3.51,HAP,3.58,3.58,3.43,20250.00
24/10/2018,3.58,HAP,3.62,3.62,3.50,31650.00
23/10/2018,3.60,HAP,3.65,3.65,3.50,29190.00
22/10/2018,3.60,HAP,3.72,3.72,3.57,39670.00
19/10/2018,3.72,HAP,3.62,3.72,3.62,2200.00
18/10/2018,3.74,HAP,3.65,3.74,3.65,380.00
17/10/2018,3.68,HAP,3.67,3.73,3.67,44180.00
16/10/2018,3.67,HAP,3.65,3.67,3.65,29790.00
15/10/2018,3.65,HAP,3.66,3.67,3.53,96250.00
12/10/2018,3.60,HAP,3.54,3.60,3.53,17890.00
11/10/2018,3.59,HAP,3.63,3.63,3.56,50000.00
10/10/2018,3.69,HAP,3.69,3.71,3.63,2620.00
09/10/2018,3.69,HAP,3.67,3.69,3.63,18690.00
08/10/2018,3.61,HAP,3.76,3.80,3.50,276740.00
05/10/2018,3.75,HAP,3.71,3.75,3.68,25720.00
04/10/2018,3.68,HAP,3.69,3.70,3.67,42670.00
03/10/2018,3.74,HAP,3.75,3.75,3.70,11680.00
02/10/2018,3.75,HAP,3.70,3.76,3.70,29390.00
01/10/2018,3.80,HAP,3.65,3.80,3.65,42900.00
28/09/2018,3.69,HAP,3.69,3.73,3.62,38250.00
27/09/2018,3.69,HAP,3.62,3.70,3.62,34220.00
26/09/2018,3.68,HAP,3.69,3.70,3.65,14640.00
25/09/2018,3.67,HAP,3.69,3.70,3.62,25650.00
24/09/2018,3.63,HAP,3.62,3.75,3.60,20630.00
21/09/2018,3.70,HAP,3.75,3.75,3.61,21880.00
20/09/2018,3.75,HAP,3.78,3.78,3.50,272720.00
19/09/2018,3.73,HAP,3.80,3.82,3.70,76410.00
18/09/2018,3.74,HAP,3.77,3.80,3.70,91160.00
17/09/2018,3.75,HAP,3.83,3.83,3.74,31340.00
14/09/2018,3.77,HAP,3.67,3.82,3.64,114520.00
13/09/2018,3.64,HAP,3.66,3.66,3.64,1110.00
12/09/2018,3.64,HAP,3.65,3.66,3.63,56250.00
11/09/2018,3.63,HAP,3.60,3.66,3.60,4630.00
10/09/2018,3.62,HAP,3.65,3.65,3.60,50160.00
07/09/2018,3.60,HAP,3.62,3.62,3.60,29730.00
06/09/2018,3.58,HAP,3.59,3.61,3.58,3760.00
