DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
16/08/2012,5.20,HBB,5.20,5.30,5.10,6472400.00
15/08/2012,5.20,HBB,5.10,5.30,5.10,6647600.00
14/08/2012,5.10,HBB,5.10,5.20,5.00,5298700.00
13/08/2012,5.10,HBB,5.20,5.20,5.00,3549900.00
10/08/2012,5.10,HBB,5.40,5.40,5.00,11886600.00
09/08/2012,5.10,HBB,5.10,5.10,5.10,1047400.00
08/08/2012,4.80,HBB,4.60,4.80,4.60,3389000.00
07/08/2012,4.50,HBB,4.60,4.70,4.50,939800.00
06/08/2012,4.60,HBB,4.50,4.70,4.50,2141000.00
03/08/2012,4.50,HBB,4.50,4.60,4.40,659000.00
02/08/2012,4.50,HBB,4.50,4.60,4.50,580300.00
01/08/2012,4.50,HBB,4.60,4.60,4.40,1056300.00
31/07/2012,4.60,HBB,4.50,4.60,4.50,1114900.00
30/07/2012,4.60,HBB,4.50,4.60,4.40,915400.00
27/07/2012,4.60,HBB,4.60,4.70,4.50,2479700.00
26/07/2012,4.60,HBB,4.60,4.70,4.50,2364100.00
25/07/2012,4.60,HBB,4.50,4.60,4.50,805000.00
24/07/2012,4.60,HBB,4.60,4.70,4.50,2671300.00
23/07/2012,4.70,HBB,4.70,4.90,4.60,1885100.00
20/07/2012,4.80,HBB,5.00,5.00,4.70,3462800.00
19/07/2012,5.00,HBB,4.80,5.00,4.60,3722200.00
18/07/2012,4.70,HBB,4.90,4.90,4.60,1691700.00
17/07/2012,4.80,HBB,4.50,4.80,4.50,2172600.00
16/07/2012,4.60,HBB,4.80,4.90,4.60,1749100.00
13/07/2012,4.90,HBB,4.60,4.90,4.60,3595600.00
12/07/2012,4.70,HBB,4.60,4.70,4.40,1698900.00
11/07/2012,4.60,HBB,4.40,4.60,4.30,1733600.00
10/07/2012,4.30,HBB,4.40,4.50,4.30,1598400.00
09/07/2012,4.40,HBB,4.70,4.70,4.40,1466700.00
06/07/2012,4.60,HBB,4.80,4.90,4.60,2679200.00
05/07/2012,4.70,HBB,4.40,4.70,4.30,2951300.00
04/07/2012,4.40,HBB,4.50,4.60,4.40,1415000.00
03/07/2012,4.50,HBB,4.70,4.70,4.40,2422600.00
02/07/2012,4.60,HBB,4.80,4.80,4.60,790500.00
29/06/2012,4.80,HBB,4.80,4.90,4.70,1346600.00
28/06/2012,4.80,HBB,4.70,4.90,4.50,2682300.00
27/06/2012,4.80,HBB,4.80,4.90,4.70,1337400.00
26/06/2012,4.80,HBB,5.00,5.00,4.70,1919900.00
25/06/2012,4.90,HBB,5.00,5.10,4.80,2411800.00
22/06/2012,5.10,HBB,5.10,5.10,5.00,1657500.00
21/06/2012,5.10,HBB,5.20,5.20,5.00,1265900.00
20/06/2012,5.10,HBB,5.10,5.20,5.10,1066100.00
19/06/2012,5.10,HBB,5.20,5.20,5.00,1872300.00
18/06/2012,5.20,HBB,5.20,5.30,5.10,2500700.00
15/06/2012,5.20,HBB,5.10,5.20,5.00,4443600.00
14/06/2012,5.10,HBB,5.20,5.20,5.00,3456800.00
13/06/2012,5.20,HBB,5.20,5.30,5.10,1435500.00
12/06/2012,5.10,HBB,5.30,5.30,5.10,1261100.00
11/06/2012,5.30,HBB,5.30,5.40,5.20,2454100.00
08/06/2012,5.30,HBB,5.50,5.60,5.20,4868900.00
07/06/2012,5.40,HBB,5.20,5.40,5.10,6102400.00
06/06/2012,5.10,HBB,5.10,5.20,5.00,2514000.00
05/06/2012,5.10,HBB,5.00,5.20,4.90,2952300.00
04/06/2012,4.90,HBB,5.10,5.20,4.90,3226500.00
01/06/2012,5.10,HBB,5.00,5.30,5.00,2308800.00
31/05/2012,5.10,HBB,5.30,5.30,5.10,2240200.00
30/05/2012,5.20,HBB,5.30,5.40,5.20,1975500.00
29/05/2012,5.30,HBB,5.40,5.40,5.10,1630900.00
28/05/2012,5.30,HBB,5.50,5.60,5.20,4342600.00
25/05/2012,5.30,HBB,5.20,5.30,5.10,3476700.00
24/05/2012,5.10,HBB,5.10,5.20,4.80,3464700.00
23/05/2012,5.10,HBB,5.40,5.40,5.10,5024100.00
22/05/2012,5.30,HBB,5.70,5.80,5.30,3380000.00
21/05/2012,5.50,HBB,5.20,5.50,5.10,3883400.00
18/05/2012,5.20,HBB,5.50,5.50,5.20,7205600.00
17/05/2012,5.50,HBB,5.70,5.70,5.40,3187600.00
16/05/2012,5.70,HBB,5.60,5.70,5.40,6395200.00
15/05/2012,5.60,HBB,5.80,6.00,5.50,7698800.00
14/05/2012,5.90,HBB,6.20,6.20,5.80,8116600.00
11/05/2012,6.20,HBB,6.20,6.40,6.10,4511400.00
10/05/2012,6.30,HBB,6.60,6.60,6.10,11958600.00
09/05/2012,6.60,HBB,6.70,6.80,6.50,5166200.00
08/05/2012,6.70,HBB,7.00,7.00,6.60,10238100.00
07/05/2012,6.60,HBB,6.20,6.60,6.20,6103700.00
04/05/2012,6.30,HBB,6.00,6.50,6.00,12641200.00
03/05/2012,6.30,HBB,6.30,6.50,6.30,14505200.00
02/05/2012,6.70,HBB,7.10,7.10,6.70,11994300.00
27/04/2012,7.20,HBB,7.20,7.20,7.00,6126000.00
26/04/2012,7.10,HBB,7.20,7.40,7.10,13290000.00
25/04/2012,7.00,HBB,6.90,7.20,6.90,11134800.00
24/04/2012,6.90,HBB,6.80,6.90,6.60,5592500.00
23/04/2012,6.70,HBB,6.70,6.90,6.60,4572600.00
20/04/2012,6.80,HBB,6.70,6.90,6.60,6119200.00
19/04/2012,6.80,HBB,6.90,7.00,6.60,9703400.00
18/04/2012,6.90,HBB,7.00,7.10,6.80,11685000.00
17/04/2012,7.00,HBB,7.20,7.20,7.00,11142100.00
16/04/2012,7.20,HBB,7.10,7.30,7.00,9492600.00
13/04/2012,7.10,HBB,7.20,7.40,7.00,10515600.00
12/04/2012,7.40,HBB,7.20,7.50,7.10,26613700.00
11/04/2012,7.10,HBB,6.90,7.10,6.80,11148900.00
10/04/2012,6.80,HBB,7.10,7.10,6.70,9462900.00
09/04/2012,7.00,HBB,6.90,7.10,6.80,8314700.00
06/04/2012,6.90,HBB,7.10,7.20,6.80,10211000.00
05/04/2012,7.10,HBB,7.00,7.20,6.90,9484000.00
04/04/2012,7.00,HBB,7.20,7.30,6.90,15035500.00
03/04/2012,6.90,HBB,6.50,6.90,6.50,9563500.00
30/03/2012,6.40,HBB,6.80,6.80,6.40,9065700.00
29/03/2012,6.70,HBB,7.10,7.20,6.60,14743200.00
28/03/2012,6.90,HBB,6.70,7.20,6.60,15454700.00
27/03/2012,7.00,HBB,7.40,7.50,7.00,17338800.00
26/03/2012,7.50,HBB,7.90,8.00,7.40,13922900.00
23/03/2012,7.70,HBB,7.40,7.70,7.30,19491200.00
22/03/2012,7.30,HBB,7.10,7.30,6.90,18783700.00
21/03/2012,7.00,HBB,6.60,7.00,6.60,19845600.00
20/03/2012,6.60,HBB,6.50,6.70,6.40,11210100.00
19/03/2012,6.60,HBB,6.50,6.80,6.30,7540600.00
16/03/2012,6.60,HBB,6.60,6.60,6.50,11047100.00
15/03/2012,6.60,HBB,5.90,6.60,5.80,26094000.00
14/03/2012,6.10,HBB,6.60,6.80,6.10,18706900.00
13/03/2012,6.70,HBB,6.30,7.00,6.30,25149600.00
12/03/2012,6.70,HBB,6.70,6.70,6.70,655800.00
09/03/2012,6.90,HBB,7.20,7.50,6.90,8550100.00
08/03/2012,7.20,HBB,7.60,7.80,7.00,13345600.00
07/03/2012,7.50,HBB,7.50,7.50,6.80,27309100.00
06/03/2012,7.10,HBB,7.10,7.10,6.70,38081700.00
05/03/2012,6.70,HBB,6.70,6.70,6.70,758100.00
02/03/2012,6.30,HBB,6.30,6.30,6.20,2306700.00
01/03/2012,6.00,HBB,5.90,6.00,5.70,10445800.00
29/02/2012,6.00,HBB,5.60,6.00,5.40,21178600.00
28/02/2012,5.60,HBB,5.80,5.80,5.40,40290200.00
27/02/2012,5.50,HBB,5.50,5.50,5.50,10400700.00
24/02/2012,5.20,HBB,5.20,5.20,5.10,14236000.00
23/02/2012,4.90,HBB,4.80,4.90,4.60,13320000.00
22/02/2012,4.80,HBB,4.60,4.90,4.50,12699300.00
21/02/2012,4.70,HBB,5.00,5.10,4.60,7251900.00
20/02/2012,4.80,HBB,4.60,4.80,4.50,13111600.00
17/02/2012,4.60,HBB,4.30,4.60,4.30,2663100.00
16/02/2012,4.30,HBB,4.50,4.50,4.20,2356500.00
15/02/2012,4.50,HBB,4.80,4.80,4.50,4133200.00
14/02/2012,4.80,HBB,4.60,4.90,4.60,2347300.00
13/02/2012,4.90,HBB,5.10,5.10,4.90,1208600.00
10/02/2012,5.10,HBB,5.30,5.30,5.00,6220200.00
09/02/2012,5.00,HBB,4.70,5.00,4.70,9222500.00
08/02/2012,4.70,HBB,4.50,4.80,4.30,756800.00
07/02/2012,4.60,HBB,4.60,4.70,4.60,647600.00
06/02/2012,4.60,HBB,4.70,4.70,4.50,733000.00
03/02/2012,4.70,HBB,4.60,4.90,4.60,1237400.00
02/02/2012,4.80,HBB,4.50,4.80,4.40,1914500.00
01/02/2012,4.60,HBB,4.70,4.70,4.50,772200.00
31/01/2012,4.70,HBB,4.60,4.80,4.60,1737400.00
30/01/2012,4.50,HBB,4.50,4.60,4.40,225400.00
20/01/2012,4.40,HBB,4.40,4.50,4.40,385200.00
19/01/2012,4.40,HBB,4.40,4.50,4.30,1178700.00
18/01/2012,4.40,HBB,4.30,4.40,4.30,158700.00
17/01/2012,4.30,HBB,4.40,4.50,4.30,305400.00
16/01/2012,4.50,HBB,4.30,4.60,4.30,700100.00
13/01/2012,4.30,HBB,4.20,4.40,4.20,437400.00
12/01/2012,4.20,HBB,4.10,4.30,4.10,498100.00
11/01/2012,4.10,HBB,4.30,4.30,4.10,312200.00
10/01/2012,4.20,HBB,4.00,4.20,4.00,671100.00
09/01/2012,4.00,HBB,4.20,4.20,4.00,574300.00
06/01/2012,4.20,HBB,4.00,4.20,4.00,312200.00
05/01/2012,4.10,HBB,4.20,4.20,4.00,1085800.00
04/01/2012,4.20,HBB,4.20,4.20,4.10,262300.00
03/01/2012,4.20,HBB,4.30,4.30,4.20,250500.00
30/12/2011,4.30,HBB,4.20,4.30,4.20,496100.00
29/12/2011,4.10,HBB,4.30,4.30,4.10,500100.00
28/12/2011,4.20,HBB,4.00,4.20,3.90,937500.00
27/12/2011,4.10,HBB,4.10,4.10,4.00,1082100.00
26/12/2011,4.20,HBB,4.30,4.30,4.10,751100.00
23/12/2011,4.30,HBB,4.20,4.40,4.10,850200.00
22/12/2011,4.20,HBB,4.40,4.40,4.10,827100.00
21/12/2011,4.40,HBB,4.40,4.50,4.30,376400.00
20/12/2011,4.40,HBB,4.60,4.60,4.30,939500.00
19/12/2011,4.60,HBB,4.60,4.70,4.50,936100.00
16/12/2011,4.40,HBB,4.20,4.40,4.00,322100.00
15/12/2011,4.30,HBB,4.50,4.50,4.20,1309000.00
14/12/2011,4.50,HBB,4.80,4.80,4.50,1313700.00
13/12/2011,4.90,HBB,5.10,5.10,4.80,1653200.00
12/12/2011,5.10,HBB,5.30,5.30,5.00,952000.00
09/12/2011,5.30,HBB,5.30,5.40,5.20,522600.00
08/12/2011,5.40,HBB,5.40,5.40,5.30,210100.00
07/12/2011,5.40,HBB,5.50,5.50,5.40,301000.00
06/12/2011,5.50,HBB,5.60,5.70,5.50,604900.00
05/12/2011,5.70,HBB,5.50,5.70,5.40,1053700.00
02/12/2011,5.40,HBB,5.50,5.50,5.30,332300.00
01/12/2011,5.40,HBB,5.40,5.60,5.30,403400.00
30/11/2011,5.30,HBB,5.40,5.40,5.20,246300.00
29/11/2011,5.40,HBB,5.20,5.60,5.20,297300.00
28/11/2011,5.50,HBB,5.40,5.60,5.40,381500.00
25/11/2011,5.30,HBB,5.40,5.40,5.30,220700.00
24/11/2011,5.40,HBB,5.40,5.50,5.30,386700.00
23/11/2011,5.40,HBB,5.40,5.60,5.40,477900.00
22/11/2011,5.40,HBB,5.40,5.50,5.40,191400.00
21/11/2011,5.40,HBB,5.40,5.50,5.30,416300.00
18/11/2011,5.40,HBB,5.60,5.60,5.40,592900.00
17/11/2011,5.50,HBB,5.80,5.80,5.50,173900.00
16/11/2011,5.80,HBB,5.60,5.80,5.60,435300.00
15/11/2011,5.60,HBB,5.40,5.80,5.30,475900.00
14/11/2011,5.50,HBB,5.90,5.90,5.50,1410200.00
11/11/2011,5.90,HBB,6.00,6.00,5.90,516000.00
10/11/2011,5.90,HBB,6.10,6.10,5.80,817400.00
09/11/2011,6.00,HBB,6.10,6.10,5.90,508400.00
08/11/2011,6.10,HBB,6.20,6.20,5.90,592500.00
07/11/2011,6.10,HBB,6.20,6.20,6.00,391900.00
04/11/2011,6.20,HBB,6.20,6.30,6.10,624900.00
03/11/2011,6.20,HBB,6.20,6.30,6.10,853400.00
02/11/2011,6.30,HBB,6.30,6.40,6.20,324000.00
01/11/2011,6.40,HBB,6.60,6.60,6.30,764200.00
31/10/2011,6.70,HBB,6.90,7.00,6.50,1094300.00
28/10/2011,6.70,HBB,6.40,6.70,6.40,2726400.00
27/10/2011,6.30,HBB,6.30,6.40,6.20,173900.00
26/10/2011,6.40,HBB,6.30,6.40,6.30,130800.00
25/10/2011,6.30,HBB,6.30,6.40,6.30,238400.00
24/10/2011,6.40,HBB,6.50,6.50,6.40,250800.00
21/10/2011,6.50,HBB,6.30,6.60,6.30,455400.00
20/10/2011,6.30,HBB,6.30,6.40,6.20,88400.00
19/10/2011,6.30,HBB,6.30,6.40,6.20,376000.00
18/10/2011,6.30,HBB,6.40,6.50,6.20,730700.00
17/10/2011,6.40,HBB,6.60,6.60,6.40,562000.00
14/10/2011,6.60,HBB,6.60,6.70,6.60,378000.00
13/10/2011,6.60,HBB,6.60,6.60,6.50,383800.00
12/10/2011,6.60,HBB,6.70,6.70,6.50,572900.00
11/10/2011,6.70,HBB,6.70,6.90,6.60,623100.00
10/10/2011,6.70,HBB,6.80,6.80,6.60,500700.00
07/10/2011,6.70,HBB,6.90,6.90,6.70,319700.00
06/10/2011,6.90,HBB,6.80,6.90,6.70,255700.00
05/10/2011,6.70,HBB,6.80,6.80,6.50,494900.00
04/10/2011,6.70,HBB,6.70,6.80,6.40,662600.00
03/10/2011,6.80,HBB,6.90,6.90,6.70,384800.00
30/09/2011,6.90,HBB,7.00,7.00,6.80,530400.00
29/09/2011,7.00,HBB,7.20,7.20,6.90,618500.00
28/09/2011,7.20,HBB,7.10,7.30,7.00,652600.00
27/09/2011,7.00,HBB,7.10,7.10,7.00,689800.00
26/09/2011,7.10,HBB,7.20,7.30,7.00,1018700.00
23/09/2011,7.20,HBB,7.30,7.30,7.10,540800.00
22/09/2011,7.30,HBB,7.30,7.30,7.20,536800.00
21/09/2011,7.30,HBB,7.40,7.40,7.20,448200.00
20/09/2011,7.30,HBB,7.50,7.50,7.30,402400.00
19/09/2011,7.50,HBB,7.40,7.60,7.30,597500.00
16/09/2011,7.40,HBB,7.50,7.50,7.30,821500.00
15/09/2011,7.60,HBB,7.70,7.70,7.30,772600.00
14/09/2011,7.70,HBB,8.40,8.40,7.70,1134600.00
13/09/2011,8.80,HBB,8.80,9.00,8.80,1685300.00
12/09/2011,8.90,HBB,8.90,9.00,8.60,1470800.00
09/09/2011,8.90,HBB,9.00,9.00,8.60,1062900.00
08/09/2011,9.00,HBB,9.30,9.40,8.80,2730200.00
07/09/2011,9.00,HBB,8.40,9.00,8.40,2161100.00
06/09/2011,8.50,HBB,9.20,9.20,8.30,1976300.00
05/09/2011,8.90,HBB,8.90,8.90,8.70,2222700.00
01/09/2011,8.40,HBB,8.20,8.40,8.20,1046800.00
31/08/2011,8.00,HBB,7.60,8.00,7.60,1658800.00
30/08/2011,7.50,HBB,7.30,7.70,7.30,2072800.00
29/08/2011,7.30,HBB,7.20,7.30,7.10,356200.00
26/08/2011,7.20,HBB,7.30,7.30,7.10,315500.00
25/08/2011,7.20,HBB,7.20,7.30,7.20,145200.00
24/08/2011,7.20,HBB,7.30,7.30,7.20,198600.00
23/08/2011,7.30,HBB,7.40,7.40,7.20,485900.00
22/08/2011,7.40,HBB,7.10,7.50,7.10,596000.00
19/08/2011,7.10,HBB,7.10,7.20,7.00,196600.00
18/08/2011,7.20,HBB,7.30,7.30,7.10,240000.00
17/08/2011,7.20,HBB,7.10,7.30,7.10,511500.00
16/08/2011,7.10,HBB,7.20,7.20,7.00,106600.00
15/08/2011,7.10,HBB,7.20,7.20,7.00,212100.00
12/08/2011,7.10,HBB,7.10,7.20,7.10,225900.00
11/08/2011,7.10,HBB,7.00,7.30,6.80,141000.00
10/08/2011,7.30,HBB,7.30,7.40,7.20,133300.00
09/08/2011,7.40,HBB,7.40,7.60,7.10,259200.00
08/08/2011,7.50,HBB,7.80,7.80,7.50,65600.00
05/08/2011,7.70,HBB,7.70,7.70,7.60,145700.00
04/08/2011,7.70,HBB,7.80,7.80,7.60,276500.00
03/08/2011,7.60,HBB,7.60,7.70,7.50,112400.00
02/08/2011,7.60,HBB,7.80,7.80,7.60,113400.00
01/08/2011,7.70,HBB,8.00,8.00,7.70,105800.00
29/07/2011,7.80,HBB,8.00,8.00,7.80,93300.00
28/07/2011,8.00,HBB,8.00,8.00,7.90,90700.00
27/07/2011,8.00,HBB,8.00,8.00,7.90,98900.00
26/07/2011,7.90,HBB,8.10,8.10,7.90,107400.00
25/07/2011,8.00,HBB,8.30,8.30,8.00,129900.00
22/07/2011,8.10,HBB,8.30,8.30,8.10,94900.00
21/07/2011,8.20,HBB,8.20,8.30,8.10,151000.00
20/07/2011,8.10,HBB,8.10,8.20,8.00,106700.00
19/07/2011,8.00,HBB,8.20,8.20,8.00,39200.00
18/07/2011,8.10,HBB,8.00,8.30,8.00,84300.00
15/07/2011,8.20,HBB,8.20,8.30,8.10,184200.00
14/07/2011,8.30,HBB,8.30,8.30,8.20,111100.00
13/07/2011,8.20,HBB,8.40,8.40,8.20,86100.00
12/07/2011,8.20,HBB,8.30,8.30,8.10,125600.00
11/07/2011,8.20,HBB,8.40,8.40,8.20,62700.00
08/07/2011,8.30,HBB,8.50,8.50,8.20,97800.00
