DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
26/04/2019,17.90,HBD,17.90,17.90,17.90,0.00
25/04/2019,17.90,HBD,17.90,17.90,17.90,0.00
24/04/2019,17.90,HBD,17.90,17.90,17.90,0.00
23/04/2019,17.90,HBD,17.90,17.90,17.90,0.00
22/04/2019,17.90,HBD,17.90,17.90,17.90,0.00
19/04/2019,17.90,HBD,17.90,17.90,17.90,0.00
18/04/2019,17.90,HBD,17.90,17.90,17.90,0.00
17/04/2019,17.90,HBD,17.90,17.90,17.90,0.00
16/04/2019,17.90,HBD,17.90,17.90,17.90,100.00
12/04/2019,18.40,HBD,18.40,18.40,18.40,0.00
11/04/2019,18.40,HBD,18.40,18.40,18.40,100.00
10/04/2019,16.00,HBD,16.00,16.00,16.00,100.00
09/04/2019,18.10,HBD,18.10,18.10,18.10,0.00
08/04/2019,18.10,HBD,18.10,18.10,18.10,100.00
05/04/2019,15.80,HBD,15.80,15.80,15.80,200.00
04/04/2019,18.50,HBD,18.50,18.50,18.50,100.00
03/04/2019,16.00,HBD,16.10,16.10,16.00,500.00
02/04/2019,18.60,HBD,18.60,18.60,18.60,0.00
01/04/2019,18.60,HBD,18.60,18.60,18.60,100.00
29/03/2019,16.20,HBD,16.20,16.20,16.20,200.00
28/03/2019,18.90,HBD,18.90,18.90,18.90,0.00
27/03/2019,18.90,HBD,18.90,18.90,18.90,0.00
26/03/2019,18.90,HBD,18.90,18.90,18.90,100.00
25/03/2019,16.50,HBD,16.50,16.50,16.50,0.00
22/03/2019,16.50,HBD,16.50,16.50,16.50,100.00
21/03/2019,14.40,HBD,14.40,14.40,14.40,152.00
20/03/2019,16.90,HBD,16.90,16.90,16.90,0.00
19/03/2019,16.90,HBD,16.90,16.90,16.90,0.00
18/03/2019,16.90,HBD,16.90,16.90,16.90,0.00
15/03/2019,16.90,HBD,16.90,16.90,16.90,0.00
14/03/2019,16.90,HBD,16.90,16.90,16.90,0.00
13/03/2019,16.90,HBD,16.90,16.90,16.90,0.00
12/03/2019,16.90,HBD,16.90,16.90,16.90,1.00
11/03/2019,16.90,HBD,16.90,16.90,16.90,0.00
08/03/2019,16.90,HBD,16.90,16.90,16.90,5.00
07/03/2019,18.40,HBD,18.40,18.40,18.40,201.00
06/03/2019,18.50,HBD,18.50,18.50,18.50,3.00
05/03/2019,18.50,HBD,18.50,18.50,18.50,0.00
04/03/2019,18.50,HBD,18.50,18.50,18.50,2.00
01/03/2019,18.50,HBD,18.50,18.50,18.50,0.00
28/02/2019,18.50,HBD,18.50,18.50,18.50,0.00
27/02/2019,18.50,HBD,18.50,18.50,18.50,100.00
26/02/2019,16.10,HBD,16.10,16.10,16.10,0.00
25/02/2019,16.10,HBD,16.10,16.10,16.10,0.00
22/02/2019,16.10,HBD,16.10,16.10,16.10,0.00
21/02/2019,16.10,HBD,16.10,16.10,16.10,0.00
20/02/2019,16.10,HBD,16.10,16.10,16.10,100.00
19/02/2019,14.00,HBD,14.00,14.00,14.00,200.00
18/02/2019,15.80,HBD,15.80,15.80,15.80,0.00
15/02/2019,15.80,HBD,15.80,15.80,15.80,0.00
14/02/2019,15.80,HBD,15.80,15.80,15.80,100.00
13/02/2019,13.80,HBD,13.80,13.80,13.80,300.00
12/02/2019,15.20,HBD,15.20,15.20,15.20,0.00
11/02/2019,15.10,HBD,15.20,15.20,15.10,200.00
01/02/2019,13.30,HBD,13.30,13.30,13.30,100.00
31/01/2019,15.50,HBD,15.50,15.50,15.50,0.00
30/01/2019,15.50,HBD,15.50,15.50,15.50,0.00
29/01/2019,15.50,HBD,15.50,15.50,15.50,0.00
28/01/2019,15.50,HBD,15.50,15.50,15.50,0.00
25/01/2019,15.50,HBD,15.50,15.50,15.50,0.00
24/01/2019,15.50,HBD,15.50,15.50,15.50,0.00
23/01/2019,15.50,HBD,15.50,15.50,15.50,0.00
22/01/2019,15.50,HBD,15.50,15.50,15.50,0.00
21/01/2019,15.50,HBD,15.50,15.50,15.50,100.00
18/01/2019,13.50,HBD,13.50,13.50,13.50,200.00
17/01/2019,14.80,HBD,14.80,14.80,14.80,0.00
16/01/2019,14.80,HBD,14.80,14.80,14.80,0.00
15/01/2019,14.80,HBD,14.80,14.80,14.80,0.00
14/01/2019,14.80,HBD,14.80,14.80,14.80,0.00
11/01/2019,14.80,HBD,14.80,14.80,14.80,0.00
10/01/2019,14.80,HBD,14.80,14.80,14.80,0.00
09/01/2019,14.80,HBD,14.80,14.80,14.80,0.00
08/01/2019,13.80,HBD,15.70,15.70,13.80,200.00
