DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
26/04/2019,4.70,HCD,4.87,4.99,4.66,252280.00
25/04/2019,4.87,HCD,4.76,4.95,4.76,1094260.00
24/04/2019,4.76,HCD,4.45,4.76,4.45,832110.00
23/04/2019,4.45,HCD,4.46,4.49,4.42,162380.00
22/04/2019,4.44,HCD,4.45,4.46,4.41,89340.00
19/04/2019,4.45,HCD,4.50,4.51,4.45,110580.00
18/04/2019,4.48,HCD,4.49,4.52,4.45,121130.00
17/04/2019,4.49,HCD,4.44,4.52,4.44,167040.00
16/04/2019,4.50,HCD,4.51,4.53,4.40,85180.00
12/04/2019,4.51,HCD,4.52,4.52,4.49,96980.00
11/04/2019,4.52,HCD,4.50,4.55,4.50,85190.00
10/04/2019,4.50,HCD,4.55,4.56,4.41,126200.00
09/04/2019,4.56,HCD,4.61,4.61,4.54,132320.00
08/04/2019,4.59,HCD,4.57,4.59,4.53,103460.00
05/04/2019,4.57,HCD,4.57,4.60,4.56,126460.00
04/04/2019,4.60,HCD,4.60,4.60,4.53,65490.00
03/04/2019,4.60,HCD,4.57,4.64,4.57,699960.00
02/04/2019,4.59,HCD,4.59,4.65,4.59,378930.00
01/04/2019,4.59,HCD,4.55,4.69,4.55,109950.00
29/03/2019,4.59,HCD,4.56,4.59,4.55,91330.00
28/03/2019,4.59,HCD,4.60,4.60,4.54,118390.00
27/03/2019,4.60,HCD,4.55,4.65,4.55,115650.00
26/03/2019,4.58,HCD,4.55,4.70,4.55,331280.00
25/03/2019,4.60,HCD,4.70,4.71,4.52,373830.00
22/03/2019,4.80,HCD,5.00,5.08,4.78,636570.00
21/03/2019,5.05,HCD,5.01,5.15,4.98,683120.00
20/03/2019,5.05,HCD,5.12,5.17,4.98,736700.00
19/03/2019,5.20,HCD,5.30,5.45,4.99,2016770.00
18/03/2019,5.20,HCD,5.09,5.20,4.99,593960.00
15/03/2019,5.09,HCD,5.05,5.12,5.00,236310.00
14/03/2019,5.08,HCD,5.05,5.08,5.00,457620.00
13/03/2019,5.05,HCD,5.02,5.10,5.02,125610.00
12/03/2019,5.02,HCD,5.04,5.04,5.00,124070.00
11/03/2019,5.04,HCD,5.01,5.05,5.00,84730.00
08/03/2019,5.05,HCD,5.08,5.08,5.03,188580.00
07/03/2019,5.09,HCD,5.09,5.15,5.07,159640.00
06/03/2019,5.09,HCD,5.15,5.18,5.09,115170.00
05/03/2019,5.10,HCD,5.03,5.18,5.03,330580.00
04/03/2019,5.06,HCD,5.07,5.10,5.02,209510.00
01/03/2019,5.03,HCD,5.03,5.10,5.00,183290.00
28/02/2019,5.03,HCD,5.09,5.10,5.01,102830.00
27/02/2019,5.08,HCD,5.10,5.30,5.08,94890.00
26/02/2019,5.10,HCD,5.40,5.40,5.08,207170.00
25/02/2019,5.39,HCD,5.60,5.61,5.33,145390.00
22/02/2019,5.69,HCD,5.91,5.91,5.65,81850.00
21/02/2019,5.91,HCD,5.98,6.08,5.86,340080.00
20/02/2019,5.94,HCD,5.69,6.02,5.69,868290.00
19/02/2019,5.65,HCD,5.65,5.72,5.65,80650.00
18/02/2019,5.70,HCD,5.66,5.79,5.66,84840.00
15/02/2019,5.70,HCD,5.84,5.84,5.67,243560.00
14/02/2019,5.82,HCD,5.80,5.88,5.76,136100.00
13/02/2019,5.80,HCD,5.80,5.87,5.75,227320.00
12/02/2019,5.75,HCD,5.58,5.79,5.50,295280.00
11/02/2019,5.54,HCD,5.55,5.60,5.47,135890.00
01/02/2019,5.47,HCD,5.47,5.50,5.40,177900.00
31/01/2019,5.47,HCD,5.21,5.53,5.16,397180.00
30/01/2019,5.20,HCD,5.20,5.21,5.12,74600.00
29/01/2019,5.22,HCD,5.24,5.24,5.15,122410.00
28/01/2019,5.22,HCD,5.15,5.25,5.15,136610.00
25/01/2019,5.10,HCD,5.01,5.15,5.01,87800.00
24/01/2019,5.04,HCD,5.07,5.07,5.02,70300.00
23/01/2019,5.06,HCD,5.00,5.06,5.00,47630.00
22/01/2019,5.00,HCD,5.03,5.03,5.00,145580.00
21/01/2019,5.00,HCD,5.01,5.05,5.00,68570.00
18/01/2019,5.00,HCD,5.05,5.05,5.00,112650.00
17/01/2019,5.00,HCD,5.06,5.06,5.00,103000.00
16/01/2019,5.00,HCD,5.07,5.07,5.00,85220.00
15/01/2019,5.00,HCD,5.08,5.08,5.00,207690.00
14/01/2019,5.02,HCD,5.01,5.09,5.01,60000.00
11/01/2019,5.01,HCD,5.00,5.12,5.00,108730.00
10/01/2019,5.01,HCD,5.15,5.33,5.01,127930.00
09/01/2019,5.10,HCD,4.96,5.10,4.92,206420.00
08/01/2019,4.96,HCD,4.97,4.97,4.90,318170.00
07/01/2019,4.97,HCD,4.89,4.99,4.87,106120.00
04/01/2019,4.89,HCD,4.85,4.89,4.55,498540.00
03/01/2019,4.89,HCD,4.90,4.96,4.88,251080.00
02/01/2019,4.95,HCD,4.93,5.00,4.92,185060.00
28/12/2018,4.93,HCD,5.01,5.01,4.91,148660.00
27/12/2018,4.97,HCD,4.97,5.02,4.96,131120.00
26/12/2018,4.97,HCD,4.92,4.98,4.91,1123760.00
25/12/2018,4.97,HCD,4.92,4.99,4.86,582860.00
24/12/2018,4.98,HCD,4.98,5.03,4.98,125550.00
21/12/2018,4.98,HCD,4.95,5.01,4.92,192770.00
20/12/2018,4.98,HCD,4.98,4.98,4.90,172820.00
19/12/2018,4.98,HCD,5.02,5.02,4.93,243630.00
18/12/2018,4.98,HCD,4.95,4.99,4.91,809870.00
17/12/2018,4.99,HCD,4.99,4.99,4.91,106390.00
14/12/2018,4.99,HCD,5.00,5.06,4.99,158960.00
