DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
26/04/2019,25.45,HCM,25.40,25.70,25.25,363410.00
25/04/2019,25.40,HCM,25.90,25.90,25.20,410940.00
24/04/2019,25.90,HCM,24.40,26.00,24.40,542300.00
23/04/2019,24.30,HCM,24.30,24.80,24.20,580110.00
22/04/2019,24.30,HCM,25.00,25.20,24.30,842970.00
19/04/2019,25.60,HCM,25.85,26.30,25.60,529700.00
18/04/2019,25.90,HCM,26.00,26.65,25.85,672110.00
17/04/2019,26.65,HCM,27.10,27.20,26.65,260350.00
16/04/2019,26.95,HCM,27.10,27.10,26.55,490400.00
12/04/2019,27.20,HCM,27.50,27.95,27.20,675750.00
11/04/2019,27.70,HCM,28.05,28.20,27.60,586250.00
10/04/2019,28.05,HCM,28.20,28.40,27.90,388050.00
09/04/2019,28.40,HCM,28.30,29.10,28.20,1251210.00
08/04/2019,28.20,HCM,27.70,28.25,27.50,691920.00
05/04/2019,27.60,HCM,27.90,28.00,27.50,620730.00
04/04/2019,27.60,HCM,27.80,28.20,27.55,576620.00
03/04/2019,27.60,HCM,27.50,28.15,27.50,468060.00
02/04/2019,27.80,HCM,28.50,28.60,27.80,554090.00
01/04/2019,28.00,HCM,28.50,28.50,27.90,618600.00
29/03/2019,28.20,HCM,28.75,28.80,28.20,420940.00
28/03/2019,28.60,HCM,28.00,28.75,28.00,263670.00
27/03/2019,28.65,HCM,28.75,28.95,28.45,203860.00
26/03/2019,28.60,HCM,28.40,28.90,28.20,287160.00
25/03/2019,28.00,HCM,28.10,28.60,27.60,597270.00
22/03/2019,29.15,HCM,29.50,29.60,28.90,543490.00
21/03/2019,29.00,HCM,30.60,30.70,29.00,594230.00
20/03/2019,30.40,HCM,30.00,30.60,29.20,479070.00
19/03/2019,30.50,HCM,31.10,31.50,30.50,524750.00
18/03/2019,31.10,HCM,30.80,31.45,30.80,611460.00
15/03/2019,30.80,HCM,30.90,30.90,30.40,366350.00
14/03/2019,30.90,HCM,31.20,31.40,30.80,632930.00
13/03/2019,31.00,HCM,29.70,31.30,29.70,1855620.00
12/03/2019,29.30,HCM,29.40,29.40,28.95,443870.00
11/03/2019,29.00,HCM,29.20,29.25,28.90,200630.00
08/03/2019,29.00,HCM,29.00,29.50,29.00,457250.00
07/03/2019,29.90,HCM,29.55,30.35,29.50,480840.00
06/03/2019,29.50,HCM,29.30,29.60,28.70,380950.00
05/03/2019,29.10,HCM,29.50,29.90,29.00,560790.00
04/03/2019,29.50,HCM,29.40,29.90,29.30,637340.00
01/03/2019,29.40,HCM,29.50,29.70,28.90,421460.00
28/02/2019,28.50,HCM,30.05,30.40,28.50,959090.00
27/02/2019,30.40,HCM,30.90,30.95,30.40,427530.00
26/02/2019,30.60,HCM,30.25,30.95,30.00,1072420.00
25/02/2019,29.90,HCM,28.05,29.90,28.05,980960.00
22/02/2019,28.00,HCM,28.30,28.60,27.75,428680.00
21/02/2019,28.50,HCM,28.80,28.80,27.80,1172040.00
20/02/2019,27.30,HCM,27.30,27.30,27.20,434950.00
19/02/2019,50.20,HCM,52.00,52.00,50.20,665060.00
18/02/2019,51.40,HCM,51.40,51.50,50.90,473100.00
15/02/2019,51.00,HCM,50.00,51.40,49.60,439900.00
14/02/2019,50.40,HCM,50.80,51.00,50.00,340940.00
13/02/2019,51.10,HCM,51.80,52.00,50.80,610580.00
12/02/2019,50.80,HCM,48.90,51.00,48.30,715100.00
11/02/2019,48.00,HCM,46.00,48.00,45.85,501210.00
01/02/2019,44.90,HCM,45.70,45.80,44.60,93960.00
31/01/2019,45.40,HCM,45.50,46.00,45.10,295510.00
30/01/2019,44.80,HCM,46.10,46.20,44.40,212660.00
29/01/2019,46.00,HCM,44.60,46.00,44.00,246630.00
28/01/2019,44.90,HCM,45.30,45.60,44.50,147050.00
25/01/2019,45.50,HCM,45.75,46.20,45.50,160760.00
24/01/2019,45.70,HCM,46.80,46.80,45.55,150580.00
23/01/2019,46.70,HCM,45.20,46.85,44.75,352790.00
22/01/2019,45.30,HCM,44.00,46.00,43.65,379810.00
21/01/2019,43.65,HCM,43.80,44.00,43.00,331190.00
18/01/2019,43.40,HCM,43.60,43.90,43.30,113300.00
17/01/2019,43.60,HCM,43.30,44.00,43.30,121120.00
16/01/2019,43.50,HCM,43.60,43.90,43.10,248700.00
15/01/2019,43.00,HCM,43.00,43.70,42.80,181910.00
14/01/2019,43.00,HCM,44.00,44.10,42.90,148510.00
11/01/2019,43.65,HCM,43.50,44.10,43.30,184340.00
10/01/2019,43.00,HCM,44.00,44.30,43.00,174450.00
09/01/2019,44.00,HCM,45.00,45.00,43.50,246230.00
08/01/2019,44.60,HCM,44.60,45.20,44.00,96320.00
07/01/2019,44.60,HCM,45.20,45.20,44.50,115130.00
04/01/2019,44.40,HCM,43.90,44.50,42.20,193000.00
03/01/2019,43.90,HCM,46.00,46.10,43.20,369880.00
02/01/2019,46.40,HCM,46.50,47.80,46.20,39480.00
28/12/2018,46.85,HCM,47.40,47.50,46.50,80750.00
27/12/2018,47.40,HCM,49.00,49.00,47.35,79160.00
26/12/2018,46.50,HCM,47.95,47.95,46.50,83380.00
25/12/2018,46.85,HCM,46.50,47.00,45.50,214460.00
24/12/2018,48.00,HCM,49.60,49.80,48.00,82260.00
21/12/2018,49.60,HCM,50.30,50.50,49.00,68790.00
20/12/2018,50.50,HCM,48.00,50.50,48.00,91430.00
19/12/2018,49.00,HCM,51.00,51.40,49.00,189050.00
18/12/2018,51.00,HCM,51.40,52.50,51.00,260010.00
17/12/2018,53.20,HCM,54.70,55.00,53.00,231510.00
14/12/2018,55.40,HCM,56.00,56.30,55.40,88620.00
13/12/2018,56.10,HCM,56.10,57.00,56.10,164790.00
12/12/2018,56.10,HCM,55.70,56.10,55.00,247530.00
11/12/2018,55.80,HCM,57.40,57.40,55.60,48260.00
10/12/2018,56.50,HCM,57.50,57.50,56.30,136610.00
07/12/2018,57.50,HCM,56.60,58.10,56.40,296570.00
06/12/2018,56.20,HCM,56.10,57.20,56.00,120770.00
05/12/2018,56.20,HCM,55.50,56.50,55.40,159290.00
04/12/2018,56.20,HCM,56.80,56.80,56.10,254720.00
03/12/2018,56.10,HCM,56.50,56.50,55.10,214230.00
30/11/2018,54.60,HCM,54.70,55.40,54.30,33580.00
29/11/2018,54.90,HCM,55.50,55.80,54.90,98910.00
28/11/2018,54.90,HCM,55.90,55.90,54.90,88600.00
27/11/2018,55.00,HCM,55.30,56.00,54.80,47520.00
26/11/2018,55.30,HCM,55.50,55.60,55.00,78480.00
23/11/2018,55.50,HCM,56.00,56.70,55.50,48960.00
22/11/2018,56.50,HCM,57.70,57.70,56.50,68500.00
21/11/2018,57.00,HCM,56.00,57.00,55.50,91960.00
20/11/2018,56.70,HCM,55.10,56.70,55.10,107180.00
19/11/2018,55.60,HCM,55.90,56.90,55.40,144260.00
16/11/2018,55.10,HCM,56.90,57.00,55.10,136370.00
15/11/2018,56.00,HCM,56.50,56.50,54.60,262940.00
14/11/2018,56.50,HCM,55.90,56.60,55.10,325130.00
13/11/2018,55.90,HCM,56.50,56.50,54.80,106710.00
12/11/2018,56.50,HCM,52.50,56.50,52.30,149910.00
09/11/2018,54.00,HCM,55.10,55.10,53.70,95410.00
08/11/2018,55.10,HCM,56.00,56.30,55.00,80360.00
07/11/2018,54.90,HCM,56.10,56.20,54.50,178340.00
06/11/2018,56.10,HCM,57.60,57.60,56.10,93970.00
05/11/2018,56.80,HCM,57.50,57.50,56.40,153180.00
02/11/2018,57.50,HCM,54.60,57.50,54.60,187060.00
01/11/2018,54.50,HCM,55.00,55.50,54.10,110670.00
31/10/2018,54.80,HCM,53.80,55.40,53.80,199620.00
30/10/2018,53.30,HCM,52.70,54.50,52.70,82950.00
29/10/2018,53.80,HCM,52.60,53.90,52.00,62390.00
26/10/2018,52.70,HCM,55.20,55.60,52.70,183920.00
25/10/2018,54.00,HCM,51.10,54.00,51.10,253580.00
24/10/2018,54.60,HCM,55.00,56.50,54.60,73250.00
