DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
26/04/2019,11.60,HDA,11.40,11.70,11.10,247405.00
25/04/2019,11.40,HDA,11.40,11.70,11.40,248510.00
24/04/2019,11.40,HDA,11.00,11.60,11.00,272520.00
23/04/2019,11.00,HDA,10.30,11.20,10.20,361600.00
22/04/2019,10.30,HDA,10.30,10.40,10.10,203615.00
19/04/2019,10.30,HDA,10.10,10.40,10.10,180300.00
18/04/2019,10.20,HDA,10.00,10.20,9.90,206100.00
17/04/2019,10.10,HDA,10.30,10.40,10.10,233300.00
16/04/2019,10.30,HDA,10.50,10.50,10.30,177400.00
12/04/2019,10.40,HDA,9.90,10.80,9.90,183600.00
11/04/2019,9.90,HDA,9.80,10.00,9.80,168140.00
10/04/2019,9.80,HDA,9.80,9.90,9.70,155900.00
09/04/2019,9.80,HDA,9.80,9.90,9.80,132700.00
08/04/2019,9.90,HDA,9.80,9.90,9.80,140600.00
05/04/2019,9.80,HDA,9.80,9.90,9.70,119300.00
04/04/2019,9.80,HDA,9.90,10.00,9.80,143800.00
03/04/2019,9.90,HDA,10.00,10.00,9.80,142500.00
02/04/2019,9.90,HDA,9.80,10.00,9.70,139100.00
01/04/2019,9.80,HDA,9.80,10.00,9.80,152840.00
29/03/2019,9.90,HDA,9.80,9.90,9.80,134000.00
28/03/2019,9.80,HDA,9.80,9.90,9.70,127000.00
27/03/2019,9.80,HDA,9.80,9.90,9.70,144200.00
26/03/2019,9.70,HDA,9.90,9.90,9.70,140900.00
25/03/2019,9.80,HDA,9.90,9.90,9.70,142500.00
22/03/2019,9.90,HDA,9.90,10.00,9.80,135130.00
21/03/2019,9.80,HDA,9.90,10.00,9.80,135200.00
20/03/2019,9.80,HDA,10.00,10.10,9.80,127500.00
19/03/2019,10.00,HDA,10.00,10.10,9.90,125800.00
18/03/2019,10.00,HDA,10.00,10.00,9.90,107508.00
15/03/2019,9.90,HDA,10.10,10.10,9.90,141200.00
14/03/2019,10.00,HDA,10.20,10.20,10.00,139000.00
