DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
26/04/2019,15.00,HDC,15.20,15.40,15.00,278570.00
25/04/2019,15.30,HDC,15.30,15.55,15.25,283920.00
24/04/2019,15.40,HDC,15.30,15.55,15.25,391000.00
23/04/2019,15.40,HDC,15.40,15.60,15.35,371860.00
22/04/2019,15.20,HDC,15.50,15.50,15.00,276080.00
19/04/2019,15.55,HDC,15.10,15.60,15.10,120300.00
18/04/2019,15.30,HDC,15.70,15.80,15.00,617570.00
17/04/2019,15.80,HDC,16.95,17.00,15.80,1409840.00
16/04/2019,16.95,HDC,16.80,17.00,16.70,214270.00
12/04/2019,16.95,HDC,16.50,17.00,16.45,556410.00
11/04/2019,16.50,HDC,16.60,16.80,16.45,261420.00
10/04/2019,16.70,HDC,16.50,16.85,16.40,620340.00
09/04/2019,16.30,HDC,17.70,18.00,16.30,1144790.00
08/04/2019,17.40,HDC,17.45,17.45,17.10,710620.00
05/04/2019,17.45,HDC,17.50,17.70,17.20,519260.00
04/04/2019,17.50,HDC,16.75,17.70,16.75,1236920.00
03/04/2019,16.75,HDC,16.90,17.15,16.75,337230.00
02/04/2019,17.00,HDC,16.30,17.20,16.30,1653340.00
01/04/2019,16.30,HDC,15.80,16.40,15.70,337070.00
29/03/2019,15.80,HDC,15.60,15.95,15.60,159370.00
28/03/2019,15.65,HDC,15.85,15.85,15.55,227390.00
27/03/2019,15.85,HDC,15.80,16.00,15.80,187620.00
26/03/2019,15.80,HDC,15.95,16.20,15.75,276760.00
25/03/2019,15.95,HDC,16.00,16.10,15.50,222400.00
22/03/2019,16.30,HDC,16.40,16.50,16.20,440440.00
21/03/2019,16.40,HDC,15.90,17.00,15.80,1085130.00
20/03/2019,15.90,HDC,16.00,16.00,15.80,154330.00
19/03/2019,16.10,HDC,16.30,16.35,16.05,505760.00
18/03/2019,16.30,HDC,15.90,16.30,15.90,424700.00
15/03/2019,16.00,HDC,16.10,16.10,15.75,326740.00
14/03/2019,16.10,HDC,15.70,16.20,15.60,805290.00
13/03/2019,15.70,HDC,15.90,16.00,15.55,186090.00
12/03/2019,15.95,HDC,15.90,16.35,15.70,850780.00
