DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
26/04/2019,39.00,HDG,38.10,39.00,37.60,192610.00
25/04/2019,37.85,HDG,38.70,38.70,37.00,464650.00
24/04/2019,38.50,HDG,38.50,39.00,38.00,104840.00
23/04/2019,38.25,HDG,38.15,38.70,37.75,203970.00
22/04/2019,37.50,HDG,38.60,39.00,37.10,816560.00
19/04/2019,39.05,HDG,40.75,40.90,39.05,617770.00
18/04/2019,40.55,HDG,41.90,42.00,39.60,883350.00
17/04/2019,42.00,HDG,43.00,43.10,41.90,388420.00
16/04/2019,42.75,HDG,42.70,42.90,42.00,394310.00
12/04/2019,43.00,HDG,42.60,43.35,42.50,387170.00
11/04/2019,42.80,HDG,43.00,43.50,42.80,343170.00
10/04/2019,43.20,HDG,42.60,43.50,42.20,442830.00
09/04/2019,43.05,HDG,43.90,43.90,43.05,403650.00
08/04/2019,43.55,HDG,43.00,43.65,42.50,653170.00
05/04/2019,42.60,HDG,42.70,42.90,42.00,242350.00
04/04/2019,42.40,HDG,42.20,43.20,42.00,426660.00
03/04/2019,42.50,HDG,42.30,42.90,41.80,286990.00
02/04/2019,42.30,HDG,42.90,43.20,42.20,487000.00
01/04/2019,42.50,HDG,41.20,42.60,41.20,565510.00
29/03/2019,41.20,HDG,41.60,41.95,41.20,204640.00
28/03/2019,41.50,HDG,41.00,41.70,40.70,243000.00
27/03/2019,41.50,HDG,41.60,41.85,40.90,334670.00
26/03/2019,41.15,HDG,41.30,41.30,40.15,352030.00
25/03/2019,40.30,HDG,40.90,41.70,40.30,718890.00
22/03/2019,42.10,HDG,41.70,42.40,41.50,377720.00
21/03/2019,41.80,HDG,43.90,44.50,41.80,384760.00
20/03/2019,43.90,HDG,43.20,43.90,42.40,672110.00
19/03/2019,43.65,HDG,44.50,45.00,43.60,607360.00
18/03/2019,44.45,HDG,43.00,44.50,43.00,690700.00
15/03/2019,42.60,HDG,42.40,43.50,42.25,532450.00
14/03/2019,42.20,HDG,41.90,42.35,41.50,382330.00
13/03/2019,41.90,HDG,42.50,42.60,41.60,213680.00
12/03/2019,42.30,HDG,42.00,42.30,41.30,264870.00
11/03/2019,41.70,HDG,40.90,41.90,40.40,385220.00
08/03/2019,40.50,HDG,41.80,41.80,40.35,614350.00
07/03/2019,41.70,HDG,42.45,42.45,41.50,283170.00
06/03/2019,42.45,HDG,40.70,42.45,40.30,708090.00
05/03/2019,40.70,HDG,40.70,41.90,40.00,484010.00
04/03/2019,40.70,HDG,41.35,41.60,40.20,704720.00
01/03/2019,40.70,HDG,38.60,40.70,38.50,680870.00
28/02/2019,38.60,HDG,39.45,39.80,38.60,599990.00
27/02/2019,39.20,HDG,37.00,39.30,36.90,1220890.00
26/02/2019,36.95,HDG,37.20,37.20,36.70,213570.00
25/02/2019,36.95,HDG,37.00,37.40,36.85,200770.00
22/02/2019,37.00,HDG,36.80,37.00,36.50,381250.00
21/02/2019,36.90,HDG,37.10,37.50,36.85,414060.00
20/02/2019,37.10,HDG,37.30,37.55,37.00,204270.00
19/02/2019,37.30,HDG,36.75,37.70,36.65,639310.00
18/02/2019,36.75,HDG,36.80,37.40,36.70,225450.00
15/02/2019,36.80,HDG,36.60,37.20,36.55,218150.00
14/02/2019,36.80,HDG,37.20,37.20,36.80,212080.00
13/02/2019,37.20,HDG,37.25,37.40,36.90,365900.00
12/02/2019,37.40,HDG,37.40,38.00,37.20,575880.00
11/02/2019,36.90,HDG,37.70,37.70,36.80,114170.00
01/02/2019,37.40,HDG,37.20,37.40,36.70,82050.00
31/01/2019,37.40,HDG,37.60,38.10,37.20,148320.00
30/01/2019,37.60,HDG,37.20,37.80,36.85,374500.00
29/01/2019,37.10,HDG,36.80,37.10,36.50,153350.00
28/01/2019,37.00,HDG,37.10,37.30,36.70,245040.00
25/01/2019,36.70,HDG,36.10,36.70,36.00,215290.00
24/01/2019,36.10,HDG,36.70,37.05,36.10,132610.00
23/01/2019,36.70,HDG,36.70,37.10,36.00,216410.00
22/01/2019,36.70,HDG,36.45,37.40,36.20,276490.00
21/01/2019,36.45,HDG,35.25,36.50,35.25,245650.00
18/01/2019,35.25,HDG,35.35,35.50,35.15,158750.00
17/01/2019,35.40,HDG,36.00,36.00,35.30,202540.00
16/01/2019,35.70,HDG,36.60,36.60,35.70,141700.00
15/01/2019,36.40,HDG,36.00,37.00,36.00,228400.00
14/01/2019,36.20,HDG,36.20,36.40,35.65,152710.00
11/01/2019,36.20,HDG,35.40,36.60,35.40,415380.00
10/01/2019,35.40,HDG,36.00,36.10,35.40,63000.00
09/01/2019,35.95,HDG,35.10,36.00,35.10,192550.00
08/01/2019,35.40,HDG,35.75,35.85,35.30,207610.00
07/01/2019,35.50,HDG,35.00,35.50,34.80,154070.00
04/01/2019,34.45,HDG,32.80,34.45,32.30,181500.00
03/01/2019,32.90,HDG,33.10,33.70,32.70,180650.00
02/01/2019,33.10,HDG,34.50,35.50,33.10,229660.00
28/12/2018,34.50,HDG,35.30,35.45,34.50,184270.00
27/12/2018,35.65,HDG,36.00,36.00,35.10,200660.00
26/12/2018,35.10,HDG,35.10,35.70,35.10,168190.00
25/12/2018,35.10,HDG,36.10,36.20,34.50,195860.00
24/12/2018,36.40,HDG,36.20,36.65,36.05,205440.00
21/12/2018,36.65,HDG,36.50,36.95,36.00,137240.00
20/12/2018,36.60,HDG,36.25,36.90,36.00,223070.00
19/12/2018,36.35,HDG,36.30,36.50,35.75,237420.00
18/12/2018,36.30,HDG,36.50,37.00,35.75,296090.00
17/12/2018,37.20,HDG,38.00,38.00,36.90,319920.00
14/12/2018,38.00,HDG,37.70,38.30,37.70,227210.00
13/12/2018,38.00,HDG,38.20,38.85,37.75,377530.00
12/12/2018,38.40,HDG,37.90,38.80,37.70,338350.00
11/12/2018,38.00,HDG,37.00,38.00,37.00,232840.00
10/12/2018,37.40,HDG,36.90,37.70,36.90,274580.00
07/12/2018,37.70,HDG,37.80,38.80,37.60,424610.00
06/12/2018,37.70,HDG,36.70,38.50,36.70,363230.00
05/12/2018,36.70,HDG,35.80,37.80,35.55,378370.00
04/12/2018,36.00,HDG,36.50,36.50,35.60,235710.00
03/12/2018,36.10,HDG,35.00,36.40,35.00,290440.00
30/11/2018,34.80,HDG,34.00,34.80,33.60,287330.00
29/11/2018,33.95,HDG,33.90,34.00,33.70,179630.00
28/11/2018,33.65,HDG,33.15,33.65,32.80,111260.00
27/11/2018,33.15,HDG,33.95,34.00,33.15,229100.00
26/11/2018,33.70,HDG,34.00,34.55,33.70,223350.00
23/11/2018,34.45,HDG,34.70,34.80,34.25,206280.00
22/11/2018,34.25,HDG,34.70,34.70,34.15,110540.00
21/11/2018,34.15,HDG,34.20,34.20,33.50,143390.00
20/11/2018,34.20,HDG,34.00,34.55,33.55,209290.00
19/11/2018,34.00,HDG,33.95,34.00,33.00,177750.00
16/11/2018,33.90,HDG,32.75,33.90,32.75,207200.00
15/11/2018,32.75,HDG,32.10,33.50,31.95,318130.00
14/11/2018,31.90,HDG,32.00,32.40,31.50,152210.00
13/11/2018,31.80,HDG,32.45,32.60,31.80,232940.00
12/11/2018,32.45,HDG,30.40,32.50,30.30,237320.00
09/11/2018,31.10,HDG,32.40,32.80,31.00,381170.00
08/11/2018,32.60,HDG,34.40,34.40,32.60,438890.00
07/11/2018,34.00,HDG,34.30,34.65,33.20,184740.00
06/11/2018,34.25,HDG,34.60,34.90,34.00,467050.00
05/11/2018,34.60,HDG,34.90,34.90,34.10,334760.00
02/11/2018,34.80,HDG,33.80,34.90,33.80,253950.00
01/11/2018,33.80,HDG,33.90,35.00,33.20,443440.00
31/10/2018,33.90,HDG,32.70,33.90,32.70,398380.00
30/10/2018,32.90,HDG,32.10,33.45,32.10,401250.00
29/10/2018,33.00,HDG,32.65,33.00,32.00,313390.00
26/10/2018,32.65,HDG,33.20,33.30,32.30,282200.00
25/10/2018,32.90,HDG,32.00,33.00,31.10,1531630.00
24/10/2018,33.40,HDG,35.50,35.50,33.40,200590.00
23/10/2018,35.75,HDG,36.60,36.90,34.80,235780.00
22/10/2018,36.80,HDG,37.60,37.60,36.80,116180.00
19/10/2018,37.00,HDG,36.80,37.10,36.60,99550.00
18/10/2018,37.20,HDG,37.50,37.70,37.05,157220.00
17/10/2018,37.60,HDG,37.40,37.60,37.00,153400.00
16/10/2018,36.80,HDG,37.00,37.90,36.70,163300.00
15/10/2018,37.00,HDG,37.40,37.50,36.50,48890.00
12/10/2018,37.40,HDG,36.00,37.50,35.90,181080.00
11/10/2018,36.10,HDG,37.50,37.80,36.10,417940.00
10/10/2018,38.50,HDG,39.20,39.30,38.40,147760.00
09/10/2018,38.90,HDG,38.35,39.40,38.35,236460.00
08/10/2018,38.35,HDG,38.30,38.70,37.75,254470.00
05/10/2018,38.25,HDG,38.50,39.35,38.10,270510.00
04/10/2018,38.75,HDG,39.10,39.30,38.70,152170.00
03/10/2018,39.10,HDG,39.90,39.95,38.90,196360.00
02/10/2018,39.90,HDG,39.80,40.50,39.15,236600.00
01/10/2018,39.70,HDG,38.95,40.20,38.60,319170.00
28/09/2018,38.70,HDG,38.50,39.20,38.50,170340.00
27/09/2018,38.60,HDG,39.50,39.50,38.40,229580.00
26/09/2018,39.30,HDG,39.00,39.80,39.00,180600.00
25/09/2018,39.50,HDG,38.60,39.60,38.50,309950.00
24/09/2018,38.60,HDG,39.20,39.30,38.55,158260.00
21/09/2018,38.80,HDG,38.10,39.90,38.10,192950.00
20/09/2018,38.10,HDG,38.20,38.50,37.50,183940.00
19/09/2018,38.20,HDG,38.90,39.50,38.15,300490.00
18/09/2018,38.50,HDG,38.20,38.50,37.50,195320.00
17/09/2018,38.00,HDG,37.30,38.50,37.10,290600.00
14/09/2018,37.00,HDG,36.30,37.50,36.10,261200.00
13/09/2018,36.30,HDG,36.60,36.60,36.00,202450.00
12/09/2018,36.40,HDG,36.20,37.20,36.10,272170.00
11/09/2018,36.20,HDG,33.80,36.20,33.80,461460.00
10/09/2018,33.85,HDG,33.50,34.50,33.30,112460.00
07/09/2018,33.55,HDG,33.55,33.95,33.20,131090.00
06/09/2018,33.55,HDG,34.00,34.10,33.20,172280.00
05/09/2018,34.00,HDG,33.90,34.20,32.20,293330.00
04/09/2018,33.90,HDG,34.10,35.00,33.80,153690.00
31/08/2018,34.05,HDG,34.40,34.55,33.90,217960.00
30/08/2018,34.50,HDG,35.20,35.20,34.00,195350.00
29/08/2018,34.40,HDG,33.80,34.50,33.60,185930.00
28/08/2018,33.30,HDG,32.10,33.50,31.95,265970.00
27/08/2018,31.60,HDG,31.55,32.00,31.55,236270.00
24/08/2018,31.55,HDG,31.90,31.95,31.30,152840.00
23/08/2018,31.75,HDG,32.20,32.25,31.60,150740.00
22/08/2018,31.60,HDG,31.40,32.50,31.05,183220.00
21/08/2018,31.35,HDG,30.70,31.35,30.70,331050.00
20/08/2018,30.20,HDG,29.40,30.95,29.40,138850.00
17/08/2018,29.40,HDG,28.80,30.25,28.80,104990.00
16/08/2018,28.40,HDG,27.80,28.40,27.70,80150.00
15/08/2018,27.80,HDG,27.35,28.30,27.35,34630.00
14/08/2018,27.75,HDG,27.85,28.00,27.75,33290.00
13/08/2018,28.20,HDG,28.60,28.60,28.10,15620.00
10/08/2018,28.60,HDG,29.00,29.00,28.60,112870.00
09/08/2018,29.00,HDG,29.30,29.50,28.85,29690.00
08/08/2018,29.00,HDG,29.00,29.00,28.60,33050.00
07/08/2018,28.60,HDG,28.20,29.00,28.20,52270.00
06/08/2018,34.00,HDG,33.80,34.25,33.70,97490.00
03/08/2018,33.70,HDG,33.80,34.25,33.60,43660.00
02/08/2018,33.80,HDG,34.10,34.10,33.20,63200.00
01/08/2018,34.00,HDG,35.00,35.50,33.70,89120.00
31/07/2018,34.75,HDG,36.00,36.50,34.75,145760.00
30/07/2018,36.15,HDG,36.00,37.25,36.00,57820.00
27/07/2018,36.70,HDG,36.60,37.45,36.60,73370.00
26/07/2018,36.35,HDG,36.10,36.80,36.00,166650.00
25/07/2018,36.00,HDG,35.60,36.50,35.60,127390.00
24/07/2018,35.60,HDG,35.45,35.60,34.60,109640.00
23/07/2018,35.45,HDG,34.10,35.55,34.00,167960.00
20/07/2018,34.00,HDG,33.90,34.50,33.50,103370.00
19/07/2018,33.50,HDG,34.70,35.30,33.50,88390.00
18/07/2018,34.70,HDG,33.00,34.95,33.00,123930.00
17/07/2018,33.50,HDG,33.40,33.50,33.00,15930.00
16/07/2018,33.40,HDG,33.40,33.50,33.00,43680.00
13/07/2018,33.40,HDG,33.00,33.50,32.80,42490.00
12/07/2018,33.00,HDG,33.40,33.40,32.70,45000.00
11/07/2018,33.00,HDG,32.90,33.00,32.30,69520.00
10/07/2018,32.90,HDG,32.50,33.00,32.40,33380.00
09/07/2018,32.90,HDG,34.20,34.20,32.90,39250.00
06/07/2018,33.90,HDG,32.80,34.00,32.80,23350.00
05/07/2018,33.45,HDG,34.00,34.10,32.75,117580.00
04/07/2018,34.00,HDG,34.20,34.20,33.10,33720.00
03/07/2018,34.20,HDG,35.50,35.70,34.00,73990.00
02/07/2018,35.00,HDG,33.70,35.00,33.00,160200.00
29/06/2018,34.50,HDG,33.00,34.95,32.50,344830.00
28/06/2018,32.80,HDG,33.30,33.60,32.50,116860.00
27/06/2018,33.60,HDG,35.70,35.70,33.60,145210.00
26/06/2018,35.20,HDG,36.00,36.00,33.90,183470.00
25/06/2018,36.40,HDG,36.60,36.90,36.30,37090.00
22/06/2018,36.60,HDG,36.90,37.20,36.00,87200.00
21/06/2018,36.90,HDG,37.00,37.15,36.70,65670.00
20/06/2018,37.00,HDG,38.00,38.00,36.70,68830.00
19/06/2018,37.00,HDG,37.30,38.80,36.30,222690.00
18/06/2018,38.10,HDG,38.70,38.70,38.10,71630.00
15/06/2018,38.90,HDG,38.10,39.00,38.10,67200.00
14/06/2018,38.10,HDG,38.80,39.00,38.00,118090.00
13/06/2018,38.80,HDG,38.50,38.80,38.35,58890.00
