DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
26/04/2019,23.40,HDM,23.40,23.40,23.40,300.00
25/04/2019,23.20,HDM,23.20,23.20,23.20,0.00
24/04/2019,23.00,HDM,23.50,23.50,23.00,1200.00
23/04/2019,24.10,HDM,24.10,24.10,24.10,0.00
22/04/2019,25.90,HDM,23.00,25.90,23.00,2200.00
19/04/2019,22.60,HDM,22.60,22.60,22.60,17.00
18/04/2019,22.90,HDM,22.50,22.90,22.50,300.00
17/04/2019,22.50,HDM,22.50,22.50,22.50,200.00
16/04/2019,22.10,HDM,22.10,22.10,22.10,0.00
12/04/2019,22.10,HDM,22.10,22.10,22.10,18.00
11/04/2019,22.10,HDM,22.20,22.20,22.10,1700.00
10/04/2019,24.60,HDM,24.60,24.60,24.60,0.00
09/04/2019,24.60,HDM,24.60,24.60,24.60,0.00
08/04/2019,24.60,HDM,24.60,24.60,24.60,100.00
05/04/2019,22.80,HDM,22.80,22.80,22.80,218.00
04/04/2019,22.60,HDM,22.50,22.60,22.30,1700.00
03/04/2019,22.70,HDM,22.70,22.70,22.70,100.00
02/04/2019,22.50,HDM,22.60,22.60,22.50,600.00
01/04/2019,22.50,HDM,22.50,22.50,22.50,1000.00
29/03/2019,22.50,HDM,23.00,23.00,22.50,300.00
28/03/2019,22.50,HDM,22.40,22.50,22.40,1200.00
27/03/2019,22.10,HDM,22.10,22.10,22.10,0.00
26/03/2019,22.10,HDM,22.10,22.10,22.10,200.00
25/03/2019,22.10,HDM,22.10,22.10,22.10,500.00
22/03/2019,23.00,HDM,23.30,23.30,22.50,1600.00
21/03/2019,23.10,HDM,23.10,23.10,23.10,0.00
20/03/2019,23.00,HDM,23.00,23.40,23.00,1360.00
19/03/2019,23.30,HDM,22.20,23.30,22.20,5200.00
18/03/2019,22.90,HDM,22.90,22.90,22.90,0.00
15/03/2019,22.60,HDM,23.00,23.00,22.60,1624.00
14/03/2019,24.90,HDM,24.90,24.90,24.90,500.00
13/03/2019,23.00,HDM,23.00,23.00,23.00,0.00
12/03/2019,23.00,HDM,23.00,23.00,23.00,1200.00
