DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
26/04/2019,45.50,HGM,45.50,45.50,45.50,0.00
25/04/2019,45.50,HGM,45.50,45.50,45.50,0.00
24/04/2019,45.50,HGM,45.00,45.50,45.00,200.00
23/04/2019,41.50,HGM,41.50,41.50,41.50,100.00
22/04/2019,45.00,HGM,45.00,45.00,45.00,0.00
19/04/2019,45.00,HGM,45.00,45.00,45.00,600.00
18/04/2019,43.00,HGM,43.00,43.00,43.00,0.00
17/04/2019,43.00,HGM,43.00,43.00,43.00,0.00
16/04/2019,43.00,HGM,43.00,43.00,43.00,0.00
12/04/2019,43.00,HGM,43.00,43.00,43.00,0.00
11/04/2019,43.00,HGM,43.00,43.00,43.00,500.00
10/04/2019,41.00,HGM,41.00,41.00,41.00,0.00
09/04/2019,41.00,HGM,41.00,41.00,41.00,0.00
08/04/2019,41.00,HGM,41.00,41.00,41.00,0.00
05/04/2019,41.00,HGM,41.00,41.00,41.00,100.00
04/04/2019,44.00,HGM,44.00,44.00,44.00,0.00
03/04/2019,44.00,HGM,43.80,44.00,43.80,800.00
02/04/2019,40.00,HGM,40.00,40.00,40.00,100.00
01/04/2019,41.60,HGM,41.60,41.60,41.60,0.00
29/03/2019,41.60,HGM,45.60,45.60,40.20,6300.00
28/03/2019,41.50,HGM,43.40,44.50,41.50,1400.00
27/03/2019,40.50,HGM,40.50,40.50,40.50,0.00
26/03/2019,40.50,HGM,40.50,40.50,40.50,0.00
25/03/2019,40.50,HGM,44.70,44.70,40.50,2000.00
22/03/2019,40.70,HGM,45.10,45.10,40.50,600.00
21/03/2019,41.00,HGM,41.00,41.00,41.00,100.00
20/03/2019,43.00,HGM,43.00,43.00,43.00,0.00
19/03/2019,43.00,HGM,43.00,43.00,43.00,0.00
18/03/2019,43.00,HGM,41.90,43.00,41.90,2100.00
15/03/2019,39.10,HGM,39.10,39.10,39.10,0.00
14/03/2019,39.10,HGM,41.90,41.90,39.10,300.00
13/03/2019,40.40,HGM,40.40,40.40,40.40,0.00
12/03/2019,40.40,HGM,41.80,42.50,40.10,1200.00
11/03/2019,40.20,HGM,42.50,42.50,40.20,20100.00
08/03/2019,40.10,HGM,42.00,42.50,40.10,41300.00
07/03/2019,40.00,HGM,41.90,42.00,40.00,32400.00
06/03/2019,40.00,HGM,41.90,42.00,40.00,10800.00
05/03/2019,40.10,HGM,42.00,42.00,40.10,9400.00
04/03/2019,40.00,HGM,42.00,42.00,40.00,6500.00
01/03/2019,40.10,HGM,41.50,42.00,40.10,5300.00
28/02/2019,40.00,HGM,42.00,42.00,40.00,1600.00
27/02/2019,40.00,HGM,40.00,42.00,40.00,1900.00
26/02/2019,40.00,HGM,40.00,40.00,40.00,0.00
25/02/2019,40.00,HGM,40.00,42.00,40.00,2400.00
22/02/2019,40.00,HGM,44.10,44.10,40.00,2100.00
21/02/2019,40.10,HGM,40.10,40.10,40.10,1000.00
20/02/2019,40.10,HGM,40.10,40.10,40.10,500.00
19/02/2019,40.00,HGM,40.00,40.00,40.00,1000.00
18/02/2019,40.00,HGM,40.00,40.00,40.00,200.00
15/02/2019,40.00,HGM,40.00,40.00,40.00,1400.00
14/02/2019,40.00,HGM,44.00,44.00,40.00,1300.00
13/02/2019,40.00,HGM,40.00,40.00,40.00,0.00
12/02/2019,40.00,HGM,42.40,43.50,40.00,7300.00
11/02/2019,40.00,HGM,42.40,43.50,40.00,7000.00
01/02/2019,41.40,HGM,41.40,41.40,41.40,2000.00
31/01/2019,45.90,HGM,45.90,45.90,45.90,100.00
30/01/2019,51.00,HGM,51.00,51.00,51.00,0.00
29/01/2019,51.00,HGM,51.00,51.00,51.00,0.00
28/01/2019,51.00,HGM,51.00,51.00,51.00,0.00
25/01/2019,51.00,HGM,51.00,51.00,51.00,0.00
24/01/2019,51.00,HGM,51.00,51.00,51.00,0.00
23/01/2019,51.00,HGM,51.00,51.00,51.00,0.00
22/01/2019,51.00,HGM,51.00,51.00,51.00,0.00
21/01/2019,51.00,HGM,51.00,51.00,51.00,0.00
18/01/2019,51.00,HGM,51.00,51.00,51.00,0.00
17/01/2019,51.00,HGM,51.00,51.00,51.00,0.00
16/01/2019,51.00,HGM,51.00,51.00,51.00,0.00
15/01/2019,51.00,HGM,51.00,51.00,51.00,0.00
14/01/2019,51.00,HGM,51.00,51.00,51.00,0.00
11/01/2019,51.00,HGM,51.00,51.00,51.00,0.00
10/01/2019,51.00,HGM,51.00,51.00,51.00,100.00
09/01/2019,46.40,HGM,46.40,46.40,46.40,0.00
08/01/2019,46.40,HGM,46.40,46.40,46.40,0.00
07/01/2019,46.40,HGM,46.40,46.40,46.40,0.00
04/01/2019,46.40,HGM,46.40,46.40,46.40,100.00
03/01/2019,42.30,HGM,42.30,42.30,42.30,0.00
02/01/2019,42.30,HGM,42.30,42.30,42.30,100.00
28/12/2018,38.50,HGM,38.50,38.50,38.50,0.00
27/12/2018,38.50,HGM,38.50,38.50,38.50,0.00
26/12/2018,38.50,HGM,38.50,38.50,38.50,0.00
25/12/2018,38.50,HGM,38.50,38.50,38.50,100.00
24/12/2018,39.50,HGM,39.50,39.50,39.50,0.00
21/12/2018,39.50,HGM,39.50,39.50,39.50,100.00
20/12/2018,41.50,HGM,41.50,41.50,41.50,0.00
19/12/2018,41.50,HGM,41.50,41.50,41.50,500.00
18/12/2018,42.50,HGM,42.50,42.50,42.50,0.00
17/12/2018,42.50,HGM,42.50,42.50,42.50,0.00
14/12/2018,42.50,HGM,42.50,42.50,42.50,0.00
13/12/2018,42.50,HGM,42.50,42.50,42.50,0.00
12/12/2018,42.50,HGM,42.50,42.50,42.50,0.00
11/12/2018,42.50,HGM,42.50,42.50,42.50,0.00
10/12/2018,42.50,HGM,42.50,42.50,42.50,0.00
07/12/2018,42.50,HGM,42.50,42.50,42.50,0.00
06/12/2018,42.50,HGM,42.50,42.50,42.50,0.00
05/12/2018,42.50,HGM,42.50,42.50,42.50,0.00
04/12/2018,42.50,HGM,42.50,42.50,42.50,0.00
03/12/2018,42.50,HGM,42.50,42.50,42.50,0.00
30/11/2018,42.50,HGM,42.50,42.50,42.50,100.00
29/11/2018,38.70,HGM,45.20,45.20,38.70,200.00
28/11/2018,41.10,HGM,41.10,41.10,41.10,0.00
27/11/2018,41.10,HGM,45.60,45.60,41.10,700.00
26/11/2018,41.50,HGM,41.50,41.50,41.50,0.00
23/11/2018,41.50,HGM,45.60,45.60,38.10,6600.00
