DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
26/04/2019,1.70,HHG,1.80,1.80,1.60,50572.00
25/04/2019,1.70,HHG,1.80,1.80,1.70,16400.00
24/04/2019,1.80,HHG,1.80,1.80,1.70,22700.00
23/04/2019,1.80,HHG,1.80,1.80,1.70,1100.00
22/04/2019,1.80,HHG,1.70,1.80,1.70,34300.00
19/04/2019,1.80,HHG,1.80,1.80,1.70,8173.00
18/04/2019,1.80,HHG,1.90,1.90,1.80,15240.00
17/04/2019,1.80,HHG,1.80,1.90,1.80,30068.00
16/04/2019,1.80,HHG,1.80,1.80,1.80,11800.00
12/04/2019,1.80,HHG,1.80,1.80,1.80,31200.00
11/04/2019,1.80,HHG,1.80,1.80,1.80,40500.00
10/04/2019,1.80,HHG,1.80,1.90,1.80,24600.00
09/04/2019,1.80,HHG,1.80,1.90,1.80,26820.00
08/04/2019,1.80,HHG,1.80,1.90,1.80,42100.00
05/04/2019,1.80,HHG,1.80,1.80,1.80,11420.00
04/04/2019,1.80,HHG,1.80,1.90,1.80,75402.00
03/04/2019,1.80,HHG,1.80,1.90,1.80,2657.00
02/04/2019,1.90,HHG,1.80,1.90,1.80,2300.00
01/04/2019,1.80,HHG,1.90,1.90,1.80,5800.00
29/03/2019,1.80,HHG,1.90,1.90,1.80,4700.00
28/03/2019,1.80,HHG,1.90,1.90,1.80,30500.00
27/03/2019,1.90,HHG,1.70,1.90,1.70,17000.00
26/03/2019,1.80,HHG,1.80,1.80,1.70,12913.00
25/03/2019,1.80,HHG,1.80,1.80,1.80,15397.00
22/03/2019,1.80,HHG,1.80,1.80,1.70,2562.00
21/03/2019,1.80,HHG,1.70,1.90,1.70,17241.00
20/03/2019,1.80,HHG,1.80,1.90,1.80,154118.00
19/03/2019,1.80,HHG,1.80,1.90,1.80,113600.00
18/03/2019,1.90,HHG,1.90,1.90,1.80,41485.00
15/03/2019,1.90,HHG,1.90,2.00,1.80,63798.00
14/03/2019,1.90,HHG,1.90,1.90,1.80,328156.00
13/03/2019,1.80,HHG,1.90,1.90,1.70,120732.00
12/03/2019,1.80,HHG,1.90,1.90,1.80,67513.00
11/03/2019,1.90,HHG,1.80,1.90,1.80,36110.00
08/03/2019,1.80,HHG,1.80,1.90,1.70,88600.00
07/03/2019,1.80,HHG,1.90,1.90,1.80,28689.00
06/03/2019,1.90,HHG,1.80,1.90,1.80,51900.00
05/03/2019,1.80,HHG,1.80,1.90,1.70,72041.00
04/03/2019,1.80,HHG,1.80,1.80,1.70,134862.00
01/03/2019,1.80,HHG,1.70,1.80,1.70,31708.00
28/02/2019,1.80,HHG,1.70,1.80,1.70,307350.00
27/02/2019,1.70,HHG,1.70,1.80,1.60,92050.00
26/02/2019,1.70,HHG,1.60,1.70,1.60,22400.00
25/02/2019,1.70,HHG,1.60,1.80,1.60,4650.00
22/02/2019,1.70,HHG,1.60,1.70,1.60,92655.00
21/02/2019,1.60,HHG,1.60,1.60,1.60,6000.00
20/02/2019,1.60,HHG,1.60,1.70,1.60,68703.00
19/02/2019,1.60,HHG,1.60,1.80,1.60,8701.00
18/02/2019,1.70,HHG,1.70,1.70,1.70,58277.00
15/02/2019,1.70,HHG,1.60,1.70,1.60,70744.00
14/02/2019,1.70,HHG,1.70,1.70,1.60,249421.00
13/02/2019,1.60,HHG,1.60,1.70,1.60,65890.00
12/02/2019,1.70,HHG,1.60,1.70,1.60,8800.00
11/02/2019,1.60,HHG,1.70,1.70,1.60,21520.00
01/02/2019,1.70,HHG,1.60,1.70,1.60,12200.00
31/01/2019,1.60,HHG,1.60,1.70,1.60,2000.00
30/01/2019,1.60,HHG,1.50,1.60,1.50,57067.00
29/01/2019,1.50,HHG,1.50,1.60,1.50,89520.00
28/01/2019,1.50,HHG,1.50,1.50,1.50,13506.00
25/01/2019,1.60,HHG,1.60,1.70,1.60,41192.00
24/01/2019,1.60,HHG,1.50,1.60,1.50,222730.00
23/01/2019,1.60,HHG,1.60,1.70,1.50,253200.00
22/01/2019,1.60,HHG,1.60,1.60,1.60,193421.00
21/01/2019,1.70,HHG,1.70,1.70,1.70,71800.00
18/01/2019,1.80,HHG,1.70,1.80,1.70,130794.00
17/01/2019,1.80,HHG,1.70,1.80,1.70,25519.00
16/01/2019,1.70,HHG,1.80,1.80,1.70,106760.00
15/01/2019,1.80,HHG,1.70,1.80,1.70,14607.00
14/01/2019,1.80,HHG,1.70,1.80,1.70,38118.00
11/01/2019,1.80,HHG,1.80,1.90,1.70,46811.00
10/01/2019,1.80,HHG,2.00,2.00,1.80,134120.00
09/01/2019,1.90,HHG,1.90,1.90,1.90,192987.00
08/01/2019,1.80,HHG,1.70,1.80,1.70,1960158.00
07/01/2019,1.70,HHG,1.80,1.80,1.70,69521.00
04/01/2019,1.70,HHG,1.80,1.80,1.70,24500.00
03/01/2019,1.80,HHG,1.70,1.80,1.70,60230.00
02/01/2019,1.80,HHG,1.70,1.80,1.70,167955.00
28/12/2018,1.70,HHG,1.70,1.80,1.70,27832.00
27/12/2018,1.70,HHG,1.70,1.80,1.70,38003.00
26/12/2018,1.70,HHG,1.60,1.80,1.60,931710.00
25/12/2018,1.70,HHG,1.60,1.70,1.60,18025.00
24/12/2018,1.70,HHG,1.80,1.80,1.70,54821.00
21/12/2018,1.80,HHG,1.70,1.80,1.70,69611.00
20/12/2018,1.70,HHG,1.80,1.80,1.70,47901.00
19/12/2018,1.70,HHG,1.70,1.80,1.70,18717.00
18/12/2018,1.80,HHG,1.70,1.80,1.70,18500.00
17/12/2018,1.80,HHG,1.80,1.90,1.80,41813.00
14/12/2018,1.80,HHG,1.70,1.80,1.70,406980.00
13/12/2018,1.70,HHG,1.70,1.80,1.70,19546.00
12/12/2018,1.70,HHG,1.70,1.80,1.70,28441.00
