DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
07/05/2014,0.90,HHL,0.90,1.00,0.90,265200.00
06/05/2014,1.00,HHL,1.00,1.00,1.00,4200.00
05/05/2014,1.10,HHL,1.10,1.10,1.10,4000.00
29/04/2014,1.20,HHL,1.20,1.20,1.20,3600.00
28/04/2014,1.30,HHL,1.30,1.30,1.30,12000.00
25/04/2014,1.40,HHL,1.40,1.40,1.40,5200.00
24/04/2014,1.50,HHL,1.50,1.50,1.50,3700.00
23/04/2014,1.60,HHL,1.60,1.60,1.60,5800.00
22/04/2014,1.70,HHL,1.70,1.70,1.70,17200.00
21/04/2014,1.80,HHL,1.90,1.90,1.80,29500.00
18/04/2014,2.00,HHL,2.00,2.20,2.00,76900.00
17/04/2014,2.20,HHL,1.90,2.20,1.90,136800.00
16/04/2014,2.10,HHL,2.00,2.20,2.00,50300.00
15/04/2014,2.20,HHL,2.20,2.20,2.10,50500.00
14/04/2014,2.30,HHL,2.40,2.40,2.30,12600.00
11/04/2014,2.40,HHL,2.10,2.40,2.10,7700.00
10/04/2014,2.20,HHL,2.30,2.40,2.20,50500.00
08/04/2014,2.40,HHL,2.40,2.60,2.40,121210.00
07/04/2014,2.60,HHL,2.80,2.80,2.60,8900.00
04/04/2014,2.80,HHL,2.70,2.80,2.60,51900.00
03/04/2014,2.60,HHL,2.20,2.60,2.20,155500.00
02/04/2014,2.40,HHL,2.40,2.50,2.40,22100.00
01/04/2014,2.60,HHL,2.60,2.70,2.60,77180.00
31/03/2014,2.80,HHL,2.90,3.00,2.70,254949.00
28/03/2014,2.90,HHL,2.80,3.20,2.80,150800.00
27/03/2014,3.10,HHL,3.40,3.40,3.10,118000.00
26/03/2014,3.40,HHL,3.60,3.60,3.00,538649.00
25/03/2014,3.30,HHL,3.30,3.30,3.30,39500.00
24/03/2014,3.00,HHL,3.00,3.00,3.00,32600.00
21/03/2014,2.80,HHL,2.80,2.80,2.80,171900.00
20/03/2014,2.60,HHL,2.60,2.60,2.60,209100.00
19/03/2014,2.40,HHL,2.40,2.40,2.30,96900.00
18/03/2014,2.20,HHL,2.10,2.20,2.10,203000.00
17/03/2014,2.00,HHL,1.80,2.00,1.80,292200.00
14/03/2014,1.90,HHL,1.80,1.90,1.80,59900.00
13/03/2014,1.90,HHL,1.80,1.90,1.80,120400.00
12/03/2014,1.90,HHL,1.90,1.90,1.80,39500.00
11/03/2014,2.00,HHL,1.80,2.00,1.80,155100.00
10/03/2014,1.90,HHL,1.80,1.90,1.80,55400.00
07/03/2014,1.90,HHL,1.90,1.90,1.80,105600.00
06/03/2014,1.90,HHL,1.90,1.90,1.90,18500.00
05/03/2014,1.90,HHL,1.80,1.90,1.80,78100.00
04/03/2014,1.80,HHL,1.70,1.80,1.70,49700.00
03/03/2014,1.80,HHL,1.80,1.90,1.80,102600.00
28/02/2014,1.90,HHL,2.00,2.00,1.80,147300.00
27/02/2014,2.00,HHL,2.00,2.00,1.90,40800.00
26/02/2014,2.00,HHL,2.00,2.00,1.90,12000.00
25/02/2014,2.00,HHL,2.00,2.00,1.90,51200.00
24/02/2014,2.00,HHL,1.90,2.00,1.90,37300.00
21/02/2014,2.00,HHL,1.90,2.00,1.90,20400.00
20/02/2014,2.00,HHL,1.90,2.00,1.90,67500.00
19/02/2014,2.00,HHL,2.00,2.00,1.80,51800.00
18/02/2014,2.00,HHL,2.10,2.20,1.90,27400.00
17/02/2014,2.10,HHL,2.10,2.10,1.90,32100.00
14/02/2014,2.10,HHL,2.10,2.10,2.00,15500.00
13/02/2014,2.00,HHL,2.00,2.10,2.00,24300.00
12/02/2014,2.00,HHL,2.00,2.00,1.90,29800.00
11/02/2014,1.90,HHL,1.90,2.10,1.90,98400.00
10/02/2014,2.10,HHL,1.90,2.10,1.90,37400.00
07/02/2014,2.10,HHL,2.40,2.40,2.10,28400.00
06/02/2014,2.30,HHL,2.00,2.30,2.00,31800.00
27/01/2014,2.10,HHL,2.20,2.20,2.10,2100.00
24/01/2014,2.00,HHL,2.00,2.00,1.90,26600.00
23/01/2014,1.90,HHL,1.70,1.90,1.70,86000.00
22/01/2014,1.80,HHL,1.80,1.80,1.80,24400.00
21/01/2014,2.00,HHL,2.00,2.00,2.00,200.00
20/01/2014,2.20,HHL,2.20,2.20,2.20,5400.00
17/01/2014,2.40,HHL,2.40,2.40,2.40,16200.00
16/01/2014,2.60,HHL,2.60,2.60,2.40,176000.00
15/01/2014,2.60,HHL,2.50,2.60,2.50,32900.00
14/01/2014,2.50,HHL,2.40,2.50,2.40,26700.00
13/01/2014,2.40,HHL,2.40,2.50,2.40,88400.00
10/01/2014,2.60,HHL,2.80,2.80,2.40,212300.00
09/01/2014,2.60,HHL,2.60,2.60,2.60,109800.00
08/01/2014,2.40,HHL,2.40,2.40,2.40,89000.00
07/01/2014,2.20,HHL,2.20,2.20,2.10,164200.00
06/01/2014,2.00,HHL,2.00,2.00,2.00,52000.00
03/01/2014,1.90,HHL,1.90,1.90,1.80,50600.00
02/01/2014,1.80,HHL,1.70,1.80,1.70,65600.00
31/12/2013,1.70,HHL,1.70,1.80,1.70,45700.00
30/12/2013,1.80,HHL,1.80,1.80,1.70,113000.00
