DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
26/04/2019,2.68,HID,2.70,2.70,2.66,35040.00
25/04/2019,2.65,HID,2.62,2.68,2.60,47380.00
24/04/2019,2.62,HID,2.60,2.70,2.60,2990.00
23/04/2019,2.70,HID,2.66,2.70,2.66,85640.00
22/04/2019,2.69,HID,2.72,2.72,2.67,166910.00
19/04/2019,2.72,HID,2.68,2.73,2.67,152680.00
18/04/2019,2.69,HID,2.72,2.72,2.68,35090.00
17/04/2019,2.69,HID,2.62,2.71,2.62,89420.00
16/04/2019,2.68,HID,2.71,2.72,2.62,83220.00
12/04/2019,2.71,HID,2.69,2.71,2.69,41650.00
11/04/2019,2.70,HID,2.65,2.70,2.60,158650.00
10/04/2019,2.65,HID,2.66,2.69,2.60,72440.00
09/04/2019,2.67,HID,2.74,2.74,2.66,141890.00
08/04/2019,2.74,HID,2.70,2.79,2.70,300710.00
05/04/2019,2.70,HID,2.73,2.73,2.70,93080.00
04/04/2019,2.73,HID,2.69,2.73,2.67,143350.00
03/04/2019,2.70,HID,2.68,2.70,2.65,144580.00
02/04/2019,2.67,HID,2.66,2.68,2.58,399170.00
01/04/2019,2.66,HID,2.65,2.67,2.64,13900.00
29/03/2019,2.67,HID,2.66,2.70,2.64,71900.00
28/03/2019,2.64,HID,2.63,2.65,2.61,172830.00
27/03/2019,2.63,HID,2.64,2.66,2.62,22710.00
26/03/2019,2.62,HID,2.64,2.64,2.53,50090.00
25/03/2019,2.53,HID,2.61,2.61,2.48,21480.00
22/03/2019,2.61,HID,2.60,2.65,2.49,83480.00
21/03/2019,2.67,HID,2.63,2.68,2.61,116330.00
20/03/2019,2.61,HID,2.60,2.62,2.58,141830.00
19/03/2019,2.61,HID,2.60,2.64,2.59,145820.00
18/03/2019,2.65,HID,2.73,2.75,2.65,317740.00
15/03/2019,2.73,HID,2.75,2.75,2.61,176440.00
14/03/2019,2.68,HID,2.46,2.68,2.46,531960.00
13/03/2019,2.51,HID,2.50,2.51,2.43,204070.00
12/03/2019,2.45,HID,2.42,2.49,2.42,115750.00
11/03/2019,2.42,HID,2.48,2.48,2.41,48780.00
08/03/2019,2.48,HID,2.41,2.48,2.38,202350.00
07/03/2019,2.50,HID,2.54,2.54,2.45,64850.00
06/03/2019,2.54,HID,2.43,2.55,2.39,177850.00
05/03/2019,2.39,HID,2.40,2.42,2.38,145050.00
04/03/2019,2.40,HID,2.43,2.43,2.38,115790.00
01/03/2019,2.42,HID,2.40,2.42,2.40,35050.00
28/02/2019,2.40,HID,2.40,2.42,2.38,116120.00
27/02/2019,2.41,HID,2.42,2.45,2.41,45640.00
26/02/2019,2.41,HID,2.36,2.45,2.36,64990.00
25/02/2019,2.36,HID,2.38,2.40,2.29,379870.00
22/02/2019,2.39,HID,2.41,2.46,2.39,517450.00
21/02/2019,2.41,HID,2.60,2.60,2.41,299070.00
20/02/2019,2.57,HID,2.84,2.84,2.55,397880.00
19/02/2019,2.66,HID,2.64,2.66,2.64,163180.00
18/02/2019,2.49,HID,2.40,2.53,2.38,305350.00
15/02/2019,2.44,HID,2.44,2.44,2.38,217050.00
14/02/2019,2.44,HID,2.46,2.46,2.37,191740.00
13/02/2019,2.46,HID,2.50,2.50,2.40,142720.00
12/02/2019,2.50,HID,2.50,2.50,2.43,21730.00
11/02/2019,2.50,HID,2.49,2.53,2.43,61950.00
01/02/2019,2.49,HID,2.40,2.49,2.37,151880.00
31/01/2019,2.49,HID,2.48,2.50,2.35,211580.00
30/01/2019,2.48,HID,2.48,2.48,2.37,41250.00
29/01/2019,2.42,HID,2.43,2.43,2.36,18390.00
28/01/2019,2.42,HID,2.46,2.46,2.37,71020.00
25/01/2019,2.44,HID,2.37,2.48,2.37,21520.00
24/01/2019,2.37,HID,2.40,2.50,2.37,124720.00
23/01/2019,2.54,HID,2.42,2.54,2.40,23530.00
22/01/2019,2.56,HID,2.51,2.64,2.48,86960.00
21/01/2019,2.66,HID,2.68,2.69,2.40,77450.00
18/01/2019,2.53,HID,2.32,2.53,2.26,213800.00
17/01/2019,2.37,HID,2.32,2.39,2.30,56940.00
16/01/2019,2.39,HID,2.33,2.39,2.32,44090.00
15/01/2019,2.39,HID,2.35,2.39,2.30,176660.00
14/01/2019,2.43,HID,2.43,2.43,2.32,133640.00
11/01/2019,2.44,HID,2.41,2.45,2.41,29430.00
10/01/2019,2.45,HID,2.47,2.47,2.42,31910.00
09/01/2019,2.47,HID,2.46,2.48,2.45,74080.00
08/01/2019,2.47,HID,2.47,2.47,2.41,25750.00
07/01/2019,2.47,HID,2.45,2.47,2.45,19950.00
04/01/2019,2.45,HID,2.40,2.45,2.39,31200.00
03/01/2019,2.45,HID,2.47,2.47,2.40,6140.00
02/01/2019,2.47,HID,2.45,2.50,2.45,14560.00
28/12/2018,2.45,HID,2.40,2.45,2.40,870.00
27/12/2018,2.45,HID,2.43,2.46,2.43,52300.00
26/12/2018,2.43,HID,2.44,2.44,2.37,4930.00
25/12/2018,2.43,HID,2.45,2.45,2.36,36880.00
24/12/2018,2.46,HID,2.45,2.46,2.41,20340.00
21/12/2018,2.45,HID,2.51,2.51,2.40,18510.00
20/12/2018,2.39,HID,2.42,2.44,2.39,67020.00
19/12/2018,2.45,HID,2.45,2.47,2.42,38080.00
18/12/2018,2.45,HID,2.47,2.48,2.43,37600.00
17/12/2018,2.47,HID,2.44,2.47,2.42,10820.00
14/12/2018,2.44,HID,2.49,2.49,2.44,21330.00
13/12/2018,2.45,HID,2.48,2.49,2.44,90750.00
12/12/2018,2.49,HID,2.47,2.49,2.46,32460.00
11/12/2018,2.46,HID,2.49,2.49,2.46,83840.00
10/12/2018,2.50,HID,2.50,2.54,2.49,13350.00
07/12/2018,2.50,HID,2.53,2.53,2.49,28110.00
06/12/2018,2.50,HID,2.50,2.55,2.47,50790.00
05/12/2018,2.50,HID,2.50,2.50,2.45,154450.00
04/12/2018,2.53,HID,2.54,2.58,2.51,29120.00
03/12/2018,2.54,HID,2.50,2.54,2.49,37790.00
30/11/2018,2.50,HID,2.57,2.57,2.47,26340.00
29/11/2018,2.50,HID,2.48,2.54,2.48,38320.00
28/11/2018,2.50,HID,2.55,2.57,2.50,12550.00
27/11/2018,2.55,HID,2.57,2.58,2.50,64610.00
26/11/2018,2.57,HID,2.58,2.58,2.52,7310.00
23/11/2018,2.58,HID,2.57,2.58,2.51,13750.00
22/11/2018,2.58,HID,2.51,2.69,2.51,7330.00
21/11/2018,2.53,HID,2.48,2.53,2.48,36540.00
20/11/2018,2.53,HID,2.60,2.60,2.52,31680.00
19/11/2018,2.65,HID,2.60,2.69,2.60,9300.00
16/11/2018,2.62,HID,2.50,2.62,2.49,111410.00
15/11/2018,2.45,HID,2.64,2.64,2.45,80930.00
14/11/2018,2.60,HID,2.60,2.65,2.58,26360.00
13/11/2018,2.62,HID,2.69,2.69,2.59,63320.00
12/11/2018,2.67,HID,2.63,2.68,2.62,21410.00
09/11/2018,2.70,HID,2.70,2.70,2.65,42350.00
08/11/2018,2.70,HID,2.66,2.70,2.65,55970.00
07/11/2018,2.70,HID,2.78,2.78,2.68,61860.00
06/11/2018,2.78,HID,2.74,2.78,2.70,81180.00
05/11/2018,2.71,HID,2.70,2.75,2.66,15880.00
02/11/2018,2.70,HID,2.74,2.83,2.70,60950.00
01/11/2018,2.80,HID,2.85,2.85,2.69,41930.00
31/10/2018,2.75,HID,2.79,2.89,2.75,160070.00
30/10/2018,2.79,HID,2.90,2.90,2.71,51550.00
29/10/2018,2.87,HID,2.81,2.92,2.80,16630.00
26/10/2018,2.82,HID,2.92,2.92,2.74,46200.00
25/10/2018,2.76,HID,2.95,2.95,2.75,245820.00
24/10/2018,2.95,HID,3.04,3.18,2.83,169990.00
23/10/2018,3.03,HID,3.20,3.25,3.03,222070.00
22/10/2018,3.25,HID,3.29,3.35,3.15,224120.00
19/10/2018,3.25,HID,3.39,3.39,3.20,124000.00
18/10/2018,3.32,HID,3.19,3.32,3.19,390020.00
17/10/2018,3.11,HID,3.17,3.25,3.08,290400.00
16/10/2018,3.25,HID,3.39,3.39,3.12,71190.00
15/10/2018,3.26,HID,3.45,3.45,3.26,145880.00
12/10/2018,3.26,HID,3.22,3.35,3.12,429220.00
11/10/2018,3.35,HID,3.37,3.59,3.35,564840.00
10/10/2018,3.60,HID,3.65,3.78,3.50,221790.00
09/10/2018,3.72,HID,3.61,3.78,3.58,1033700.00
08/10/2018,3.54,HID,3.40,3.54,3.40,255150.00
05/10/2018,3.31,HID,3.30,3.45,3.24,456380.00
04/10/2018,3.48,HID,3.77,3.77,3.37,1360510.00
