DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
26/04/2019,25.30,HJS,25.30,25.30,25.30,0.00
25/04/2019,25.30,HJS,25.30,25.30,25.30,0.00
24/04/2019,25.30,HJS,25.30,25.30,25.30,0.00
23/04/2019,25.30,HJS,25.30,25.30,25.30,0.00
22/04/2019,25.30,HJS,25.30,25.30,25.30,0.00
19/04/2019,25.30,HJS,25.30,25.30,25.30,0.00
18/04/2019,25.30,HJS,25.30,25.30,25.30,0.00
17/04/2019,25.30,HJS,25.30,25.30,25.30,0.00
16/04/2019,25.30,HJS,25.30,25.30,25.30,0.00
12/04/2019,25.30,HJS,25.30,25.30,25.30,0.00
11/04/2019,25.30,HJS,25.30,25.30,25.30,0.00
10/04/2019,25.30,HJS,25.30,25.30,25.30,100.00
09/04/2019,28.00,HJS,28.00,28.00,28.00,0.00
08/04/2019,28.00,HJS,28.00,28.00,28.00,0.00
05/04/2019,28.00,HJS,28.00,28.00,28.00,0.00
04/04/2019,28.00,HJS,28.00,28.00,28.00,100.00
03/04/2019,25.50,HJS,25.50,25.50,25.50,0.00
02/04/2019,25.50,HJS,25.50,25.50,25.50,0.00
01/04/2019,25.50,HJS,25.50,25.50,25.50,0.00
29/03/2019,25.50,HJS,25.50,25.50,25.50,200.00
28/03/2019,26.70,HJS,26.70,26.70,26.70,50.00
27/03/2019,26.70,HJS,26.70,26.70,26.70,0.00
26/03/2019,26.70,HJS,26.70,26.70,26.70,0.00
25/03/2019,26.70,HJS,24.40,26.70,24.40,1900.00
22/03/2019,24.30,HJS,24.30,24.30,24.30,0.00
21/03/2019,24.30,HJS,24.30,24.30,24.30,0.00
20/03/2019,24.30,HJS,24.30,24.30,24.30,0.00
19/03/2019,24.30,HJS,24.30,24.30,24.30,400.00
18/03/2019,24.30,HJS,24.30,24.30,24.30,0.00
15/03/2019,24.30,HJS,24.30,24.30,24.30,0.00
14/03/2019,24.30,HJS,24.30,24.30,24.30,0.00
13/03/2019,24.30,HJS,25.40,25.40,24.30,300.00
12/03/2019,23.10,HJS,23.10,23.10,23.10,0.00
11/03/2019,23.10,HJS,23.10,23.10,23.10,0.00
08/03/2019,23.10,HJS,23.10,23.10,23.10,0.00
07/03/2019,23.10,HJS,23.10,23.10,23.10,0.00
06/03/2019,23.10,HJS,23.10,23.10,23.10,0.00
05/03/2019,23.10,HJS,23.10,23.10,23.10,0.00
04/03/2019,23.10,HJS,23.10,23.10,23.10,0.00
01/03/2019,23.10,HJS,23.10,23.10,23.10,0.00
28/02/2019,23.10,HJS,23.10,23.10,23.10,0.00
27/02/2019,23.10,HJS,23.10,23.10,23.10,100.00
26/02/2019,25.00,HJS,25.00,25.00,25.00,0.00
25/02/2019,25.00,HJS,25.00,25.00,25.00,1400.00
22/02/2019,23.10,HJS,23.10,23.10,23.10,100.00
21/02/2019,25.10,HJS,25.10,25.10,25.10,0.00
20/02/2019,25.10,HJS,25.00,25.10,25.00,3662.00
19/02/2019,22.90,HJS,22.90,22.90,22.90,0.00
18/02/2019,22.90,HJS,22.90,22.90,22.90,100.00
15/02/2019,20.90,HJS,20.90,20.90,20.90,6200.00
14/02/2019,20.80,HJS,20.80,20.80,20.80,0.00
13/02/2019,20.80,HJS,20.80,20.80,20.80,15.00
12/02/2019,20.80,HJS,20.80,20.80,20.80,0.00
11/02/2019,20.80,HJS,20.80,20.80,20.80,2200.00
01/02/2019,20.60,HJS,20.60,20.60,20.60,0.00
31/01/2019,20.60,HJS,20.60,20.60,20.60,0.00
30/01/2019,20.60,HJS,20.60,20.60,20.60,0.00
29/01/2019,20.60,HJS,20.60,20.60,20.60,0.00
28/01/2019,20.60,HJS,20.60,20.60,20.60,0.00
25/01/2019,20.60,HJS,21.00,21.00,20.60,400.00
24/01/2019,20.60,HJS,20.60,20.60,20.60,200.00
23/01/2019,22.50,HJS,22.50,22.50,22.50,200.00
22/01/2019,25.00,HJS,25.00,25.00,25.00,0.00
21/01/2019,25.00,HJS,25.00,25.00,25.00,0.00
18/01/2019,25.00,HJS,25.00,25.00,25.00,0.00
17/01/2019,25.00,HJS,25.00,25.00,25.00,0.00
16/01/2019,25.00,HJS,25.00,25.00,25.00,0.00
15/01/2019,25.00,HJS,25.00,25.00,25.00,0.00
14/01/2019,25.00,HJS,25.00,25.00,25.00,0.00
11/01/2019,25.00,HJS,25.00,25.00,25.00,0.00
10/01/2019,25.00,HJS,25.00,25.00,25.00,0.00
09/01/2019,25.00,HJS,25.00,25.00,25.00,6900.00
08/01/2019,24.00,HJS,24.00,24.00,24.00,0.00
07/01/2019,24.00,HJS,24.00,24.00,24.00,1000.00
04/01/2019,22.00,HJS,22.00,22.00,22.00,0.00
03/01/2019,22.00,HJS,22.00,22.00,22.00,0.00
02/01/2019,22.00,HJS,22.00,22.00,22.00,0.00
28/12/2018,22.00,HJS,22.00,22.00,22.00,1000.00
27/12/2018,23.00,HJS,23.00,23.00,23.00,100.00
26/12/2018,25.00,HJS,25.00,25.00,25.00,0.00
25/12/2018,25.00,HJS,25.00,25.00,25.00,0.00
24/12/2018,25.00,HJS,25.00,25.00,25.00,0.00
21/12/2018,25.00,HJS,25.00,25.00,25.00,0.00
20/12/2018,25.00,HJS,25.00,25.00,25.00,0.00
19/12/2018,25.00,HJS,25.00,25.00,25.00,200.00
18/12/2018,26.00,HJS,26.00,26.00,26.00,0.00
17/12/2018,26.00,HJS,26.00,26.00,26.00,0.00
14/12/2018,26.00,HJS,26.00,26.00,26.00,0.00
13/12/2018,26.00,HJS,26.00,26.00,26.00,0.00
12/12/2018,26.00,HJS,26.00,26.00,26.00,0.00
11/12/2018,26.00,HJS,26.00,26.00,26.00,0.00
10/12/2018,26.00,HJS,26.00,26.00,26.00,200.00
07/12/2018,23.80,HJS,23.80,23.80,23.80,0.00
06/12/2018,23.80,HJS,23.80,23.80,23.80,0.00
05/12/2018,23.80,HJS,22.00,23.80,22.00,3000.00
04/12/2018,21.80,HJS,21.80,21.80,21.80,1000.00
03/12/2018,23.50,HJS,23.50,23.50,23.50,100.00
30/11/2018,26.00,HJS,26.00,26.00,26.00,0.00
29/11/2018,26.00,HJS,26.00,26.00,26.00,0.00
28/11/2018,26.00,HJS,26.00,26.00,26.00,0.00
27/11/2018,26.00,HJS,26.00,26.00,26.00,0.00
26/11/2018,26.00,HJS,26.00,26.00,26.00,0.00
23/11/2018,26.00,HJS,26.00,26.00,26.00,15.00
22/11/2018,26.00,HJS,26.00,26.00,26.00,2050000.00
21/11/2018,26.00,HJS,26.00,26.00,26.00,0.00
20/11/2018,26.00,HJS,27.00,27.30,26.00,1600.00
19/11/2018,26.20,HJS,24.50,26.20,24.50,12700.00
16/11/2018,24.50,HJS,26.60,26.80,24.50,1800.00
15/11/2018,26.00,HJS,24.50,26.00,24.50,1200.00
14/11/2018,24.50,HJS,24.50,24.50,24.50,1700.00
13/11/2018,24.50,HJS,23.50,24.50,23.50,1100.00
12/11/2018,23.50,HJS,24.40,24.40,23.50,1100.00
09/11/2018,23.00,HJS,23.00,23.00,23.00,0.00
08/11/2018,23.00,HJS,23.00,23.00,23.00,0.00
07/11/2018,23.00,HJS,23.00,23.00,23.00,100.00
06/11/2018,23.00,HJS,23.00,23.00,23.00,100.00
05/11/2018,22.00,HJS,22.00,22.00,22.00,0.00
02/11/2018,22.00,HJS,22.00,22.00,22.00,0.00
