DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
26/04/2019,1.00,HKB,1.00,1.10,1.00,103100.00
25/04/2019,1.10,HKB,1.30,1.30,1.10,976270.00
24/04/2019,1.20,HKB,1.20,1.20,1.20,33000.00
23/04/2019,1.10,HKB,1.10,1.10,1.10,51250.00
22/04/2019,1.00,HKB,1.00,1.00,1.00,87860.00
19/04/2019,0.90,HKB,0.90,0.90,0.80,300240.00
18/04/2019,0.80,HKB,0.80,0.80,0.80,278900.00
17/04/2019,0.70,HKB,0.60,0.70,0.60,300250.00
16/04/2019,0.60,HKB,0.60,0.70,0.60,135510.00
12/04/2019,0.70,HKB,0.70,0.70,0.70,28812.00
11/04/2019,0.80,HKB,0.80,0.80,0.80,0.00
10/04/2019,0.80,HKB,0.80,0.80,0.80,0.00
09/04/2019,0.80,HKB,0.80,0.80,0.80,0.00
08/04/2019,0.80,HKB,0.80,0.80,0.80,0.00
05/04/2019,0.80,HKB,0.70,0.80,0.70,38230.00
04/04/2019,0.70,HKB,0.70,0.80,0.70,14510.00
03/04/2019,0.70,HKB,0.70,0.70,0.70,25600.00
02/04/2019,0.80,HKB,0.80,0.80,0.70,24800.00
01/04/2019,0.80,HKB,0.70,0.80,0.70,17800.00
29/03/2019,0.80,HKB,0.70,0.80,0.70,80200.00
28/03/2019,0.80,HKB,0.80,0.80,0.80,29800.00
27/03/2019,0.80,HKB,0.70,0.80,0.70,7000.00
26/03/2019,0.70,HKB,0.80,0.80,0.70,55900.00
25/03/2019,0.70,HKB,0.70,0.80,0.70,58900.00
22/03/2019,0.70,HKB,0.80,0.80,0.70,11100.00
21/03/2019,0.80,HKB,0.80,0.90,0.80,139500.00
20/03/2019,0.90,HKB,0.80,0.90,0.70,98510.00
19/03/2019,0.80,HKB,0.70,0.90,0.70,62500.00
18/03/2019,0.80,HKB,0.70,0.90,0.70,86600.00
15/03/2019,0.80,HKB,0.80,0.80,0.70,51600.00
14/03/2019,0.80,HKB,0.80,0.90,0.70,43807.00
13/03/2019,0.80,HKB,0.80,0.80,0.70,20146.00
12/03/2019,0.80,HKB,0.90,0.90,0.80,15200.00
11/03/2019,0.80,HKB,0.90,0.90,0.80,76300.00
