DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
26/04/2019,15.50,HLD,15.60,15.70,15.40,27810.00
25/04/2019,15.60,HLD,15.40,15.70,15.30,59100.00
24/04/2019,15.50,HLD,15.50,15.60,15.40,35450.00
23/04/2019,15.50,HLD,15.70,15.70,15.40,55400.00
22/04/2019,15.50,HLD,15.70,15.70,15.40,33300.00
19/04/2019,15.70,HLD,15.60,15.70,15.40,60700.00
18/04/2019,15.60,HLD,15.30,15.70,15.30,121510.00
17/04/2019,15.30,HLD,15.20,15.30,15.10,48030.00
16/04/2019,15.20,HLD,15.00,15.20,15.00,48200.00
12/04/2019,15.00,HLD,15.00,15.10,14.80,61800.00
11/04/2019,15.00,HLD,15.00,15.10,14.90,25000.00
10/04/2019,15.00,HLD,14.90,15.00,14.80,22800.00
09/04/2019,15.00,HLD,14.80,15.00,14.80,10700.00
08/04/2019,14.90,HLD,15.10,15.10,14.70,33260.00
05/04/2019,15.10,HLD,14.90,15.10,14.90,42450.00
04/04/2019,15.00,HLD,15.00,15.00,14.80,24420.00
03/04/2019,15.00,HLD,14.80,15.00,14.80,43800.00
02/04/2019,14.90,HLD,15.20,15.20,14.90,41600.00
01/04/2019,15.10,HLD,14.50,15.20,14.50,89100.00
29/03/2019,14.50,HLD,14.30,14.50,14.30,40600.00
28/03/2019,14.30,HLD,14.30,14.40,14.30,33800.00
27/03/2019,14.20,HLD,14.00,14.20,14.00,25000.00
26/03/2019,13.90,HLD,13.90,13.90,13.90,12500.00
25/03/2019,13.90,HLD,14.10,14.10,13.90,38400.00
22/03/2019,14.10,HLD,14.10,14.20,14.10,7500.00
21/03/2019,14.20,HLD,14.30,14.30,14.20,11102.00
20/03/2019,14.30,HLD,14.20,14.30,14.20,14100.00
19/03/2019,14.20,HLD,14.10,14.30,14.00,55500.00
18/03/2019,14.10,HLD,14.30,14.30,14.10,37003.00
15/03/2019,14.30,HLD,14.30,14.30,14.20,37800.00
14/03/2019,14.10,HLD,14.50,14.70,14.10,30100.00
13/03/2019,14.50,HLD,14.50,14.50,14.20,55200.00
12/03/2019,14.30,HLD,14.50,14.50,14.10,78430.00
11/03/2019,14.50,HLD,14.90,14.90,14.50,66502.00
08/03/2019,14.40,HLD,14.00,14.60,14.00,88200.00
07/03/2019,13.90,HLD,13.90,14.00,13.90,55500.00
06/03/2019,13.90,HLD,13.90,13.90,13.80,23600.00
05/03/2019,14.00,HLD,14.10,14.20,13.70,23500.00
04/03/2019,14.00,HLD,13.60,14.30,13.60,38520.00
01/03/2019,13.50,HLD,13.50,13.50,13.50,64710.00
28/02/2019,13.50,HLD,13.50,13.50,13.30,73500.00
27/02/2019,13.50,HLD,13.40,13.50,13.40,43300.00
26/02/2019,13.40,HLD,13.50,13.50,13.40,1500.00
25/02/2019,13.50,HLD,13.50,13.50,13.40,66700.00
22/02/2019,13.50,HLD,13.40,13.50,13.40,31200.00
21/02/2019,13.50,HLD,13.50,13.50,13.30,27600.00
20/02/2019,13.50,HLD,13.50,13.50,13.50,21431.00
19/02/2019,13.50,HLD,13.50,13.50,13.40,15736.00
18/02/2019,13.50,HLD,13.40,13.50,13.20,14400.00
15/02/2019,13.30,HLD,13.40,13.40,13.10,8100.00
14/02/2019,13.40,HLD,13.60,13.60,13.40,20300.00
13/02/2019,13.60,HLD,13.50,13.80,13.50,49040.00
12/02/2019,13.50,HLD,13.50,13.60,13.30,15300.00
11/02/2019,13.80,HLD,13.60,13.80,13.60,1700.00
01/02/2019,13.60,HLD,13.20,13.60,13.10,7300.00
31/01/2019,13.10,HLD,13.00,13.10,13.00,8900.00
30/01/2019,13.00,HLD,13.00,13.10,13.00,13100.00
29/01/2019,13.00,HLD,13.00,13.00,13.00,2500.00
28/01/2019,13.00,HLD,13.20,13.20,13.00,2500.00
25/01/2019,13.20,HLD,13.10,13.30,12.50,2500.00
24/01/2019,13.10,HLD,12.80,13.10,12.50,11010.00
23/01/2019,12.90,HLD,13.30,13.30,12.90,700.00
22/01/2019,13.30,HLD,13.70,13.70,13.30,59203.00
21/01/2019,13.80,HLD,13.60,14.20,13.60,114620.00
18/01/2019,13.00,HLD,12.50,13.00,12.50,20600.00
17/01/2019,12.50,HLD,12.60,12.60,12.50,13100.00
16/01/2019,12.60,HLD,12.50,12.70,12.50,24250.00
15/01/2019,12.50,HLD,11.60,12.50,11.50,76000.00
14/01/2019,11.60,HLD,11.60,11.60,11.60,2500.00
11/01/2019,11.60,HLD,11.40,11.60,11.40,15400.00
10/01/2019,11.40,HLD,11.50,11.50,11.40,15500.00
09/01/2019,11.60,HLD,11.40,11.60,11.20,75504.00
08/01/2019,11.40,HLD,11.60,11.60,11.30,12700.00
07/01/2019,11.40,HLD,11.50,11.60,11.40,36000.00
04/01/2019,11.40,HLD,11.40,11.40,11.20,9946.00
03/01/2019,11.40,HLD,11.60,11.60,11.30,33400.00
02/01/2019,11.60,HLD,11.40,11.70,11.40,32000.00
28/12/2018,11.30,HLD,11.50,11.50,11.30,19300.00
27/12/2018,11.50,HLD,12.00,12.00,11.50,15400.00
26/12/2018,11.40,HLD,11.20,11.40,11.20,35800.00
25/12/2018,11.20,HLD,11.30,11.50,11.00,100700.00
24/12/2018,11.50,HLD,11.80,11.80,11.50,99200.00
21/12/2018,11.90,HLD,11.80,11.90,11.80,25100.00
20/12/2018,11.90,HLD,11.80,12.00,11.80,5500.00
19/12/2018,11.90,HLD,11.90,11.90,11.80,47900.00
18/12/2018,11.90,HLD,12.10,12.10,11.90,61600.00
17/12/2018,12.20,HLD,12.20,12.20,12.10,28400.00
14/12/2018,12.30,HLD,12.30,12.30,12.20,11600.00
13/12/2018,12.20,HLD,12.30,12.30,12.20,9800.00
12/12/2018,12.30,HLD,12.30,12.50,12.20,22800.00
11/12/2018,12.30,HLD,12.40,12.40,12.20,49800.00
10/12/2018,12.40,HLD,12.40,12.40,12.30,32500.00
07/12/2018,12.40,HLD,12.40,12.40,12.30,16600.00
06/12/2018,12.40,HLD,12.50,12.50,12.30,21500.00
05/12/2018,12.50,HLD,12.40,12.50,12.30,30600.00
04/12/2018,12.60,HLD,12.50,12.60,12.20,37100.00
03/12/2018,12.50,HLD,12.60,12.60,12.40,74400.00
30/11/2018,12.70,HLD,12.50,12.70,12.40,15000.00
29/11/2018,12.70,HLD,12.60,12.70,12.50,30600.00
28/11/2018,12.60,HLD,12.60,12.70,12.50,34415.00
27/11/2018,12.60,HLD,12.80,12.80,12.50,37200.00
26/11/2018,12.60,HLD,12.60,12.70,12.50,44800.00
23/11/2018,12.60,HLD,12.60,12.60,12.50,13005.00
22/11/2018,12.60,HLD,12.60,12.70,12.50,11100.00
21/11/2018,12.60,HLD,12.60,12.60,12.50,16400.00
20/11/2018,12.70,HLD,12.70,12.70,12.50,9700.00
19/11/2018,12.60,HLD,12.80,12.90,12.50,58900.00
16/11/2018,12.70,HLD,12.70,12.80,12.70,26100.00
15/11/2018,12.70,HLD,12.70,13.00,12.70,23700.00
14/11/2018,12.70,HLD,12.70,12.80,12.70,17900.00
13/11/2018,12.70,HLD,12.60,12.70,12.60,28300.00
12/11/2018,12.70,HLD,13.40,13.40,12.50,45800.00
09/11/2018,12.50,HLD,13.20,13.20,12.50,35600.00
08/11/2018,13.10,HLD,13.30,13.30,13.10,23900.00
07/11/2018,13.30,HLD,13.80,13.80,13.10,28750.00
06/11/2018,13.30,HLD,12.50,13.60,12.50,93500.00
05/11/2018,12.50,HLD,12.60,12.60,12.40,25900.00
