DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
26/04/2019,8.49,HLG,8.49,8.49,8.49,1000.00
25/04/2019,8.40,HLG,8.50,8.50,8.40,20000.00
24/04/2019,8.59,HLG,8.59,8.59,8.59,0.00
23/04/2019,8.59,HLG,8.59,8.59,8.59,0.00
22/04/2019,8.59,HLG,8.30,8.59,8.30,3100.00
19/04/2019,8.78,HLG,8.78,8.78,8.78,0.00
18/04/2019,8.78,HLG,8.78,8.78,8.78,0.00
17/04/2019,8.78,HLG,7.85,8.78,7.80,960.00
16/04/2019,8.25,HLG,8.25,8.25,8.25,0.00
12/04/2019,8.25,HLG,8.25,8.25,8.25,0.00
11/04/2019,8.25,HLG,8.25,8.25,8.25,0.00
10/04/2019,8.25,HLG,8.25,8.25,8.25,0.00
09/04/2019,8.25,HLG,8.85,8.85,8.25,100.00
08/04/2019,8.85,HLG,8.30,8.85,8.28,230.00
05/04/2019,8.90,HLG,8.90,8.90,8.90,0.00
04/04/2019,8.90,HLG,8.90,8.90,8.90,0.00
03/04/2019,8.90,HLG,8.90,8.90,7.79,120.00
02/04/2019,8.37,HLG,8.37,8.37,8.37,10.00
01/04/2019,9.00,HLG,9.00,9.00,9.00,0.00
29/03/2019,9.00,HLG,9.00,9.00,9.00,0.00
28/03/2019,9.00,HLG,9.00,9.00,9.00,0.00
27/03/2019,9.00,HLG,8.80,9.00,8.80,110.00
26/03/2019,8.80,HLG,8.30,8.80,8.30,1010.00
25/03/2019,8.80,HLG,8.79,8.80,8.79,2510.00
22/03/2019,8.37,HLG,8.37,8.37,8.37,60.00
21/03/2019,8.99,HLG,8.37,8.99,8.37,280.00
20/03/2019,8.99,HLG,8.40,8.99,8.40,950.00
19/03/2019,8.99,HLG,8.99,8.99,8.99,2930.00
18/03/2019,9.00,HLG,8.37,9.00,8.37,110.00
15/03/2019,9.00,HLG,9.00,9.00,9.00,0.00
14/03/2019,9.00,HLG,8.40,9.00,8.40,210.00
13/03/2019,9.00,HLG,9.00,9.00,9.00,0.00
12/03/2019,9.00,HLG,8.37,9.00,8.37,520.00
11/03/2019,9.00,HLG,9.00,9.00,9.00,0.00
08/03/2019,9.00,HLG,8.90,9.00,8.90,20.00
07/03/2019,9.19,HLG,8.28,9.19,8.28,520.00
06/03/2019,8.90,HLG,8.90,8.90,8.90,10.00
05/03/2019,9.00,HLG,8.37,9.40,8.37,1210.00
04/03/2019,9.00,HLG,9.00,9.00,9.00,10.00
01/03/2019,8.50,HLG,8.50,8.50,8.50,310.00
28/02/2019,9.00,HLG,9.29,9.29,8.10,2020.00
27/02/2019,8.70,HLG,8.70,8.70,8.70,50.00
26/02/2019,9.30,HLG,9.30,9.30,9.30,0.00
25/02/2019,9.30,HLG,9.30,9.30,9.30,10.00
22/02/2019,9.00,HLG,9.10,9.10,9.00,40.00
21/02/2019,9.35,HLG,9.00,9.35,9.00,130.00
20/02/2019,9.40,HLG,9.40,9.40,9.40,0.00
19/02/2019,9.40,HLG,9.40,9.40,9.40,0.00
18/02/2019,9.40,HLG,9.40,9.40,9.40,0.00
15/02/2019,9.40,HLG,9.40,9.40,9.40,10.00
14/02/2019,9.45,HLG,9.45,9.45,9.45,0.00
13/02/2019,9.45,HLG,9.45,9.45,9.45,10.00
12/02/2019,9.45,HLG,9.45,9.45,9.45,10.00
11/02/2019,8.90,HLG,8.90,8.90,8.90,10.00
01/02/2019,9.38,HLG,9.38,9.38,9.38,10.00
31/01/2019,9.45,HLG,9.45,9.45,9.45,0.00
30/01/2019,9.45,HLG,9.45,9.45,9.45,0.00
29/01/2019,9.45,HLG,9.45,9.45,9.45,0.00
28/01/2019,9.45,HLG,9.45,9.45,9.45,10.00
25/01/2019,8.98,HLG,8.98,8.98,8.98,0.00
24/01/2019,8.98,HLG,8.98,8.98,8.98,0.00
23/01/2019,8.98,HLG,8.98,8.98,8.98,10.00
