DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
26/04/2019,18.30,HLY,18.30,18.30,18.30,0.00
25/04/2019,18.30,HLY,18.30,18.30,18.30,0.00
24/04/2019,18.30,HLY,18.30,18.30,18.30,0.00
23/04/2019,18.30,HLY,18.30,18.30,18.30,0.00
22/04/2019,18.30,HLY,18.30,18.30,18.30,0.00
19/04/2019,18.30,HLY,18.30,18.30,18.30,0.00
18/04/2019,18.30,HLY,18.30,18.30,18.30,0.00
17/04/2019,18.30,HLY,18.30,18.30,18.30,4500.00
16/04/2019,20.30,HLY,20.30,20.30,20.30,4000.00
12/04/2019,22.50,HLY,22.50,22.50,22.50,4000.00
11/04/2019,25.00,HLY,25.00,25.00,25.00,0.00
10/04/2019,25.00,HLY,25.00,25.00,25.00,0.00
09/04/2019,25.00,HLY,25.00,25.00,25.00,0.00
08/04/2019,25.00,HLY,25.00,25.00,25.00,10.00
05/04/2019,25.00,HLY,25.00,25.00,25.00,5.00
04/04/2019,25.00,HLY,25.00,25.00,25.00,0.00
03/04/2019,25.00,HLY,25.00,25.00,25.00,0.00
02/04/2019,25.00,HLY,25.00,25.00,25.00,0.00
01/04/2019,25.00,HLY,25.00,25.00,25.00,0.00
29/03/2019,25.00,HLY,25.00,25.00,25.00,0.00
28/03/2019,25.00,HLY,24.00,25.00,24.00,2300.00
27/03/2019,24.00,HLY,24.00,24.00,24.00,2000.00
26/03/2019,24.00,HLY,24.00,24.00,24.00,0.00
25/03/2019,24.00,HLY,24.00,24.00,24.00,0.00
22/03/2019,24.00,HLY,24.00,24.00,24.00,0.00
21/03/2019,24.00,HLY,24.00,24.00,24.00,0.00
20/03/2019,24.00,HLY,24.00,24.00,24.00,0.00
19/03/2019,24.00,HLY,24.00,24.00,24.00,0.00
18/03/2019,24.00,HLY,24.00,24.00,24.00,1000.00
15/03/2019,24.00,HLY,24.00,24.00,24.00,0.00
14/03/2019,24.00,HLY,24.00,24.00,24.00,2000.00
13/03/2019,22.40,HLY,22.40,22.40,22.40,0.00
12/03/2019,22.40,HLY,22.40,22.40,22.40,0.00
11/03/2019,22.40,HLY,21.50,22.40,21.50,3600.00
08/03/2019,20.40,HLY,20.40,20.40,20.40,0.00
07/03/2019,20.40,HLY,20.40,20.40,20.40,100.00
06/03/2019,19.90,HLY,19.90,19.90,19.90,0.00
05/03/2019,19.90,HLY,19.90,19.90,19.90,0.00
04/03/2019,19.90,HLY,19.90,19.90,19.90,0.00
01/03/2019,19.90,HLY,19.90,19.90,19.90,0.00
28/02/2019,19.90,HLY,19.90,19.90,19.90,0.00
27/02/2019,19.90,HLY,19.90,19.90,19.90,0.00
26/02/2019,19.90,HLY,19.90,19.90,19.90,0.00
25/02/2019,19.90,HLY,19.90,19.90,19.90,100.00
22/02/2019,19.50,HLY,19.50,19.50,19.50,100.00
