DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
26/04/2019,15.70,HNG,15.50,15.85,15.50,1146540.00
25/04/2019,15.45,HNG,15.55,15.80,15.40,772840.00
24/04/2019,15.40,HNG,15.40,15.50,15.30,334290.00
23/04/2019,15.40,HNG,15.35,15.55,15.25,347550.00
22/04/2019,15.35,HNG,15.30,15.80,15.30,1489910.00
19/04/2019,15.30,HNG,15.30,15.30,15.20,220510.00
18/04/2019,15.30,HNG,15.65,15.65,15.25,306730.00
17/04/2019,15.60,HNG,15.50,16.15,15.50,2767220.00
16/04/2019,15.10,HNG,14.90,15.10,14.85,333240.00
12/04/2019,15.10,HNG,15.10,15.20,15.00,395470.00
11/04/2019,15.15,HNG,15.15,15.40,15.05,310980.00
10/04/2019,15.15,HNG,15.00,15.20,15.00,302240.00
09/04/2019,15.15,HNG,15.15,15.30,15.10,1066600.00
08/04/2019,15.15,HNG,15.30,15.30,15.15,206170.00
05/04/2019,15.30,HNG,15.20,15.55,15.20,648210.00
04/04/2019,15.35,HNG,15.00,15.40,14.90,2288890.00
03/04/2019,15.10,HNG,15.35,15.40,15.10,1026520.00
02/04/2019,15.55,HNG,15.45,15.60,15.40,1532000.00
01/04/2019,15.45,HNG,15.30,15.55,15.20,647840.00
29/03/2019,15.55,HNG,15.10,15.55,15.10,772910.00
28/03/2019,15.50,HNG,15.10,15.60,14.90,1151860.00
27/03/2019,15.60,HNG,15.80,16.00,15.50,1085860.00
26/03/2019,15.95,HNG,16.80,16.80,15.60,4455500.00
25/03/2019,16.05,HNG,15.30,16.05,15.10,6056400.00
22/03/2019,15.00,HNG,15.00,15.05,14.90,212680.00
21/03/2019,15.00,HNG,14.90,15.05,14.85,173790.00
20/03/2019,15.00,HNG,15.00,15.00,14.80,249530.00
19/03/2019,15.00,HNG,15.00,15.00,14.85,319200.00
18/03/2019,15.00,HNG,14.80,15.00,14.80,254770.00
15/03/2019,15.00,HNG,15.10,15.10,14.70,896730.00
14/03/2019,15.05,HNG,15.20,15.20,15.05,97470.00
13/03/2019,15.10,HNG,15.05,15.50,15.05,162480.00
12/03/2019,15.00,HNG,15.45,15.80,15.00,940070.00
11/03/2019,15.50,HNG,15.55,15.75,15.50,817220.00
08/03/2019,15.60,HNG,15.80,15.80,15.60,318900.00
07/03/2019,15.80,HNG,15.90,16.00,15.70,225860.00
06/03/2019,15.90,HNG,16.00,16.20,15.85,440620.00
05/03/2019,16.00,HNG,15.70,16.50,15.70,1101760.00
04/03/2019,15.75,HNG,15.85,15.85,15.65,924910.00
01/03/2019,15.85,HNG,15.60,16.00,15.50,423780.00
28/02/2019,15.60,HNG,15.70,15.70,15.45,520530.00
27/02/2019,15.70,HNG,15.65,15.80,15.65,294130.00
26/02/2019,15.65,HNG,16.00,16.00,15.65,540600.00
25/02/2019,15.85,HNG,15.70,16.10,15.70,1471320.00
22/02/2019,15.70,HNG,15.50,15.70,15.50,301670.00
21/02/2019,15.60,HNG,15.50,15.70,15.30,461000.00
20/02/2019,15.40,HNG,15.55,15.70,15.40,499020.00
19/02/2019,15.55,HNG,15.70,15.80,15.55,675700.00
18/02/2019,15.70,HNG,15.40,15.80,15.10,631440.00
15/02/2019,15.70,HNG,15.50,15.70,15.00,5954840.00
14/02/2019,15.50,HNG,15.50,15.70,15.00,1179640.00
13/02/2019,15.50,HNG,15.10,15.55,15.10,2169470.00
12/02/2019,15.10,HNG,14.75,15.10,14.70,537510.00
11/02/2019,14.60,HNG,14.60,14.75,14.30,266030.00
01/02/2019,14.45,HNG,14.25,14.60,14.25,179260.00
31/01/2019,14.30,HNG,13.60,14.30,13.60,405580.00
30/01/2019,14.20,HNG,14.20,14.20,13.90,202900.00
29/01/2019,14.20,HNG,14.40,14.40,13.95,188390.00
28/01/2019,14.40,HNG,14.40,14.50,13.90,364690.00
25/01/2019,14.40,HNG,14.50,14.50,14.00,171100.00
24/01/2019,14.50,HNG,14.30,14.55,14.30,745040.00
23/01/2019,14.30,HNG,14.20,14.80,14.20,119850.00
22/01/2019,14.20,HNG,13.30,14.20,13.30,1043390.00
21/01/2019,13.30,HNG,14.10,14.20,13.30,281280.00
18/01/2019,14.10,HNG,14.20,14.40,14.10,197760.00
17/01/2019,14.25,HNG,14.50,14.50,14.20,221840.00
16/01/2019,14.50,HNG,14.35,14.50,14.20,459940.00
15/01/2019,14.35,HNG,14.50,14.70,14.20,354160.00
14/01/2019,14.20,HNG,14.95,15.00,13.85,406650.00
11/01/2019,14.85,HNG,15.00,15.20,14.85,313070.00
10/01/2019,14.80,HNG,14.80,15.00,14.55,357300.00
09/01/2019,14.80,HNG,15.30,15.30,14.80,364010.00
08/01/2019,15.10,HNG,15.45,15.45,15.10,88500.00
07/01/2019,15.30,HNG,15.20,15.50,15.20,238520.00
04/01/2019,15.40,HNG,15.20,15.50,15.15,491600.00
03/01/2019,15.50,HNG,14.85,15.85,14.85,219940.00
02/01/2019,15.90,HNG,15.60,16.00,15.60,279640.00
28/12/2018,16.00,HNG,15.25,16.20,15.10,868460.00
27/12/2018,15.25,HNG,15.65,15.65,15.10,607390.00
26/12/2018,15.65,HNG,16.05,16.35,15.30,1524810.00
25/12/2018,16.05,HNG,15.00,16.05,14.55,1383770.00
24/12/2018,15.05,HNG,15.70,15.75,14.65,1897350.00
21/12/2018,15.70,HNG,16.20,16.25,15.70,2358730.00
20/12/2018,16.25,HNG,16.30,16.30,15.90,1221380.00
19/12/2018,16.30,HNG,16.30,16.50,16.20,1851500.00
18/12/2018,16.30,HNG,16.00,16.50,16.00,1308700.00
17/12/2018,16.30,HNG,16.90,16.90,16.30,934140.00
14/12/2018,16.75,HNG,16.95,16.95,16.60,700580.00
13/12/2018,16.70,HNG,16.85,16.85,16.60,1005870.00
12/12/2018,16.85,HNG,16.95,17.00,16.60,974030.00
11/12/2018,16.90,HNG,17.05,17.10,16.90,3382960.00
10/12/2018,17.05,HNG,16.90,17.30,16.80,2809030.00
07/12/2018,16.60,HNG,16.40,16.65,16.40,719210.00
06/12/2018,16.50,HNG,16.45,16.50,16.25,369470.00
05/12/2018,16.50,HNG,16.10,16.60,16.10,454500.00
04/12/2018,16.40,HNG,16.60,16.60,16.30,675980.00
03/12/2018,16.60,HNG,16.70,16.80,16.60,528490.00
30/11/2018,16.70,HNG,16.55,16.70,16.25,2835030.00
29/11/2018,16.60,HNG,16.55,16.70,16.00,1636330.00
28/11/2018,16.70,HNG,16.50,16.70,16.40,1098070.00
27/11/2018,16.50,HNG,16.30,16.65,16.30,1491560.00
26/11/2018,16.35,HNG,16.25,16.40,16.25,238250.00
23/11/2018,16.35,HNG,16.25,16.35,16.25,1379490.00
22/11/2018,16.35,HNG,16.30,16.45,16.25,2979630.00
21/11/2018,16.40,HNG,16.35,16.40,16.10,778580.00
20/11/2018,16.45,HNG,16.50,16.55,16.35,687960.00
19/11/2018,16.50,HNG,15.50,16.50,15.50,3274830.00
16/11/2018,15.95,HNG,16.60,16.65,15.95,9383240.00
15/11/2018,16.60,HNG,16.30,16.80,16.25,2410710.00
14/11/2018,16.30,HNG,16.30,16.30,16.15,3206110.00
13/11/2018,16.35,HNG,16.05,16.35,16.05,8072000.00
12/11/2018,16.35,HNG,16.00,16.40,15.90,2236930.00
09/11/2018,16.35,HNG,15.60,16.40,15.55,2892790.00
08/11/2018,15.65,HNG,15.45,15.65,15.30,1150360.00
07/11/2018,15.45,HNG,15.50,15.70,15.30,848900.00
06/11/2018,15.45,HNG,15.00,15.45,15.00,2516710.00
05/11/2018,14.95,HNG,14.75,15.25,14.75,6268900.00
02/11/2018,14.75,HNG,14.00,15.10,14.00,10957770.00
01/11/2018,14.15,HNG,14.20,14.20,13.90,945330.00
31/10/2018,14.20,HNG,14.00,14.30,13.80,1440100.00
30/10/2018,13.80,HNG,14.05,14.90,13.80,1202190.00
29/10/2018,14.80,HNG,14.80,14.85,14.25,1130690.00
26/10/2018,14.90,HNG,15.00,15.00,14.05,1363630.00
25/10/2018,15.00,HNG,14.10,15.00,13.95,2874090.00
24/10/2018,15.00,HNG,15.45,15.50,15.00,1566000.00
23/10/2018,15.70,HNG,15.50,15.70,15.00,929450.00
22/10/2018,15.75,HNG,15.90,15.90,15.30,691870.00
19/10/2018,15.70,HNG,14.90,15.90,14.70,978840.00
18/10/2018,15.00,HNG,15.00,15.00,14.70,532240.00
17/10/2018,15.05,HNG,15.05,15.35,14.90,405380.00
16/10/2018,15.05,HNG,14.70,15.05,14.70,947340.00
15/10/2018,14.70,HNG,15.30,15.30,14.70,648680.00
12/10/2018,15.40,HNG,14.70,15.40,14.45,1251720.00
