DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
26/04/2019,15.40,HNP,15.40,15.40,15.40,0.00
25/04/2019,15.40,HNP,15.40,15.40,15.40,200.00
24/04/2019,15.40,HNP,15.40,15.40,15.40,0.00
23/04/2019,15.40,HNP,15.40,15.40,15.40,0.00
22/04/2019,15.40,HNP,15.40,15.40,15.40,1000.00
19/04/2019,15.40,HNP,15.40,15.40,15.40,100.00
18/04/2019,17.00,HNP,17.00,17.00,17.00,0.00
17/04/2019,17.00,HNP,17.00,17.00,17.00,100.00
16/04/2019,16.70,HNP,16.70,16.70,16.70,0.00
12/04/2019,15.80,HNP,17.00,17.00,15.80,1400.00
11/04/2019,17.70,HNP,17.70,17.70,17.70,0.00
10/04/2019,17.70,HNP,17.70,17.70,17.70,0.00
09/04/2019,17.70,HNP,17.70,17.70,17.70,0.00
08/04/2019,17.70,HNP,17.70,17.70,17.70,0.00
05/04/2019,17.70,HNP,17.70,17.70,17.70,0.00
04/04/2019,17.70,HNP,17.70,17.70,17.70,0.00
03/04/2019,17.70,HNP,17.70,17.70,17.70,0.00
02/04/2019,17.70,HNP,17.70,17.70,17.70,100.00
01/04/2019,16.00,HNP,16.00,16.00,16.00,2200.00
29/03/2019,16.00,HNP,16.00,16.00,16.00,0.00
28/03/2019,16.00,HNP,16.00,16.00,16.00,0.00
27/03/2019,16.00,HNP,16.00,16.00,16.00,1500.00
26/03/2019,16.90,HNP,16.90,16.90,16.90,0.00
25/03/2019,16.90,HNP,16.90,16.90,16.90,0.00
22/03/2019,16.90,HNP,16.90,16.90,16.90,0.00
21/03/2019,16.90,HNP,16.90,16.90,16.90,0.00
20/03/2019,16.50,HNP,17.00,17.00,16.50,4000.00
19/03/2019,18.00,HNP,18.00,18.00,18.00,0.00
18/03/2019,18.00,HNP,18.00,18.00,18.00,0.00
15/03/2019,18.00,HNP,18.00,18.00,18.00,0.00
14/03/2019,18.00,HNP,18.00,18.00,18.00,0.00
13/03/2019,17.50,HNP,19.00,19.00,17.50,6500.00
12/03/2019,20.50,HNP,20.50,20.50,20.50,0.00
11/03/2019,20.50,HNP,20.50,20.50,20.50,0.00
08/03/2019,20.50,HNP,20.50,20.50,20.50,0.00
07/03/2019,20.50,HNP,20.50,20.50,20.50,0.00
06/03/2019,20.50,HNP,20.50,20.50,20.50,0.00
05/03/2019,20.50,HNP,20.50,20.50,20.50,100.00
04/03/2019,20.80,HNP,20.80,20.80,20.80,0.00
01/03/2019,20.80,HNP,20.80,20.80,20.80,0.00
28/02/2019,20.80,HNP,20.80,20.80,20.80,0.00
27/02/2019,20.80,HNP,20.80,20.80,20.80,0.00
26/02/2019,20.80,HNP,20.80,20.80,20.80,0.00
25/02/2019,20.80,HNP,20.80,20.80,20.80,0.00
22/02/2019,20.80,HNP,20.80,20.80,20.80,0.00
21/02/2019,20.80,HNP,20.80,20.80,20.80,0.00
20/02/2019,20.80,HNP,20.70,20.80,20.70,1000.00
19/02/2019,20.80,HNP,20.80,20.80,20.80,0.00
18/02/2019,20.80,HNP,20.80,20.80,20.80,200.00
15/02/2019,20.80,HNP,20.80,20.80,20.80,0.00
14/02/2019,20.80,HNP,20.80,20.80,20.80,0.00
13/02/2019,20.80,HNP,20.80,20.80,20.80,0.00
12/02/2019,20.80,HNP,20.80,20.80,20.80,0.00
11/02/2019,20.80,HNP,20.80,20.80,20.80,0.00
01/02/2019,20.80,HNP,20.80,20.80,20.80,0.00
31/01/2019,20.80,HNP,20.80,20.80,20.80,0.00
30/01/2019,20.80,HNP,20.80,20.80,20.80,0.00
29/01/2019,20.80,HNP,20.80,20.80,20.80,0.00
28/01/2019,20.80,HNP,20.80,20.80,20.80,0.00
25/01/2019,20.80,HNP,20.80,20.80,20.80,0.00
24/01/2019,20.80,HNP,20.80,20.80,20.80,0.00
23/01/2019,20.80,HNP,20.80,20.80,20.80,0.00
22/01/2019,20.80,HNP,20.80,20.80,20.80,0.00
21/01/2019,20.80,HNP,20.80,20.80,20.80,0.00
18/01/2019,20.80,HNP,20.80,20.80,20.80,0.00
17/01/2019,20.80,HNP,20.80,20.80,20.80,0.00
16/01/2019,20.80,HNP,20.80,20.80,20.80,0.00
15/01/2019,20.80,HNP,20.80,20.80,20.80,0.00
14/01/2019,20.80,HNP,20.80,20.80,20.80,0.00
11/01/2019,20.80,HNP,20.80,20.80,20.80,0.00
10/01/2019,22.50,HNP,22.50,22.50,22.50,0.00
09/01/2019,22.50,HNP,22.50,22.50,22.50,1.00
08/01/2019,22.50,HNP,22.50,22.50,22.50,0.00
07/01/2019,22.50,HNP,22.50,22.50,22.50,1.00
04/01/2019,26.20,HNP,22.30,26.20,22.30,2001.00
03/01/2019,26.20,HNP,26.20,26.20,26.20,0.00
02/01/2019,26.20,HNP,26.20,26.20,26.20,0.00
28/12/2018,26.20,HNP,26.20,26.20,26.20,100.00
27/12/2018,21.90,HNP,25.00,25.00,21.90,320.00
26/12/2018,21.90,HNP,21.90,21.90,21.90,100.00
25/12/2018,25.70,HNP,25.70,25.70,25.70,0.00
24/12/2018,25.70,HNP,25.70,25.70,25.70,0.00
21/12/2018,25.70,HNP,25.70,25.70,25.70,0.00
20/12/2018,25.70,HNP,25.70,25.70,25.70,0.00
19/12/2018,25.70,HNP,25.70,25.70,25.70,0.00
18/12/2018,25.70,HNP,25.70,25.70,25.70,100.00
17/12/2018,22.50,HNP,22.50,22.50,22.50,0.00
14/12/2018,22.50,HNP,22.50,22.50,22.50,0.00
13/12/2018,22.50,HNP,22.50,22.50,22.50,0.00
12/12/2018,22.50,HNP,22.50,22.50,22.50,0.00
11/12/2018,22.50,HNP,22.50,22.50,22.50,0.00
10/12/2018,22.50,HNP,22.50,22.50,22.50,0.00
07/12/2018,22.50,HNP,22.50,22.50,22.50,100.00
06/12/2018,22.90,HNP,22.90,22.90,22.90,0.00
05/12/2018,22.90,HNP,22.90,22.90,22.90,0.00
04/12/2018,22.90,HNP,22.90,22.90,22.90,0.00
03/12/2018,22.90,HNP,22.90,22.90,22.90,0.00
30/11/2018,22.90,HNP,22.90,22.90,22.90,0.00
29/11/2018,22.90,HNP,22.90,22.90,22.90,200.00
28/11/2018,26.90,HNP,26.90,26.90,26.90,0.00
27/11/2018,26.90,HNP,26.90,26.90,26.90,0.00
26/11/2018,26.90,HNP,26.90,26.90,26.90,0.00
23/11/2018,26.90,HNP,26.90,26.90,26.90,0.00
