DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
26/04/2019,30.30,HOT,30.30,30.30,30.30,0.00
25/04/2019,30.30,HOT,30.30,30.30,30.30,0.00
24/04/2019,30.30,HOT,30.30,30.30,30.30,0.00
23/04/2019,30.30,HOT,30.30,30.30,30.30,440.00
22/04/2019,32.55,HOT,32.55,32.55,32.55,0.00
19/04/2019,32.55,HOT,32.55,32.55,32.55,0.00
18/04/2019,32.55,HOT,37.45,37.45,32.55,120.00
17/04/2019,35.00,HOT,35.00,35.00,35.00,0.00
16/04/2019,35.00,HOT,35.00,35.00,35.00,0.00
12/04/2019,35.00,HOT,35.00,35.00,35.00,0.00
11/04/2019,35.00,HOT,35.00,37.60,35.00,60.00
10/04/2019,35.30,HOT,35.00,35.30,35.00,110.00
09/04/2019,33.10,HOT,33.10,33.10,33.05,500.00
08/04/2019,31.05,HOT,31.05,31.05,31.05,110.00
05/04/2019,29.05,HOT,29.05,29.05,29.05,0.00
04/04/2019,29.05,HOT,29.05,29.05,29.05,10.00
03/04/2019,27.15,HOT,30.70,30.70,27.15,600.00
02/04/2019,28.70,HOT,31.00,31.00,28.70,130.00
01/04/2019,30.85,HOT,30.85,30.85,30.85,0.00
29/03/2019,30.85,HOT,29.75,30.85,29.75,1420.00
28/03/2019,28.85,HOT,28.85,28.85,28.85,10.00
27/03/2019,31.00,HOT,31.00,31.00,31.00,410.00
26/03/2019,31.00,HOT,31.00,31.00,31.00,400.00
25/03/2019,30.00,HOT,30.00,30.00,30.00,170.00
22/03/2019,30.40,HOT,30.40,30.40,30.40,830.00
21/03/2019,30.00,HOT,30.00,30.00,30.00,200.00
20/03/2019,28.60,HOT,28.70,28.70,28.60,20.00
19/03/2019,30.70,HOT,30.70,30.70,30.70,0.00
18/03/2019,30.70,HOT,31.00,31.00,30.70,260.00
15/03/2019,30.70,HOT,28.70,30.70,28.70,1500.00
14/03/2019,28.70,HOT,27.00,28.70,27.00,140.00
13/03/2019,26.95,HOT,26.95,26.95,26.95,40.00
12/03/2019,26.65,HOT,26.65,26.65,26.65,0.00
11/03/2019,26.65,HOT,26.65,26.65,26.65,0.00
08/03/2019,26.65,HOT,26.70,26.70,26.65,60.00
07/03/2019,28.20,HOT,28.20,28.20,28.20,10.00
06/03/2019,26.60,HOT,27.35,27.35,26.55,400.00
05/03/2019,28.50,HOT,28.00,28.50,28.00,60.00
04/03/2019,29.40,HOT,27.80,29.40,27.80,180.00
01/03/2019,27.80,HOT,27.60,27.80,27.60,30.00
28/02/2019,26.00,HOT,27.00,27.00,26.00,140.00
27/02/2019,27.90,HOT,27.95,30.60,27.90,510.00
26/02/2019,30.00,HOT,30.80,30.80,30.00,60.00
25/02/2019,28.80,HOT,30.00,30.00,28.80,470.00
22/02/2019,28.80,HOT,28.80,28.80,28.80,10.00
21/02/2019,30.95,HOT,30.95,30.95,30.95,30.00
20/02/2019,33.25,HOT,35.30,35.30,33.25,450.00
19/02/2019,35.70,HOT,35.70,35.70,35.70,10.00
18/02/2019,33.50,HOT,33.50,33.50,33.50,0.00
15/02/2019,33.50,HOT,33.50,33.50,33.50,0.00
14/02/2019,33.50,HOT,33.50,33.50,33.50,0.00
13/02/2019,33.50,HOT,33.50,33.50,33.50,430.00
12/02/2019,31.35,HOT,31.35,31.35,31.35,1130.00
11/02/2019,29.30,HOT,29.30,29.30,29.30,10.00
01/02/2019,27.40,HOT,27.40,27.40,27.40,0.00
31/01/2019,27.40,HOT,27.40,27.40,27.40,0.00
30/01/2019,27.40,HOT,27.40,27.40,27.40,0.00
29/01/2019,27.40,HOT,27.40,27.40,27.40,0.00
28/01/2019,27.40,HOT,27.40,27.40,27.40,0.00
25/01/2019,27.40,HOT,27.40,27.40,27.40,0.00
24/01/2019,27.40,HOT,27.40,27.40,27.40,0.00
23/01/2019,27.40,HOT,27.40,27.40,27.40,0.00
22/01/2019,27.40,HOT,27.40,27.40,27.40,0.00
21/01/2019,27.40,HOT,27.40,27.40,27.40,10.00
18/01/2019,29.25,HOT,29.25,29.25,29.25,0.00
17/01/2019,29.25,HOT,29.25,29.25,29.25,10.00
16/01/2019,31.40,HOT,31.00,31.40,31.00,2800.00
15/01/2019,29.35,HOT,28.50,29.35,28.50,520.00
14/01/2019,27.45,HOT,27.45,27.45,27.45,720.00
11/01/2019,25.70,HOT,25.70,25.70,25.70,10.00
10/01/2019,24.05,HOT,24.05,24.05,24.05,10.00
09/01/2019,22.50,HOT,22.50,22.50,22.50,0.00
08/01/2019,22.50,HOT,22.50,22.50,22.50,0.00
07/01/2019,22.50,HOT,22.50,22.50,22.50,0.00
04/01/2019,22.50,HOT,24.80,24.80,22.50,650.00
03/01/2019,23.20,HOT,23.20,23.20,23.20,0.00
02/01/2019,23.20,HOT,23.20,23.20,23.20,10.00
28/12/2018,21.70,HOT,23.30,24.90,21.70,13890.00
27/12/2018,23.30,HOT,25.75,25.75,23.30,100.00
26/12/2018,24.10,HOT,25.00,25.00,24.10,2370.00
25/12/2018,23.40,HOT,26.90,26.90,23.40,1700.00
24/12/2018,25.15,HOT,28.85,28.85,25.15,130.00
21/12/2018,27.00,HOT,27.00,27.00,27.00,20.00
20/12/2018,29.00,HOT,33.00,33.15,29.00,1830.00
19/12/2018,31.00,HOT,31.00,31.00,31.00,270.00
18/12/2018,29.00,HOT,32.80,32.95,29.00,3880.00
17/12/2018,30.80,HOT,30.35,30.80,30.35,5280.00
14/12/2018,28.80,HOT,28.85,28.85,28.80,1030.00
13/12/2018,27.00,HOT,30.00,30.45,27.00,1360.00
12/12/2018,28.50,HOT,28.50,28.50,28.50,0.00
11/12/2018,28.50,HOT,28.50,28.50,28.50,0.00
10/12/2018,28.50,HOT,28.50,28.50,28.50,0.00
07/12/2018,28.50,HOT,28.50,28.50,28.50,20.00
06/12/2018,28.50,HOT,28.50,28.50,28.50,0.00
05/12/2018,28.50,HOT,28.50,28.50,28.50,10.00
04/12/2018,28.50,HOT,28.50,28.50,28.50,600.00
03/12/2018,28.50,HOT,28.60,28.60,28.50,500.00
30/11/2018,28.50,HOT,28.50,28.50,28.50,1500.00
29/11/2018,30.00,HOT,30.00,30.00,30.00,10.00
28/11/2018,28.40,HOT,28.40,28.40,28.40,20.00
27/11/2018,26.70,HOT,26.70,26.70,26.70,440.00
26/11/2018,27.00,HOT,27.00,27.00,27.00,140.00
23/11/2018,26.40,HOT,26.40,26.40,26.40,0.00
22/11/2018,26.40,HOT,26.40,26.40,26.40,0.00
21/11/2018,26.40,HOT,26.40,26.40,26.40,30.00
20/11/2018,26.40,HOT,26.40,26.40,26.40,0.00
19/11/2018,26.40,HOT,26.40,26.40,26.40,10.00
16/11/2018,26.40,HOT,25.90,26.40,25.90,120.00
15/11/2018,27.65,HOT,27.65,27.65,27.65,0.00
14/11/2018,27.65,HOT,27.65,27.65,27.65,10.00
13/11/2018,25.85,HOT,25.85,25.85,25.85,20.00
12/11/2018,27.65,HOT,27.65,27.65,27.65,0.00
09/11/2018,27.65,HOT,28.00,28.00,27.65,1010.00
08/11/2018,29.70,HOT,29.70,29.70,29.70,10.00
07/11/2018,27.80,HOT,27.80,27.80,27.80,0.00
06/11/2018,27.80,HOT,27.80,27.80,27.80,30.00
05/11/2018,26.10,HOT,26.10,26.10,26.10,0.00
02/11/2018,26.10,HOT,26.10,26.10,26.10,10.00
01/11/2018,26.10,HOT,26.10,26.10,26.10,0.00
31/10/2018,26.10,HOT,26.10,26.10,26.10,10.00
30/10/2018,26.20,HOT,26.20,26.20,26.15,290.00
29/10/2018,24.50,HOT,24.10,25.65,24.10,160.00
26/10/2018,24.00,HOT,26.95,27.00,24.00,90.00
25/10/2018,25.25,HOT,25.25,25.25,25.25,10.00
24/10/2018,27.00,HOT,27.00,27.00,27.00,10.00
23/10/2018,27.20,HOT,27.20,27.20,27.20,110.00
22/10/2018,25.45,HOT,24.50,27.85,24.50,4240.00
19/10/2018,26.05,HOT,26.05,26.05,26.05,10.00
18/10/2018,27.70,HOT,27.70,27.70,27.70,10.00
17/10/2018,29.70,HOT,29.70,33.95,29.70,2840.00
16/10/2018,31.90,HOT,28.00,31.95,28.00,170.00
15/10/2018,29.95,HOT,29.95,29.95,29.95,10.00
12/10/2018,28.00,HOT,25.25,28.00,25.25,1010.00
11/10/2018,27.00,HOT,29.00,29.00,27.00,920.00
10/10/2018,29.00,HOT,27.45,29.00,27.45,3040.00
09/10/2018,27.50,HOT,27.50,27.50,27.50,0.00
08/10/2018,27.50,HOT,27.50,27.50,27.50,150.00
05/10/2018,28.30,HOT,28.35,28.35,28.30,460.00
04/10/2018,26.50,HOT,28.50,28.50,26.50,2000.00
03/10/2018,26.90,HOT,26.85,28.20,26.85,1030.00
02/10/2018,28.80,HOT,28.40,28.80,27.00,30.00
01/10/2018,28.50,HOT,28.50,28.50,28.50,0.00
28/09/2018,28.50,HOT,27.90,30.00,27.90,3930.00
27/09/2018,30.00,HOT,30.00,30.00,30.00,0.00
26/09/2018,30.00,HOT,30.00,30.00,30.00,10.00
25/09/2018,28.30,HOT,28.30,28.30,28.30,330.00
24/09/2018,28.25,HOT,28.25,28.25,28.25,20.00
21/09/2018,30.35,HOT,30.35,30.35,30.35,10.00
20/09/2018,28.40,HOT,28.40,28.40,28.40,50.00
19/09/2018,28.40,HOT,30.50,30.50,28.40,110.00
18/09/2018,30.50,HOT,30.50,30.50,30.50,10.00
17/09/2018,29.30,HOT,29.30,29.30,29.30,0.00
14/09/2018,29.30,HOT,33.65,33.70,29.30,330.00
13/09/2018,31.50,HOT,31.50,31.50,31.50,0.00
12/09/2018,31.50,HOT,29.30,31.50,29.30,610.00
11/09/2018,31.50,HOT,31.50,31.50,31.50,20.00
