DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
26/04/2019,33.60,HPG,33.20,33.80,33.10,2820780.00
25/04/2019,33.10,HPG,33.50,33.65,33.00,4094750.00
24/04/2019,33.35,HPG,32.00,33.35,31.90,5801340.00
23/04/2019,31.90,HPG,32.00,32.00,31.85,1685950.00
22/04/2019,31.85,HPG,31.35,32.10,31.35,1823920.00
19/04/2019,31.60,HPG,31.35,31.70,31.35,1213930.00
18/04/2019,31.30,HPG,31.40,31.55,31.30,2388910.00
17/04/2019,31.60,HPG,31.75,31.85,31.50,1860340.00
16/04/2019,31.75,HPG,31.90,32.00,31.55,1546470.00
12/04/2019,32.05,HPG,31.95,32.05,31.85,1576930.00
11/04/2019,31.95,HPG,32.00,32.05,31.85,1516930.00
10/04/2019,31.95,HPG,32.00,32.05,31.65,2207380.00
09/04/2019,32.10,HPG,32.45,32.50,32.00,2884050.00
08/04/2019,32.40,HPG,32.50,32.65,32.30,1380890.00
05/04/2019,32.50,HPG,32.40,32.65,32.25,1836710.00
04/04/2019,32.40,HPG,32.15,32.40,32.00,2765210.00
03/04/2019,32.10,HPG,32.00,32.15,31.90,3775800.00
02/04/2019,32.10,HPG,32.20,32.25,31.95,1796860.00
01/04/2019,31.95,HPG,32.05,32.20,31.90,3670350.00
29/03/2019,32.20,HPG,32.55,32.70,31.90,6534270.00
28/03/2019,32.45,HPG,32.15,32.45,32.10,2513150.00
27/03/2019,32.35,HPG,31.90,32.35,31.65,2539450.00
26/03/2019,31.60,HPG,31.60,31.75,31.30,3515960.00
25/03/2019,31.40,HPG,31.10,31.65,31.10,3736290.00
22/03/2019,31.95,HPG,32.10,32.20,31.85,4192750.00
21/03/2019,32.00,HPG,32.30,32.45,31.95,2737980.00
20/03/2019,32.30,HPG,31.50,32.60,31.50,5625190.00
19/03/2019,31.90,HPG,31.80,31.95,31.10,7385900.00
18/03/2019,31.85,HPG,31.50,32.40,30.55,10578940.00
15/03/2019,31.90,HPG,33.00,33.10,31.85,17029640.00
14/03/2019,34.20,HPG,34.35,34.65,33.90,4482230.00
13/03/2019,34.35,HPG,34.00,34.35,33.90,3200950.00
12/03/2019,33.85,HPG,34.10,34.15,33.70,5262570.00
11/03/2019,33.80,HPG,34.20,34.20,33.60,4858680.00
08/03/2019,33.95,HPG,33.50,34.30,33.40,4654840.00
07/03/2019,34.10,HPG,35.00,35.05,34.10,4555440.00
06/03/2019,35.00,HPG,35.00,35.20,34.40,3373240.00
05/03/2019,35.05,HPG,35.10,35.60,34.95,5704900.00
04/03/2019,35.35,HPG,34.75,35.35,34.70,5020420.00
01/03/2019,34.25,HPG,33.60,34.25,33.60,4610790.00
28/02/2019,33.60,HPG,34.55,34.60,33.60,6952800.00
27/02/2019,34.40,HPG,34.95,34.95,34.15,4999180.00
26/02/2019,34.50,HPG,34.80,35.40,34.25,7383610.00
25/02/2019,34.80,HPG,34.45,35.55,34.20,11781980.00
