DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
26/04/2019,8.00,HSG,7.97,8.06,7.94,1871070.00
25/04/2019,7.96,HSG,7.99,8.21,7.93,2757700.00
24/04/2019,7.99,HSG,7.69,8.03,7.65,2530530.00
23/04/2019,7.70,HSG,7.60,7.73,7.60,1781910.00
22/04/2019,7.70,HSG,7.90,7.92,7.70,2541040.00
19/04/2019,8.23,HSG,7.70,8.23,7.70,3757320.00
18/04/2019,7.70,HSG,7.82,7.90,7.49,4339120.00
17/04/2019,8.05,HSG,8.65,8.70,8.05,7525960.00
16/04/2019,8.65,HSG,9.00,9.02,8.65,5643350.00
12/04/2019,9.13,HSG,9.14,9.14,9.08,2512730.00
11/04/2019,9.09,HSG,9.08,9.16,9.06,1489380.00
10/04/2019,9.06,HSG,9.12,9.15,9.06,3255800.00
09/04/2019,9.16,HSG,9.29,9.29,9.16,2751850.00
08/04/2019,9.18,HSG,9.28,9.29,9.16,2339360.00
05/04/2019,9.28,HSG,9.36,9.40,9.28,2620880.00
04/04/2019,9.26,HSG,9.38,9.42,9.26,2286320.00
03/04/2019,9.29,HSG,9.14,9.30,9.05,2671670.00
02/04/2019,9.14,HSG,9.25,9.30,9.13,3364210.00
01/04/2019,9.17,HSG,9.40,9.49,9.14,3347090.00
29/03/2019,9.40,HSG,9.59,9.68,9.40,3614080.00
28/03/2019,9.51,HSG,9.14,9.73,9.10,7727830.00
27/03/2019,9.24,HSG,9.16,9.28,9.11,2466640.00
26/03/2019,9.06,HSG,9.10,9.23,9.02,3044270.00
25/03/2019,9.10,HSG,9.20,9.25,9.08,4080110.00
22/03/2019,9.36,HSG,9.45,9.45,9.26,3342300.00
21/03/2019,9.20,HSG,9.33,9.52,9.16,4509730.00
20/03/2019,9.15,HSG,9.11,9.35,9.04,3710370.00
19/03/2019,9.11,HSG,9.32,9.35,9.10,3769740.00
18/03/2019,9.32,HSG,9.35,9.49,9.31,3928600.00
15/03/2019,9.07,HSG,9.39,9.39,9.00,6428140.00
14/03/2019,9.40,HSG,9.20,9.40,9.09,3696760.00
13/03/2019,9.20,HSG,9.50,9.60,9.20,5366590.00
12/03/2019,9.45,HSG,9.94,9.94,9.41,4954720.00
11/03/2019,9.65,HSG,9.40,9.71,9.40,5444980.00
08/03/2019,9.25,HSG,9.00,9.25,8.84,7904440.00
07/03/2019,9.20,HSG,9.51,9.57,9.20,6382790.00
06/03/2019,9.57,HSG,9.87,10.00,9.31,10419890.00
05/03/2019,9.91,HSG,10.00,10.40,9.76,10507760.00
04/03/2019,9.95,HSG,9.79,9.95,9.50,9697150.00
01/03/2019,9.30,HSG,8.99,9.30,8.80,7586950.00
28/02/2019,8.71,HSG,9.10,9.29,8.69,9114530.00
27/02/2019,9.10,HSG,8.90,9.39,8.65,8466710.00
26/02/2019,8.91,HSG,8.60,9.09,8.58,7240200.00
25/02/2019,8.52,HSG,8.30,8.52,8.20,8491600.00
22/02/2019,7.97,HSG,7.46,7.97,7.43,11259180.00
21/02/2019,7.45,HSG,7.40,7.50,7.33,2005100.00
20/02/2019,7.37,HSG,7.50,7.52,7.31,3388280.00
19/02/2019,7.50,HSG,7.70,7.77,7.50,4213620.00
18/02/2019,7.70,HSG,7.72,7.81,7.63,3429270.00
15/02/2019,7.72,HSG,7.48,7.85,7.42,4845370.00
14/02/2019,7.60,HSG,7.55,7.80,7.50,5398550.00
13/02/2019,7.44,HSG,7.30,7.44,7.20,8406120.00
12/02/2019,6.96,HSG,6.51,6.96,6.51,3176750.00
11/02/2019,6.51,HSG,6.60,6.61,6.49,1709040.00
01/02/2019,6.48,HSG,6.60,6.64,6.48,2412820.00
31/01/2019,6.60,HSG,6.70,6.72,6.60,1545130.00
30/01/2019,6.65,HSG,6.70,6.73,6.65,1225210.00
29/01/2019,6.69,HSG,6.72,6.75,6.65,913440.00
28/01/2019,6.71,HSG,6.71,6.85,6.71,1646370.00
25/01/2019,6.70,HSG,6.50,6.80,6.49,2251250.00
24/01/2019,6.50,HSG,6.50,6.56,6.49,616400.00
23/01/2019,6.46,HSG,6.45,6.55,6.40,1097320.00
22/01/2019,6.45,HSG,6.59,6.64,6.45,1566030.00
21/01/2019,6.57,HSG,6.55,6.66,6.50,1395500.00
18/01/2019,6.55,HSG,6.61,6.71,6.55,1512320.00
17/01/2019,6.61,HSG,6.77,6.80,6.59,2035620.00
16/01/2019,6.77,HSG,6.95,6.95,6.75,1856730.00
15/01/2019,6.86,HSG,6.80,6.98,6.78,2809920.00
14/01/2019,6.75,HSG,6.70,7.05,6.69,2662860.00
11/01/2019,6.69,HSG,6.86,6.93,6.50,2686240.00
10/01/2019,6.86,HSG,6.76,6.95,6.72,3075400.00
09/01/2019,6.70,HSG,6.47,6.80,6.47,2571490.00
08/01/2019,6.44,HSG,6.50,6.50,6.40,1250200.00
07/01/2019,6.42,HSG,6.35,6.45,6.22,1559150.00
04/01/2019,6.17,HSG,6.12,6.28,5.92,1836640.00
03/01/2019,6.26,HSG,6.36,6.45,6.19,2227010.00
02/01/2019,6.46,HSG,6.57,6.68,6.42,1597410.00
28/12/2018,6.51,HSG,6.55,6.77,6.50,3126230.00
27/12/2018,6.37,HSG,6.15,6.37,6.11,2516080.00
26/12/2018,5.96,HSG,6.40,6.56,5.96,4041020.00
25/12/2018,6.40,HSG,6.39,6.49,6.30,3545440.00
24/12/2018,6.61,HSG,6.85,7.00,6.61,2008650.00
21/12/2018,6.85,HSG,7.00,7.00,6.85,3837960.00
20/12/2018,7.00,HSG,7.00,7.08,6.98,1202330.00
19/12/2018,7.00,HSG,7.02,7.22,7.00,2191910.00
18/12/2018,7.00,HSG,6.90,7.00,6.87,2441170.00
17/12/2018,7.00,HSG,7.20,7.29,7.00,2246110.00
14/12/2018,7.25,HSG,7.36,7.40,7.25,1910520.00
13/12/2018,7.36,HSG,7.50,7.54,7.32,2023370.00
12/12/2018,7.43,HSG,7.26,7.45,7.26,2217350.00
11/12/2018,7.25,HSG,7.43,7.51,7.18,3355510.00
10/12/2018,7.52,HSG,7.67,7.67,7.51,3459060.00
07/12/2018,7.67,HSG,7.49,7.79,7.40,5556150.00
06/12/2018,7.32,HSG,7.16,7.44,7.10,3264730.00
05/12/2018,7.16,HSG,7.09,7.24,7.00,3223660.00
04/12/2018,7.25,HSG,7.32,7.44,7.22,4472870.00
03/12/2018,7.08,HSG,6.81,7.08,6.81,3050420.00
30/11/2018,6.62,HSG,6.61,6.64,6.30,3638960.00
29/11/2018,6.64,HSG,7.00,7.09,6.63,4841520.00
28/11/2018,7.00,HSG,7.01,7.17,7.00,2458800.00
27/11/2018,7.05,HSG,7.10,7.17,7.01,1979470.00
26/11/2018,7.10,HSG,7.00,7.17,7.00,1729850.00
23/11/2018,6.95,HSG,7.45,7.45,6.89,8915720.00
22/11/2018,7.40,HSG,7.65,7.66,7.40,3086660.00
21/11/2018,7.63,HSG,7.50,7.69,7.50,1376220.00
20/11/2018,7.67,HSG,7.50,7.72,7.41,1887570.00
19/11/2018,7.56,HSG,7.47,7.62,7.45,1600820.00
16/11/2018,7.38,HSG,7.30,7.46,7.30,2080150.00
15/11/2018,7.20,HSG,7.60,7.60,7.20,3897650.00
14/11/2018,7.60,HSG,7.94,8.04,7.60,4160560.00
13/11/2018,7.94,HSG,7.96,8.10,7.93,3215400.00
12/11/2018,8.10,HSG,8.25,8.25,7.90,3066530.00
