DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
15/04/2010,14.50,HT2,14.70,15.00,14.50,84840.00
14/04/2010,14.30,HT2,15.00,15.20,14.30,134220.00
13/04/2010,14.90,HT2,15.00,15.20,14.90,203900.00
12/04/2010,14.90,HT2,15.00,15.00,14.80,124930.00
09/04/2010,14.70,HT2,14.80,15.00,14.50,91510.00
08/04/2010,14.70,HT2,14.50,14.80,14.50,76390.00
07/04/2010,14.50,HT2,14.40,14.60,14.40,46430.00
06/04/2010,14.60,HT2,14.70,14.80,14.60,45610.00
05/04/2010,14.70,HT2,14.80,14.80,14.60,42630.00
02/04/2010,14.80,HT2,14.90,14.90,14.50,172660.00
01/04/2010,14.30,HT2,14.00,14.30,14.00,133110.00
31/03/2010,13.70,HT2,13.50,13.80,13.50,34080.00
30/03/2010,13.60,HT2,14.00,14.00,13.60,21660.00
29/03/2010,13.80,HT2,14.00,14.00,13.70,12850.00
26/03/2010,14.00,HT2,14.00,14.10,13.90,47730.00
25/03/2010,14.00,HT2,14.10,14.10,13.80,19610.00
24/03/2010,14.10,HT2,13.80,14.30,13.80,143530.00
23/03/2010,13.80,HT2,13.80,13.90,13.70,20430.00
22/03/2010,13.60,HT2,13.80,13.80,13.60,29810.00
19/03/2010,13.90,HT2,13.80,13.90,13.70,19770.00
18/03/2010,13.90,HT2,13.80,13.90,13.70,14220.00
17/03/2010,13.90,HT2,14.00,14.00,13.70,30000.00
16/03/2010,13.80,HT2,14.00,14.00,13.80,30550.00
15/03/2010,14.00,HT2,14.10,14.20,13.90,72110.00
12/03/2010,13.90,HT2,13.90,14.00,13.90,63330.00
11/03/2010,13.90,HT2,13.80,13.90,13.80,42390.00
10/03/2010,13.80,HT2,13.90,13.90,13.80,36630.00
09/03/2010,13.90,HT2,13.90,14.00,13.70,50580.00
08/03/2010,13.90,HT2,14.20,14.20,13.80,22350.00
05/03/2010,14.00,HT2,14.00,14.00,13.70,13220.00
04/03/2010,13.80,HT2,13.90,14.10,13.80,65790.00
03/03/2010,13.90,HT2,13.50,13.90,13.30,216630.00
02/03/2010,13.90,HT2,14.00,14.00,13.70,13800.00
01/03/2010,14.00,HT2,13.90,14.00,13.80,13540.00
26/02/2010,13.80,HT2,13.80,13.90,13.60,11650.00
25/02/2010,13.60,HT2,13.70,13.90,13.50,37940.00
24/02/2010,13.60,HT2,13.60,13.90,13.50,43840.00
23/02/2010,14.00,HT2,14.30,14.30,13.60,59170.00
22/02/2010,14.30,HT2,14.40,14.40,14.30,5700.00
12/02/2010,14.40,HT2,14.50,14.50,14.20,6830.00
11/02/2010,14.10,HT2,14.00,14.10,13.90,4650.00
10/02/2010,13.90,HT2,13.90,13.90,13.90,15700.00
09/02/2010,13.90,HT2,14.00,14.00,13.70,25640.00
08/02/2010,13.90,HT2,14.00,14.10,13.80,73260.00
05/02/2010,13.90,HT2,13.60,13.90,13.60,36390.00
04/02/2010,13.90,HT2,13.90,14.00,13.90,61730.00
03/02/2010,13.90,HT2,13.80,14.00,13.80,28140.00
02/02/2010,14.00,HT2,14.10,14.10,14.00,30810.00
01/02/2010,14.00,HT2,13.80,14.20,13.70,13130.00
29/01/2010,14.00,HT2,13.90,14.20,13.90,26370.00
28/01/2010,14.10,HT2,14.10,14.10,14.10,56590.00
27/01/2010,14.30,HT2,14.40,14.40,13.90,24000.00
26/01/2010,14.30,HT2,13.90,14.30,13.90,40820.00
25/01/2010,13.90,HT2,13.80,13.90,13.80,14270.00
22/01/2010,13.80,HT2,13.60,14.00,13.50,28220.00
21/01/2010,14.00,HT2,14.10,14.10,13.90,93540.00
20/01/2010,14.20,HT2,14.20,14.40,14.20,16870.00
19/01/2010,14.20,HT2,14.10,14.50,14.10,31740.00
18/01/2010,14.10,HT2,14.40,14.40,14.10,45040.00
15/01/2010,14.70,HT2,14.70,14.70,14.50,13040.00
14/01/2010,14.70,HT2,14.50,14.70,14.40,53130.00
13/01/2010,14.20,HT2,14.20,14.60,14.00,89430.00
12/01/2010,14.40,HT2,14.50,14.70,14.40,52790.00
11/01/2010,14.60,HT2,15.00,15.00,14.40,84070.00
08/01/2010,14.80,HT2,15.30,15.40,14.80,211040.00
07/01/2010,15.20,HT2,14.80,15.30,14.80,118250.00
06/01/2010,15.00,HT2,15.60,15.90,15.00,61260.00
05/01/2010,15.60,HT2,14.80,16.00,14.60,327210.00
04/01/2010,15.30,HT2,14.50,15.30,14.40,159970.00
