DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
26/04/2019,12.00,HTI,12.00,12.00,12.00,2230.00
25/04/2019,11.95,HTI,12.00,12.00,11.90,6740.00
24/04/2019,12.00,HTI,12.00,12.00,11.95,23390.00
23/04/2019,11.95,HTI,12.20,12.20,11.95,980.00
22/04/2019,12.20,HTI,11.95,12.20,11.90,930.00
19/04/2019,11.80,HTI,12.00,12.00,11.80,900.00
18/04/2019,11.95,HTI,11.90,12.00,11.75,11070.00
17/04/2019,11.95,HTI,12.00,12.00,11.85,11520.00
16/04/2019,11.85,HTI,12.05,12.05,11.85,1000.00
12/04/2019,12.00,HTI,11.85,12.10,11.85,3750.00
11/04/2019,12.00,HTI,11.90,12.15,11.90,70.00
10/04/2019,12.00,HTI,12.00,12.00,12.00,2030.00
09/04/2019,12.00,HTI,11.80,12.00,11.80,110.00
08/04/2019,12.00,HTI,11.90,12.00,11.80,2830.00
05/04/2019,11.85,HTI,11.90,12.05,11.85,9030.00
04/04/2019,12.00,HTI,12.00,12.00,12.00,200.00
03/04/2019,12.00,HTI,11.75,12.00,11.75,4550.00
02/04/2019,12.15,HTI,12.00,12.15,12.00,3030.00
01/04/2019,11.75,HTI,11.75,11.85,11.75,2410.00
29/03/2019,11.80,HTI,11.90,11.90,11.80,5090.00
28/03/2019,11.90,HTI,12.00,12.00,11.90,850.00
27/03/2019,12.05,HTI,11.85,12.05,11.85,1230.00
26/03/2019,12.00,HTI,12.00,12.05,11.80,19520.00
25/03/2019,12.05,HTI,11.90,12.05,11.90,6110.00
22/03/2019,12.05,HTI,11.85,12.05,11.85,4020.00
21/03/2019,12.00,HTI,12.00,12.05,12.00,500.00
20/03/2019,12.00,HTI,11.80,12.00,11.60,13050.00
19/03/2019,12.10,HTI,12.00,12.45,12.00,19620.00
18/03/2019,12.30,HTI,12.10,12.35,12.10,13730.00
15/03/2019,12.05,HTI,12.00,12.05,12.00,8560.00
14/03/2019,12.00,HTI,12.10,12.10,11.45,60490.00
13/03/2019,12.15,HTI,12.00,12.20,11.95,3600.00
12/03/2019,11.95,HTI,11.90,12.00,11.80,5870.00
11/03/2019,11.90,HTI,11.60,12.00,11.60,38810.00
08/03/2019,11.70,HTI,11.60,11.90,11.60,62310.00
07/03/2019,11.55,HTI,11.55,11.70,11.55,30090.00
06/03/2019,11.55,HTI,11.80,12.40,11.50,46000.00
05/03/2019,11.60,HTI,11.35,11.60,11.35,50990.00
04/03/2019,11.50,HTI,11.30,11.50,11.30,32990.00
01/03/2019,11.30,HTI,11.40,11.45,11.30,6030.00
28/02/2019,11.25,HTI,11.30,11.30,11.25,3140.00
27/02/2019,11.30,HTI,11.40,11.40,11.30,6310.00
26/02/2019,11.30,HTI,11.30,11.45,11.30,2200.00
25/02/2019,11.30,HTI,11.30,11.30,11.25,4250.00
22/02/2019,11.40,HTI,11.40,11.40,11.40,2720.00
21/02/2019,11.40,HTI,11.50,11.50,11.40,20.00
20/02/2019,11.05,HTI,11.45,11.45,11.05,2250.00
19/02/2019,11.45,HTI,11.50,11.50,11.40,2770.00
18/02/2019,11.45,HTI,11.40,11.45,11.40,12200.00
15/02/2019,11.35,HTI,11.45,11.45,11.25,17010.00
14/02/2019,11.15,HTI,11.30,11.50,11.15,16870.00
13/02/2019,11.15,HTI,11.25,11.30,11.10,12540.00
12/02/2019,11.10,HTI,11.10,11.20,11.10,4280.00
11/02/2019,11.10,HTI,10.70,11.10,10.70,1680.00
01/02/2019,10.65,HTI,11.30,11.30,10.65,4500.00
31/01/2019,11.00,HTI,11.30,11.90,10.75,10610.00
30/01/2019,11.30,HTI,11.40,11.40,11.30,2300.00
29/01/2019,11.40,HTI,11.35,11.80,11.35,7050.00
28/01/2019,11.30,HTI,11.25,11.30,11.20,9110.00
25/01/2019,11.25,HTI,11.30,11.30,11.25,13350.00
24/01/2019,11.25,HTI,11.30,11.40,11.25,11510.00
23/01/2019,11.25,HTI,11.45,11.45,11.25,4110.00
22/01/2019,11.30,HTI,11.50,11.50,11.25,13410.00
21/01/2019,11.50,HTI,11.50,11.75,11.50,7480.00
18/01/2019,11.80,HTI,11.80,11.80,11.80,0.00
17/01/2019,11.80,HTI,11.80,11.80,11.80,5000.00
16/01/2019,11.80,HTI,11.80,11.80,11.80,9760.00
15/01/2019,11.80,HTI,11.70,11.80,11.60,5720.00
14/01/2019,11.80,HTI,11.80,11.80,11.80,380.00
11/01/2019,11.80,HTI,11.80,11.80,11.80,8300.00
10/01/2019,11.80,HTI,11.80,11.95,11.80,19370.00
09/01/2019,11.80,HTI,11.80,12.40,11.80,20020.00
08/01/2019,11.80,HTI,12.40,12.40,11.75,18940.00
07/01/2019,11.80,HTI,11.90,11.90,11.75,5440.00
04/01/2019,11.90,HTI,11.80,11.90,11.80,10640.00
03/01/2019,11.90,HTI,11.90,11.90,11.80,13060.00
02/01/2019,12.00,HTI,12.00,12.00,12.00,1000.00
28/12/2018,11.80,HTI,11.80,11.80,11.70,5500.00
27/12/2018,11.80,HTI,11.00,11.80,11.00,1520.00
26/12/2018,11.80,HTI,11.80,11.80,11.70,1730.00
25/12/2018,11.80,HTI,11.80,11.80,11.60,12260.00
24/12/2018,11.80,HTI,11.95,12.00,11.60,10140.00
21/12/2018,11.95,HTI,12.05,12.05,11.95,13480.00
20/12/2018,12.00,HTI,12.50,12.50,12.00,6000.00
19/12/2018,12.00,HTI,11.80,12.00,11.80,14100.00
18/12/2018,11.80,HTI,12.00,12.00,11.80,14310.00
17/12/2018,12.05,HTI,12.05,12.05,12.00,11170.00
14/12/2018,12.05,HTI,12.00,12.45,12.00,4500.00
13/12/2018,12.00,HTI,12.20,12.25,12.00,26200.00
12/12/2018,12.20,HTI,12.20,12.20,12.20,4240.00
