DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
26/04/2019,7.90,HTP,7.90,7.90,7.90,100.00
25/04/2019,7.20,HTP,7.00,7.20,7.00,700.00
24/04/2019,6.60,HTP,6.60,6.60,6.60,0.00
23/04/2019,6.60,HTP,6.60,6.60,6.60,0.00
22/04/2019,6.60,HTP,6.60,6.60,6.60,0.00
19/04/2019,6.60,HTP,6.60,6.60,6.60,0.00
18/04/2019,6.60,HTP,6.60,6.60,6.60,0.00
17/04/2019,6.60,HTP,8.00,8.00,6.60,300.00
16/04/2019,7.30,HTP,7.30,7.30,7.30,10.00
12/04/2019,7.30,HTP,7.30,7.30,7.30,20.00
11/04/2019,7.30,HTP,7.30,7.30,7.30,0.00
10/04/2019,7.30,HTP,7.30,7.30,7.30,0.00
09/04/2019,7.30,HTP,6.10,7.30,6.10,200.00
08/04/2019,6.70,HTP,6.70,6.70,6.70,0.00
05/04/2019,6.70,HTP,6.70,6.70,6.70,101.00
04/04/2019,6.70,HTP,6.70,6.70,6.70,99.00
03/04/2019,6.70,HTP,6.70,6.70,6.70,100.00
02/04/2019,6.70,HTP,6.70,6.70,6.70,600.00
01/04/2019,6.10,HTP,6.10,6.10,6.10,100.00
29/03/2019,5.60,HTP,5.60,5.60,5.60,100.00
28/03/2019,5.10,HTP,5.10,5.10,5.10,100.00
27/03/2019,4.70,HTP,4.70,4.70,4.70,0.00
26/03/2019,4.70,HTP,4.70,4.70,4.70,70.00
25/03/2019,4.70,HTP,4.70,4.70,4.70,0.00
22/03/2019,4.70,HTP,4.70,4.70,4.70,0.00
21/03/2019,4.70,HTP,4.70,4.70,4.70,0.00
20/03/2019,4.70,HTP,4.70,4.70,4.70,40.00
19/03/2019,4.70,HTP,4.70,4.70,4.70,0.00
18/03/2019,4.70,HTP,4.70,4.70,4.70,10.00
15/03/2019,4.70,HTP,4.40,4.70,4.40,7800.00
14/03/2019,4.80,HTP,4.80,4.80,4.80,0.00
13/03/2019,4.80,HTP,4.80,4.80,4.80,0.00
12/03/2019,4.80,HTP,4.80,4.80,4.80,40.00
11/03/2019,4.80,HTP,4.80,4.80,4.80,0.00
08/03/2019,4.80,HTP,4.80,4.80,4.80,0.00
07/03/2019,4.80,HTP,4.80,4.80,4.80,0.00
06/03/2019,4.80,HTP,4.80,4.80,4.80,0.00
05/03/2019,4.80,HTP,4.80,4.80,4.80,0.00
04/03/2019,4.80,HTP,4.80,4.80,4.80,0.00
01/03/2019,4.80,HTP,4.80,4.80,4.80,0.00
28/02/2019,4.80,HTP,4.80,4.80,4.80,0.00
27/02/2019,4.80,HTP,4.80,4.80,4.80,0.00
26/02/2019,4.80,HTP,4.80,4.80,4.80,0.00
25/02/2019,4.80,HTP,4.80,4.80,4.80,0.00
22/02/2019,4.80,HTP,4.80,4.80,4.80,80.00
21/02/2019,4.80,HTP,4.80,4.80,4.80,10.00
20/02/2019,4.80,HTP,4.80,4.80,4.80,0.00
19/02/2019,4.80,HTP,4.80,4.80,4.80,0.00
18/02/2019,4.80,HTP,4.80,4.80,4.80,0.00
15/02/2019,4.80,HTP,4.80,4.80,4.80,0.00
14/02/2019,4.80,HTP,4.80,4.80,4.80,0.00
13/02/2019,4.80,HTP,4.80,4.80,4.80,0.00
12/02/2019,4.80,HTP,4.80,4.80,4.80,0.00
11/02/2019,4.80,HTP,4.80,4.80,4.80,0.00
01/02/2019,4.80,HTP,4.80,4.80,4.80,0.00
31/01/2019,4.80,HTP,4.80,4.80,4.80,0.00
30/01/2019,4.80,HTP,4.80,4.80,4.80,0.00
29/01/2019,4.80,HTP,4.80,4.80,4.80,0.00
28/01/2019,4.80,HTP,4.80,4.80,4.80,0.00
25/01/2019,4.80,HTP,4.80,4.80,4.80,0.00
24/01/2019,4.80,HTP,4.80,4.80,4.80,20.00
23/01/2019,4.80,HTP,5.80,5.80,4.80,900.00
22/01/2019,5.30,HTP,5.30,5.30,5.30,0.00
21/01/2019,5.30,HTP,5.30,5.30,5.30,200.00
18/01/2019,4.90,HTP,4.90,4.90,4.90,0.00
17/01/2019,4.90,HTP,4.90,4.90,4.90,0.00
16/01/2019,4.90,HTP,4.90,4.90,4.90,100.00
15/01/2019,4.50,HTP,4.50,4.50,4.50,0.00
14/01/2019,4.50,HTP,4.50,4.50,4.50,60.00
11/01/2019,4.50,HTP,4.50,4.50,4.50,900.00
10/01/2019,5.00,HTP,5.00,5.00,5.00,0.00
09/01/2019,5.00,HTP,5.00,5.00,5.00,0.00
08/01/2019,5.00,HTP,5.00,5.00,5.00,0.00
07/01/2019,5.00,HTP,5.00,5.00,5.00,0.00
04/01/2019,5.00,HTP,5.00,5.00,5.00,0.00
03/01/2019,5.00,HTP,5.00,5.00,5.00,0.00
02/01/2019,5.00,HTP,5.00,5.00,5.00,0.00
28/12/2018,5.00,HTP,5.00,5.00,5.00,0.00
27/12/2018,5.00,HTP,5.00,5.00,5.00,2600.00
26/12/2018,5.20,HTP,5.20,5.20,5.20,0.00
25/12/2018,5.20,HTP,5.20,5.20,5.20,100.00
24/12/2018,5.70,HTP,5.70,5.70,5.70,1000.00
21/12/2018,6.30,HTP,6.30,6.30,6.30,0.00
20/12/2018,6.30,HTP,6.30,6.30,6.30,0.00
19/12/2018,6.30,HTP,6.30,6.30,6.30,0.00
18/12/2018,6.30,HTP,6.30,6.30,6.30,0.00
17/12/2018,6.30,HTP,6.30,6.30,6.30,0.00
14/12/2018,6.30,HTP,6.30,6.30,6.30,0.00
13/12/2018,6.30,HTP,6.30,6.30,6.30,0.00
12/12/2018,6.30,HTP,6.30,6.30,6.30,0.00
11/12/2018,6.30,HTP,6.30,6.30,6.30,0.00
10/12/2018,6.30,HTP,6.30,6.30,6.30,0.00
07/12/2018,6.30,HTP,6.30,6.30,6.30,0.00
06/12/2018,6.30,HTP,6.30,6.30,6.30,0.00
05/12/2018,6.30,HTP,6.30,6.30,6.30,0.00
04/12/2018,6.30,HTP,6.30,6.30,6.30,0.00
03/12/2018,6.30,HTP,6.30,6.30,6.30,0.00
30/11/2018,6.30,HTP,6.30,6.30,6.30,0.00
29/11/2018,6.30,HTP,6.30,6.30,6.30,0.00
28/11/2018,6.30,HTP,6.30,6.30,6.30,0.00
27/11/2018,6.30,HTP,6.30,6.30,6.30,0.00
26/11/2018,6.30,HTP,6.30,6.30,6.30,0.00
