DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
26/04/2019,1.59,HTT,1.60,1.61,1.52,167590.00
25/04/2019,1.55,HTT,1.58,1.65,1.54,61660.00
24/04/2019,1.65,HTT,1.69,1.70,1.65,49860.00
23/04/2019,1.70,HTT,1.73,1.74,1.65,92880.00
22/04/2019,1.65,HTT,1.46,1.65,1.46,260370.00
19/04/2019,1.55,HTT,1.59,1.60,1.54,13230.00
18/04/2019,1.60,HTT,1.63,1.63,1.50,57970.00
17/04/2019,1.60,HTT,1.52,1.62,1.52,14950.00
16/04/2019,1.52,HTT,1.56,1.59,1.52,44730.00
12/04/2019,1.58,HTT,1.60,1.60,1.56,14340.00
11/04/2019,1.57,HTT,1.62,1.62,1.56,42740.00
10/04/2019,1.61,HTT,1.61,1.61,1.57,24060.00
09/04/2019,1.57,HTT,1.63,1.63,1.57,39950.00
08/04/2019,1.61,HTT,1.60,1.64,1.59,56630.00
05/04/2019,1.63,HTT,1.62,1.64,1.60,173160.00
04/04/2019,1.64,HTT,1.64,1.65,1.60,73660.00
03/04/2019,1.66,HTT,1.68,1.68,1.65,13190.00
02/04/2019,1.65,HTT,1.68,1.68,1.65,72470.00
01/04/2019,1.67,HTT,1.67,1.67,1.63,66230.00
29/03/2019,1.66,HTT,1.64,1.70,1.64,16690.00
28/03/2019,1.65,HTT,1.71,1.71,1.65,11420.00
27/03/2019,1.70,HTT,1.70,1.70,1.65,2800.00
26/03/2019,1.69,HTT,1.69,1.69,1.63,21390.00
25/03/2019,1.68,HTT,1.68,1.68,1.64,15610.00
22/03/2019,1.67,HTT,1.68,1.68,1.63,50230.00
21/03/2019,1.64,HTT,1.64,1.71,1.64,19540.00
20/03/2019,1.64,HTT,1.68,1.70,1.64,7240.00
19/03/2019,1.70,HTT,1.68,1.72,1.68,58880.00
18/03/2019,1.71,HTT,1.76,1.76,1.67,39100.00
15/03/2019,1.67,HTT,1.66,1.70,1.66,23580.00
14/03/2019,1.70,HTT,1.67,1.70,1.64,36460.00
13/03/2019,1.67,HTT,1.68,1.68,1.65,67970.00
12/03/2019,1.67,HTT,1.67,1.68,1.65,129310.00
11/03/2019,1.68,HTT,1.69,1.69,1.64,48270.00
08/03/2019,1.66,HTT,1.69,1.69,1.63,99970.00
07/03/2019,1.69,HTT,1.75,1.78,1.68,154800.00
06/03/2019,1.74,HTT,1.79,1.79,1.68,23050.00
05/03/2019,1.68,HTT,1.70,1.75,1.65,268490.00
04/03/2019,1.77,HTT,1.66,1.77,1.66,24290.00
01/03/2019,1.70,HTT,1.63,1.80,1.63,38440.00
28/02/2019,1.70,HTT,1.84,1.84,1.65,60110.00
27/02/2019,1.74,HTT,1.80,1.85,1.68,115170.00
26/02/2019,1.80,HTT,1.84,1.84,1.74,8560.00
25/02/2019,1.74,HTT,1.86,1.86,1.74,126960.00
22/02/2019,1.74,HTT,1.73,1.74,1.70,928450.00
21/02/2019,1.63,HTT,1.71,1.71,1.63,55030.00
20/02/2019,1.70,HTT,1.72,1.72,1.69,56550.00
19/02/2019,1.71,HTT,1.80,1.80,1.68,66020.00
18/02/2019,1.71,HTT,1.71,1.71,1.70,37920.00
15/02/2019,1.68,HTT,1.70,1.73,1.68,35180.00
14/02/2019,1.70,HTT,1.85,1.85,1.70,33860.00
13/02/2019,1.74,HTT,1.70,1.80,1.70,55180.00
12/02/2019,1.70,HTT,1.72,1.78,1.68,74770.00
11/02/2019,1.74,HTT,1.70,1.79,1.70,5320.00
01/02/2019,1.70,HTT,1.70,1.74,1.61,33400.00
31/01/2019,1.63,HTT,1.75,1.75,1.62,48130.00
30/01/2019,1.67,HTT,1.69,1.78,1.67,81350.00
29/01/2019,1.79,HTT,1.79,1.79,1.78,9620.00
28/01/2019,1.79,HTT,1.77,1.80,1.77,26250.00
25/01/2019,1.75,HTT,1.75,1.78,1.75,3750.00
24/01/2019,1.75,HTT,1.80,1.80,1.71,1860.00
23/01/2019,1.80,HTT,1.69,1.81,1.68,29980.00
22/01/2019,1.80,HTT,1.75,1.80,1.73,79940.00
21/01/2019,1.86,HTT,1.86,1.86,1.86,10.00
18/01/2019,1.78,HTT,1.80,1.82,1.78,27740.00
17/01/2019,1.81,HTT,1.80,1.82,1.80,8400.00
16/01/2019,1.81,HTT,1.88,1.88,1.80,15290.00
15/01/2019,1.85,HTT,1.80,1.89,1.80,104300.00
14/01/2019,1.85,HTT,1.91,1.91,1.80,3790.00
11/01/2019,1.83,HTT,1.94,1.94,1.83,24210.00
10/01/2019,1.87,HTT,1.81,1.90,1.80,59520.00
09/01/2019,1.80,HTT,1.88,1.88,1.73,7380.00
08/01/2019,1.81,HTT,1.90,1.90,1.80,113740.00
07/01/2019,1.91,HTT,1.92,1.92,1.79,165770.00
04/01/2019,1.92,HTT,1.81,1.93,1.81,12470.00
03/01/2019,1.94,HTT,1.86,1.96,1.85,148340.00
02/01/2019,1.98,HTT,1.88,2.02,1.88,28150.00
28/12/2018,1.89,HTT,1.90,2.00,1.89,41080.00
27/12/2018,2.00,HTT,1.95,2.03,1.86,93300.00
26/12/2018,1.90,HTT,1.92,1.93,1.80,38620.00
25/12/2018,1.86,HTT,2.00,2.00,1.86,200160.00
24/12/2018,2.00,HTT,2.16,2.16,2.00,71710.00
21/12/2018,2.08,HTT,2.03,2.15,2.02,46030.00
20/12/2018,2.03,HTT,2.10,2.15,2.00,216880.00
19/12/2018,2.12,HTT,2.10,2.15,2.03,203060.00
18/12/2018,2.18,HTT,2.29,2.29,2.10,69130.00
17/12/2018,2.20,HTT,2.14,2.25,2.14,122140.00
14/12/2018,2.14,HTT,2.25,2.25,2.11,352300.00
13/12/2018,2.25,HTT,2.25,2.40,2.23,509360.00
12/12/2018,2.39,HTT,2.61,2.61,2.39,233290.00
11/12/2018,2.56,HTT,2.40,2.56,2.35,1490630.00
10/12/2018,2.40,HTT,2.27,2.40,2.23,337110.00
07/12/2018,2.31,HTT,2.26,2.31,2.19,274830.00
06/12/2018,2.26,HTT,2.45,2.45,2.18,669790.00
05/12/2018,2.30,HTT,2.30,2.30,2.15,2491730.00
04/12/2018,2.15,HTT,2.15,2.15,2.15,243710.00
03/12/2018,2.01,HTT,2.00,2.01,1.98,789010.00
30/11/2018,1.88,HTT,1.85,1.88,1.81,579010.00
29/11/2018,1.76,HTT,1.65,1.76,1.65,308280.00
28/11/2018,1.65,HTT,1.60,1.65,1.59,168590.00
27/11/2018,1.59,HTT,1.60,1.60,1.51,133780.00
26/11/2018,1.55,HTT,1.62,1.62,1.54,81150.00
23/11/2018,1.59,HTT,1.62,1.68,1.59,61240.00
22/11/2018,1.67,HTT,1.63,1.68,1.60,82080.00
21/11/2018,1.63,HTT,1.61,1.64,1.58,61430.00
20/11/2018,1.61,HTT,1.61,1.61,1.56,246790.00
19/11/2018,1.61,HTT,1.65,1.67,1.60,162830.00
16/11/2018,1.65,HTT,1.72,1.72,1.63,42560.00
15/11/2018,1.72,HTT,1.67,1.75,1.66,151830.00
14/11/2018,1.65,HTT,1.69,1.71,1.60,248640.00
13/11/2018,1.68,HTT,1.74,1.74,1.63,273680.00
12/11/2018,1.75,HTT,1.75,1.76,1.74,65840.00
09/11/2018,1.77,HTT,1.78,1.80,1.74,136640.00
08/11/2018,1.79,HTT,1.82,1.82,1.77,68390.00
07/11/2018,1.78,HTT,1.81,1.82,1.77,93550.00
06/11/2018,1.80,HTT,1.82,1.82,1.77,103840.00
05/11/2018,1.80,HTT,1.85,1.85,1.77,116600.00
02/11/2018,1.80,HTT,1.80,1.86,1.75,217990.00
01/11/2018,1.79,HTT,1.82,1.87,1.79,135220.00
31/10/2018,1.82,HTT,1.81,1.90,1.81,144490.00
30/10/2018,1.81,HTT,1.82,1.89,1.81,288530.00
29/10/2018,1.89,HTT,1.90,1.95,1.81,146360.00
26/10/2018,1.90,HTT,2.00,2.00,1.89,213520.00
25/10/2018,1.95,HTT,2.00,2.02,1.95,175960.00
24/10/2018,2.04,HTT,2.02,2.05,2.00,173320.00
23/10/2018,2.00,HTT,2.11,2.11,1.99,366480.00
22/10/2018,2.11,HTT,2.15,2.22,2.10,113380.00
19/10/2018,2.20,HTT,2.28,2.28,2.13,166860.00
18/10/2018,2.27,HTT,2.40,2.40,2.26,349040.00
17/10/2018,2.30,HTT,2.20,2.30,2.20,627980.00
16/10/2018,2.15,HTT,2.04,2.15,2.03,335670.00
15/10/2018,2.01,HTT,1.98,2.07,1.98,124110.00
12/10/2018,1.98,HTT,2.00,2.05,1.93,268680.00
11/10/2018,2.06,HTT,2.21,2.21,2.06,1165990.00
10/10/2018,2.21,HTT,2.37,2.37,2.21,644190.00
09/10/2018,2.37,HTT,2.38,2.45,2.33,327700.00
08/10/2018,2.38,HTT,2.41,2.41,2.35,308110.00
05/10/2018,2.40,HTT,2.45,2.45,2.38,415240.00
04/10/2018,2.40,HTT,2.42,2.48,2.40,374560.00
03/10/2018,2.42,HTT,2.41,2.48,2.41,150440.00
02/10/2018,2.44,HTT,2.45,2.53,2.40,506740.00
01/10/2018,2.52,HTT,2.50,2.52,2.43,223190.00
28/09/2018,2.48,HTT,2.53,2.55,2.45,302980.00
27/09/2018,2.53,HTT,2.56,2.60,2.51,123960.00
26/09/2018,2.56,HTT,2.59,2.61,2.55,197290.00
25/09/2018,2.63,HTT,2.47,2.64,2.39,2089880.00
24/09/2018,2.47,HTT,2.49,2.50,2.40,681990.00
21/09/2018,2.49,HTT,2.62,2.62,2.47,1013290.00
20/09/2018,2.54,HTT,2.65,2.65,2.54,521650.00
19/09/2018,2.57,HTT,2.58,2.64,2.55,392440.00
18/09/2018,2.64,HTT,2.68,2.68,2.57,514580.00
17/09/2018,2.72,HTT,2.59,2.72,2.51,295330.00
14/09/2018,2.56,HTT,2.74,2.74,2.56,322460.00
13/09/2018,2.72,HTT,2.54,2.74,2.48,2025530.00
12/09/2018,2.57,HTT,2.61,2.62,2.56,208690.00
11/09/2018,2.61,HTT,2.55,2.65,2.55,340840.00
10/09/2018,2.61,HTT,2.62,2.73,2.61,174360.00
07/09/2018,2.68,HTT,2.68,2.75,2.60,437640.00
06/09/2018,2.68,HTT,2.67,2.78,2.56,251470.00
05/09/2018,2.67,HTT,2.70,2.92,2.66,481060.00
04/09/2018,2.86,HTT,2.95,2.95,2.75,181010.00
31/08/2018,2.86,HTT,2.70,2.98,2.70,739190.00
30/08/2018,2.79,HTT,2.79,2.79,2.79,791640.00
29/08/2018,3.00,HTT,3.01,3.03,3.00,616230.00
28/08/2018,3.22,HTT,3.22,3.24,3.22,933760.00
27/08/2018,3.46,HTT,3.90,3.90,3.46,1763610.00
24/08/2018,3.72,HTT,3.54,3.72,3.54,661850.00
23/08/2018,3.48,HTT,3.30,3.48,3.30,350080.00
22/08/2018,3.26,HTT,3.20,3.53,3.20,749800.00
21/08/2018,3.30,HTT,3.50,3.51,3.25,431910.00
20/08/2018,3.30,HTT,3.20,3.30,3.01,702030.00
17/08/2018,3.09,HTT,3.00,3.09,2.72,1059920.00
16/08/2018,2.89,HTT,2.88,2.89,2.88,472580.00
15/08/2018,2.71,HTT,2.54,2.71,2.54,319880.00
14/08/2018,2.54,HTT,2.61,2.83,2.47,935620.00
13/08/2018,2.65,HTT,2.67,2.79,2.64,474080.00
10/08/2018,2.83,HTT,3.18,3.18,2.83,916840.00
09/08/2018,3.04,HTT,3.00,3.06,2.95,738800.00
08/08/2018,2.86,HTT,2.84,2.86,2.71,451580.00
07/08/2018,2.68,HTT,2.51,2.68,2.51,1557990.00
06/08/2018,2.51,HTT,2.50,2.52,2.45,242300.00
03/08/2018,2.50,HTT,2.50,2.53,2.50,128710.00
02/08/2018,2.51,HTT,2.50,2.52,2.45,247610.00
01/08/2018,2.50,HTT,2.51,2.57,2.41,204480.00
31/07/2018,2.58,HTT,2.67,2.68,2.49,207760.00
30/07/2018,2.67,HTT,2.58,2.76,2.58,332470.00
27/07/2018,2.58,HTT,2.53,2.58,2.50,795730.00
26/07/2018,2.53,HTT,2.46,2.55,2.46,943710.00
25/07/2018,2.46,HTT,2.25,2.46,2.25,205500.00
24/07/2018,2.30,HTT,2.45,2.45,2.30,169180.00
23/07/2018,2.38,HTT,2.48,2.53,2.36,72180.00
20/07/2018,2.48,HTT,2.46,2.52,2.46,11970.00
19/07/2018,2.52,HTT,2.50,2.54,2.49,73290.00
18/07/2018,2.53,HTT,2.43,2.55,2.43,34290.00
17/07/2018,2.54,HTT,2.56,2.58,2.46,29530.00
16/07/2018,2.50,HTT,2.58,2.58,2.43,28830.00
13/07/2018,2.50,HTT,2.57,2.58,2.38,76650.00
12/07/2018,2.55,HTT,2.44,2.60,2.41,24210.00
11/07/2018,2.56,HTT,2.50,2.59,2.48,81560.00
10/07/2018,2.59,HTT,2.60,2.60,2.48,850.00
09/07/2018,2.58,HTT,2.60,2.61,2.50,137970.00
06/07/2018,2.56,HTT,2.54,2.58,2.38,42720.00
05/07/2018,2.50,HTT,2.56,2.56,2.40,72870.00
04/07/2018,2.54,HTT,2.40,2.56,2.40,120890.00
03/07/2018,2.40,HTT,2.54,2.54,2.33,202200.00
02/07/2018,2.50,HTT,2.57,2.57,2.49,16760.00
29/06/2018,2.57,HTT,2.65,2.65,2.57,18700.00
28/06/2018,2.56,HTT,2.60,2.60,2.50,80270.00
27/06/2018,2.60,HTT,2.54,2.68,2.54,50110.00
26/06/2018,2.54,HTT,2.63,2.63,2.50,187080.00
25/06/2018,2.63,HTT,2.79,2.79,2.63,89250.00
22/06/2018,2.71,HTT,2.56,2.79,2.56,38420.00
21/06/2018,2.70,HTT,2.89,2.90,2.63,146340.00
20/06/2018,2.82,HTT,2.80,2.88,2.69,70650.00
19/06/2018,2.87,HTT,3.25,3.25,2.87,352040.00
18/06/2018,3.08,HTT,3.08,3.08,3.07,663570.00
15/06/2018,2.88,HTT,2.80,2.88,2.70,219850.00
14/06/2018,2.70,HTT,2.68,2.72,2.60,88740.00
13/06/2018,2.68,HTT,2.65,2.70,2.65,29910.00
12/06/2018,2.65,HTT,2.54,2.65,2.51,13390.00
11/06/2018,2.65,HTT,2.65,2.65,2.54,3390.00
08/06/2018,2.65,HTT,2.62,2.68,2.56,39050.00
07/06/2018,2.64,HTT,2.64,2.64,2.59,40820.00
06/06/2018,2.65,HTT,2.67,2.69,2.62,7950.00
05/06/2018,2.67,HTT,2.70,2.70,2.65,9890.00
04/06/2018,2.55,HTT,2.72,2.72,2.55,36550.00
01/06/2018,2.70,HTT,2.56,2.80,2.56,62450.00
31/05/2018,2.71,HTT,2.70,2.72,2.61,4420.00
30/05/2018,2.70,HTT,2.70,2.70,2.57,20750.00
29/05/2018,2.62,HTT,2.60,2.65,2.60,38430.00
28/05/2018,2.60,HTT,2.62,2.62,2.44,23300.00
25/05/2018,2.62,HTT,2.68,2.68,2.55,27450.00
24/05/2018,2.65,HTT,2.68,2.68,2.56,9450.00
23/05/2018,2.65,HTT,2.67,2.67,2.61,10950.00
22/05/2018,2.69,HTT,2.74,2.74,2.68,263110.00
21/05/2018,2.68,HTT,2.69,2.69,2.66,9980.00
18/05/2018,2.62,HTT,2.76,2.76,2.54,84400.00
17/05/2018,2.72,HTT,2.76,2.76,2.68,19130.00
16/05/2018,2.76,HTT,2.76,2.76,2.66,6460.00
15/05/2018,2.73,HTT,2.78,2.78,2.67,44270.00
14/05/2018,2.73,HTT,2.65,2.73,2.65,17060.00
11/05/2018,2.66,HTT,2.75,2.77,2.66,55330.00
